id_date,open,high,low,close,volume,id_stock,id_index
1,24.77,25.05,24.745,24.97,868196,210,1
2,24.91,25.05,24.85,24.965,917958,210,1
3,24.905,24.97,24.7475,24.785,1177270,210,1
4,24.75,24.9,24.496,24.9,1127310,210,1
5,24.82,25.105,24.8155,24.96,913392,210,1
6,24.905,25.2175,24.835,25.065,972142,210,1
7,25.1,25.62,25.06,25.5,2713356,210,1
8,25.555,25.555,25.145,25.15,1276624,210,1
9,25.0,25.0425,24.245,24.655,1321032,210,1
10,24.855,25.1,24.615,24.84,1118784,210,1
11,24.955,24.955,24.435,24.44,914772,210,1
12,24.535,24.6,24.285,24.54,1125596,210,1
13,24.515,24.665,24.29,24.6,1899972,210,1
14,24.59,24.635,23.99,24.105,2576326,210,1
15,24.0,24.15,23.7401,24.015,2337856,210,1
16,23.96,24.12,23.87,24.11,1395336,210,1
17,24.2,24.425,24.1493,24.185,1060550,210,1
18,24.265,24.3225,23.745,23.75,1570938,210,1
19,23.7,23.77,23.495,23.645,2215878,210,1
20,23.815,23.845,23.625,23.68,1134128,210,1
21,23.675,23.945,23.615,23.82,782468,210,1
22,23.84,24.08,23.693,24.055,1467614,210,1
23,24.07,24.41,24.07,24.325,1619580,210,1
24,24.395,24.55,24.245,24.335,753372,210,1
25,24.265,24.3,23.685,23.965,2527512,210,1
26,23.7,23.83,23.485,23.63,1268430,210,1
27,23.63,23.775,23.435,23.695,1024018,210,1
28,23.77,23.93,23.675,23.885,745266,210,1
29,23.755,24.19,23.755,24.14,1465024,210,1
30,24.175,24.285,23.94,24.225,1140854,210,1
31,24.31,24.475,24.17,24.45,944068,210,1
32,24.55,24.74,24.475,24.7,1146966,210,1
33,24.54,24.735,24.325,24.715,1285000,210,1
34,24.705,24.885,24.56,24.83,1393492,210,1
35,24.88,24.95,24.415,24.57,1740960,210,1
36,24.6,24.645,24.355,24.505,1616118,210,1
37,22.9,23.385,22.075,22.26,10832526,210,1
38,22.235,22.425,21.8661,22.345,3159510,210,1
39,22.05,22.25,22.015,22.22,2446732,210,1
40,22.2,22.615,22.155,22.6,2112858,210,1
41,23.05,23.205,22.765,22.775,2793374,210,1
42,22.785,23.155,22.78,23.045,1607356,210,1
43,23.05,23.195,23.03,23.175,1248516,210,1
44,23.15,23.155,22.685,22.77,1147322,210,1
45,22.62,22.6725,22.265,22.27,1676558,210,1
46,22.415,22.63,22.25,22.61,1449348,210,1
47,22.47,22.52,22.145,22.5,1752582,210,1
48,22.575,22.595,22.21,22.32,1869340,210,1
49,22.4,22.515,22.15,22.38,1911714,210,1
50,22.415,22.655,22.185,22.635,1390080,210,1
51,22.755,22.985,22.64,22.965,1657388,210,1
52,23.0,23.035,22.825,22.91,1611610,210,1
53,22.93,23.07,22.8149,22.87,835076,210,1
54,22.82,22.96,22.75,22.96,1081310,210,1
55,22.995,23.11,22.885,23.055,1200898,210,1
56,22.635,23.485,22.635,23.2,1878212,210,1
57,23.035,23.4075,22.94,23.37,1957840,210,1
58,23.405,23.58,23.39,23.445,1335180,210,1
59,23.585,23.76,23.43,23.45,1594216,210,1
60,23.45,23.69,23.385,23.54,1964876,210,1
61,23.63,23.72,23.515,23.575,1672490,210,1
62,23.6,23.68,23.52,23.59,939158,210,1
63,23.6,23.655,23.44,23.475,713676,210,1
64,23.48,23.605,23.335,23.39,986042,210,1
65,23.4,23.4,23.125,23.28,1083978,210,1
66,23.24,23.69,23.24,23.635,900662,210,1
67,23.545,23.675,23.255,23.315,1926530,210,1
68,23.26,23.83,23.225,23.38,2076422,210,1
69,23.39,23.8425,23.345,23.69,1534638,210,1
70,23.61,23.75,23.5675,23.64,1340084,210,1
71,23.625,23.865,23.58,23.7,1678580,210,1
72,23.685,23.88,23.39,23.49,1505294,210,1
73,23.295,23.62,23.24,23.485,2289982,210,1
74,23.41,23.555,23.239,23.55,1018148,210,1
75,23.755,23.98,23.43,23.44,1065626,210,1
76,23.425,24.065,23.3875,24.0,2516750,210,1
77,24.03,24.455,24.0,24.35,1855684,210,1
78,24.225,24.36,23.935,23.98,1336694,210,1
79,23.955,24.09,23.675,24.07,1652548,210,1
80,24.045,24.165,23.695,23.81,1717224,210,1
81,23.73,23.89,23.555,23.565,1518806,210,1
82,23.475,23.575,23.375,23.57,1271076,210,1
83,23.74,23.89,23.555,23.625,1509930,210,1
84,23.66,24.0,23.564,23.84,1384160,210,1
85,23.655,24.0,23.51,23.895,1910014,210,1
86,23.965,24.0,23.805,23.85,1220180,210,1
87,23.81,24.26,23.5725,24.215,1844162,210,1
88,24.255,24.38,24.075,24.08,1255428,210,1
89,24.235,24.3,24.125,24.19,1066136,210,1
90,24.255,24.47,24.175,24.45,886730,210,1
91,24.34,24.375,23.965,23.985,1234300,210,1
92,23.78,23.9,23.36,23.36,904592,210,1
93,23.5,23.55,22.89,22.935,2998654,210,1
94,22.825,23.03,22.42,22.905,1999764,210,1
95,23.055,23.135,22.955,23.005,874718,210,1
96,23.225,23.31,23.0,23.16,761328,210,1
97,23.285,23.555,23.2,23.47,822878,210,1
98,23.435,23.445,23.05,23.16,2361562,210,1
99,23.25,23.555,23.2125,23.365,1386302,210,1
100,23.39,23.555,23.18,23.295,1198126,210,1
101,23.295,23.375,23.095,23.23,826332,210,1
102,23.385,23.515,23.31,23.505,912534,210,1
103,23.62,23.915,23.61,23.77,1432402,210,1
104,23.875,23.99,23.795,23.865,1445544,210,1
105,23.865,23.985,23.77,23.87,1473662,210,1
106,24.07,24.25,23.925,24.04,1285244,210,1
107,24.03,24.23,23.945,24.01,977380,210,1
