id_date,open,high,low,close,volume,id_stock,id_index
1,32.3,32.475,31.91,32.23,4121547,211,1
2,32.26,32.91,32.2,32.58,4320130,211,1
3,32.54,32.72,32.03,32.11,5116911,211,1
4,32.17,32.42,31.79,31.84,4169568,211,1
5,31.72,31.82,31.19,31.36,5448912,211,1
6,31.34,33.8,31.29,32.88,17841835,211,1
7,32.83,32.9,32.04,32.64,6060998,211,1
8,32.7,32.92,32.26,32.29,3583818,211,1
9,32.12,32.26,31.7,32.05,4115460,211,1
10,32.08,32.09,31.435,31.96,4086700,211,1
11,32.1,32.18,31.22,31.22,4714823,211,1
12,31.39,31.99,31.28,31.79,4805999,211,1
13,31.87,32.63,31.61,32.51,4157313,211,1
14,32.46,33.355,32.35,32.92,6534119,211,1
15,33.7,34.29,32.91,33.87,8480274,211,1
16,33.63,34.16,33.431,33.65,4711794,211,1
17,33.86,34.455,33.79,34.38,4102244,211,1
18,34.26,34.76,34.25,34.46,4113088,211,1
19,34.44,36.0,34.27,35.87,10266840,211,1
20,36.0,36.42,35.439,36.23,4848636,211,1
21,36.18,36.435,36.09,36.38,4338142,211,1
22,36.41,36.73,36.08,36.53,5781681,211,1
23,36.42,36.8,36.42,36.65,3834321,211,1
24,36.76,36.84,36.45,36.57,2965440,211,1
25,36.41,36.7,36.1,36.39,4884532,211,1
26,35.8,36.87,35.8,36.45,4596403,211,1
27,36.37,36.72,35.49,35.85,4409213,211,1
28,36.13,36.25,35.64,35.96,2496493,211,1
29,35.78,35.99,35.18,35.42,3236008,211,1
30,35.6,35.81,35.45,35.66,2072372,211,1
31,35.75,36.2,35.67,35.99,3905791,211,1
32,35.94,36.08,34.86,35.03,6395179,211,1
33,34.88,35.38,34.71,35.27,3974473,211,1
34,35.25,35.48,35.01,35.4,2460688,211,1
35,35.33,35.69,35.1,35.2,2094831,211,1
36,35.59,35.96,35.17,35.74,3321966,211,1
37,35.86,36.41,35.75,36.04,3393584,211,1
38,36.05,36.66,35.87,36.65,4180293,211,1
