id_date,open,high,low,close,volume,id_stock,id_index
1,38.11,38.86,37.98,38.08,1383946,212,1
2,38.21,38.38,37.73,37.87,1601781,212,1
3,37.69,37.89,37.175,37.68,2307629,212,1
4,37.96,38.59,37.7601,38.56,1462714,212,1
5,38.48,39.0,38.2,38.97,1214735,212,1
6,39.22,39.85,38.8301,39.14,1974530,212,1
7,39.25,39.64,38.6,39.24,2435921,212,1
8,35.51,36.05,34.65,35.54,6694625,212,1
9,35.4,35.4,34.57,35.02,1899981,212,1
10,35.16,35.41,34.77,35.0,1260665,212,1
11,35.12,35.19,34.18,34.2,1524158,212,1
12,34.11,34.42,33.66,34.31,1586041,212,1
13,34.21,34.89,34.09,34.68,715190,212,1
14,34.5,34.65,34.15,34.36,866584,212,1
15,34.27,35.47,34.0,35.14,1914275,212,1
16,35.15,35.539,34.34,35.41,1624185,212,1
17,35.4,35.58,35.1,35.26,1403681,212,1
18,35.4,35.5,35.17,35.3,698987,212,1
19,35.29,35.49,34.97,35.02,868364,212,1
20,35.29,35.64,35.06,35.61,782310,212,1
21,35.53,35.85,35.44,35.72,955643,212,1
22,35.74,35.87,35.5198,35.7,997037,212,1
23,35.42,35.68,34.62,34.68,961246,212,1
24,34.74,34.99,34.65,34.9,973004,212,1
25,34.75,35.14,34.19,34.56,2419816,212,1
26,34.36,34.56,34.2,34.36,630421,212,1
27,34.5,34.56,33.42,33.61,1493471,212,1
28,33.93,33.99,33.2,33.469,1338433,212,1
29,33.44,33.485,33.005,33.15,1040684,212,1
30,33.23,33.35,32.82,33.25,1068469,212,1
31,33.29,33.505,32.98,33.44,1052695,212,1
32,33.43,33.57,33.07,33.29,1590608,212,1
33,33.18,33.22,32.9,32.97,673354,212,1
34,32.98,33.23,32.8,33.05,1509192,212,1
35,33.18,33.249,32.58,32.6,719056,212,1
36,33.35,34.5303,33.01,34.25,3212176,212,1
37,34.4,34.47,33.07,33.43,2591801,212,1
38,33.43,33.53,33.07,33.43,1025748,212,1
39,33.01,33.61,32.68,33.59,1129409,212,1
40,33.61,33.77,33.37,33.76,721842,212,1
41,33.73,34.05,33.56,33.65,869252,212,1
42,33.91,34.5,33.715,34.4,1151580,212,1
43,34.46,34.55,34.15,34.46,696157,212,1
44,34.5,34.78,34.2,34.72,799200,212,1
45,34.51,34.68,33.5008,33.66,766232,212,1
46,33.72,33.9699,33.36,33.7,698207,212,1
47,33.45,33.5,32.69,33.11,1229682,212,1
48,33.34,33.785,33.0701,33.4,1006674,212,1
49,33.26,33.37,32.87,32.97,818347,212,1
50,33.12,33.12,32.52,32.68,916177,212,1
51,32.98,33.63,32.83,33.59,804680,212,1
52,34.26,34.45,34.12,34.25,1542764,212,1
53,34.45,36.0,34.36,35.31,1406809,212,1
54,35.29,35.4,34.59,34.72,550746,212,1
55,34.94,35.29,34.72,35.24,739271,212,1
56,34.54,35.11,34.4608,35.08,1489629,212,1
57,34.89,34.97,33.12,33.68,2927391,212,1
58,33.76,34.77,33.76,34.51,1225317,212,1
59,35.0,35.29,34.79,34.81,859619,212,1
60,34.8,35.31,34.8,35.28,732424,212,1
61,35.51,35.86,35.3,35.54,1008748,212,1
62,35.55,35.965,35.41,35.7,1036866,212,1
63,35.75,35.99,35.23,35.33,1102270,212,1
64,35.37,36.13,35.34,36.12,873491,212,1
65,36.12,36.25,35.42,35.47,732381,212,1
66,35.45,35.91,35.3,35.5,830895,212,1
67,35.42,35.88,34.93,35.88,845315,212,1
68,35.63,36.59,35.63,36.39,1388148,212,1
69,36.68,36.88,36.26,36.88,1015504,212,1
70,36.82,36.99,36.42,36.66,960342,212,1
71,36.59,36.84,36.51,36.67,655879,212,1
72,36.71,36.72,35.46,35.63,1229500,212,1
73,35.49,35.545,35.2,35.35,1073277,212,1
74,35.08,35.25,34.66,35.12,881149,212,1
75,35.65,35.94,35.1,35.5,696340,212,1
76,35.41,35.42,34.9,35.11,734843,212,1
77,35.15,35.89,35.13,35.62,868517,212,1
78,35.42,35.7,34.92,34.93,868626,212,1
79,35.0,35.3,34.73,34.95,885829,212,1
80,35.0,35.43,34.66,34.76,1424342,212,1
81,34.75,34.78,33.86,33.95,1285442,212,1
82,34.07,34.33,33.8,34.33,755125,212,1
83,34.86,34.99,34.45,34.84,1808641,212,1
84,35.04,35.32,34.85,34.9,1183404,212,1
85,34.52,34.86,34.32,34.35,1047199,212,1
86,34.59,34.59,33.96,34.09,1206312,212,1
87,33.97,34.71,33.91,34.61,1160563,212,1
88,34.24,34.32,33.67,33.72,962911,212,1
89,33.88,35.305,33.88,34.94,1556241,212,1
90,35.06,36.25,35.06,35.76,1494031,212,1
91,35.82,36.0,34.87,34.96,1006724,212,1
92,34.57,35.14,34.11,34.24,1117136,212,1
93,34.41,34.87,34.25,34.69,1527053,212,1
94,34.52,34.93,34.18,34.56,931427,212,1
95,34.93,35.09,34.37,34.95,724699,212,1
96,35.24,35.58,34.845,35.46,1031140,212,1
97,35.7,36.265,35.7,36.21,790206,212,1
