id_date,open,high,low,close,volume,id_stock,id_index
1,46.44,46.74,46.44,46.7,3110695,222,1
2,46.79,47.03,46.74,46.91,1675279,222,1
3,46.97,47.08,46.36,47.08,1910622,222,1
4,47.28,47.43,47.115,47.26,1770602,222,1
5,47.09,47.3,47.02,47.15,1655081,222,1
6,47.27,47.84,47.13,47.8,4651017,222,1
7,47.89,48.25,47.71,48.25,2209317,222,1
8,48.28,48.63,47.97,47.98,2136793,222,1
9,47.99,48.25,47.76,48.15,2371237,222,1
10,48.19,48.63,48.19,48.61,1806638,222,1
11,48.79,48.84,47.64,47.64,1768444,222,1
12,47.82,48.32,47.66,48.26,2245852,222,1
13,48.2,48.94,48.07,48.76,1459637,222,1
14,48.65,49.18,48.63,48.88,4188668,222,1
15,48.82,49.15,48.56,48.9,2482973,222,1
16,48.92,49.73,48.89,49.46,1922100,222,1
17,49.72,49.74,49.34,49.63,1305412,222,1
18,49.7,49.79,49.3,49.46,1319770,222,1
19,49.51,49.66,49.04,49.11,2100331,222,1
20,49.19,49.2,48.69,48.92,1832636,222,1
21,48.95,49.02,48.76,48.89,1782488,222,1
22,49.29,49.37,48.75,49.04,2398487,222,1
23,49.05,49.14,48.69,48.76,1655580,222,1
24,48.77,49.35,48.73,48.9,2337369,222,1
25,48.62,48.86,48.5,48.68,3844311,222,1
26,48.49,48.71,48.26,48.32,3787717,222,1
27,48.32,48.51,48.14,48.24,2091412,222,1
28,48.47,48.67,48.41,48.49,1977021,222,1
29,48.47,48.77,48.33,48.46,2035740,222,1
30,48.54,49.01,48.54,48.91,1407162,222,1
31,49.17,49.215,48.845,48.96,1413975,222,1
32,49.19,49.54,49.0,49.37,4357862,222,1
33,49.11,49.48,49.11,49.41,2530545,222,1
34,49.52,49.91,49.335,49.86,2872368,222,1
35,49.89,50.26,49.63,50.26,2209732,222,1
36,50.53,50.68,50.36,50.47,2528586,222,1
37,50.5,50.57,50.01,50.29,2301015,222,1
38,50.44,50.96,50.38,50.9,2292762,222,1
39,50.32,51.17,50.3,51.15,2080829,222,1
40,51.15,51.59,50.945,51.58,1654112,222,1
41,51.62,51.88,51.33,51.7,1677541,222,1
42,51.68,52.055,51.44,51.93,1893199,222,1
43,52.03,52.09,51.3,51.46,3115378,222,1
44,51.36,52.02,51.19,52.02,2054317,222,1
45,51.75,51.94,51.16,51.2,3091101,222,1
46,51.23,52.48,50.83,52.48,2187794,222,1
47,52.26,52.26,51.52,51.95,1819853,222,1
48,51.9,51.97,51.17,51.55,2991232,222,1
49,51.68,52.74,51.56,52.71,2081543,222,1
50,52.75,52.82,52.28,52.72,1284544,222,1
51,52.91,53.205,52.64,53.05,1944739,222,1
52,53.14,53.3,52.79,53.3,1515849,222,1
53,53.28,53.3,52.68,52.91,2011852,222,1
54,53.01,53.18,52.6765,52.77,1443224,222,1
55,52.9,53.145,52.79,53.07,990045,222,1
56,53.02,53.96,52.9,53.3,1992279,222,1
57,53.25,53.66,53.12,53.31,1842283,222,1
58,52.75,53.24,52.59,53.06,2602041,222,1
59,53.38,53.65,53.2,53.47,2735007,222,1
60,53.43,53.66,53.35,53.63,2006073,222,1
61,53.66,54.05,53.5,53.94,2372730,222,1
62,53.65,53.71,52.42,52.53,3809231,222,1
63,52.6,52.6675,51.69,51.76,3707551,222,1
64,51.93,52.108,51.63,51.96,2887956,222,1
65,51.99,52.12,51.79,52.12,2480938,222,1
66,52.25,53.49,52.225,53.46,2673835,222,1
67,53.54,54.35,53.14,54.35,2464869,222,1
68,54.18,54.55,53.83,54.15,2245598,222,1
69,54.11,54.5,54.03,54.38,2675724,222,1
70,54.39,54.805,54.31,54.71,1496075,222,1
71,54.83,55.34,54.79,55.28,2632532,222,1
72,55.3,56.06,53.865,54.18,3544798,222,1
73,53.83,53.85,51.72,51.88,4165206,222,1
74,51.54,51.6,50.44,50.83,3322080,222,1
75,51.43,51.49,49.2,49.56,3913777,222,1
76,49.22,49.23,47.77,47.87,5054526,222,1
77,48.21,48.57,47.72,47.89,3149628,222,1
78,47.75,48.41,47.21,47.38,6005869,222,1
79,47.32,48.15,46.754,48.03,4387191,222,1
80,48.0,48.23,46.99,47.01,3122416,222,1
81,46.85,47.24,46.46,46.59,2036861,222,1
82,46.32,47.77,46.32,47.74,3209864,222,1
83,47.77,48.0,46.84,47.56,3049506,222,1
84,47.64,47.725,46.48,46.64,2755384,222,1
85,46.27,46.97,45.79,45.88,5005634,222,1
86,46.27,46.45,45.28,45.36,2463085,222,1
87,45.36,46.14,45.2,45.99,4439546,222,1
88,46.0,46.67,45.75,45.95,6512810,222,1
89,46.2,46.34,45.49,45.77,4224223,222,1
90,45.8,46.26,45.51,45.98,2408985,222,1
91,45.85,46.1,44.11,44.16,2806637,222,1
92,43.82,43.96,41.54,41.89,5791533,222,1
93,42.25,43.69,41.58,43.19,6699551,222,1
94,42.54,43.49,41.5,42.39,5332270,222,1
95,42.86,44.19,42.6,43.93,4296224,222,1
96,44.39,45.24,44.38,45.2,4944017,222,1
97,45.41,45.73,45.15,45.68,3067637,222,1
98,45.6,45.84,45.15,45.44,3002179,222,1
99,45.83,45.88,44.82,44.95,2042828,222,1
