id_date,open,high,low,close,volume,id_stock,id_index
1,66.55,67.02,66.41,67.01,4458040,223,1
2,66.87,66.98,66.225,66.38,3952707,223,1
3,66.7,67.43,66.52,67.32,4932264,223,1
4,67.52,67.67,67.18,67.45,3668687,223,1
5,67.13,67.47,66.96,67.34,5439665,223,1
6,67.52,67.989,66.8,67.52,8132222,223,1
7,67.63,67.92,66.95,67.55,5455681,223,1
8,67.44,67.6,66.37,66.44,5598632,223,1
9,65.8599,65.92,64.29,64.38,10622495,223,1
10,64.8,65.74,64.5,65.58,7501182,223,1
11,65.96,66.55,63.82,63.92,10267543,223,1
12,65.56,68.0,65.49,67.56,22792938,223,1
13,67.58,68.28,67.37,68.06,14170763,223,1
14,67.91,69.1876,67.86,68.5,8705818,223,1
15,68.38,69.115,68.09,69.03,6242092,223,1
16,68.95,70.3,68.93,70.29,8375824,223,1
17,70.58,70.965,70.12,70.47,8311263,223,1
18,70.47,70.959,70.275,70.48,5275314,223,1
19,70.4,70.5,69.94,70.25,4997362,223,1
20,70.59,71.45,70.39,71.37,6472726,223,1
21,71.32,71.38,71.0,71.32,4902463,223,1
22,70.9,71.14,70.46,70.75,4449825,223,1
23,70.79,70.94,70.35,70.76,5827027,223,1
24,70.87,70.96,70.18,70.24,6314510,223,1
25,70.03,70.19,69.05,69.05,11273217,223,1
26,68.45,69.91,68.45,69.35,6010129,223,1
27,69.55,69.74,68.56,68.79,7654870,223,1
28,69.39,69.55,68.835,68.88,6108547,223,1
29,68.65,69.31,68.42,68.95,8036310,223,1
30,69.23,69.57,68.8028,69.56,5244758,223,1
31,69.8,70.36,69.27,69.47,6956063,223,1
32,69.66,70.4,69.55,70.05,4661146,223,1
33,69.21,69.7,69.0,69.65,4156287,223,1
34,69.44,69.96,69.33,69.78,6725814,223,1
35,69.51,70.77,69.51,69.67,5359503,223,1
36,69.9,71.05,69.83,71.02,7291540,223,1
37,70.85,70.94,70.02,70.36,7795195,223,1
38,70.36,70.8,70.08,70.69,6613010,223,1
39,70.0,70.25,69.61,70.06,6987328,223,1
40,69.78,71.25,69.78,71.22,6097143,223,1
41,71.23,71.57,70.95,71.2,5994935,223,1
42,71.4,71.785,70.97,71.69,5423590,223,1
43,71.83,72.6,71.733,71.9,7626671,223,1
44,72.41,73.66,72.15,73.62,10493574,223,1
45,73.35,74.19,72.2101,72.23,8361151,223,1
46,72.55,72.8,72.03,72.46,8120152,223,1
47,72.22,72.97,71.94,72.8,8838675,223,1
48,72.67,72.9,72.29,72.48,7477825,223,1
49,72.92,74.275,72.72,74.0,9566824,223,1
50,73.92,74.22,73.24,73.86,7206618,223,1
51,74.14,74.59,72.63,73.38,7886248,223,1
52,73.55,73.85,73.26,73.28,6248256,223,1
53,73.31,73.79,73.201,73.37,5619682,223,1
54,73.24,73.69,73.13,73.35,4984231,223,1
55,73.44,74.02,73.39,73.67,4519351,223,1
56,73.5,74.01,73.22,73.35,6602408,223,1
57,73.18,73.59,72.64,72.76,5554634,223,1
58,72.77,73.48,72.53,73.33,3722606,223,1
59,73.72,74.41,73.72,73.96,4951467,223,1
60,73.88,75.37,73.88,75.26,5731178,223,1
61,75.24,75.2841,74.5962,75.07,5582351,223,1
62,75.1901,75.5,74.92,75.42,6533366,223,1
63,75.36,76.18,75.36,75.87,6337343,223,1
