id_date,open,high,low,close,volume,id_stock,id_index
1,44.81,45.4,44.61,45.39,387929,226,1
2,45.23,45.4,45.0,45.23,176571,226,1
3,45.27,45.4,45.15,45.25,176363,226,1
4,45.33,45.82,45.13,45.55,242203,226,1
5,45.39,45.48,45.04,45.2,251431,226,1
6,45.1,45.59,45.0275,45.35,121880,226,1
7,45.35,45.55,45.23,45.54,295441,226,1
8,45.45,45.95,45.38,45.44,480001,226,1
9,45.35,45.44,44.6,44.63,225792,226,1
10,44.85,45.19,44.8,44.95,263967,226,1
11,45.1,45.59,44.27,44.29,290073,226,1
12,44.35,45.74,44.35,45.47,279332,226,1
13,45.47,47.14,44.77,47.12,365594,226,1
14,46.77,48.52,46.76,48.04,385872,226,1
15,47.78,48.57,47.29,47.91,415491,226,1
16,47.73,47.79,47.18,47.25,314805,226,1
17,47.47,48.1,47.26,48.07,187127,226,1
18,48.37,49.18,48.35,49.17,224718,226,1
19,49.16,49.2,48.805,49.05,319591,226,1
20,49.35,50.76,49.35,50.56,294669,226,1
21,50.25,50.98,50.01,50.9,217166,226,1
22,50.7,51.425,50.66,51.34,227461,226,1
23,51.38,53.11,51.38,52.85,320253,226,1
24,52.89,54.12,52.59,54.08,283378,226,1
25,54.21,54.22,53.61,54.02,530082,226,1
26,53.53,53.9,53.25,53.64,190758,226,1
27,52.91,53.33,52.27,52.5,364085,226,1
28,52.59,52.98,52.48,52.82,199325,226,1
29,52.64,52.96,51.83,52.05,206168,226,1
30,52.44,53.06,52.19,52.41,174187,226,1
31,52.63,53.19,52.11,52.36,181150,226,1
32,52.4,53.34,52.4,53.2,190432,226,1
33,52.89,53.08,52.63,52.96,121414,226,1
34,53.08,53.47,52.94,53.33,122777,226,1
35,53.52,54.16,53.19,53.78,218437,226,1
36,53.94,53.96,52.29,52.48,228373,226,1
37,52.56,53.31,51.89,51.95,440087,226,1
38,52.19,52.67,51.79,51.91,163335,226,1
39,51.19,51.78,50.8775,51.58,134340,226,1
40,51.92,51.92,50.91,51.3,188395,226,1
41,51.26,51.44,50.41,51.08,213909,226,1
42,50.98,51.86,50.96,51.86,240673,226,1
43,51.86,52.3,51.8,52.13,109898,226,1
44,52.17,53.68,52.17,53.65,543391,226,1
45,53.28,53.58,51.5,51.87,321763,226,1
46,52.42,52.63,50.66,51.5,177088,226,1
47,51.12,51.315,50.03,50.63,137975,226,1
48,50.87,50.87,49.84,50.11,214935,226,1
49,50.23,50.62,49.905,50.27,149812,226,1
50,50.23,50.31,49.73,50.12,126359,226,1
51,50.28,51.01,50.28,50.98,142507,226,1
52,51.0,51.39,50.89,51.28,140020,226,1
53,51.51,52.51,51.36,52.48,201246,226,1
54,52.52,52.75,51.71,51.88,194380,226,1
55,52.08,52.99,52.08,52.91,190653,226,1
56,52.91,53.11,52.64,52.9,195621,226,1
57,52.73,53.06,51.88,51.93,132256,226,1
58,52.05,53.02,51.4273,52.95,169609,226,1
59,53.26,53.66,53.12,53.34,116444,226,1
60,53.23,53.75,52.84,53.44,137404,226,1
61,53.57,54.1,53.38,54.0,250170,226,1
62,54.0,54.45,52.55,53.52,179252,226,1
63,53.74,53.92,52.86,53.66,189638,226,1
64,53.7,54.0518,53.49,53.81,145078,226,1
65,53.64,53.8,53.3928,53.51,203631,226,1
66,53.56,54.24,53.5,54.15,227742,226,1
67,54.0,54.7,53.85,54.58,156987,226,1
68,54.67,55.39,54.49,55.17,209443,226,1
69,55.54,56.0,55.305,55.82,224339,226,1
70,55.82,55.82,55.15,55.26,331135,226,1
71,55.27,56.11,55.12,56.0,194275,226,1
72,56.15,56.542,55.35,55.57,204359,226,1
73,55.18,56.04,54.84,56.0,188633,226,1
74,55.84,56.0,55.1,55.34,126714,226,1
75,55.93,56.72,55.505,55.73,119250,226,1
76,55.31,55.49,54.5,54.83,162547,226,1
77,54.7,55.81,54.7,55.29,178785,226,1
78,55.23,56.22,54.8,55.22,183845,226,1
79,55.33,55.56,54.17,54.46,298601,226,1
80,54.43,55.14,53.87,54.87,268182,226,1
81,54.66,55.05,53.98,54.44,187692,226,1
82,54.48,55.21,54.031,55.2,142054,226,1
83,55.19,56.14,52.41,56.02,135056,226,1
84,56.21,56.67,55.68,56.66,171362,226,1
85,56.04,56.47,55.34,56.03,114853,226,1
86,56.48,56.79,55.07,55.27,100995,226,1
87,55.09,56.08,55.02,55.99,187072,226,1
88,55.94,56.59,55.52,56.09,95428,226,1
89,56.49,56.7,55.62,56.31,224731,226,1
90,56.24,57.7,56.09,57.64,134099,226,1
91,57.64,57.64,56.57,56.65,109794,226,1
92,56.0,56.64,55.72,55.93,210055,226,1
93,55.95,56.13,54.85,55.05,451736,226,1
94,54.66,55.5,54.32,55.04,214443,226,1
95,55.39,55.5,54.62,54.68,277591,226,1
96,55.01,55.57,54.79,55.33,159405,226,1
97,55.7,56.82,55.7,56.59,173704,226,1
98,56.46,56.95,56.025,56.48,812416,226,1
99,56.82,57.52,56.37,56.92,244667,226,1
100,56.94,57.34,56.14,56.6,252304,226,1
101,56.5,57.34,56.5,57.3,354459,226,1
102,57.36,58.135,57.36,58.05,183218,226,1
103,58.31,58.84,57.66,57.78,315126,226,1
104,58.16,58.81,57.84,58.27,137570,226,1
105,58.26,59.32,58.26,59.16,122386,226,1
106,59.85,60.758,59.74,60.59,228576,226,1
107,60.64,60.87,59.27,60.19,155455,226,1
108,60.39,60.96,60.11,60.87,141081,226,1
109,60.82,61.23,59.97,60.02,162975,226,1
110,60.18,60.67,60.06,60.5,144619,226,1
111,60.67,62.06,60.67,61.99,242944,226,1
112,61.76,62.895,61.76,62.79,267450,226,1
113,62.93,63.19,62.4925,62.93,256998,226,1
114,63.07,63.4,62.86,63.26,177226,226,1
115,63.36,63.79,63.23,63.34,172616,226,1
116,63.31,63.31,62.41,63.09,145167,226,1
117,62.74,63.18,62.31,62.51,96254,226,1
118,62.27,62.6,62.03,62.09,103712,226,1
119,62.45,62.915,61.74,61.93,148131,226,1
120,62.15,62.51,61.85,62.18,307398,226,1
121,62.96,63.99,62.72,63.2,450290,226,1
122,62.98,63.5,62.94,63.35,180605,226,1
