id_date,open,high,low,close,volume,id_stock,id_index
1,21.99,22.345,21.85,22.32,3021508,229,1
2,22.25,22.485,22.05,22.48,3436315,229,1
3,22.44,22.49,22.2899,22.33,2061112,229,1
4,22.35,22.42,21.93,22.05,2948596,229,1
5,22.05,22.24,21.9,22.1,2032297,229,1
6,22.1,22.16,21.91,21.935,1928177,229,1
7,21.88,21.94,21.64,21.89,2666089,229,1
8,21.91,22.03,21.44,21.48,1801449,229,1
9,21.51,21.55,21.04,21.31,2723499,229,1
10,21.34,21.74,21.32,21.71,2048744,229,1
11,21.78,22.03,21.55,21.57,2368815,229,1
12,21.62,22.025,21.53,21.97,2753632,229,1
13,21.87,22.16,21.75,22.06,1920359,229,1
14,22.07,22.18,21.81,21.82,1875329,229,1
15,21.68,21.85,21.32,21.61,3811665,229,1
16,21.56,21.825,21.45,21.82,2258079,229,1
17,21.86,22.47,21.76,22.42,3798220,229,1
18,22.39,22.48,21.96,22.05,2077792,229,1
19,22.09,22.09,21.81,22.01,1147229,229,1
20,22.05,22.16,21.94,22.09,1557393,229,1
21,22.02,22.18,21.98,22.18,828074,229,1
22,22.11,22.48,22.03,22.46,2662017,229,1
23,22.41,22.49,22.21,22.24,1262838,229,1
24,22.26,22.47,22.22,22.46,1181638,229,1
25,22.42,22.62,22.18,22.32,3117910,229,1
26,22.11,22.21,21.99,22.01,1601911,229,1
27,21.99,22.14,21.7175,21.98,2526474,229,1
28,22.04,22.45,22.02,22.34,1829149,229,1
29,22.21,22.51,22.04,22.18,1644848,229,1
30,22.29,22.4,22.16,22.34,1152139,229,1
31,22.49,22.809,22.32,22.46,2700909,229,1
32,22.56,22.73,22.463,22.59,1324739,229,1
33,22.45,22.52,22.2,22.4,1630385,229,1
34,22.32,22.63,22.3,22.6,1411107,229,1
35,22.46,22.92,22.42,22.82,2502141,229,1
36,22.88,22.97,22.45,22.54,1575158,229,1
37,22.57,22.57,21.885,22.16,2453515,229,1
38,22.17,22.22,21.71,22.04,1692132,229,1
39,21.81,21.88,21.41,21.65,2479744,229,1
40,21.66,21.69,21.35,21.65,1650030,229,1
41,21.67,21.82,21.59,21.63,1784946,229,1
42,21.57,22.1,21.45,22.04,1503435,229,1
43,22.05,22.209,21.77,22.03,1616658,229,1
44,21.98,22.14,21.735,21.9,1137054,229,1
45,21.77,21.84,21.4,21.5,1798307,229,1
46,21.67,21.82,21.33,21.57,1084793,229,1
47,21.45,21.45,20.79,20.96,1928873,229,1
