id_date,open,high,low,close,volume,id_stock,id_index
1,70.28,70.7954,70.18,70.53,3280878,230,1
2,70.42,70.46,69.92,70.09,2322699,230,1
3,70.07,70.565,69.96,70.42,2044531,230,1
4,70.42,70.78,69.89,70.18,2583907,230,1
5,70.0,70.3776,69.78,70.09,2883638,230,1
6,70.38,70.44,69.77,70.11,3059553,230,1
7,70.23,70.95,70.03,70.93,3181618,230,1
8,70.81,71.43,70.34,70.35,4208756,230,1
9,69.64,69.9799,69.3425,69.8,4144365,230,1
10,70.0,70.24,69.54,69.89,3615133,230,1
11,69.89,70.13,68.95,68.95,5303817,230,1
12,69.07,69.55,68.84,69.12,3786089,230,1
13,69.1,70.51,69.02,70.35,2710840,230,1
14,70.39,70.8708,70.1,70.1,3685989,230,1
15,69.71,70.26,69.23,70.05,2980302,230,1
16,69.59,69.845,68.9,69.7,3571667,230,1
17,70.0,70.8682,69.97,70.68,3754813,230,1
18,70.82,71.41,70.8,71.27,3522668,230,1
19,71.63,72.36,71.445,72.17,4217634,230,1
20,72.67,73.78,72.67,73.7,4928078,230,1
21,73.36,73.935,72.95,73.86,3393193,230,1
22,73.87,73.9,73.07,73.59,2988387,230,1
23,73.73,74.02,73.54,73.95,3394126,230,1
24,74.18,74.28,73.42,73.81,4592217,230,1
25,73.57,73.86,73.33,73.46,5981397,230,1
26,72.72,74.27,72.55,73.89,4260347,230,1
27,74.07,74.37,73.43,74.03,4256986,230,1
28,74.37,74.87,74.37,74.7,3636074,230,1
29,74.59,75.0,74.44,74.59,4088930,230,1
30,74.84,75.23,74.68,75.19,3605903,230,1
31,75.45,75.755,74.37,74.86,4344120,230,1
32,75.11,75.63,74.92,75.48,3433382,230,1
33,75.03,75.2,74.58,75.17,2815586,230,1
34,75.15,75.53,75.0,75.35,3492360,230,1
35,75.2,75.28,74.1,74.33,3952290,230,1
36,74.73,74.83,73.99,74.21,3563975,230,1
37,74.48,74.57,73.18,73.33,4865580,230,1
