id_date,open,high,low,close,volume,id_stock,id_index
1,46.69,47.025,46.495,46.62,811828,236,1
2,46.53,46.86,46.27,46.54,812915,236,1
3,46.59,46.89,46.37,46.75,661855,236,1
4,46.84,47.18,46.63,47.1,638905,236,1
5,46.96,47.87,46.87,47.74,932812,236,1
6,47.94,47.97,47.45,47.61,900043,236,1
7,47.57,48.06,47.3,47.65,971742,236,1
8,47.18,47.88,47.18,47.46,847755,236,1
9,47.21,47.21,46.68,47.0,878315,236,1
10,47.13,48.2,47.13,47.98,858359,236,1
11,48.26,48.37,47.1,47.1,978969,236,1
12,47.09,47.46,46.901,47.31,775554,236,1
13,47.34,48.49,47.34,48.06,924441,236,1
14,47.92,48.44,47.92,48.07,816072,236,1
15,47.85,48.17,47.33,47.71,684098,236,1
16,47.51,47.73,47.05,47.33,490730,236,1
17,47.33,47.51,47.02,47.23,620834,236,1
18,46.79,46.8,45.39,45.73,1754181,236,1
19,45.75,46.23,45.48,45.74,785884,236,1
20,45.94,46.0,45.08,45.42,1025981,236,1
21,45.38,45.45,44.59,44.82,1315876,236,1
22,44.8,44.95,44.47,44.93,1218620,236,1
23,44.94,45.425,44.66,45.26,878616,236,1
24,45.44,45.5,44.77,44.89,854291,236,1
25,44.74,44.93,44.22,44.36,1581432,236,1
26,43.92,44.605,43.75,44.3,811491,236,1
27,44.47,46.11,44.11,44.61,1141419,236,1
28,44.89,45.16,44.7,44.98,763441,236,1
29,44.58,44.91,44.13,44.13,963340,236,1
30,44.26,44.31,43.7,43.99,940626,236,1
31,44.05,44.71,44.03,44.63,1092381,236,1
32,44.82,45.045,44.67,44.9,925337,236,1
33,44.66,45.375,44.32,45.29,851265,236,1
34,45.35,46.58,45.01,46.34,1314906,236,1
35,46.29,46.29,45.75,46.04,1050284,236,1
36,46.36,46.5,45.93,46.25,778169,236,1
37,46.32,46.66,45.59,45.8,774738,236,1
38,45.64,45.785,45.1,45.27,597366,236,1
39,44.76,44.88,44.37,44.52,616287,236,1
40,44.67,44.74,44.33,44.74,508681,236,1
41,44.67,45.38,44.48,44.95,802474,236,1
42,45.15,45.845,45.075,45.81,705696,236,1
43,45.68,46.58,45.56,46.56,1023249,236,1
44,44.8,45.75,43.85,44.06,2523086,236,1
45,43.78,43.93,42.56,42.8,2147016,236,1
46,42.97,43.1,42.15,42.36,1827837,236,1
47,42.21,42.45,41.29,41.71,1755082,236,1
48,41.63,41.83,41.08,41.66,1269203,236,1
49,41.75,42.08,41.62,41.98,933018,236,1
50,42.04,43.04,41.8,42.74,1221120,236,1
51,42.99,43.22,42.72,43.1,1234646,236,1
52,43.12,43.76,42.92,43.58,792022,236,1
53,43.78,44.33,43.64,44.26,842208,236,1
54,44.18,44.3,43.72,43.93,872679,236,1
55,44.18,44.62,43.95,44.59,804952,236,1
56,44.99,46.51,43.95,46.2,1602693,236,1
57,45.92,45.92,45.2,45.22,983927,236,1
58,45.41,46.07,45.3,45.9,900586,236,1
59,46.39,46.65,46.26,46.47,690140,236,1
60,46.42,46.785,46.18,46.6,603016,236,1
61,46.68,47.31,46.49,47.2,644745,236,1
62,47.06,48.45,47.01,48.29,963009,236,1
63,48.26,48.96,48.11,48.52,963717,236,1
64,48.57,48.98,48.32,48.79,716755,236,1
65,49.04,49.37,48.58,48.99,883908,236,1
66,48.87,49.69,48.87,49.29,987895,236,1
67,49.27,49.84,49.16,49.82,697381,236,1
68,49.71,50.49,49.37,49.43,1086654,236,1
69,49.31,50.675,49.31,50.46,983651,236,1
70,50.3,50.94,50.06,50.36,680534,236,1
71,50.55,50.83,50.14,50.17,689268,236,1
72,50.41,50.65,49.68,49.9,722675,236,1
73,49.43,50.3,49.37,50.1,580880,236,1
74,49.88,50.38,49.49,50.37,561313,236,1
75,50.81,51.405,50.745,51.23,1001857,236,1
76,50.57,51.4599,50.36,51.16,1462094,236,1
77,51.06,51.35,50.88,51.03,720986,236,1
78,50.95,51.29,50.07,50.13,911760,236,1
79,50.23,50.48,49.34,50.46,904787,236,1
80,50.49,50.7,49.975,50.08,800789,236,1
81,50.02,50.23,49.5,49.53,573417,236,1
82,49.66,50.36,49.585,50.11,821476,236,1
83,50.32,50.44,49.81,50.35,494336,236,1
84,50.45,50.5315,50.16,50.35,342348,236,1
85,49.91,50.33,49.66,49.8,315627,236,1
86,50.07,50.18,48.995,49.05,408768,236,1
87,49.09,50.13,48.88,49.99,389607,236,1
88,49.84,50.42,49.64,49.82,539981,236,1
89,50.03,50.36,49.56,49.85,707301,236,1
90,49.95,50.22,49.71,50.09,559503,236,1
91,50.23,50.7,49.8,49.85,868971,236,1
92,49.53,49.56,48.43,48.45,692160,236,1
93,48.88,49.06,48.03,48.58,1309121,236,1
94,48.2,48.66,47.69,47.82,548447,236,1
95,48.28,48.4,47.75,48.12,511274,236,1
96,48.47,49.01,48.07,48.85,722304,236,1
97,49.08,49.67,49.05,49.46,433452,236,1
98,49.32,49.435,48.89,49.25,1163669,236,1
99,49.68,50.11,49.4,49.96,782768,236,1
100,49.79,50.27,49.11,49.32,538101,236,1
101,49.05,49.3,48.75,49.08,370327,236,1
102,49.36,49.565,49.03,49.56,373062,236,1
103,49.68,49.94,49.42,49.7,683603,236,1
104,49.82,50.35,49.75,49.9,842796,236,1
105,49.5,50.34,49.5,50.17,737234,236,1
106,50.73,51.21,50.67,51.06,618941,236,1
107,51.2,51.76,51.04,51.76,521768,236,1
108,51.92,52.13,50.94,51.85,826379,236,1
109,51.74,52.15,51.68,51.8,697571,236,1
110,52.0,52.23,51.62,51.83,379318,236,1
111,51.86,52.47,51.42,52.45,629628,236,1
112,52.46,52.86,52.03,52.7,509540,236,1
113,52.62,52.91,52.39,52.66,303714,236,1
114,52.76,52.85,52.08,52.42,516665,236,1
115,52.59,52.86,52.49,52.8,420532,236,1
116,52.75,53.29,52.63,53.16,628409,236,1
117,52.86,52.95,52.41,52.74,513844,236,1
118,52.63,53.2,52.33,52.83,917613,236,1
119,53.89,57.45,53.64,56.97,2457793,236,1
120,57.01,57.7,56.43,57.07,1069026,236,1
121,57.36,57.68,56.96,57.49,951287,236,1
122,56.75,57.87,56.63,57.12,962159,236,1
123,57.0,57.99,56.7112,57.75,927593,236,1
124,57.75,57.91,56.74,57.29,815373,236,1
125,57.13,57.36,56.43,57.0,845696,236,1
126,57.37,57.91,56.91,57.63,515971,236,1
127,57.57,57.95,57.4,57.65,600966,236,1
128,57.28,58.1,57.28,57.67,608180,236,1
129,57.86,58.5,57.57,58.27,477518,236,1
130,58.25,58.49,58.01,58.22,392892,236,1
131,57.44,57.58,56.7,56.93,621570,236,1
132,56.8,57.89,56.71,57.29,539666,236,1
133,57.35,57.44,56.44,56.44,649310,236,1
134,56.64,56.89,56.15,56.36,904915,236,1
135,56.07,56.63,56.01,56.09,568754,236,1
136,56.34,56.82,56.18,56.55,436189,236,1
137,56.75,57.08,56.48,56.97,466210,236,1
138,56.99,57.68,56.99,57.02,579951,236,1
139,56.39,56.68,55.59,55.66,522621,236,1
140,55.66,56.46,55.46,56.22,646369,236,1
141,56.02,56.78,55.85,56.5,513762,236,1
142,56.44,56.85,56.03,56.63,722125,236,1
143,57.32,58.14,57.14,57.56,943326,236,1
