id_date,open,high,low,close,volume,id_stock,id_index
1,16.57,16.83,16.52,16.81,8231972,238,1
2,16.79,17.045,16.72,16.9,9264735,238,1
3,16.93,17.25,16.88,17.18,9497830,238,1
4,17.19,17.3,17.07,17.15,6796391,238,1
5,17.07,17.24,16.99,17.15,4800367,238,1
6,17.18,17.21,17.005,17.17,5786747,238,1
7,17.15,17.315,17.1,17.28,8103724,238,1
8,17.18,17.19,16.995,17.03,8663687,238,1
9,16.93,17.108,16.42,16.43,12796576,238,1
10,16.59,16.93,16.56,16.89,9272707,238,1
11,17.0,17.09,16.5,16.5,7442662,238,1
12,16.57,16.79,16.52,16.59,8600336,238,1
13,16.54,16.84,16.47,16.7,6473119,238,1
14,16.7,16.86,16.65,16.67,11752084,238,1
15,16.62,16.76,16.46,16.61,9190560,238,1
16,16.6,16.71,16.5,16.62,12893728,238,1
17,16.73,16.74,16.55,16.61,13392346,238,1
18,16.72,16.75,16.48,16.5,6228245,238,1
19,16.49,16.61,16.46,16.54,7101298,238,1
20,16.63,16.97,16.54,16.93,10671315,238,1
21,16.91,17.28,16.84,17.27,11153188,238,1
22,17.24,17.34,17.17,17.21,9569336,238,1
23,17.18,17.38,17.14,17.32,7043348,238,1
24,17.32,17.54,17.32,17.52,4630461,238,1
25,17.49,17.74,17.48,17.73,9337954,238,1
26,17.45,17.545,17.27,17.34,10266281,238,1
27,17.34,17.41,16.93,17.01,6414559,238,1
28,17.13,17.24,16.93,17.03,7913308,238,1
29,16.94,17.05,16.76,16.76,6212942,238,1
30,16.82,17.035,16.77,17.0,6163439,238,1
31,17.01,17.06,16.9,16.99,5838594,238,1
32,16.94,17.22,16.87,17.15,6962593,238,1
33,17.04,17.3,16.95,17.29,4948085,238,1
34,17.34,17.5,17.3,17.49,5406958,238,1
35,17.48,17.52,17.205,17.42,5550101,238,1
36,17.5,17.52,17.18,17.25,7115388,238,1
37,17.3,17.4,17.12,17.18,7125621,238,1
38,17.25,17.61,17.18,17.59,6730611,238,1
39,17.3,17.48,17.15,17.45,4224865,238,1
40,17.45,17.695,17.29,17.67,4957939,238,1
41,17.8,17.85,17.47,17.59,5165946,238,1
42,17.63,17.8,17.6201,17.8,6062237,238,1
43,17.83,18.15,17.82,17.97,6996841,238,1
44,17.9,18.01,17.75,17.87,4660012,238,1
45,17.8,17.88,17.18,17.19,9119361,238,1
46,17.33,17.67,17.22,17.67,7447921,238,1
47,17.48,17.53,17.17,17.31,6290050,238,1
48,17.31,17.42,17.08,17.17,4511217,238,1
49,17.25,17.585,17.18,17.57,7709620,238,1
50,17.56,17.75,17.445,17.67,5703304,238,1
51,17.79,18.06,17.74,18.01,6200199,238,1
52,18.03,18.09,17.795,17.84,4870265,238,1
53,17.94,18.05,17.72,17.88,3760222,238,1
54,17.91,17.935,17.73,17.73,2811206,238,1
55,17.78,17.92,17.6,17.85,3313784,238,1
56,17.88,18.27,17.87,18.27,7623246,238,1
57,18.25,18.34,18.14,18.23,8519316,238,1
58,18.25,18.45,18.14,18.41,10107474,238,1
59,18.7,18.79,18.235,18.35,10912054,238,1
60,18.39,18.52,18.31,18.44,5777395,238,1
61,18.41,18.61,18.38,18.57,6062267,238,1
62,18.54,18.73,18.38,18.45,6145683,238,1
63,18.48,18.5191,18.23,18.35,6241923,238,1
64,18.39,18.57,18.31,18.57,6028151,238,1
65,18.46,18.52,18.34,18.48,5407226,238,1
66,18.4,18.51,18.3,18.48,7259844,238,1
67,18.47,18.705,18.4301,18.68,6330649,238,1
68,18.65,18.76,18.53,18.7,7592095,238,1
69,18.73,18.82,18.62,18.77,4843476,238,1
70,18.77,18.8,18.46,18.54,5789826,238,1
71,18.62,18.7,18.46,18.51,5689022,238,1
72,18.57,18.87,18.12,18.25,6330970,238,1
73,18.08,18.09,17.73,17.94,9587502,238,1
74,17.86,18.18,17.76,18.13,6753479,238,1
75,18.33,18.51,18.2,18.3,7139773,238,1
76,18.12,18.17,17.867,17.98,9150403,238,1
77,18.05,18.1,17.815,17.97,9651065,238,1
78,17.91,18.13,17.79,17.79,10017680,238,1
79,17.93,17.965,17.545,17.71,8783731,238,1
80,17.67,17.73,17.28,17.31,9109710,238,1
81,17.23,17.34,16.925,17.0,7253891,238,1
82,16.98,17.38,16.88,17.37,6240447,238,1
83,17.45,17.48,17.18,17.42,6458337,238,1
84,17.49,17.515,17.24,17.27,5528121,238,1
85,17.07,17.12,16.85,16.86,6599524,238,1
86,17.03,17.03,16.41,16.42,7519994,238,1
87,16.42,17.07,16.35,17.02,9182610,238,1
88,16.95,17.46,16.95,17.22,10122263,238,1
89,17.33,17.51,17.09,17.17,5887977,238,1
90,17.21,17.42,17.16,17.22,5498141,238,1
91,17.26,17.33,16.62,16.63,7605493,238,1
92,16.5,16.52,15.905,16.02,12764117,238,1
93,16.14,16.3,15.94,16.18,12396585,238,1
94,15.94,16.399,15.6,16.06,11120203,238,1
95,16.19,16.58,16.19,16.5,9165447,238,1
96,16.63,16.7,16.44,16.49,7976223,238,1
97,16.61,16.88,16.53,16.87,5751347,238,1
98,16.84,17.05,16.67,16.87,7022819,238,1
99,17.05,17.105,16.88,16.92,5576141,238,1
100,16.92,17.27,16.92,17.13,6380522,238,1
101,16.94,17.08,16.875,16.99,3432141,238,1
102,17.09,17.55,17.03,17.55,8037552,238,1
103,17.57,17.72,17.55,17.58,6049403,238,1
104,17.68,17.86,17.55,17.77,5548745,238,1
105,17.7,17.89,17.61,17.79,4697217,238,1
106,18.02,18.18,17.84,18.14,6325688,238,1
107,18.16,18.18,17.93,17.99,4665345,238,1
108,18.02,18.105,17.91,18.04,4781761,238,1
109,18.05,18.17,17.97,18.07,5796339,238,1
110,18.13,18.19,18.0,18.02,5136589,238,1
111,18.12,18.445,18.11,18.35,5180185,238,1
112,18.32,18.55,18.285,18.55,5418964,238,1
113,18.53,18.73,18.43,18.68,4541185,238,1
114,18.7,18.72,18.35,18.35,6485882,238,1
115,18.37,18.41,17.88,18.04,6705594,238,1
116,17.99,18.38,17.97,18.3,4344066,238,1
117,18.22,18.24,17.96,18.12,6168486,238,1
118,18.07,18.16,17.89,17.96,3529694,238,1
119,18.1,18.3,17.92,18.02,6665322,238,1
120,18.05,18.18,17.79,17.86,12209282,238,1
121,17.97,18.17,17.79,18.16,10585181,238,1
122,17.76,18.725,17.53,18.5,10697372,238,1
123,18.48,18.53,18.03,18.07,5195322,238,1
124,17.96,18.13,17.71,17.73,5132361,238,1
125,17.7,17.77,17.59,17.67,5407228,238,1
126,17.79,17.82,17.52,17.73,5332622,238,1
127,17.71,17.87,17.67,17.7,6996042,238,1
128,17.63,17.775,17.53,17.71,4632450,238,1
129,17.71,17.71,17.45,17.49,5659785,238,1
130,17.43,17.58,17.37,17.39,7110663,238,1
131,17.19,17.22,16.88,17.01,9964736,238,1
132,16.89,17.01,16.52,16.52,9836109,238,1
133,16.55,16.7,16.4,16.41,10210175,238,1
134,16.47,17.02,16.44,16.93,8991669,238,1
135,16.86,17.13,16.64,16.91,7476638,238,1
136,16.92,17.25,16.81,17.25,5699030,238,1
137,17.31,17.43,17.15,17.42,5450532,238,1
138,17.43,17.51,17.32,17.32,4812532,238,1
139,17.1,17.22,17.01,17.07,7824727,238,1
140,17.05,17.205,16.95,17.13,6159093,238,1
141,17.1,17.26,16.99,17.24,4255683,238,1
142,17.27,17.34,16.94,17.03,6664858,238,1
143,17.23,17.34,16.89,17.04,5091189,238,1
144,17.06,17.42,17.01,17.34,4704285,238,1
145,17.34,17.39,17.09,17.1,3906153,238,1
146,17.28,17.52,17.16,17.29,5900811,238,1
147,17.34,17.8,17.31,17.8,5331895,238,1
148,17.91,18.04,17.86,18.03,7196352,238,1
149,17.99,18.25,17.91,18.23,5812338,238,1
150,18.43,18.43,17.99,18.03,5221833,238,1
151,17.99,18.09,17.9,18.06,3096557,238,1
152,18.45,18.57,18.08,18.12,4928286,238,1
153,18.12,18.35,18.11,18.3,7496076,238,1
154,18.34,18.9,18.175,18.7,10379508,238,1
155,18.79,19.03,18.63,18.631,7292069,238,1
156,18.69,18.69,18.19,18.22,12161736,238,1
157,18.19,18.25,18.03,18.07,5285700,238,1
158,18.02,18.115,17.89,17.92,5852921,238,1
159,17.94,18.06,17.86,18.0,4689636,238,1
160,17.95,17.99,17.83,17.99,3046193,238,1
161,17.93,17.99,17.66,17.82,5119542,238,1
162,17.63,17.89,17.6,17.67,6001998,238,1
163,17.64,18.12,17.63,17.9,6343065,238,1
164,17.82,18.16,17.82,18.11,5441361,238,1
165,18.02,18.11,17.57,17.65,7276858,238,1
166,17.59,17.89,17.59,17.78,4684463,238,1
167,17.56,17.715,17.44,17.59,4761060,238,1
168,17.61,17.68,17.3,17.31,4686256,238,1
169,17.33,17.42,16.99,17.09,9029825,238,1
170,17.36,17.63,17.31,17.62,5855222,238,1
171,17.55,17.98,17.54,17.91,4177027,238,1
172,17.78,17.97,17.62,17.93,5628148,238,1
173,17.85,17.99,17.615,17.66,6548497,238,1
174,17.85,18.115,17.78,18.09,5673022,238,1
175,18.01,18.51,17.91,18.46,6233650,238,1
176,18.58,18.75,18.47,18.58,6623275,238,1
177,18.55,18.65,18.52,18.64,4704715,238,1
178,18.64,18.76,18.42,18.55,12742481,238,1
179,18.49,18.52,18.305,18.355,5348588,238,1
180,18.46,18.75,18.375,18.66,6585332,238,1
181,18.67,18.835,18.54,18.78,5959443,238,1
182,18.66,18.66,18.36,18.62,5676777,238,1
183,18.64,18.64,18.4,18.63,4087624,238,1
184,18.62,18.705,18.37,18.52,7038582,238,1
185,18.54,18.7,18.35,18.55,9717178,238,1
186,18.64,18.85,18.52,18.81,5675276,238,1
187,18.83,19.14,18.73,19.06,7052861,238,1
188,18.02,19.1,17.96,18.86,11094441,238,1
189,19.26,19.26,18.79,18.91,6011286,238,1
190,18.9,18.92,18.45,18.48,7008791,238,1
191,18.43,18.6,18.12,18.6,6317176,238,1
192,18.47,18.62,18.42,18.53,3948471,238,1
193,18.5,18.58,18.29,18.45,3698157,238,1
194,18.38,18.74,18.26,18.71,4666656,238,1
