id_date,open,high,low,close,volume,id_stock,id_index
1,80.11,80.3,79.92,80.21,722127,239,1
2,80.21,80.65,80.03,80.38,542230,239,1
3,80.45,80.89,80.21,80.77,988687,239,1
4,80.77,81.37,80.72,81.35,1002846,239,1
5,81.53,81.81,80.83,80.89,1215409,239,1
6,81.08,81.24,80.7,80.93,1458292,239,1
7,81.0,81.79,80.2665,81.73,1235772,239,1
8,81.57,81.71,80.82,80.85,1325069,239,1
9,79.96,80.82,79.14,80.3,1764274,239,1
10,80.3,81.24,79.86,81.23,831048,239,1
11,81.23,81.83,80.6,80.61,1642801,239,1
12,80.68,81.71,80.35,81.62,1243840,239,1
13,81.54,82.69,81.22,82.6,1809437,239,1
14,82.56,83.67,82.56,83.34,1947593,239,1
15,83.0,83.55,82.57,83.45,1278402,239,1
16,83.56,84.77,83.36,84.58,1460520,239,1
17,84.86,85.5,84.69,85.2,942245,239,1
18,85.22,85.43,84.35,84.48,693611,239,1
19,84.64,85.062,84.46,84.52,739285,239,1
20,84.93,84.93,83.93,84.32,981478,239,1
21,84.5,84.77,84.06,84.22,781571,239,1
22,84.22,84.48,84.0,84.29,923613,239,1
23,84.52,84.55,84.14,84.36,922611,239,1
24,84.48,84.61,84.3,84.5,577839,239,1
25,83.87,84.5,83.82,83.9,1778478,239,1
26,83.44,84.35,83.3201,84.22,844709,239,1
27,84.41,85.77,84.4,85.45,1167926,239,1
28,85.71,86.01,85.55,85.92,946730,239,1
29,85.5,86.3,85.195,85.23,667333,239,1
30,85.51,85.94,85.3,85.91,796821,239,1
31,86.1,86.31,85.12,85.49,760780,239,1
32,85.56,86.94,85.55,86.94,858673,239,1
33,86.5,86.96,86.32,86.9,721177,239,1
34,87.0,87.62,86.611,87.53,926385,239,1
35,87.35,87.49,86.77,87.03,568053,239,1
36,87.08,87.32,86.0,86.43,1370744,239,1
37,86.33,86.48,85.71,85.85,1674791,239,1
38,86.1,86.41,85.55,85.78,864985,239,1
39,85.41,85.73,85.24,85.44,1076894,239,1
40,85.4,85.62,84.84,85.25,772296,239,1
41,85.35,86.03,85.12,85.7,936681,239,1
42,85.82,86.78,85.76,86.75,732498,239,1
43,86.76,87.11,86.39,86.61,801268,239,1
44,86.5,86.73,86.2243,86.52,745238,239,1
45,86.47,87.03,86.2101,86.41,1324929,239,1
46,86.96,89.22,86.5,89.18,1450223,239,1
47,88.89,89.18,88.5192,88.95,1058764,239,1
48,89.04,89.76,88.76,89.47,1038099,239,1
49,89.55,90.7,89.55,90.38,1047963,239,1
50,90.35,90.49,89.64,90.34,1392654,239,1
51,90.58,91.42,90.35,91.25,1090254,239,1
52,91.35,91.988,89.27,89.34,1817016,239,1
53,89.8,91.425,88.54,88.89,1854436,239,1
54,88.52,88.52,87.11,87.57,1916160,239,1
55,87.59,88.195,87.33,88.12,1546523,239,1
56,88.13,89.17,87.93,89.16,1373260,239,1
57,88.92,89.22,87.84,88.0,1436548,239,1
58,87.94,89.5,87.92,89.28,1051494,239,1
59,89.68,89.74,89.02,89.56,762496,239,1
60,89.45,89.45,88.45,88.66,428511,239,1
61,88.75,89.336,88.74,89.26,597907,239,1
62,89.09,89.4,88.36,88.92,768281,239,1
63,88.97,89.24,87.63,87.75,838229,239,1
64,87.81,87.99,87.32,87.9,649350,239,1
65,88.0,88.72,87.83,88.61,799358,239,1
66,88.61,89.9,88.61,89.83,766039,239,1
67,89.73,90.36,89.29,90.32,759762,239,1
68,90.04,90.58,89.67,89.94,1116258,239,1
69,89.96,90.1,89.25,90.1,1211223,239,1
70,90.14,90.32,88.68,88.8,1046710,239,1
71,88.76,89.15,88.19,88.45,1097857,239,1
72,88.22,89.85,88.1,89.17,946584,239,1
73,88.67,89.64,88.21,89.23,956249,239,1
74,88.99,89.25,88.22,89.25,1049762,239,1
75,89.82,90.47,89.31,90.12,1205771,239,1
76,89.73,90.49,88.62,89.58,2859286,239,1
77,89.51,91.3,89.36,90.45,2156975,239,1
78,89.96,90.27,87.4,89.11,2624615,239,1
79,89.01,89.03,87.75,88.45,1962682,239,1
80,88.47,89.1493,88.24,88.9,1325822,239,1
81,88.69,88.88,87.84,87.89,1343872,239,1
82,87.97,88.05,87.09,87.78,1277677,239,1
83,88.4,89.48,88.33,89.48,1137448,239,1
84,89.33,89.57,87.48,88.05,1805603,239,1
85,87.59,88.86,87.27,87.91,908232,239,1
86,88.4,88.44,87.67,87.67,774224,239,1
87,87.54,87.95,86.86,87.89,981015,239,1
88,87.99,89.36,87.5,89.15,903079,239,1
89,89.69,90.12,89.25,89.72,718156,239,1
90,89.73,89.93,89.38,89.61,661116,239,1
91,89.38,90.049,88.08,88.08,855939,239,1
92,87.41,87.82,85.14,85.28,1509148,239,1
93,85.51,86.66,85.21,86.66,2964681,239,1
94,86.06,87.1,85.55,86.33,978926,239,1
95,86.94,86.96,86.02,86.4,891042,239,1
96,86.81,88.31,86.81,87.97,827994,239,1
97,88.42,89.12,88.23,88.8,981951,239,1
98,88.62,89.79,88.4,89.28,1450182,239,1
99,89.42,90.4,89.34,90.0,878003,239,1
100,89.71,90.33,89.412,89.81,892512,239,1
101,89.5,90.06,89.16,89.17,624400,239,1
102,89.61,90.07,88.75,90.02,829963,239,1
103,90.23,91.0377,90.16,90.58,935829,239,1
104,91.0,91.379,90.45,90.81,829243,239,1
105,90.63,91.05,90.26,90.71,1089976,239,1
106,91.53,92.06,91.13,91.93,1305771,239,1
107,91.99,92.0,91.07,91.69,1036472,239,1
108,91.82,92.25,91.67,92.12,1321726,239,1
109,91.92,92.67,91.61,91.92,962111,239,1
110,92.21,92.57,91.26,91.46,844459,239,1
111,91.56,92.43,91.45,92.25,599072,239,1
112,92.33,92.69,91.68,92.67,773234,239,1
113,92.74,92.98,92.325,92.81,499876,239,1
114,93.03,93.81,92.93,93.59,1023695,239,1
115,93.72,93.86,92.79,92.87,737292,239,1
116,93.0,94.0,92.12,93.9,884370,239,1
117,93.45,94.53,93.09,94.46,563233,239,1
118,94.51,95.24,94.47,94.97,654321,239,1
119,95.0,95.422,94.28,94.49,561375,239,1
120,94.79,94.93,94.27,94.87,910771,239,1
121,95.48,97.0,95.37,96.95,1491601,239,1
122,97.05,97.23,96.121,97.23,1093883,239,1
123,97.01,97.59,96.51,97.43,877010,239,1
124,97.4,97.94,97.1,97.69,710578,239,1
125,97.48,97.61,96.8606,96.99,649466,239,1
126,97.09,97.64,96.69,97.4,585848,239,1
127,97.4,98.0,97.16,97.55,738094,239,1
128,97.0,97.075,96.32,96.87,486081,239,1
129,97.07,97.55,96.66,97.33,432529,239,1
130,97.48,97.48,96.07,96.09,638989,239,1
131,95.36,95.99,95.22,95.41,728902,239,1
132,95.11,95.76,94.54,95.17,727109,239,1
133,95.23,95.34,94.49,94.58,773921,239,1
134,94.64,95.69,94.61,95.25,593578,239,1
135,94.72,94.9399,93.468,93.68,526609,239,1
136,93.8,94.29,93.26,93.94,651115,239,1
137,94.15,95.64,93.86,95.47,786729,239,1
138,95.52,95.53,93.36,93.36,731917,239,1
139,92.81,93.06,92.13,92.15,594319,239,1
140,91.93,92.11,91.0,91.08,1038542,239,1
141,90.78,91.86,90.24,91.43,973651,239,1
142,91.61,92.139,91.09,91.95,644839,239,1
143,92.78,92.94,90.65,91.04,579775,239,1
144,91.01,91.1,90.26,90.99,915118,239,1
145,90.84,91.11,90.01,90.19,881903,239,1
146,90.3,91.235,89.28,90.74,939562,239,1
147,90.41,91.23,90.32,91.2,817785,239,1
148,91.49,91.97,91.2,91.49,724331,239,1
149,91.51,91.73,90.79,91.62,708884,239,1
150,91.61,91.8897,91.11,91.21,644228,239,1
151,91.63,91.9799,91.39,91.58,549668,239,1
152,92.63,93.09,92.27,92.71,628622,239,1
153,92.84,93.8,92.756,93.58,653253,239,1
154,93.49,94.24,92.58,94.22,546133,239,1
155,94.25,94.32,92.94,93.79,606281,239,1
156,93.78,93.95,93.42,93.6,756480,239,1
157,93.32,93.45,92.3085,93.16,599819,239,1
158,93.11,93.58,92.57,92.83,651110,239,1
159,93.0,93.09,92.12,92.18,645134,239,1
160,92.41,93.13,92.23,93.11,632535,239,1
161,92.67,93.12,92.27,93.0,527213,239,1
162,92.6,92.8,92.05,92.5,582033,239,1
163,92.27,92.7,91.85,92.58,438914,239,1
164,92.59,92.59,91.04,92.02,634333,239,1
165,91.69,91.94,90.7,91.04,573413,239,1
166,90.9,91.91,90.55,91.77,602703,239,1
167,91.49,91.96,91.115,91.57,496970,239,1
168,91.58,93.27,91.3101,92.02,850713,239,1
169,92.09,92.39,91.305,91.65,476912,239,1
170,92.3,93.77,92.23,93.76,717045,239,1
171,93.46,93.96,93.13,93.95,359828,239,1
172,93.48,93.66,92.84,93.52,374361,239,1
173,93.25,93.75,92.91,93.23,570132,239,1
174,93.57,94.77,93.47,94.77,765161,239,1
175,94.56,95.53,94.42,95.23,604366,239,1
176,95.1,96.07,94.135,96.03,998530,239,1
177,96.1,96.32,94.83,95.51,731301,239,1
178,95.59,97.43,95.51,97.02,825490,239,1
179,96.85,97.5499,96.4401,96.85,771134,239,1
180,96.5,96.64,94.58,96.41,1107411,239,1
181,96.72,97.21,96.02,97.11,544184,239,1
182,97.0,100.26,96.87,100.14,1577346,239,1
183,100.09,101.0,99.77,100.9,694958,239,1
184,101.06,101.37,99.6943,99.94,660483,239,1
185,100.0,100.24,98.93,99.24,569411,239,1
186,99.35,99.99,98.63,99.21,573146,239,1
187,99.37,99.88,98.41,98.85,529781,239,1
188,98.75,99.97,98.52,99.51,721430,239,1
189,99.65,99.99,99.2,99.43,583195,239,1
190,99.32,99.52,96.59,96.7,1056473,239,1
191,96.67,97.58,96.2307,97.55,604667,239,1
192,97.55,97.82,96.625,96.81,466044,239,1
193,96.35,96.94,96.04,96.88,521274,239,1
194,96.215,97.83,96.13,97.82,590464,239,1
195,97.9,98.68,97.53,98.65,448343,239,1
196,98.82,98.96,97.71,98.56,553603,239,1
197,98.63,98.85,97.15,97.5,620914,239,1
198,97.16,97.18,96.4,96.43,866707,239,1
199,96.38,96.7525,94.91,94.97,1342932,239,1
200,94.55,96.101,94.5101,95.76,668713,239,1
201,95.91,96.3,95.045,96.29,771091,239,1
202,96.5,96.92,95.91,95.99,395748,239,1
203,96.34,97.27,95.86,96.92,967280,239,1
204,97.0,97.845,96.56,97.72,686847,239,1
205,97.67,98.16,96.57,96.89,323657,239,1
206,96.74,97.06,96.08,96.49,524779,239,1
207,96.29,97.29,96.29,97.05,636263,239,1
208,96.58,96.89,95.89,96.74,475814,239,1
209,96.56,96.74,95.69,95.79,706792,239,1
210,96.6,97.27,96.42,97.16,816314,239,1
211,97.15,97.85,96.5701,96.97,453143,239,1
212,96.73,96.73,95.47,95.56,553166,239,1
213,95.81,96.36,95.38,95.77,965343,239,1
214,95.43,95.85,94.83,94.96,525277,239,1
