id_date,open,high,low,close,volume,id_stock,id_index
1,20.9,21.09,20.88,21.0,28148314,248,1
2,21.0,21.06,20.92,21.03,18896125,248,1
3,21.03,21.25,20.99,21.19,28388112,248,1
4,21.22,21.3,21.145,21.25,21266821,248,1
5,21.13,21.28,21.06,21.23,35261070,248,1
6,21.23,21.3,20.99,21.115,33808773,248,1
7,21.18,21.21,21.06,21.085,31066997,248,1
8,21.09,21.1,20.7,20.73,46100459,248,1
9,20.7538,20.76,20.12,20.25,60723921,248,1
10,20.32,20.49,20.1,20.42,34532423,248,1
11,20.57,20.65,20.23,20.23,41504942,248,1
12,20.49,20.85,20.41,20.58,67246762,248,1
13,20.6,21.04,20.51,20.93,46964079,248,1
14,20.91,21.08,20.82,20.88,34806781,248,1
15,20.79,21.19,20.66,21.03,45684979,248,1
16,21.16,21.29,20.96,21.27,47549841,248,1
17,21.34,21.59,21.3,21.51,38795346,248,1
18,21.53,21.785,21.51,21.75,37187909,248,1
19,21.8,21.99,21.75,21.89,42359396,248,1
20,21.95,22.04,21.465,21.58,44988414,248,1
21,21.53,21.74,21.28,21.69,42148175,248,1
22,21.66,21.73,21.45,21.64,28616448,248,1
23,21.56,21.7,21.455,21.655,24604320,248,1
24,21.74,21.85,21.51,21.65,28832398,248,1
25,21.61,21.7,21.27,21.375,52949414,248,1
26,21.24,21.49,21.19,21.26,35177415,248,1
27,21.26,21.36,21.01,21.14,42545694,248,1
28,21.31,21.36,21.11,21.18,29864601,248,1
29,21.01,21.14,20.9,21.04,32606512,248,1
30,21.15,21.34,21.08,21.33,30657529,248,1
31,21.39,21.42,21.08,21.15,32738227,248,1
32,21.28,21.77,21.25,21.765,39547126,248,1
33,21.62,21.975,21.51,21.83,45449351,248,1
34,21.85,21.91,21.595,21.835,33336697,248,1
35,21.67,21.7,21.32,21.43,33716016,248,1
36,21.52,21.58,21.32,21.455,28164903,248,1
37,21.45,21.5,21.01,21.05,36593859,248,1
38,21.05,21.19,20.96,21.135,28699711,248,1
39,20.94,20.97,20.75,20.94,36721376,248,1
40,20.89,21.09,20.8,21.09,34210830,248,1
41,21.11,21.89,21.06,21.75,61518581,248,1
42,21.72,22.42,21.71,22.26,67056312,248,1
43,21.73,21.91,21.49,21.825,59295029,248,1
44,21.735,21.8,21.47,21.675,34026380,248,1
45,21.5,21.71,21.36,21.38,38447321,248,1
46,21.47,21.93,21.42,21.915,64561830,248,1
47,21.79,22.14,21.57,21.93,79458643,248,1
48,22.05,22.4,21.9,22.24,76236168,248,1
49,22.27,22.45,22.21,22.44,49100737,248,1
50,22.48,22.94,22.35,22.88,52815615,248,1
51,22.98,23.45,22.93,23.375,62417886,248,1
52,23.28,23.79,23.245,23.66,54281593,248,1
53,23.65,23.87,23.32,23.38,109177850,248,1
54,23.31,23.56,23.14,23.4,101376284,248,1
55,23.44,23.83,23.4,23.76,102138099,248,1
56,23.72,24.0,23.64,23.95,41468253,248,1
57,23.82,24.17,23.81,23.99,38349301,248,1
58,23.73,24.15,23.67,24.11,33484554,248,1
59,24.22,24.22,23.95,23.96,30085851,248,1
60,24.17,24.21,23.85,23.91,30985116,248,1
61,23.97,24.25,23.94,24.15,38431878,248,1
62,24.04,24.29,23.9601,24.25,24899538,248,1
63,24.1963,24.57,24.1,24.36,31333619,248,1
64,24.42,24.54,24.35,24.5,22554217,248,1
65,24.41,24.49,24.03,24.08,28522593,248,1
66,24.08,24.17,23.78,23.84,36629974,248,1
67,23.89,24.2,23.81,24.2,33568625,248,1
68,24.06,24.4,23.93,23.94,29809872,248,1
69,24.12,24.22,23.9,24.04,36277200,248,1
70,24.08,24.25,24.0,24.08,31324382,248,1
71,24.1,24.25,24.0,24.15,37905962,248,1
72,24.13,24.53,23.94,24.07,49685120,248,1
73,23.88,24.12,23.84,24.05,38132895,248,1
74,23.92,24.04,23.58,23.923,30861698,248,1
75,24.16,24.4,24.0,24.08,31153306,248,1
76,23.96,24.38,23.89,24.27,31651258,248,1
77,24.28,24.5,24.21,24.21,26294174,248,1
78,24.23,24.71,24.13,24.28,47790089,248,1
79,24.88,25.45,24.83,25.24,76460877,248,1
80,25.555,25.98,25.35,25.36,68513645,248,1
81,25.11,25.28,24.65,24.7,53335105,248,1
82,24.75,24.94,24.27,24.65,39920397,248,1
83,24.4,24.7,24.215,24.59,35539384,248,1
84,24.71,25.09,24.64,25.01,29780471,248,1
85,24.83,25.08,24.63,24.71,27076499,248,1
86,24.96,25.0,24.41,24.46,24532758,248,1
87,24.46,25.01,24.4,24.99,27706901,248,1
88,25.02,25.14,24.84,24.92,24738092,248,1
89,25.11,25.35,24.91,25.1,42638129,248,1
90,25.07,25.65,25.07,25.465,36673927,248,1
91,25.49,25.68,25.0,25.0,28839289,248,1
92,24.73,24.75,24.1,24.185,63565675,248,1
93,24.31,24.35,24.09,24.195,67749751,248,1
94,24.08,24.22,23.41,23.58,49144058,248,1
95,23.83,23.94,23.57,23.88,34570602,248,1
96,24.2,24.235,23.89,24.005,33644882,248,1
97,24.1,24.35,24.01,24.05,25562319,248,1
98,23.93,24.41,23.73,24.23,80413420,248,1
99,24.35,24.42,23.84,23.886,29698026,248,1
100,23.87,24.04,23.54,23.72,28286868,248,1
101,23.7,23.9,23.45,23.762,18167164,248,1
102,23.95,24.08,23.675,24.06,17829717,248,1
103,23.86,23.91,23.03,23.185,68825141,248,1
104,23.3,23.42,23.11,23.135,34736774,248,1
105,23.14,23.297,22.64,23.25,50073428,248,1
106,23.56,24.0,23.47,23.99,41313257,248,1
107,23.95,24.0,23.65,23.9,34561807,248,1
108,23.84,23.97,23.76,23.94,25649670,248,1
109,24.0,24.3,23.9,24.25,34490811,248,1
110,24.3,24.43,24.04,24.15,43861677,248,1
111,23.47,23.61,23.16,23.244,77835469,248,1
112,23.11,23.15,22.81,23.04,45866091,248,1
113,23.07,23.12,22.73,22.77,35879281,248,1
114,22.85,22.99,22.64,22.75,28519385,248,1
115,22.93,23.0,22.63,22.93,33407452,248,1
116,22.85,23.06,22.82,23.06,114558051,248,1
117,22.94,23.26,22.9,23.26,110474461,248,1
118,23.17,23.3,23.07,23.24,85543065,248,1
119,23.3,23.5,23.28,23.38,28855218,248,1
120,23.37,23.46,23.26,23.335,27679206,248,1
121,23.41,23.49,23.02,23.2,37825709,248,1
122,23.18,23.22,23.0,23.22,36132301,248,1
123,23.0,23.02,22.85,22.924,20869673,248,1
124,22.88,22.93,22.71,22.8,28843306,248,1
125,22.71,22.787,22.55,22.7,23345124,248,1
126,22.75,22.78,22.41,22.45,34792959,248,1
127,22.41,22.55,22.31,22.51,25145374,248,1
128,22.48,22.7,22.45,22.64,23520749,248,1
129,22.69,22.7,22.39,22.52,26099220,248,1
130,22.4,22.74,22.35,22.57,23189124,248,1
131,22.28,22.41,21.97,22.03,40445613,248,1
132,22.06,22.19,21.89,21.915,30081415,248,1
133,22.08,22.7,22.05,22.28,43413379,248,1
134,22.31,22.68,22.3,22.523,32081401,248,1
135,22.54,22.58,22.06,22.17,32392863,248,1
136,22.26,22.39,22.17,22.26,17324636,248,1
137,22.34,22.57,22.33,22.44,23084882,248,1
138,22.4,22.52,22.23,22.275,22198244,248,1
139,22.12,22.22,22.0,22.191,37635381,248,1
140,22.2,22.41,22.13,22.285,28090174,248,1
141,22.24,22.435,22.045,22.06,28307174,248,1
142,22.24,22.25,21.9,21.98,33876441,248,1
143,22.21,22.24,21.97,22.067,26427268,248,1
144,22.38,22.78,22.28,22.635,37941488,248,1
145,22.68,22.73,22.49,22.6,22551454,248,1
146,22.69,22.82,22.4,22.67,27607692,248,1
147,22.72,23.03,22.7,22.91,27757984,248,1
148,23.07,23.13,22.93,22.985,31706400,248,1
149,22.91,22.98,22.71,22.81,45816008,248,1
150,22.78,22.84,22.6,22.63,29517852,248,1
151,23.05,23.46,23.04,23.44,61121824,248,1
152,23.6301,23.71,23.35,23.39,30249154,248,1
153,23.69,23.89,23.67,23.74,37242065,248,1
154,23.85,23.92,23.56,23.9,31976960,248,1
155,23.96,24.085,23.84,23.915,28258162,248,1
156,23.94,23.96,23.5704,23.769,47044358,248,1
157,23.7,23.85,23.61,23.62,22437434,248,1
158,23.58,23.85,23.58,23.705,24113193,248,1
159,23.78,23.81,23.58,23.7,19830601,248,1
160,23.75,23.8,23.2,23.41,31995199,248,1
161,23.21,23.39,22.88,22.98,28924040,248,1
162,22.72,23.17,22.6,22.921,32472850,248,1
163,22.94,23.04,22.7,22.83,25882077,248,1
164,22.71,22.9,22.67,22.885,23206136,248,1
165,22.82,22.84,22.5,22.6,34884086,248,1
166,22.6,22.85,22.6,22.81,22550400,248,1
167,22.71,23.0,22.57,22.83,21321403,248,1
168,22.87,22.88,22.48,22.48,36171657,248,1
169,22.51,22.96,22.48,22.59,40414820,248,1
170,22.985,23.22,22.92,23.1,39189449,248,1
171,22.83,23.26,22.82,23.255,24550617,248,1
172,23.085,23.49,23.03,23.45,27176739,248,1
173,23.4,23.59,23.32,23.39,42957663,248,1
174,23.26,23.74,23.22,23.695,47723436,248,1
175,23.58,23.94,23.49,23.92,28694879,248,1
176,23.86,23.98,23.68,23.875,29579081,248,1
177,23.94,24.17,23.815,24.135,35297562,248,1
178,24.17,24.2,24.01,24.071,29010789,248,1
179,23.93,24.05,23.56,23.735,31651063,248,1
180,23.86,23.97,23.78,23.78,47590182,248,1
181,24.11,24.24,24.02,24.235,59634667,248,1
182,24.18,24.49,24.17,24.36,65581627,248,1
183,24.4,24.67,24.349,24.523,29961745,248,1
184,24.53,24.675,24.4,24.495,24096164,248,1
185,24.52,24.73,24.43,24.47,30902030,248,1
186,24.51,24.65,24.22,24.325,28305937,248,1
187,24.32,24.4,24.15,24.255,26639821,248,1
188,23.92,24.11,23.77,24.03,22849924,248,1
189,24.06,24.31,23.89,24.245,25525728,248,1
190,24.37,24.38,24.0,24.059,25631064,248,1
191,24.03,24.115,23.84,24.09,31502897,248,1
192,24.04,24.29,23.93,24.169,19236745,248,1
193,23.99,24.5,23.98,24.43,37816024,248,1
194,24.25,24.62,24.2,24.6,22990316,248,1
195,24.43,24.5,24.35,24.385,20198931,248,1
196,24.4,24.55,24.25,24.52,22866454,248,1
197,24.61,24.7,24.48,24.6,24712483,248,1
198,24.74,24.87,24.61,24.7,24870201,248,1
199,24.7,24.82,24.46,24.56,20288748,248,1
200,24.61,25.29,24.52,25.23,44050581,248,1
201,24.5,24.51,23.84,23.87,77908144,248,1
202,24.02,24.02,23.5,23.75,43394042,248,1
203,23.83,23.835,23.52,23.65,30602711,248,1
204,23.64,23.92,23.52,23.9,28419157,248,1
205,23.92,23.99,23.76,23.84,13802865,248,1
206,24.0,24.0,23.65,23.7,25686740,248,1
207,23.69,23.73,23.4,23.55,35072177,248,1
208,23.54,23.85,23.52,23.74,43501471,248,1
209,23.82,24.35,23.75,24.26,45404927,248,1
210,24.97,25.25,24.75,24.82,53874561,248,1
211,24.8401,25.08,24.68,24.93,29618358,248,1
212,24.89,24.97,24.66,24.82,18203665,248,1
213,24.74,24.88,24.4,24.42,24682422,248,1
214,24.72,24.89,24.42,24.47,21917817,248,1
215,24.205,24.49,24.155,24.29,20634285,248,1
216,24.33,24.71,24.33,24.45,25061185,248,1
217,24.42,24.77,24.38,24.655,28165241,248,1
218,24.71,25.2,24.53,25.15,42686950,248,1
219,25.12,25.24,24.89,25.14,31880650,248,1
220,25.11,25.35,25.04,25.055,55383979,248,1
221,25.27,25.43,25.18,25.32,28120814,248,1
222,25.38,25.62,25.35,25.43,12157877,248,1
223,25.43,25.7,25.43,25.7,16958540,248,1
224,25.75,25.8,25.48,25.6,12972781,248,1
225,25.67,25.85,25.6,25.85,19788908,248,1
226,25.81,26.04,25.77,25.955,22809682,248,1
227,25.78,25.82,25.47,25.79,31843697,248,1
228,25.86,25.9,25.6,25.78,27803865,248,1
229,25.77,25.79,25.45,25.46,31831801,248,1
230,25.54,25.73,25.465,25.585,19684835,248,1
231,25.64,25.71,25.3,25.43,29685075,248,1
232,25.42,25.55,25.25,25.31,20888496,248,1
233,25.5,25.85,25.5,25.53,30620993,248,1
234,25.63,25.99,25.42,25.5,40304830,248,1
235,26.0,26.55,25.9,26.51,74158157,248,1
236,26.72,27.1183,26.61,26.67,58315241,248,1
237,26.64,26.74,26.325,26.54,49521751,248,1
238,25.36,25.86,25.25,25.85,112538007,248,1
239,25.79,25.8,25.27,25.59,42325495,248,1
240,25.39,25.54,25.15,25.31,48797804,248,1
241,25.17,25.25,24.9,25.13,40281051,248,1
242,24.88,25.191,24.79,24.81,35200630,248,1
243,24.77,24.99,24.66,24.72,32582499,248,1
244,24.71,25.045,24.57,24.9,32485557,248,1
245,24.75,24.96,24.63,24.68,27180053,248,1
246,24.75,24.89,24.54,24.74,24624111,248,1
247,24.45,24.65,24.4,24.54,28858179,248,1
248,24.5,24.51,23.89,23.95,52928170,248,1
249,23.99,24.035,23.58,23.82,50888089,248,1
250,23.7,23.76,23.5,23.52,32484587,248,1
251,23.6,24.08,23.55,23.99,28049363,248,1
252,24.2,24.26,23.77,24.205,30885856,248,1
253,24.11,24.37,24.06,24.29,24571791,248,1
254,24.35,24.515,24.33,24.47,17947958,248,1
255,24.51,24.69,24.37,24.55,25925263,248,1
256,24.43,24.74,24.31,24.7,22940043,248,1
257,24.575,24.76,24.41,24.755,20592672,248,1
258,24.67,24.78,24.55,24.76,17749250,248,1
259,24.65,24.72,24.42,24.5,25743616,248,1
260,24.54,24.85,24.5,24.74,20230664,248,1
261,24.95,24.96,24.35,24.42,30617671,248,1
262,24.51,24.88,24.41,24.63,24173569,248,1
263,24.67,24.71,24.46,24.62,21613463,248,1
264,24.74,24.98,24.61,24.8,19820163,248,1
265,24.8,24.8,24.51,24.76,20866873,248,1
266,24.79,24.845,24.57,24.76,23483725,248,1
267,24.55,24.59,24.3,24.5,25727231,248,1
268,24.72,24.78,24.5,24.61,23714667,248,1
269,24.7,24.71,24.4,24.5,21071351,248,1
270,24.57,24.65,24.38,24.63,22416271,248,1
271,24.7,24.8501,24.57,24.64,25380925,248,1
272,24.6098,24.89,24.58,24.84,24945279,248,1
273,24.78,24.851,24.61,24.73,26695627,248,1
274,24.65,24.88,24.61,24.76,21259016,248,1
275,24.8,24.995,24.43,24.57,26243253,248,1
276,24.48,24.645,24.4,24.5,21807232,248,1
277,24.64,24.82,24.49,24.7,18525794,248,1
278,24.68,24.9,24.55,24.82,26344019,248,1
279,24.85,25.25,24.7748,25.02,34229423,248,1
280,25.0,25.59,24.94,25.425,37009068,248,1
281,25.61,25.68,25.16,25.17,56864569,248,1
282,25.21,25.38,24.92,25.12,36951569,248,1
283,25.19,25.67,25.17,25.46,32317416,248,1
284,25.59,25.74,25.32,25.3772,26442817,248,1
285,25.36,25.75,25.29,25.31,27209145,248,1
286,25.41,25.81,25.32,25.62,22884455,248,1
287,25.65,26.06,25.62,25.814,29336281,248,1
288,25.8,26.0,25.64,25.99,23779846,248,1
289,25.96,26.05,25.64,25.89,22374400,248,1
290,26.15,26.46,26.14,26.41,38581278,248,1
291,26.49,26.73,26.105,26.16,47918021,248,1
292,26.3,26.74,26.2,26.485,49813483,248,1
293,26.36,26.98,26.35,26.91,56699485,248,1
294,26.93,27.02,26.73,26.98,34481773,248,1
295,27.01,27.09,26.36,26.425,40478238,248,1
296,26.27,26.59,26.17,26.1799,36126904,248,1
297,26.31,26.65,26.14,26.56,26958006,248,1
298,26.51,26.83,26.36,26.77,45074434,248,1
299,26.98,27.24,26.595,26.93,59037351,248,1
300,26.88,27.155,26.79,27.04,38112609,248,1
301,27.05,27.05,26.73,26.95,20399688,248,1
302,26.91,26.98,26.66,26.84,29602313,248,1
303,26.8,26.97,26.72,26.75,25581417,248,1
304,26.81,26.96,26.64,26.75,25432837,248,1
305,26.65,26.72,26.185,26.26,33617211,248,1
306,26.17,26.39,26.01,26.33,33472820,248,1
307,26.36,26.655,26.35,26.48,22146001,248,1
308,26.32,26.7,26.22,26.69,25863926,248,1
309,26.51,26.67,26.39,26.45,19755249,248,1
310,26.56,26.64,26.4,26.41,24236459,248,1
311,26.16,26.26,25.99,26.17,20738950,248,1
312,26.16,26.38,26.0,26.2,21818282,248,1
313,26.26,26.45,26.22,26.37,24693262,248,1
314,26.32,26.53,26.22,26.34,24168530,248,1
315,26.37,26.41,26.22,26.3,20324413,248,1
316,26.41,26.54,26.3,26.37,20607769,248,1
317,26.49,26.54,26.33,26.45,20524972,248,1
318,26.49,26.52,26.33,26.33,17811913,248,1
319,26.33,26.5,26.01,26.01,31752745,248,1
320,26.05,26.07,25.74,25.82,30017576,248,1
321,25.75,26.09,25.75,26.04,22680849,248,1
322,26.02,26.17,25.875,26.04,22293213,248,1
323,26.1,26.25,26.0,26.2,18721592,248,1
324,26.21,26.27,26.08,26.15,15926522,248,1
325,26.15,26.3,26.14,26.289,17178021,248,1
326,26.33,26.74,26.18,26.71,27271940,248,1
327,26.7,26.94,26.66,26.88,27150171,248,1
328,26.91,26.962,26.7212,26.96,20640029,248,1
329,26.94,27.32,26.93,27.32,43641005,248,1
330,27.31,27.35,27.12,27.26,20265670,248,1
331,27.22,27.7,27.12,27.66,33257030,248,1
332,27.51,27.76,27.5,27.6,21612727,248,1
333,27.56,27.66,27.43,27.66,26546297,248,1
334,27.78,28.21,27.73,28.17,34795599,248,1
335,28.1,28.42,27.83,27.91,39934314,248,1
336,27.85,28.33,27.72,28.24,34260634,248,1
337,28.14,28.21,27.8,27.93,27749284,248,1
338,27.86,28.1,27.77,27.96,31211438,248,1
339,29.75,30.06,29.56,29.87,122194302,248,1
340,29.72,30.15,29.67,30.01,36407788,248,1
341,29.88,30.1,29.84,29.95,28441218,248,1
342,29.88,29.98,29.67,29.93,34412750,248,1
343,29.97,30.09,29.89,30.09,27166851,248,1
344,30.07,30.2,30.03,30.2,39829862,248,1
345,30.1,30.31,29.85,30.23,26529643,248,1
346,30.16,30.83,30.09,30.5,53398112,248,1
347,30.48,31.0,30.445,30.88,44294569,248,1
348,30.81,30.9,30.61,30.78,26728433,248,1
349,30.87,31.0,30.7,30.93,30776510,248,1
350,30.87,31.0,30.66,30.9,21562544,248,1
351,30.99,31.09,30.87,30.98,28240458,248,1
352,30.99,31.05,30.8,30.98,16831171,248,1
353,31.08,31.3599,31.02,31.14,20437633,248,1
354,31.09,31.2,30.92,31.03,22237033,248,1
355,31.0,31.08,30.7,30.79,37614506,248,1
356,30.84,30.98,30.69,30.89,28302427,248,1
357,30.6,31.33,30.44,31.26,32458765,248,1
358,31.26,31.45,31.04,31.25,20053217,248,1
359,31.41,31.575,31.34,31.49,24251533,248,1
360,31.58,31.8,31.16,31.71,61218169,248,1
361,33.31,34.74,33.21,34.65,135893228,248,1
362,34.2,34.36,33.63,33.7,70591117,248,1
363,33.8,33.84,33.39,33.7,46530079,248,1
364,33.55,34.23,33.54,34.06,32097230,248,1
365,34.16,34.83,34.07,34.7901,42920550,248,1
366,34.68,34.71,34.3,34.5,26078170,248,1
367,34.38,34.675,34.105,34.25,33180903,248,1
