id_date,open,high,low,close,volume,id_stock,id_index
1,34.63,34.7,33.88,34.25,1294887,254,1
2,34.17,34.3,33.88,34.03,787503,254,1
3,33.97,34.59,33.94,34.47,894230,254,1
4,34.58,34.64,34.49,34.51,619679,254,1
5,34.5,34.72,34.475,34.56,775024,254,1
6,34.61,34.76,34.41,34.71,1213288,254,1
7,34.72,34.99,34.54,34.96,1706648,254,1
8,34.99,35.14,34.63,34.67,1248024,254,1
9,34.52,34.57,33.99,34.43,2756160,254,1
10,34.58,34.8,34.45,34.53,1217056,254,1
11,34.71,34.85,34.06,34.06,1067000,254,1
12,34.2,34.67,34.105,34.59,1274493,254,1
13,34.61,35.16,34.5,34.98,1440600,254,1
14,33.97,34.74,33.36,34.5,2038260,254,1
15,34.37,34.72,34.25,34.63,1474700,254,1
16,34.58,34.67,34.23,34.61,1034761,254,1
17,34.79,35.15,34.6,35.15,1224270,254,1
18,35.25,35.35,34.7,34.81,1214458,254,1
19,34.85,35.02,34.62,34.72,641025,254,1
20,34.89,34.99,34.62,34.88,846297,254,1
21,34.84,35.82,34.797,35.78,1369956,254,1
22,35.7,36.47,35.63,36.38,1440811,254,1
23,36.4,36.44,36.04,36.4,969702,254,1
24,36.46,36.67,36.36,36.56,761160,254,1
25,36.4,36.51,35.99,36.38,1667983,254,1
26,36.08,36.51,35.964,36.41,834663,254,1
27,36.4,36.495,36.02,36.31,910775,254,1
28,36.41,36.65,36.17,36.28,745256,254,1
29,35.82,35.98,35.495,35.67,729837,254,1
30,35.79,35.96,35.42,35.55,635875,254,1
31,35.7,35.91,35.5,35.66,820819,254,1
32,35.8,36.0,35.49,35.69,1560252,254,1
33,35.45,35.76,35.34,35.65,541545,254,1
34,35.56,36.32,35.41,36.31,1394081,254,1
35,36.25,36.28,35.89,36.02,870967,254,1
36,36.1,36.55,36.1,36.27,1056750,254,1
37,36.27,36.4,35.695,36.1,918395,254,1
38,36.16,36.84,36.03,36.44,957082,254,1
39,36.1,36.165,35.63,36.13,631628,254,1
40,36.11,36.44,35.93,36.44,426648,254,1
