id_date,open,high,low,close,volume,id_stock,id_index
1,50.19,50.26,48.81,49.75,646791,256,1
2,49.74,50.08,49.3,49.49,456923,256,1
3,49.44,49.73,49.125,49.37,425593,256,1
4,48.72,49.27,48.43,48.9,553362,256,1
5,48.63,48.89,48.29,48.53,329502,256,1
6,48.71,48.93,48.34,48.91,237495,256,1
7,48.83,49.27,48.43,49.24,341851,256,1
8,49.21,49.59,48.86,48.86,295382,256,1
9,48.72,48.75,47.99,48.1,186469,256,1
10,48.19,48.62,48.08,48.61,252870,256,1
11,48.89,49.46,48.55,48.55,466581,256,1
12,48.65,49.17,48.42,48.9,251168,256,1
13,48.65,49.61,48.53,49.29,377905,256,1
14,49.29,49.815,49.14,49.76,514761,256,1
15,49.21,49.8899,48.96,49.83,569905,256,1
16,49.83,51.08,49.53,50.96,579272,256,1
17,51.04,51.81,51.04,51.81,422267,256,1
18,52.0,52.25,51.55,51.73,363778,256,1
19,51.71,51.88,50.95,51.12,179516,256,1
20,51.43,51.6,50.87,51.53,282431,256,1
21,51.38,51.78,51.34,51.74,276814,256,1
22,51.75,51.81,51.553,51.73,214809,256,1
23,51.68,52.13,51.53,52.12,273397,256,1
24,52.13,52.4,51.64,52.1,437134,256,1
25,51.93,52.43,51.9,52.09,750442,256,1
26,51.94,53.44,51.87,53.21,502723,256,1
27,53.45,53.49,52.3601,52.96,384520,256,1
28,53.14,53.95,53.1,53.68,417780,256,1
29,53.39,53.79,53.16,53.5,407461,256,1
30,53.76,53.78,53.29,53.56,255040,256,1
31,53.72,53.76,52.7,53.1,320826,256,1
32,53.37,53.77,53.06,53.24,228428,256,1
33,52.94,53.33,52.39,53.25,316186,256,1
34,53.12,54.52,53.12,54.41,292036,256,1
35,54.57,54.785,54.1,54.48,332540,256,1
36,54.75,54.95,54.4,54.63,395879,256,1
37,54.82,54.845,53.97,54.31,375989,256,1
38,54.25,54.25,53.38,53.81,279485,256,1
39,53.4,53.71,53.01,53.65,193863,256,1
40,53.8,54.44,53.78,54.43,196180,256,1
41,54.42,54.51,54.0,54.26,314191,256,1
42,54.95,57.61,54.78,57.37,1018183,256,1
43,57.53,57.53,57.16,57.39,471218,256,1
44,57.07,57.59,56.54,57.53,327301,256,1
45,57.34,57.34,55.56,55.6,378185,256,1
46,56.09,56.86,55.525,56.84,321400,256,1
47,56.49,56.62,56.02,56.36,493041,256,1
48,56.5,56.5,55.49,56.01,400298,256,1
49,56.21,56.41,55.63,56.33,366743,256,1
50,56.35,56.79,55.705,56.67,224465,256,1
51,56.95,57.31,56.16,57.12,729864,256,1
52,57.0,57.21,56.68,56.85,347930,256,1
53,57.12,57.4,56.92,57.06,313339,256,1
54,57.09,57.3,56.65,56.74,238698,256,1
55,57.02,57.06,56.64,57.0,513401,256,1
56,56.86,58.6,56.86,57.85,1283028,256,1
57,57.72,58.39,56.6775,56.8,586672,256,1
58,56.35,56.35,53.5,55.58,1581572,256,1
59,56.04,56.86,55.98,56.52,804516,256,1
60,56.4,56.55,56.04,56.33,353382,256,1
61,56.35,57.21,56.26,57.16,571533,256,1
62,57.14,57.69,56.77,57.69,666490,256,1
63,57.6,57.88,57.34,57.48,340437,256,1
64,57.47,57.94,57.43,57.83,364615,256,1
65,57.8,57.8799,56.8,57.07,305293,256,1
66,57.09,57.89,57.09,57.87,540224,256,1
67,58.0,58.6,57.905,58.51,656314,256,1
68,58.69,58.69,57.55,57.57,323289,256,1
69,57.57,57.81,57.26,57.81,337291,256,1
70,57.76,57.98,57.48,57.71,669138,256,1
71,57.79,58.28,57.672,58.19,411070,256,1
72,58.2,58.2,56.85,56.96,293406,256,1
73,56.28,56.73,56.19,56.73,323697,256,1
74,56.46,56.74,56.01,56.71,390215,256,1
75,57.19,57.57,56.9505,57.37,310271,256,1
76,57.01,57.38,56.33,57.08,219952,256,1
77,57.02,57.52,56.88,57.32,141527,256,1
78,57.14,57.57,56.6,56.61,229080,256,1
79,56.75,56.75,55.63,56.3,236139,256,1
80,56.41,56.94,56.09,56.09,301610,256,1
81,56.08,56.61,55.71,55.73,277707,256,1
82,55.85,57.24,55.57,57.24,449941,256,1
83,57.5,57.93,56.88,57.66,351507,256,1
84,57.66,57.68,56.92,57.12,326302,256,1
85,56.33,57.53,55.87,57.07,198722,256,1
86,57.26,57.26,56.42,56.62,221648,256,1
87,56.53,57.56,56.38,57.34,246600,256,1
88,57.33,57.6,56.98,57.02,224177,256,1
89,57.51,58.2,57.39,57.82,217805,256,1
90,58.01,59.09,57.96,58.74,389972,256,1
91,58.69,58.74,57.8,57.82,180137,256,1
92,56.88,57.54,56.37,56.41,178413,256,1
93,56.74,57.64,56.2324,57.47,591792,256,1
94,56.59,57.1,56.22,56.38,392651,256,1
95,56.75,56.926,55.53,56.41,323192,256,1
96,56.83,58.1,56.64,57.04,517289,256,1
97,57.38,58.8,57.37,58.17,373054,256,1
98,57.98,57.98,56.72,56.99,581902,256,1
99,57.12,58.3,57.12,57.7,702579,256,1
100,57.64,58.17,57.1,57.43,268705,256,1
101,57.21,58.21,57.15,58.03,121214,256,1
102,58.1,59.17,58.1,59.11,145843,256,1
103,59.54,60.19,59.42,59.94,262671,256,1
104,60.44,60.748,59.6,59.67,528647,256,1
105,59.54,60.42,59.54,60.18,166488,256,1
106,60.92,61.5,60.69,61.26,234460,256,1
107,61.39,61.89,60.81,61.21,105260,256,1
108,61.12,61.29,60.54,61.06,178786,256,1
109,61.12,61.12,59.41,60.17,326440,256,1
110,60.3,60.41,59.79,59.92,315071,256,1
111,60.19,60.72,59.31,60.06,418319,256,1
112,59.9,60.23,59.69,60.07,240228,256,1
113,60.13,60.64,60.0,60.55,184317,256,1
114,60.61,61.05,60.31,60.62,192930,256,1
115,60.75,60.93,60.1,60.8,291590,256,1
116,60.74,61.48,60.45,61.36,209840,256,1
117,61.01,61.34,60.19,60.37,219783,256,1
118,60.1,60.61,60.1,60.39,115727,256,1
119,60.71,61.05,60.37,60.47,234802,256,1
120,60.43,60.73,59.61,60.01,516849,256,1
121,60.65,63.0,60.43,62.08,797793,256,1
122,57.84,59.62,56.56,56.74,1579173,256,1
123,56.53,57.99,55.75,57.0,1450795,256,1
124,57.25,58.185,57.18,57.87,686907,256,1
125,57.79,58.65,56.71,56.95,1284450,256,1
126,57.15,58.01,57.15,57.86,326940,256,1
127,57.95,58.37,57.81,58.26,407830,256,1
128,57.85,59.3,57.82,59.28,376698,256,1
129,59.21,59.85,59.155,59.77,678382,256,1
130,59.57,59.95,59.5,59.59,553574,256,1
131,59.11,59.34,58.37,58.37,602615,256,1
132,58.25,58.85,58.07,58.42,321684,256,1
133,58.27,58.87,57.9501,58.08,346993,256,1
134,58.21,58.66,58.01,58.37,186488,256,1
135,58.02,58.36,57.56,57.57,324136,256,1
136,57.8,58.99,57.58,58.55,196345,256,1
137,58.58,58.98,57.79,58.51,395655,256,1
138,58.47,59.07,58.32,58.55,354467,256,1
139,57.85,58.45,57.59,57.74,265127,256,1
140,57.62,58.13,57.6,57.78,326819,256,1
141,57.51,58.7619,57.51,58.61,303312,256,1
142,58.54,58.54,57.88,57.97,511132,256,1
143,57.95,58.6,56.71,57.03,1147675,256,1
144,57.2,57.9,57.01,57.56,678161,256,1
145,57.42,58.0,57.42,57.51,447570,256,1
146,57.55,57.72,56.58,56.93,433242,256,1
147,57.13,57.96,57.12,57.7,532964,256,1
148,58.18,58.42,58.0194,58.29,531737,256,1
149,58.22,58.63,58.111,58.19,305915,256,1
150,58.11,58.33,57.84,57.9,208017,256,1
151,57.83,57.93,56.87,56.95,839648,256,1
152,57.325,57.54,56.55,56.78,1184109,256,1
153,56.91,57.0,56.57,56.89,1511483,256,1
154,56.97,57.99,56.66,57.81,1601620,256,1
155,58.06,58.8,57.95,58.68,519409,256,1
156,59.76,59.78,58.45,58.53,965213,256,1
157,58.33,59.43,58.25,59.26,804054,256,1
158,59.12,59.79,58.92,59.57,393879,256,1
159,59.5,59.94,59.24,59.24,276116,256,1
160,59.14,59.86,58.96,59.7,510736,256,1
161,59.29,60.13,59.13,59.98,382098,256,1
162,59.29,60.28,59.22,60.0,487034,256,1
163,59.96,60.87,59.42,59.78,819155,256,1
164,59.52,59.77,59.18,59.62,263366,256,1
165,59.31,59.42,58.26,59.36,602643,256,1
166,59.53,60.25,59.0,60.01,282584,256,1
167,59.53,60.07,59.33,59.51,349734,256,1
168,59.45,59.61,58.46,58.49,242247,256,1
169,58.56,58.56,57.38,57.68,431207,256,1
170,58.41,59.0,58.07,58.95,361947,256,1
171,58.96,59.36,58.68,59.07,234945,256,1
172,58.82,59.28,58.53,59.08,366624,256,1
173,59.05,59.62,58.19,58.47,308257,256,1
174,58.81,59.43,58.75,59.38,525241,256,1
175,59.32,60.165,58.94,60.09,291799,256,1
176,60.19,60.79,59.96,60.71,343437,256,1
177,60.85,61.22,60.6,61.18,276774,256,1
178,61.23,61.44,60.5701,61.09,229893,256,1
179,60.72,60.725,59.92,60.49,207349,256,1
180,60.56,60.75,60.25,60.61,158826,256,1
181,60.81,60.94,60.14,60.94,182779,256,1
182,60.92,61.12,60.53,61.1,462600,256,1
183,61.4,61.4,60.43,60.89,383212,256,1
184,60.96,60.96,60.005,60.11,223165,256,1
185,60.07,60.21,58.92,58.95,520435,256,1
186,59.19,59.78,59.07,59.19,410044,256,1
187,59.46,59.55,58.82,58.85,416329,256,1
188,58.72,58.83,58.41,58.45,367837,256,1
189,58.68,59.05,57.99,58.5,583881,256,1
190,58.57,59.51,57.19,57.82,748808,256,1
191,58.08,60.25,58.08,60.24,586928,256,1
192,60.0,60.84,60.0,60.78,375910,256,1
193,60.57,61.35,60.57,61.33,423603,256,1
194,61.06,62.3,60.97,62.27,290934,256,1
195,62.25,63.11,62.03,63.06,391993,256,1
196,63.05,63.51,63.05,63.49,382642,256,1
197,63.55,64.475,63.51,64.21,414440,256,1
198,64.17,64.64,63.85,64.57,424876,256,1
199,64.57,64.57,64.02,64.34,542644,256,1
200,63.94,64.74,63.85,64.45,332656,256,1
201,64.37,64.68,64.16,64.59,269587,256,1
202,64.68,64.68,64.36,64.55,162970,256,1
203,64.44,65.53,64.25,65.37,319520,256,1
204,65.44,65.74,65.19,65.6,200335,256,1
205,65.75,65.75,64.65,64.65,270111,256,1
206,64.59,65.68,64.43,65.43,309003,256,1
207,65.01,65.57,64.6808,65.43,234596,256,1
208,64.83,65.46,63.95,65.03,440401,256,1
209,65.88,65.88,64.86,65.72,374856,256,1
210,66.48,66.63,65.84,66.49,426694,256,1
211,66.84,66.84,65.75,66.18,327045,256,1
212,65.81,66.34,65.62,65.83,340099,256,1
213,66.84,66.84,65.3,65.4,425256,256,1
214,65.28,66.3,65.0803,66.21,373757,256,1
215,66.28,66.52,66.07,66.46,370316,256,1
216,68.21,68.21,66.58,67.08,320046,256,1
217,67.04,67.325,66.37,67.29,387956,256,1
218,67.2,68.0,66.99,67.85,552629,256,1
219,67.88,68.08,67.23,67.59,329022,256,1
220,67.62,68.84,67.32,68.74,911220,256,1
221,69.15,69.76,68.9,69.51,475084,256,1
222,69.4,70.38,68.74,70.3,219299,256,1
223,70.29,71.47,70.285,71.22,488423,256,1
224,70.9,71.49,70.23,70.23,365848,256,1
225,70.03,70.8,69.795,70.58,400339,256,1
226,70.68,71.22,70.68,71.05,300182,256,1
227,70.89,70.92,69.58,69.8,377433,256,1
228,69.94,70.564,69.65,69.74,347647,256,1
229,70.03,70.63,68.9,69.05,417590,256,1
230,69.27,69.54,68.81,69.05,429057,256,1
231,69.16,69.58,68.68,69.56,449670,256,1
232,69.87,70.04,69.55,70.03,232726,256,1
233,68.82,70.09,68.65,69.87,353258,256,1
234,69.61,69.96,68.275,68.49,409717,256,1
235,68.83,69.35,68.345,69.04,335316,256,1
236,69.13,69.53,69.13,69.28,386965,256,1
237,70.81,70.84,69.19,69.59,474284,256,1
238,69.35,69.9,69.04,69.34,348288,256,1
239,69.75,70.05,69.145,69.4,172312,256,1
240,69.68,70.335,68.92,69.72,313915,256,1
241,69.38,69.66,68.91,69.52,468571,256,1
242,69.27,69.856,68.01,68.19,306515,256,1
243,68.31,68.52,67.35,68.03,699925,256,1
244,68.07,69.06,68.07,69.03,284899,256,1
245,68.6,69.26,68.22,68.8,413888,256,1
246,69.32,70.49,68.756,70.32,286738,256,1
247,70.12,70.72,68.98,70.33,518016,256,1
248,70.16,70.65,65.63,65.71,839580,256,1
249,65.96,66.76,65.39,66.53,687655,256,1
250,66.53,67.032,65.87,66.57,514597,256,1
251,62.9,64.03,61.28,62.51,2447190,256,1
252,62.81,65.45,62.46,65.33,853292,256,1
