id_date,open,high,low,close,volume,id_stock,id_index
1,27.44,27.54,27.15,27.31,3318753,258,1
2,27.36,27.59,27.29,27.43,2707768,258,1
3,27.65,27.86,27.47,27.71,4691082,258,1
4,27.73,27.85,27.47,27.63,2120034,258,1
5,27.45,27.81,27.34,27.78,2606689,258,1
6,27.76,27.79,27.13,27.36,5588816,258,1
7,27.27,27.69,27.09,27.66,3643153,258,1
8,27.57,27.67,27.14,27.16,5226048,258,1
9,27.05,27.11,26.23,26.3,5723753,258,1
10,26.48,26.61,26.35,26.59,5053727,258,1
11,26.77,26.95,25.92,25.93,4947667,258,1
12,26.09,26.15,25.46,25.64,8729386,258,1
13,25.63,26.555,25.55,26.44,5617561,258,1
14,26.37,26.92,26.31,26.79,5530162,258,1
15,26.93,26.99,26.24,26.83,7572157,258,1
16,26.79,27.55,26.702,27.46,7209816,258,1
17,27.7,27.94,27.6,27.7,3958678,258,1
18,27.93,28.04,27.715,27.78,3153158,258,1
19,27.85,28.04,27.8,27.94,3134881,258,1
20,28.13,28.19,27.79,28.11,3040292,258,1
21,28.08,28.26,27.85,28.25,2715845,258,1
22,28.25,28.25,27.985,28.12,2957134,258,1
23,27.71,28.49,27.64,28.45,3274645,258,1
24,28.52,29.23,28.43,28.83,4620923,258,1
25,28.9,29.2,28.62,29.13,5255918,258,1
26,28.77,29.14,28.5,28.91,2932815,258,1
27,29.02,29.13,28.19,28.35,5178375,258,1
28,28.6,28.76,28.44,28.6,3234655,258,1
29,28.44,28.62,28.2,28.27,2254167,258,1
30,28.42,28.43,28.215,28.39,1913977,258,1
31,28.57,28.64,28.15,28.32,2521800,258,1
32,28.44,28.75,28.3,28.74,2224859,258,1
33,28.5,28.76,28.36,28.65,2623950,258,1
34,28.69,29.0,28.601,28.96,2769992,258,1
35,28.95,29.0999,28.3,28.37,2739964,258,1
36,28.49,28.84,28.42,28.83,2926199,258,1
37,28.91,28.91,28.02,28.14,4465629,258,1
38,28.15,28.76,28.15,28.69,3756915,258,1
39,28.19,28.42,27.86,28.37,4142977,258,1
40,28.36,28.76,28.16,28.76,1965702,258,1
41,28.91,29.035,28.69,28.88,3009666,258,1
42,29.2,29.935,29.17,29.88,4545166,258,1
43,29.95,30.25,29.73,30.18,4675502,258,1
44,30.03,30.22,29.96,30.13,3255028,258,1
45,29.95,30.08,28.915,28.95,4813002,258,1
46,29.25,29.51,29.125,29.51,2387882,258,1
47,29.16,29.3499,28.46,28.68,4627385,258,1
48,28.73,28.76,28.19,28.32,2589925,258,1
49,28.48,28.91,28.39,28.89,2367935,258,1
50,28.98,29.265,28.61,29.2,2123115,258,1
51,29.71,30.075,29.32,29.69,4388820,258,1
52,29.77,29.86,29.53,29.68,2232132,258,1
53,29.8,29.85,29.57,29.7,2921075,258,1
54,29.67,29.73,29.285,29.55,3786780,258,1
55,29.73,29.83,29.49,29.71,3789631,258,1
56,31.38,31.97,30.54,31.74,11840679,258,1
57,31.75,32.22,31.4,31.44,6668825,258,1
58,31.73,31.85,31.51,31.8,4731230,258,1
59,32.23,32.77,32.12,32.46,4426857,258,1
60,32.48,32.741,32.44,32.58,3715181,258,1
61,32.7,32.83,32.46,32.61,3676470,258,1
62,32.55,33.03,32.31,33.0,3096621,258,1
63,33.04,33.2,32.76,32.97,2719505,258,1
64,33.22,34.16,33.01,34.11,10048696,258,1
65,33.89,34.1694,33.72,34.04,3961100,258,1
66,34.04,34.5,34.0,34.48,3392520,258,1
67,34.03,34.63,33.86,34.6,4578546,258,1
68,34.62,34.88,34.24,34.3,4118127,258,1
69,34.51,34.65,34.31,34.59,4665878,258,1
70,34.55,34.95,34.5,34.6,2651408,258,1
71,34.61,34.8,34.38,34.44,2810086,258,1
72,34.48,35.02,33.88,34.04,3215122,258,1
73,33.56,33.65,33.145,33.54,5157889,258,1
74,33.31,33.64,33.13,33.56,2477471,258,1
75,34.24,34.66,34.1,34.49,3978332,258,1
76,34.13,34.46,33.92,34.17,3910975,258,1
77,34.19,34.82,34.05,34.64,3097687,258,1
78,34.46,34.54,33.74,33.74,4415973,258,1
79,33.75,33.8,32.98,33.46,4006552,258,1
80,33.52,34.145,33.18,33.3,5063568,258,1
81,33.22,33.29,32.34,32.58,4283491,258,1
82,32.57,33.14,32.37,33.14,4914422,258,1
83,33.38,34.49,33.3,34.44,5681253,258,1
84,34.59,34.6,33.9,34.26,3747468,258,1
85,33.78,34.18,33.37,33.62,3020811,258,1
86,33.96,33.99,33.07,33.16,2271749,258,1
87,33.11,34.06,33.0,34.01,2865913,258,1
88,33.88,34.08,33.39,33.52,3158771,258,1
89,33.95,34.51,33.89,34.35,2661250,258,1
90,34.45,34.66,34.31,34.54,2182647,258,1
91,34.58,34.63,34.01,34.01,3524021,258,1
92,33.56,33.58,32.68,32.8,3866735,258,1
93,33.15,33.44,32.59,32.81,6144586,258,1
94,32.25,32.25,31.09,31.3,5970312,258,1
95,31.79,31.9,31.275,31.5,6816144,258,1
96,31.92,32.115,31.66,31.92,4633527,258,1
97,32.26,32.56,32.09,32.51,3415437,258,1
98,32.39,32.55,31.625,31.8,5866059,258,1
99,32.14,32.27,31.74,31.75,3394982,258,1
100,31.72,31.96,31.22,31.49,3434152,258,1
101,31.295,31.68,31.18,31.45,1467363,258,1
102,31.85,31.94,31.42,31.92,1646730,258,1
103,32.11,32.16,31.825,31.93,2219952,258,1
104,32.25,32.34,31.62,32.05,3090797,258,1
105,32.04,32.05,31.31,31.34,5775720,258,1
106,31.88,32.19,31.86,32.07,4335146,258,1
107,32.11,32.26,31.53,31.75,6226589,258,1
108,31.87,32.205,31.59,32.13,3794276,258,1
109,32.21,32.25,31.62,31.94,3488537,258,1
110,32.09,32.15,31.75,31.82,2546444,258,1
111,32.01,32.73,31.92,32.52,4267146,258,1
112,32.32,32.59,31.915,32.49,4356131,258,1
113,32.5,33.14,32.38,33.0,3173712,258,1
114,33.08,33.242,32.88,32.98,3058144,258,1
115,32.98,33.08,32.495,32.69,3739578,258,1
116,32.54,32.94,32.44,32.8,2359703,258,1
117,32.65,32.9,32.41,32.85,2943100,258,1
118,32.6,32.76,32.23,32.23,2600327,258,1
119,32.46,32.6,32.215,32.24,4145428,258,1
120,32.23,32.72,32.0,32.19,6707829,258,1
121,32.57,33.13,32.46,33.04,5657240,258,1
122,33.04,33.2,32.81,33.1,3169667,258,1
123,33.03,33.25,32.87,33.12,1979394,258,1
124,33.15,33.26,32.805,33.01,2808241,258,1
125,32.79,32.81,32.4,32.67,2633983,258,1
126,32.89,33.0,32.4,32.6,2150315,258,1
127,32.48,32.75,32.26,32.57,2615515,258,1
128,32.26,32.53,32.08,32.3,3249649,258,1
129,32.4,33.32,32.4,33.12,4116297,258,1
130,33.11,33.36,32.86,32.88,2087147,258,1
131,32.42,32.51,31.96,32.11,2715806,258,1
132,32.06,32.43,31.99,32.04,3634575,258,1
133,31.7,31.895,31.2,31.2,2760811,258,1
134,31.2,31.575,30.93,31.46,3570183,258,1
135,31.29,31.48,30.79,31.09,2756367,258,1
136,31.16,31.73,31.16,31.6,1760795,258,1
137,31.64,31.76,31.45,31.57,1517093,258,1
138,31.58,31.725,31.21,31.23,2260640,258,1
139,30.73,30.8,30.235,30.32,3433219,258,1
140,30.24,30.71,30.14,30.49,3253156,258,1
141,30.37,31.11,30.3,30.86,2322382,258,1
142,30.92,30.96,30.23,30.36,2417257,258,1
143,30.92,31.18,30.32,30.59,2517921,258,1
144,30.58,31.2251,30.5,30.99,2957278,258,1
145,31.11,31.34,30.72,30.76,2862480,258,1
146,30.85,31.02,30.09,30.45,4876257,258,1
147,30.6,30.975,30.6,30.83,2927943,258,1
148,31.2,31.67,31.2,31.37,2855917,258,1
149,31.33,31.53,31.1,31.23,2149842,258,1
150,31.24,31.46,30.97,31.05,3397946,258,1
151,31.03,31.54,30.77,31.06,2390989,258,1
152,31.67,31.83,31.35,31.61,4131365,258,1
153,31.65,31.83,31.49,31.67,1709117,258,1
154,31.66,32.725,31.49,32.55,4833355,258,1
155,32.81,33.025,32.56,32.63,4705328,258,1
156,32.7,32.89,32.51,32.63,5100141,258,1
157,32.4,32.59,32.16,32.48,3585147,258,1
158,32.47,32.535,32.17,32.2,2259080,258,1
159,32.2,32.365,32.0,32.06,1547921,258,1
160,32.02,32.24,31.92,32.23,2188242,258,1
161,31.98,32.14,31.78,32.09,2493160,258,1
162,31.71,32.0,31.59,31.9,2806414,258,1
163,32.01,32.32,31.765,32.22,3407249,258,1
164,31.92,32.36,31.799,32.36,3136758,258,1
165,32.29,32.35,31.63,32.04,2973517,258,1
166,32.04,32.455,32.01,32.38,1506478,258,1
167,32.07,32.295,31.92,31.92,1931369,258,1
168,32.02,32.275,31.5,31.5,3574625,258,1
169,31.7,32.36,31.54,32.16,4228065,258,1
170,32.93,33.93,32.93,33.92,6236361,258,1
171,33.9,34.64,33.785,34.35,3749579,258,1
172,34.01,34.73,33.93,34.65,3070171,258,1
173,34.54,34.63,32.08,32.42,22098936,258,1
174,32.175,32.32,31.5,32.07,15398116,258,1
175,31.8701,32.78,31.8701,32.46,9351055,258,1
176,32.64,32.93,32.46,32.77,5755386,258,1
177,32.9,32.92,32.5,32.53,3073192,258,1
178,32.75,32.8275,32.25,32.5,4121664,258,1
179,32.42,32.53,32.11,32.46,3765623,258,1
180,32.59,32.69,32.405,32.65,3464462,258,1
181,32.73,32.93,32.62,32.87,2567207,258,1
182,32.79,32.86,32.42,32.75,2634889,258,1
183,32.8,33.37,32.78,33.36,4672258,258,1
184,33.47,33.52,32.83,32.91,3296144,258,1
185,33.65,34.25,33.32,33.75,8799294,258,1
186,33.91,34.16,33.68,33.84,4096174,258,1
187,34.03,34.03,33.33,33.36,4525836,258,1
188,33.25,33.34,32.73,32.91,4654025,258,1
189,33.05,33.38,32.75,33.06,3292965,258,1
190,33.18,33.32,32.34,32.37,4543445,258,1
191,32.25,33.32,32.25,33.32,4124471,258,1
192,33.66,33.89,33.33,33.57,2544698,258,1
193,33.56,33.68,33.0601,33.21,3528708,258,1
194,32.94,33.41,32.73,33.28,4955231,258,1
195,34.18,34.32,33.77,34.07,4619063,258,1
196,33.77,34.07,33.63,33.84,2881759,258,1
197,33.85,34.05,33.61,33.71,2625178,258,1
198,33.73,33.84,33.47,33.6,3909709,258,1
199,33.75,33.94,33.375,33.48,3539926,258,1
200,33.55,33.855,33.36,33.78,3163923,258,1
201,33.84,34.05,33.55,33.9,3271172,258,1
202,34.02,34.39,33.8,34.26,2982201,258,1
203,34.37,34.65,34.21,34.52,4263716,258,1
204,34.59,35.23,34.49,35.03,4264758,258,1
205,35.1,35.255,34.8,34.85,1569677,258,1
206,34.86,35.48,34.81,35.14,3833423,258,1
207,34.91,35.025,34.73,34.99,3861686,258,1
208,34.73,35.21,34.545,34.92,4479294,258,1
209,34.63,34.85,34.345,34.39,4365925,258,1
210,34.94,35.7,34.94,35.46,4503326,258,1
211,35.53,35.86,35.34,35.67,2683298,258,1
212,35.51,35.66,35.23,35.38,2435020,258,1
213,35.48,35.5,34.57,34.64,3780860,258,1
214,34.66,34.77,34.285,34.39,3086874,258,1
215,34.62,34.83,34.39,34.58,2947073,258,1
216,34.82,35.24,34.77,35.07,2792768,258,1
217,35.1,35.22,34.46,34.47,4241502,258,1
218,34.55,35.37,33.94,35.36,4844960,258,1
219,35.34,35.54,35.09,35.25,2539154,258,1
220,35.28,35.89,35.28,35.83,3999718,258,1
221,36.0,36.32,35.88,36.25,2540310,258,1
222,36.25,36.51,36.21,36.43,1197264,258,1
223,36.44,36.73,36.395,36.55,1712790,258,1
224,36.52,36.7,36.36,36.49,1324784,258,1
225,36.44,36.79,36.3,36.35,1477863,258,1
226,36.4,36.69,36.33,36.4,1593860,258,1
227,36.26,36.4,35.675,35.87,1866179,258,1
228,36.02,36.28,35.975,36.12,2036579,258,1
229,36.59,36.73,36.25,36.37,3758472,258,1
230,36.7,36.88,36.555,36.69,2293786,258,1
231,36.73,36.73,36.38,36.53,2391922,258,1
232,36.71,36.72,35.96,36.04,3090378,258,1
233,36.28,36.38,35.65,35.85,3813375,258,1
234,35.79,35.975,34.96,35.05,3299585,258,1
235,35.22,35.41,34.8399,35.22,3651674,258,1
236,35.25,35.49,35.04,35.46,3024282,258,1
237,35.46,35.53,35.16,35.2,2395795,258,1
238,35.2,35.3,34.91,35.01,2653642,258,1
239,35.19,35.37,34.89,35.04,2487329,258,1
240,35.22,35.89,35.08,35.85,3207213,258,1
241,35.58,35.6499,34.93,34.99,3690689,258,1
242,34.69,34.825,33.47,33.48,3833279,258,1
243,33.52,33.74,32.73,33.08,3250592,258,1
244,33.21,33.74,33.21,33.43,5133826,258,1
