id_date,open,high,low,close,volume,id_stock,id_index
1,75.17,75.61,74.73,75.48,8153254,262,1
2,75.28,75.5,75.05,75.41,5696686,262,1
3,75.42,75.86,75.42,75.8,7598678,262,1
4,75.79,75.87,75.37,75.66,8014788,262,1
5,75.5,76.09,75.38,75.81,9681846,262,1
6,75.72,76.16,75.51,76.16,10528944,262,1
7,76.03,77.0,75.96,76.96,9747837,262,1
8,76.79,76.97,76.54,76.65,7857256,262,1
9,76.47,77.02,76.38,76.87,9465651,262,1
10,76.39,76.49,75.97,76.25,8573208,262,1
11,76.47,76.66,75.57,75.57,10603590,262,1
12,75.88,76.34,75.5,75.75,10743210,262,1
13,75.68,76.45,75.6,76.32,8180393,262,1
14,76.23,76.49,76.11,76.11,11810494,262,1
15,75.79,76.77,75.73,76.7,9528387,262,1
16,76.73,77.28,76.73,77.2,12628151,262,1
17,77.56,77.71,77.44,77.66,9328078,262,1
18,77.69,77.74,77.22,77.39,8535851,262,1
19,77.62,77.96,77.59,77.75,7996489,262,1
20,77.84,78.22,77.7,78.19,8554283,262,1
21,77.92,78.52,77.84,78.44,8807527,262,1
22,78.5,78.69,78.21,78.56,8790845,262,1
23,78.52,78.67,78.2,78.55,7983720,262,1
24,78.67,79.1,78.49,79.1,10149230,262,1
25,78.62,79.24,78.62,79.19,18302441,262,1
26,78.72,79.19,78.7,78.81,8005457,262,1
27,78.98,79.09,78.5,78.86,7092364,262,1
28,79.18,79.61,79.17,79.45,7975120,262,1
29,79.12,79.5,78.77,79.01,8433701,262,1
30,79.11,79.74,79.02,79.74,6831380,262,1
31,79.83,79.94,79.47,79.68,9616509,262,1
32,79.93,80.8815,79.85,80.85,12682754,262,1
33,80.56,81.35,80.27,81.27,10702998,262,1
34,81.37,81.59,80.95,81.53,11304546,262,1
35,81.39,81.965,81.28,81.93,7378460,262,1
36,82.0,82.69,81.9,82.69,10342171,262,1
37,82.74,82.95,81.57,82.07,12256304,262,1
38,82.2,82.72,81.925,82.41,10303375,262,1
39,81.79,82.11,81.62,82.04,8581618,262,1
40,81.27,81.39,80.31,81.11,15827395,262,1
41,81.26,81.75,81.24,81.52,9078243,262,1
42,81.83,82.2,81.735,82.02,7583115,262,1
43,82.14,82.96,82.08,82.32,9882669,262,1
44,82.25,82.74,82.17,82.74,6988194,262,1
45,82.72,83.09,81.71,81.71,12368612,262,1
46,82.33,83.54,82.07,83.44,12619019,262,1
47,83.36,84.43,83.29,83.9,13693285,262,1
48,83.96,84.3,83.03,83.18,9918341,262,1
49,83.51,84.57,83.47,84.49,10779317,262,1
50,84.59,84.93,84.195,84.83,6975292,262,1
51,84.99,85.68,84.0,85.45,8975954,262,1
52,85.68,85.74,84.28,84.39,9479780,262,1
53,84.54,85.44,84.34,85.22,8689408,262,1
54,85.3,85.49,84.805,85.12,6785201,262,1
55,85.02,85.89,84.91,85.58,8039781,262,1
56,85.39,85.7,84.89,85.23,12081848,262,1
57,84.5,85.13,83.88,84.23,12309501,262,1
58,84.44,85.21,84.17,85.16,8670010,262,1
59,85.58,85.99,85.45,85.75,9212094,262,1
60,85.78,85.78,84.55,84.68,8814788,262,1
61,84.87,85.57,84.63,85.53,9062990,262,1
62,85.48,85.6,84.93,85.46,8030714,262,1
63,85.45,85.691,84.963,85.15,8337717,262,1
64,85.29,85.76,85.181,85.76,7595332,262,1
65,85.56,86.07,85.44,85.85,6631430,262,1
66,85.76,87.08,85.76,86.97,10363203,262,1
67,86.94,87.88,86.94,87.64,13444477,262,1
68,87.33,87.77,87.06,87.45,9441996,262,1
69,87.47,88.2,87.41,88.09,11439298,262,1
70,88.1,88.2,87.81,88.01,7235784,262,1
71,87.94,88.64,87.79,88.59,10099587,262,1
72,88.7,89.99,88.2,88.46,13810803,262,1
73,87.11,87.97,87.0,87.21,14424194,262,1
74,86.8,87.03,86.49,86.82,10390046,262,1
75,87.54,88.29,87.27,87.61,8380624,262,1
76,87.08,87.16,85.14,85.65,11871743,262,1
77,85.71,86.31,85.68,85.99,7801107,262,1
78,85.68,85.99,84.18,84.18,13305355,262,1
79,84.28,84.71,83.37,84.71,11770398,262,1
80,84.72,85.03,83.56,84.1,9971961,262,1
81,83.91,85.0,83.48,83.68,9839006,262,1
82,83.59,84.46,82.65,84.46,10671700,262,1
83,84.96,85.18,84.4,84.91,8908732,262,1
84,85.01,85.71,84.73,85.14,8476975,262,1
85,84.76,85.02,84.13,84.69,8966971,262,1
86,85.18,85.5,83.7,83.74,8413194,262,1
87,83.6,84.96,83.0804,84.91,8572402,262,1
88,84.71,85.48,84.66,84.91,6357030,262,1
89,85.37,86.405,84.98,85.63,8429068,262,1
90,85.75,86.44,85.63,86.36,7233633,262,1
91,86.43,86.5,84.8,84.86,8288194,262,1
92,84.21,84.45,82.12,82.62,15173632,262,1
93,83.0,84.32,82.5,83.2,20718487,262,1
