id_date,open,high,low,close,volume,id_stock,id_index
1,22.33,22.34,21.74,21.84,6260670,263,1
2,21.87,22.02,21.67,21.71,3831112,263,1
3,21.76,21.83,21.5195,21.61,3770538,263,1
4,21.59,21.7397,21.285,21.67,5598535,263,1
5,21.52,21.76,21.09,21.68,4892595,263,1
6,21.73,21.88,21.45,21.86,5636127,263,1
7,21.6,22.25,21.33,22.25,5462471,263,1
8,22.18,22.29,21.69,21.71,3850634,263,1
9,21.63,21.63,21.12,21.33,4742520,263,1
10,21.54,21.64,21.26,21.45,2551451,263,1
11,21.67,21.68,20.72,20.72,5504070,263,1
12,20.83,20.965,20.12,20.46,11591217,263,1
13,20.49,20.85,20.3401,20.72,4956260,263,1
14,20.67,20.99,20.52,20.68,5062092,263,1
15,20.59,20.68,20.39,20.49,4359951,263,1
16,20.5,20.51,20.05,20.13,5087341,263,1
17,20.2,20.5,19.89,19.98,9383207,263,1
18,20.12,20.36,20.02,20.12,6014314,263,1
19,20.67,21.195,20.67,21.12,7520607,263,1
20,21.22,21.27,20.61,20.69,5743612,263,1
21,20.62,20.94,20.5202,20.89,3540242,263,1
22,20.79,20.99,20.7,20.77,2790475,263,1
23,20.75,20.79,20.36,20.54,3596944,263,1
24,20.75,21.04,20.43,20.51,3430201,263,1
25,20.39,20.49,20.121,20.17,5613340,263,1
26,19.08,20.305,19.01,20.21,12561030,263,1
27,19.06,19.57,18.65,19.14,16872845,263,1
28,18.84,19.37,18.83,19.31,6636664,263,1
29,18.64,18.93,18.55,18.89,13177196,263,1
30,18.99,19.14,18.64,18.72,7086962,263,1
31,18.75,19.095,18.69,18.96,7459496,263,1
32,19.06,19.06,18.51,18.65,8993843,263,1
33,18.57,18.79,18.51,18.67,9203768,263,1
34,18.66,18.78,18.47,18.54,7870536,263,1
35,18.59,18.725,18.45,18.54,4723176,263,1
36,18.61,18.73,18.25,18.27,5177330,263,1
37,18.31,18.62,18.19,18.27,4539259,263,1
38,18.33,18.33,17.93,18.12,5458335,263,1
39,16.99,17.65,16.75,17.55,13042741,263,1
40,17.85,17.89,17.52,17.83,4887215,263,1
41,17.82,18.16,17.81,18.0,4161713,263,1
42,18.17,19.05,18.13,18.84,11719637,263,1
43,18.7,18.79,18.36,18.56,6622534,263,1
44,18.48,18.74,18.245,18.72,5574679,263,1
45,18.58,18.79,18.08,18.1,5716282,263,1
46,18.24,18.335,17.91,18.14,5710268,263,1
47,17.98,18.2,17.63,17.7,4896259,263,1
48,17.79,17.84,17.25,17.32,4655322,263,1
49,17.39,17.45,17.06,17.1,6325836,263,1
50,17.1,17.24,16.93,17.12,4884210,263,1
51,17.26,17.7,17.165,17.36,13849531,263,1
52,16.14,16.46,15.62,15.69,34254738,263,1
53,15.78,16.13,15.665,15.91,8979054,263,1
54,15.86,15.96,15.76,15.79,7477730,263,1
55,15.84,16.2099,15.81,16.06,9657287,263,1
