id_date,open,high,low,close,volume,id_stock,id_index
1,55.0,55.845,55.0,55.82,1605250,265,1
2,55.57,55.72,55.11,55.37,1297257,265,1
3,55.55,55.6,54.89,54.98,1642140,265,1
4,55.0,55.52,55.0,55.22,1235157,265,1
5,55.05,55.48,54.53,55.25,1091248,265,1
6,55.2,56.08,54.78,55.4,1623016,265,1
7,55.64,56.6599,55.1,56.47,2618162,265,1
8,56.35,56.41,55.08,55.15,1816502,265,1
9,55.09,55.36,54.32,54.52,3136319,265,1
10,54.73,55.39,53.57,53.99,4002287,265,1
11,54.18,54.19,52.69,52.7,3031706,265,1
12,53.01,53.355,52.47,52.53,2790264,265,1
13,52.44,54.0,52.44,53.9,2433405,265,1
14,54.1,54.5848,53.99,54.22,2394785,265,1
15,54.03,54.24,53.68,54.07,2316529,265,1
16,53.98,54.33,53.651,53.82,1860171,265,1
17,54.06,54.515,54.05,54.37,1991861,265,1
18,54.37,54.52,54.185,54.38,1656621,265,1
19,54.07,54.19,53.9,53.99,1132696,265,1
20,54.2,54.83,53.94,54.72,1009019,265,1
21,54.62,54.67,54.21,54.27,1466815,265,1
22,54.3,54.44,53.9,53.95,1491094,265,1
23,54.04,54.32,53.88,54.29,3129905,265,1
24,54.52,54.66,54.18,54.29,1631652,265,1
25,54.07,54.25,53.64,53.99,2411317,265,1
26,53.49,53.87,53.38,53.49,1275749,265,1
27,53.56,53.56,52.16,52.45,2868333,265,1
28,52.81,53.27,52.56,53.15,2731565,265,1
29,52.89,53.19,52.7824,52.9,1576252,265,1
30,53.1,53.57,52.98,53.32,1199074,265,1
31,53.44,53.92,53.3601,53.8,1720287,265,1
32,53.82,54.29,53.59,54.28,1996659,265,1
33,54.03,54.56,53.92,54.5,1397429,265,1
34,54.52,55.29,54.43,55.23,1844938,265,1
35,55.07,55.21,54.33,54.45,1420591,265,1
36,54.75,55.0,54.36,54.99,1042385,265,1
37,55.0,55.49,54.51,54.7,1936453,265,1
38,54.68,55.53,54.68,55.47,1117468,265,1
39,54.84,55.613,54.65,55.46,1563237,265,1
40,55.25,55.69,54.95,55.3,1340510,265,1
41,55.33,55.48,54.41,54.84,1651555,265,1
42,55.03,55.81,54.94,55.81,1427486,265,1
43,55.92,57.76,55.88,57.04,2432795,265,1
44,56.75,57.18,56.48,56.82,1494484,265,1
45,56.5,56.59,55.13,55.13,1568667,265,1
46,55.38,56.22,55.01,56.17,1798605,265,1
47,55.96,56.01,54.81,55.39,1681985,265,1
48,55.48,55.61,54.5,54.82,1411538,265,1
49,54.88,55.15,54.57,54.9,1673302,265,1
50,55.05,55.31,54.675,55.14,1101559,265,1
51,55.24,55.55,54.62,55.19,1307442,265,1
52,55.3,55.77,55.08,55.26,1113007,265,1
53,55.36,56.57,55.2,56.45,1843190,265,1
54,56.49,56.75,56.191,56.71,819843,265,1
55,56.78,56.91,56.47,56.54,865981,265,1
56,56.45,56.635,56.03,56.59,1021690,265,1
57,56.48,56.57,55.98,56.15,1229527,265,1
58,56.11,57.03,56.11,57.03,1199284,265,1
59,57.45,58.42,57.38,58.21,1213067,265,1
60,58.18,58.44,57.7,58.09,1266846,265,1
61,58.0,58.66,57.74,58.59,1304526,265,1
62,58.6,59.01,58.29,59.0,1240794,265,1
63,58.9201,59.06,58.04,58.49,2020843,265,1
64,58.61,59.3,58.61,59.17,1549370,265,1
65,59.19,60.56,59.03,60.49,2857464,265,1
66,60.41,61.24,60.16,61.24,2367217,265,1
67,61.41,61.81,60.89,61.44,2004955,265,1
68,61.39,61.8,60.92,61.13,3252190,265,1
69,58.87,60.89,58.75,60.68,4493876,265,1
