id_date,open,high,low,close,volume,id_stock,id_index
1,56.97,57.18,56.18,56.57,2066493,270,1
2,56.67,56.89,56.26,56.38,1672238,270,1
3,56.56,56.8,56.24,56.71,1860655,270,1
4,56.76,57.0,56.2099,56.61,1495197,270,1
5,56.01,56.18,55.52,56.1,2182742,270,1
6,56.13,56.28,55.335,55.76,1483716,270,1
7,55.99,57.14,55.85,56.39,2139955,270,1
8,56.47,56.51,54.85,54.9,1675158,270,1
9,54.9,55.1,53.53,53.86,3141749,270,1
10,54.28,55.03,54.28,54.78,1576705,270,1
11,55.23,55.57,53.0,53.02,2146725,270,1
12,53.43,54.27,53.32,53.92,1695103,270,1
13,53.72,55.08,53.54,54.73,1706468,270,1
14,54.7,55.27,54.2201,54.76,1810556,270,1
15,54.36,54.75,53.61,54.5,2122329,270,1
16,54.24,54.46,53.715,53.97,1781161,270,1
17,54.42,55.82,54.305,55.55,2473083,270,1
18,55.76,55.76,54.8099,55.0,2691270,270,1
19,55.24,55.55,54.87,55.04,1421845,270,1
20,55.34,55.75,54.55,55.16,1157142,270,1
21,54.97,55.0,54.55,54.71,1134768,270,1
22,54.66,54.95,54.13,54.64,945399,270,1
23,54.73,54.89,54.21,54.73,727219,270,1
24,55.0,55.711,54.87,54.93,1222907,270,1
25,54.7,54.85,52.39,52.65,5244368,270,1
26,52.32,52.63,51.55,51.73,2397596,270,1
27,51.73,52.18,50.8,51.35,2753772,270,1
28,51.82,52.07,51.43,51.58,1410541,270,1
29,51.2,51.71,51.0,51.26,1842722,270,1
30,51.51,51.83,50.98,51.62,1909744,270,1
31,52.08,52.165,51.15,51.65,1271602,270,1
32,52.57,52.68,51.46,52.05,1682669,270,1
33,51.54,51.78,51.31,51.74,1694988,270,1
34,51.53,52.8,51.53,52.74,1554841,270,1
35,52.73,52.82,51.42,51.57,1500682,270,1
36,51.59,51.89,51.29,51.4,1818987,270,1
37,51.67,51.99,51.08,51.3,2078790,270,1
38,51.27,51.81,51.1,51.54,1218278,270,1
39,50.8,51.79,50.27,51.73,1879393,270,1
40,51.62,52.0,51.2962,51.99,1610277,270,1
41,52.0,53.14,51.83,52.64,1530085,270,1
42,52.65,54.28,52.6,54.26,1901542,270,1
43,54.03,54.93,53.73,53.8,1602048,270,1
44,53.79,53.85,53.04,53.77,1156809,270,1
45,53.7,53.86,52.17,52.31,1666328,270,1
46,52.45,53.51,52.16,53.43,1846107,270,1
47,53.04,54.12,52.12,52.75,2312091,270,1
48,53.32,53.93,52.73,52.87,2136963,270,1
49,52.59,53.44,52.23,53.05,1795621,270,1
50,53.42,54.21,52.34,53.76,1587440,270,1
51,54.3,55.375,53.94,55.21,2307073,270,1
52,55.12,55.55,54.88,55.49,1479865,270,1
53,55.8,57.0,55.62,55.9,2456461,270,1
54,51.61,53.0,50.2315,52.11,7812587,270,1
55,51.78,53.25,51.73,53.11,3191689,270,1
56,53.15,54.5,53.02,54.25,4324969,270,1
57,54.23,54.37,53.45,53.59,2246114,270,1
58,53.59,54.1,53.49,53.89,2040793,270,1
59,54.61,54.69,54.1,54.3,2840097,270,1
60,54.25,54.365,53.85,54.06,2057307,270,1
61,54.22,54.74,53.995,54.46,3404868,270,1
62,54.78,54.9,54.09,54.7,1324432,270,1
63,54.59,54.97,54.01,54.2,1970514,270,1
64,54.29,54.78,53.81,54.47,1428586,270,1
65,54.19,54.39,53.51,53.7,1599473,270,1
66,53.78,54.47,53.5342,54.45,1546250,270,1
67,54.25,55.45,54.11,55.05,1646610,270,1
68,55.26,55.69,54.995,55.21,2464596,270,1
69,55.48,55.88,54.9,55.87,1948253,270,1
70,55.61,56.3,55.43,55.62,2079787,270,1
71,55.95,56.12,55.5,56.06,1361725,270,1
72,56.15,56.72,55.38,55.48,2033732,270,1
73,55.07,55.37,54.37,54.94,2324040,270,1
74,54.47,55.0,54.35,54.67,1272526,270,1
75,55.34,55.9099,55.14,55.67,2213158,270,1
76,55.45,56.05,55.005,55.62,2950417,270,1
77,55.63,56.8,55.5,56.51,2102557,270,1
78,56.33,56.79,56.16,56.29,2372431,270,1
79,56.68,57.35,56.23,56.9,1849674,270,1
80,57.04,57.56,56.64,56.98,1485301,270,1
81,56.95,56.98,56.18,56.5,1312520,270,1
82,56.69,56.93,55.67,56.08,970939,270,1
83,56.67,56.88,56.03,56.77,1191526,270,1
84,56.7,56.81,56.24,56.74,868043,270,1
85,56.16,56.49,55.22,55.28,1158954,270,1
86,56.1,56.1,55.09,55.18,2047374,270,1
87,55.34,56.83,55.03,56.61,1340336,270,1
88,56.55,56.65,55.7,55.71,1117328,270,1
89,56.09,56.55,55.76,55.98,1321309,270,1
90,56.19,56.6699,56.01,56.39,1453330,270,1
91,56.02,56.88,55.72,56.21,1691948,270,1
92,55.55,55.87,54.225,54.43,1741440,270,1
93,54.69,55.066,54.045,54.77,2756890,270,1
94,54.51,54.61,53.38,53.81,2606663,270,1
95,54.35,55.74,53.81,55.5,1968371,270,1
96,56.11,56.22,55.12,55.33,1632641,270,1
97,55.84,56.43,55.5,55.57,1766395,270,1
98,55.19,56.625,55.0,55.73,2300855,270,1
99,56.18,56.46,55.18,55.28,1239084,270,1
100,55.13,55.78,54.455,54.85,1250396,270,1
101,54.45,55.57,54.29,55.07,718432,270,1
102,55.47,56.6,55.25,56.47,1675960,270,1
103,56.61,56.8,55.29,55.49,1939259,270,1
104,56.14,58.48,55.68,58.15,4090072,270,1
105,58.07,59.38,57.85,59.24,2705563,270,1
