id_date,open,high,low,close,volume,id_stock,id_index
1,45.97,46.16,45.62,46.01,2357080,277,1
2,46.1,46.34,45.78,46.11,2398335,277,1
3,46.0,46.26,45.97,46.06,1623736,277,1
4,46.19,46.61,46.08,46.6,2320457,277,1
5,46.5,47.16,46.49,46.98,2299006,277,1
6,46.74,46.97,45.84,46.34,3899827,277,1
7,46.57,46.84,46.0,46.48,3174771,277,1
8,46.86,48.24,46.57,46.57,4375177,277,1
9,46.41,46.785,46.1068,46.51,2214163,277,1
10,46.63,46.75,46.06,46.19,2003571,277,1
11,46.27,46.47,45.51,45.51,1849527,277,1
12,45.8,45.95,45.23,45.64,1981544,277,1
13,45.72,46.63,45.54,46.61,2856462,277,1
14,45.0,46.64,44.57,46.1,7821045,277,1
15,46.0,46.33,45.851,46.17,3322487,277,1
16,46.14,46.76,46.08,46.39,2007428,277,1
17,46.41,46.77,46.22,46.67,2248196,277,1
18,46.66,46.77,46.152,46.27,1606544,277,1
19,46.43,46.64,46.12,46.19,1398062,277,1
20,46.31,46.91,46.07,46.66,2550444,277,1
21,46.38,47.05,46.23,47.05,1792501,277,1
22,47.01,47.56,46.92,47.33,2238090,277,1
23,47.46,48.98,47.45,48.82,3968665,277,1
24,48.9,49.2,48.69,49.08,2500129,277,1
25,48.92,49.34,48.78,49.32,3088707,277,1
26,48.91,49.13,48.47,48.54,1757001,277,1
27,47.58,47.89,46.37,46.56,4982661,277,1
28,46.73,46.96,46.1301,46.76,2822968,277,1
29,46.44,46.82,46.28,46.43,2168170,277,1
30,45.82,46.4,45.81,46.32,3008342,277,1
31,46.56,46.9,46.32,46.39,2120815,277,1
32,46.66,46.77,46.15,46.73,1745214,277,1
33,46.5,46.835,46.31,46.6,1572145,277,1
34,46.47,46.47,45.76,46.13,2305878,277,1
35,46.11,46.2,45.45,45.54,2019212,277,1
36,45.65,45.81,45.33,45.71,1789902,277,1
37,45.89,47.245,45.83,47.05,3878357,277,1
38,46.99,48.28,46.99,48.11,2735562,277,1
39,47.69,48.16,47.45,48.16,2663000,277,1
40,48.1,48.12,47.435,48.02,1564680,277,1
41,48.18,48.18,47.38,47.42,2063067,277,1
42,47.57,47.93,47.51,47.86,1807863,277,1
43,47.85,49.13,47.81,48.92,1987422,277,1
44,48.88,49.3,48.285,48.42,1742747,277,1
45,48.04,48.42,47.31,47.44,1672431,277,1
46,47.56,47.67,46.46,47.08,3164369,277,1
47,46.73,47.095,46.255,46.97,2055964,277,1
48,47.11,47.58,46.43,46.96,2781201,277,1
49,47.14,47.54,46.8799,47.44,1817390,277,1
50,47.41,47.71,47.04,47.34,1110873,277,1
51,47.55,48.04,47.35,47.71,1529588,277,1
52,47.84,48.2,47.31,47.5,1266970,277,1
53,47.67,48.21,47.51,48.01,1187463,277,1
54,48.09,48.55,47.99,48.28,1845848,277,1
55,48.48,48.49,47.11,47.32,3150280,277,1
56,47.37,47.42,46.81,47.06,2220677,277,1
57,46.98,47.25,46.58,46.6,1950870,277,1
58,46.83,47.55,46.55,47.0,2035558,277,1
59,47.34,48.34,47.0,48.31,2602193,277,1
60,48.37,48.73,48.03,48.24,2366810,277,1
