id_date,open,high,low,close,volume,id_stock,id_index
1,46.14,46.14,45.56,45.81,5039100,280,1
2,45.56,46.04,45.25,45.26,3036000,280,1
3,45.28,45.4,44.71,44.84,5217900,280,1
4,44.9,45.1,44.61,44.72,3421800,280,1
5,44.6,44.68,43.8,44.05,6320000,280,1
6,44.02,44.68,43.65,44.06,3675800,280,1
7,44.0,44.72,43.8,44.64,3653300,280,1
8,44.3,44.82,44.0,44.01,4131400,280,1
9,43.78,43.85,43.27,43.51,3006700,280,1
10,43.63,43.66,42.49,43.48,3756800,280,1
11,43.62,43.87,42.77,42.85,2571000,280,1
12,43.0,43.75,42.91,43.63,4468200,280,1
13,43.74,44.7,43.52,44.5,4227900,280,1
14,45.44,46.56,45.23,45.52,7130000,280,1
15,45.19,45.36,44.86,45.02,3135900,280,1
16,45.07,45.54,44.66,45.01,2984200,280,1
17,45.34,45.49,45.12,45.25,2722700,280,1
18,45.37,45.58,44.79,45.05,2364700,280,1
19,44.91,45.42,44.74,44.87,1953700,280,1
20,45.1,45.3,44.84,45.29,2049800,280,1
21,45.25,45.46,44.91,45.15,1761800,280,1
22,45.15,45.34,44.69,44.74,1592900,280,1
23,44.74,44.99,44.47,44.56,2191000,280,1
24,44.75,44.99,44.58,44.88,1712300,280,1
25,44.92,45.54,44.72,45.21,3356300,280,1
26,44.71,45.19,44.5,44.66,2013000,280,1
27,44.66,44.88,43.12,43.56,3260100,280,1
28,43.75,44.1,43.65,43.82,1922800,280,1
29,43.69,43.82,42.83,43.01,3758300,280,1
30,43.23,44.07,43.17,44.06,2772000,280,1
31,44.22,44.81,44.09,44.74,3277900,280,1
32,44.78,44.9,43.85,44.15,2033800,280,1
33,43.91,44.21,43.15,44.12,1937000,280,1
34,44.11,44.66,43.84,44.66,2290600,280,1
35,44.56,45.07,44.52,44.67,2579700,280,1
36,44.79,46.02,44.67,46.0,2505700,280,1
37,45.95,46.31,45.0,45.12,2521400,280,1
38,45.12,45.83,45.01,45.79,1530000,280,1
39,45.23,46.31,45.17,46.2,1973600,280,1
40,46.11,46.9,45.86,46.89,2284700,280,1
41,46.97,47.41,46.59,47.4,3346400,280,1
42,47.61,48.17,47.42,48.17,3816300,280,1
43,48.86,51.25,48.76,50.25,7654800,280,1
44,49.72,50.73,49.28,50.43,5100800,280,1
45,49.93,50.12,48.89,48.95,2360500,280,1
46,49.21,49.38,48.9,49.35,2000100,280,1
47,49.05,49.17,48.22,48.53,2507500,280,1
48,48.7,49.14,47.78,47.88,2191600,280,1
49,48.11,48.44,47.79,48.42,1668900,280,1
50,48.51,48.67,47.82,48.25,1197400,280,1
51,48.4,49.16,47.84,48.29,1568300,280,1
52,48.39,48.78,48.39,48.74,1179900,280,1
53,48.99,50.84,48.83,50.29,3264700,280,1
54,50.23,50.65,49.76,50.49,2459500,280,1
55,50.52,50.63,49.83,49.94,2398600,280,1
56,50.1,50.41,49.59,50.41,2157400,280,1
57,50.36,50.49,49.9,50.14,1579600,280,1
58,50.1,50.49,49.8,50.35,1680600,280,1
59,50.73,51.27,50.65,51.17,1437300,280,1
60,51.15,51.16,50.45,50.98,1749300,280,1
61,51.24,52.67,50.76,52.63,3190100,280,1
62,52.44,53.33,51.76,53.21,5532700,280,1
63,52.18,52.78,51.84,52.08,5895700,280,1
64,51.49,51.72,50.82,51.64,3671500,280,1
65,51.5,51.5,50.7,50.85,2292700,280,1
66,50.84,50.91,50.53,50.7,2240000,280,1
67,50.76,51.05,50.56,50.86,1985500,280,1
68,50.84,51.05,50.3,50.49,1923300,280,1
69,49.82,50.39,49.28,50.29,3904300,280,1
70,50.3,51.87,50.11,51.81,4614200,280,1
71,51.84,52.13,51.53,51.95,2481200,280,1
72,52.12,52.32,51.21,51.47,2822000,280,1
73,51.11,52.09,50.92,51.19,2456700,280,1
74,50.52,50.8,49.62,49.79,3018900,280,1
75,50.52,50.52,49.74,49.84,2502400,280,1
76,49.16,49.29,48.76,48.89,3257400,280,1
77,49.04,49.9,48.96,49.62,2700900,280,1
78,49.52,50.21,49.29,50.01,3486700,280,1
79,50.03,50.74,49.67,50.73,3799000,280,1
80,50.67,52.47,50.49,51.94,5961800,280,1
81,51.38,51.9,51.16,51.66,3953600,280,1
82,51.48,51.48,49.85,50.66,3993400,280,1
83,50.92,51.24,50.53,50.88,2698000,280,1
84,50.99,51.22,50.44,50.68,1794900,280,1
85,50.29,50.33,49.78,50.07,1388600,280,1
86,50.46,50.83,49.87,50.01,1781700,280,1
87,50.25,51.09,50.18,50.99,1845800,280,1
88,50.74,51.67,50.73,50.79,4201500,280,1
89,50.98,51.27,50.65,51.0,2164300,280,1
90,50.98,52.41,50.96,52.32,1972500,280,1
91,52.32,53.14,51.75,51.82,3004200,280,1
92,51.17,51.63,50.41,51.18,4451100,280,1
93,51.64,51.97,51.18,51.51,4861100,280,1
94,50.99,51.03,49.21,49.29,2583800,280,1
95,49.79,50.14,49.38,49.73,1548300,280,1
96,50.18,50.41,49.4,49.73,1826100,280,1
97,49.89,50.08,49.15,49.19,3301300,280,1
98,49.21,49.87,49.06,49.25,3553700,280,1
99,49.67,50.08,49.55,49.59,2676600,280,1
100,49.59,50.18,49.47,49.79,1487800,280,1
101,49.5,49.5,48.77,49.2,1171500,280,1
102,49.59,49.95,49.05,49.67,2196400,280,1
103,49.85,50.6,49.76,50.37,2309400,280,1
104,50.58,51.06,50.09,50.57,2195100,280,1
105,50.52,50.8,50.08,50.61,2616700,280,1
106,51.24,52.39,51.05,52.33,3639400,280,1
107,52.33,52.33,51.57,51.82,1633100,280,1
108,51.7,52.6,51.64,52.07,1469000,280,1
109,52.22,52.51,51.58,51.81,1404800,280,1
110,51.95,52.41,51.69,51.93,1089800,280,1
111,52.04,52.7,52.03,52.57,1329100,280,1
112,52.51,52.72,52.12,52.49,1327000,280,1
113,52.41,52.98,52.39,52.91,914600,280,1
114,52.94,53.45,52.76,53.17,1672500,280,1
115,53.23,53.36,52.49,52.64,1245100,280,1
116,52.51,53.26,52.48,53.25,1086200,280,1
117,53.09,53.77,52.82,53.68,1485900,280,1
118,53.66,55.8,53.61,55.41,4197600,280,1
119,55.65,55.65,54.75,55.32,2108200,280,1
120,55.24,56.01,55.12,55.77,1950400,280,1
121,56.11,57.62,55.91,57.55,1966500,280,1
