id_date,open,high,low,close,volume,id_stock,id_index
1,23.24,23.74,23.24,23.73,823004,284,1
2,23.75,23.99,23.18,23.31,755017,284,1
3,23.35,23.52,23.1,23.2,1190278,284,1
4,23.33,23.33,23.07,23.26,1746528,284,1
5,23.25,23.4,23.04,23.08,1516046,284,1
6,23.17,23.42,23.15,23.25,1106884,284,1
7,23.25,23.25,22.34,22.41,2316531,284,1
8,22.46,22.85,22.44,22.6,2265776,284,1
9,22.63,22.78,21.88,21.99,1827841,284,1
10,22.13,23.05,22.13,22.48,1654326,284,1
11,22.55,22.66,22.36,22.37,1973004,284,1
12,22.45,22.58,22.27,22.37,1290082,284,1
13,22.32,23.04,22.14,22.93,1639281,284,1
14,22.0,22.24,20.721,21.19,7505361,284,1
15,21.24,21.24,20.42,20.43,4979520,284,1
16,20.43,20.86,20.25,20.66,3682269,284,1
17,20.81,20.885,20.44,20.48,3641252,284,1
18,20.5,20.55,20.09,20.17,4816122,284,1
19,20.23,20.45,20.16,20.21,2923862,284,1
20,20.6,21.44,20.23,21.42,4304080,284,1
21,21.41,21.6,21.14,21.59,2855578,284,1
22,21.52,21.6199,21.32,21.4,2507256,284,1
23,21.45,21.855,21.25,21.8,1760430,284,1
24,21.81,21.905,21.51,21.64,1621678,284,1
25,21.61,21.72,21.04,21.09,6024821,284,1
26,20.69,21.26,20.354,20.9,2096769,284,1
27,21.0,21.12,20.65,20.955,2408843,284,1
28,20.99,21.18,20.855,21.15,1715855,284,1
29,20.94,21.1,20.79,21.0,1138381,284,1
30,21.01,21.17,20.65,20.76,1632395,284,1
31,20.88,21.2,20.8,20.93,1619968,284,1
32,20.99,21.58,20.99,21.36,2398691,284,1
33,21.26,21.68,21.07,21.49,1382322,284,1
34,21.48,21.795,21.4,21.76,1436493,284,1
35,21.81,21.815,21.35,21.42,1382440,284,1
36,21.51,21.62,21.29,21.38,702850,284,1
37,21.44,21.5,21.06,21.11,1724457,284,1
38,21.07,21.47,21.06,21.26,1179507,284,1
39,21.02,21.42,20.9501,21.32,944041,284,1
40,21.23,21.54,21.065,21.53,896767,284,1
41,21.52,21.61,21.225,21.44,785512,284,1
42,21.41,21.51,21.16,21.25,3475874,284,1
43,21.34,21.81,21.25,21.72,1885418,284,1
44,21.59,22.26,21.59,22.04,2142455,284,1
45,21.97,22.25,21.0,21.1,1940003,284,1
46,21.21,21.44,21.07,21.43,826838,284,1
47,21.22,21.28,20.7,20.91,1096352,284,1
48,20.93,21.14,20.44,20.54,1113251,284,1
49,20.53,20.94,20.28,20.71,1302495,284,1
50,20.82,21.11,20.28,21.03,1829948,284,1
51,20.97,21.42,20.97,21.16,1171949,284,1
52,21.22,21.56,21.16,21.48,1982066,284,1
53,21.72,23.53,21.54,22.825,5142584,284,1
54,22.94,23.0699,22.48,23.0,1723455,284,1
55,23.15,23.58,22.83,23.53,1989709,284,1
56,23.52,24.1,23.28,24.08,2485676,284,1
57,24.07,24.26,23.79,23.83,2033564,284,1
58,23.96,24.51,23.77,24.23,1905358,284,1
59,24.53,24.91,24.52,24.78,1743201,284,1
60,24.84,24.99,24.561,24.85,1225596,284,1
61,24.86,25.05,24.59,25.04,1354243,284,1
62,25.05,25.05,24.65,24.88,1188380,284,1
63,24.81,24.96,24.49,24.68,1073036,284,1
64,24.72,24.98,24.615,24.65,1148810,284,1
65,24.6,24.7,24.35,24.56,1010452,284,1
66,24.61,24.91,24.52,24.88,646679,284,1
67,24.81,25.36,24.8,25.28,1221195,284,1
68,25.34,25.44,25.01,25.25,1027041,284,1
69,25.34,25.72,25.16,25.68,1248912,284,1
70,25.62,25.89,25.62,25.65,1266229,284,1
71,25.62,25.708,25.325,25.39,1211346,284,1
72,25.37,25.545,24.735,24.91,1091373,284,1
73,24.72,24.85,24.38,24.81,1303493,284,1
74,25.21,25.3,24.53,24.78,859909,284,1
75,25.19,25.28,25.03,25.16,843715,284,1
76,24.88,25.04,24.53,24.53,757300,284,1
77,24.66,24.8,24.55,24.72,960431,284,1
78,24.62,25.03,24.47,24.48,1029666,284,1
79,24.53,24.64,23.93,24.34,987446,284,1
80,24.31,24.42,23.84,24.0,778375,284,1
81,23.88,24.1099,23.74,23.93,979954,284,1
82,23.85,24.19,23.68,24.19,834249,284,1
83,24.37,24.76,24.11,24.67,718132,284,1
84,24.66,24.95,24.52,24.77,942252,284,1
85,24.42,24.9,24.31,24.74,731213,284,1
86,24.92,24.95,24.33,24.58,1236686,284,1
87,25.21,25.39,24.33,25.03,860957,284,1
88,24.97,25.355,24.91,25.3,1159150,284,1
89,25.56,26.23,25.38,26.12,2094234,284,1
90,26.26,26.58,26.1,26.385,1716100,284,1
91,26.5,26.52,26.03,26.15,1379451,284,1
92,25.89,26.03,25.15,25.28,1455857,284,1
93,25.4,25.57,24.99,25.28,1914078,284,1
94,25.05,25.95,24.79,25.61,1444148,284,1
95,25.85,25.96,25.35,25.65,1129394,284,1
96,25.82,26.012,25.59,25.93,1229640,284,1
97,26.17,26.46,25.97,26.2,1220644,284,1
98,26.05,26.47,25.73,25.75,4072411,284,1
99,26.39,26.795,25.78,26.45,1722500,284,1
100,26.45,26.83,25.71,25.98,3080221,284,1
101,25.84,26.06,25.81,25.99,1037593,284,1
102,26.37,26.42,25.945,26.15,1022757,284,1
103,26.31,26.44,25.92,26.2,1120673,284,1
104,26.4,26.64,26.22,26.29,964297,284,1
105,26.23,26.3,25.8,25.92,1186849,284,1
106,26.28,26.8,25.81,25.9,1505646,284,1
107,25.86,26.14,25.86,26.0,1023501,284,1
108,26.09,26.17,25.57,25.9,1424932,284,1
109,26.02,26.16,25.38,25.62,1747186,284,1
110,25.76,25.88,25.55,25.62,915001,284,1
111,25.77,26.06,25.632,25.91,906107,284,1
112,25.74,26.01,25.65,25.84,805533,284,1
113,25.8,26.05,25.76,26.0,713143,284,1
114,25.98,25.99,25.66,25.8,471937,284,1
115,25.97,26.4,25.91,25.965,910477,284,1
116,26.02,26.22,25.81,26.14,875872,284,1
117,26.01,26.25,25.74,26.18,501842,284,1
118,26.2,26.42,25.99,26.06,933185,284,1
119,26.24,26.57,26.03,26.39,1098877,284,1
120,26.55,26.68,26.02,26.07,1112991,284,1
121,27.79,30.17,27.38,29.11,4566332,284,1
