id_date,open,high,low,close,volume,id_stock,id_index
1,29.31,29.43,29.105,29.43,2288601,288,1
2,29.39,29.72,29.21,29.53,2895311,288,1
3,29.45,29.93,29.37,29.89,3166038,288,1
4,29.88,30.28,29.88,30.16,3307787,288,1
5,29.92,30.53,29.59,30.45,2868353,288,1
6,30.34,30.58,30.18,30.33,4023710,288,1
7,30.49,30.79,30.44,30.75,3311678,288,1
8,30.76,30.82,29.54,29.62,3916319,288,1
9,29.48,29.53,29.0,29.22,2313855,288,1
10,29.51,29.76,29.47,29.73,2510397,288,1
11,29.92,29.97,28.33,28.33,4264918,288,1
12,28.52,28.63,27.82,28.49,4008068,288,1
13,28.86,29.37,28.77,29.29,4529147,288,1
14,29.31,29.95,29.22,29.54,3513025,288,1
15,29.26,29.81,28.91,29.8,3823568,288,1
16,29.6,30.22,29.5,30.21,3091281,288,1
17,30.41,31.22,30.32,30.88,3221218,288,1
18,31.07,31.56,31.04,31.3,3093263,288,1
19,31.4,31.755,31.23,31.63,2950677,288,1
20,31.95,33.105,31.95,33.0,7906541,288,1
21,32.9,33.33,32.62,33.14,4477899,288,1
22,33.06,33.185,32.77,33.0,2933633,288,1
23,33.09,33.3,32.78,33.24,2818191,288,1
24,33.47,33.66,33.29,33.47,2640584,288,1
25,33.32,33.545,33.065,33.44,4428622,288,1
26,32.66,33.19,32.42,32.83,2931040,288,1
27,33.06,33.18,32.01,32.35,4313918,288,1
28,32.71,33.02,32.6,32.85,3008937,288,1
29,32.56,32.725,32.245,32.37,2287766,288,1
30,32.61,32.73,32.31,32.67,1207297,288,1
31,32.92,33.018,32.08,32.27,3504010,288,1
32,32.6,32.705,32.425,32.6,2316979,288,1
33,32.24,32.52,31.93,32.45,2286838,288,1
34,32.5,32.675,32.22,32.61,2138134,288,1
35,32.6,32.745,32.1,32.24,1401878,288,1
36,32.53,32.9,32.4,32.6,1604192,288,1
37,32.61,32.67,31.69,31.85,2641621,288,1
38,32.01,32.016,31.16,31.53,4798093,288,1
39,30.77,30.89,30.04,30.87,4394840,288,1
40,30.96,31.21,30.67,31.21,2366103,288,1
41,31.38,32.02,31.26,31.9,2911223,288,1
