id_date,open,high,low,close,volume,id_stock,id_index
1,11.6,11.73,11.53,11.64,6534957,293,1
2,11.67,11.76,11.63,11.65,4477580,293,1
3,11.65,11.66,11.51,11.55,3759886,293,1
4,11.57,11.655,11.54,11.61,3951473,293,1
5,11.6,11.6,11.38,11.47,8080751,293,1
6,11.53,11.755,11.5,11.6,6955542,293,1
7,11.64,11.7,11.56,11.7,4931850,293,1
8,11.66,11.69,11.41,11.43,4587646,293,1
9,11.42,11.48,11.31,11.45,6436921,293,1
10,11.47,11.63,11.45,11.6,4704042,293,1
11,11.63,11.72,11.31,11.32,6134503,293,1
12,11.35,11.41,11.23,11.4,5916994,293,1
13,11.38,11.82,11.38,11.82,6345630,293,1
14,11.82,11.895,11.64,11.7,7956918,293,1
15,11.66,11.95,11.66,11.82,5655890,293,1
16,11.76,12.09,11.745,12.04,8431440,293,1
17,12.13,12.15,11.98,12.11,8189336,293,1
18,12.17,12.205,11.98,12.05,5551771,293,1
19,11.97,12.12,11.94,12.09,6672692,293,1
20,12.25,12.3,12.14,12.26,6872234,293,1
21,12.19,12.33,12.07,12.33,8168469,293,1
22,12.34,12.46,12.29,12.34,7602797,293,1
23,12.35,12.53,12.35,12.45,5648754,293,1
24,12.46,12.55,12.37,12.55,5133314,293,1
25,12.52,12.55,12.36,12.38,8399699,293,1
26,12.29,12.6,12.14,12.56,4583765,293,1
27,12.6,12.69,12.49,12.64,4154842,293,1
28,12.68,12.84,12.62,12.79,5578624,293,1
29,12.72,12.895,12.72,12.76,5900106,293,1
30,12.79,12.93,12.61,12.87,7440576,293,1
31,12.95,12.99,12.753,12.86,7223630,293,1
32,12.87,13.06,12.82,12.95,9168058,293,1
33,12.86,13.25,12.84,13.19,8495010,293,1
34,13.25,13.575,13.21,13.48,11792267,293,1
35,13.47,13.51,13.18,13.23,6335593,293,1
36,13.19,13.22,12.62,12.68,13026095,293,1
37,12.685,12.865,12.48,12.54,11925790,293,1
38,12.54,12.85,12.5396,12.8,7572524,293,1
39,12.6,12.83,12.445,12.81,6813443,293,1
40,12.83,12.95,12.64,12.93,7278731,293,1
41,12.93,13.04,12.79,12.9,6670105,293,1
42,12.9,13.14,12.9,13.04,6556748,293,1
43,13.06,13.25,13.0,13.09,6883500,293,1
44,13.06,13.22,13.03,13.15,4890299,293,1
45,13.11,13.2,12.61,12.67,9394171,293,1
46,12.86,13.18,12.81,13.18,8202223,293,1
47,13.12,13.2,12.9,13.15,6760303,293,1
48,13.16,13.16,12.925,12.98,3735477,293,1
49,13.02,13.4,12.96,13.34,4922240,293,1
50,13.46,13.48,13.11,13.17,7305000,293,1
51,13.19,13.45,13.14,13.34,7599893,293,1
