id_date,open,high,low,close,volume,id_stock,id_index
1,61.56,62.23,60.94,62.11,3317232,294,1
2,61.82,61.82,60.29,60.54,3176456,294,1
3,60.62,60.89,60.12,60.51,2779682,294,1
4,61.71,63.3,61.6,62.3,3847273,294,1
5,61.57,61.9,61.06,61.17,9634675,294,1
6,61.19,61.285,59.88,60.4,7182955,294,1
7,60.84,61.18,60.385,61.18,3519548,294,1
8,61.15,61.4,60.17,60.26,8481598,294,1
9,58.63,59.31,56.91,57.68,7841350,294,1
10,58.3,59.32,57.97,59.32,3974434,294,1
11,59.38,59.68,56.97,56.98,4838513,294,1
12,57.46,57.72,55.94,56.84,7557170,294,1
13,57.01,58.44,56.5,58.2,5336945,294,1
14,58.38,59.46,58.17,58.62,3650753,294,1
15,58.19,60.64,57.43,59.69,5650043,294,1
16,59.47,60.44,58.75,60.44,3376569,294,1
17,60.54,61.42,60.53,60.77,4685385,294,1
18,61.9,62.79,61.41,62.52,4936967,294,1
19,62.72,62.73,62.08,62.13,2085296,294,1
20,62.79,63.85,62.59,63.6,3135130,294,1
21,63.32,63.83,62.2,63.73,3089822,294,1
22,63.77,64.4,63.62,64.08,4514369,294,1
23,64.09,64.52,63.19,63.3,4700006,294,1
24,63.94,65.35,63.86,64.77,4700782,294,1
25,64.44,65.69,63.87,64.01,5086081,294,1
26,63.39,64.06,63.08,63.75,3357927,294,1
27,63.73,64.46,62.845,64.01,5838419,294,1
28,64.52,65.665,64.455,65.42,4508643,294,1
29,64.97,65.69,64.23,64.41,3722807,294,1
30,64.66,64.93,64.25,64.5,2185963,294,1
31,64.91,65.14,63.19,63.35,3528618,294,1
32,63.74,64.0,63.36,63.45,3756186,294,1
33,63.01,63.515,62.57,63.37,2227204,294,1
34,63.56,64.15,63.18,63.29,2877458,294,1
35,63.09,63.17,61.56,61.75,3735228,294,1
36,62.43,62.61,59.54,59.84,6255309,294,1
37,59.77,59.8,57.78,58.65,10159986,294,1
38,58.8,59.32,58.61,58.78,3656299,294,1
39,57.67,59.035,57.11,58.98,4232003,294,1
40,59.025,59.1,58.2,58.8,4337590,294,1
41,58.84,60.35,58.69,60.22,3583648,294,1
42,60.42,60.87,59.92,60.77,2355148,294,1
43,60.75,62.13,60.55,61.38,3175756,294,1
44,61.07,61.2,58.67,59.46,4363429,294,1
45,58.64,58.71,55.47,55.51,7147450,294,1
46,56.15,57.55,55.7,57.33,4902182,294,1
47,56.66,56.66,55.415,56.1,6444536,294,1
48,56.24,56.35,55.02,55.81,4929264,294,1
49,56.25,58.01,56.16,57.86,4639545,294,1
50,58.15,59.11,57.37,58.64,2878416,294,1
51,58.89,59.7,58.69,59.34,2779294,294,1
52,59.56,60.56,59.13,60.33,3638675,294,1
53,61.9,63.27,60.77,60.92,4978239,294,1
54,61.99,62.24,58.57,60.14,4348182,294,1
55,60.39,61.6425,59.68,61.46,3345520,294,1
56,61.44,61.49,60.48,60.7,3457460,294,1
57,60.55,60.75,57.41,57.54,5845545,294,1
58,57.96,59.47,57.33,58.9,5122461,294,1
59,60.17,61.06,60.07,60.95,4446043,294,1
60,62.59,62.655,61.23,62.65,4331501,294,1
61,62.94,63.7999,62.11,63.28,4320585,294,1
62,63.3,63.52,61.91,62.84,3595608,294,1
63,62.66,62.91,61.37,61.47,5333930,294,1
64,61.11,61.61,60.41,61.55,4563888,294,1
65,62.5,62.78,61.34,62.3,5772508,294,1
66,62.07,64.99,61.99,64.64,6492178,294,1
67,64.42,65.36,64.36,64.68,3677693,294,1
68,64.35,66.2,64.28,66.11,5269405,294,1
69,66.34,67.32,65.74,67.32,5283752,294,1
70,67.27,67.45,66.8,66.95,2870164,294,1
71,66.92,67.28,65.81,65.85,4138102,294,1
72,65.59,67.05,64.64,65.07,3482055,294,1
73,64.8,66.22,62.71,65.83,4930536,294,1
74,65.26,65.9199,64.85,65.72,2250461,294,1
75,66.74,68.09,66.32,67.18,4455887,294,1
76,66.54,67.08,65.72,66.28,3045650,294,1
77,66.25,67.59,65.84,66.79,3137590,294,1
78,66.61,68.07,66.01,66.65,6467801,294,1
79,66.82,67.37,65.22,67.31,4076910,294,1
80,67.09,68.46,67.09,67.68,4081461,294,1
81,67.41,67.64,65.405,65.68,4468479,294,1
82,65.56,66.58,65.3,66.4,4045725,294,1
83,65.49,65.6,64.62,64.87,7591547,294,1
84,65.06,65.84,64.77,65.0,3367756,294,1
85,64.23,65.22,63.67,64.19,3285881,294,1
86,65.04,65.29,64.03,64.12,2382022,294,1
87,64.05,66.905,64.0,66.59,7208695,294,1
88,66.48,68.11,66.3,67.42,4427955,294,1
89,68.1,68.53,67.45,68.14,3489474,294,1
90,68.48,69.45,68.39,68.81,3209705,294,1
91,68.97,69.42,68.49,68.61,2692196,294,1
92,67.45,68.162,66.7,67.0,3984985,294,1
93,67.54,67.69,65.23,66.75,5082582,294,1
94,65.06,65.75,63.89,65.03,4874993,294,1
95,65.69,66.89,65.69,66.46,3536092,294,1
96,66.95,67.23,65.58,66.98,3619505,294,1
97,67.7,68.02,67.07,67.5,4611011,294,1
98,67.45,67.75,66.26,66.26,9611874,294,1
99,67.0,68.38,66.07,66.28,6962197,294,1
100,66.31,66.7,64.94,65.41,5823239,294,1
101,64.96,66.61,64.74,66.5,1987908,294,1
102,67.33,67.69,66.71,67.68,2870279,294,1
103,68.33,68.62,67.77,68.3,2207115,294,1
104,69.0,69.49,68.0,68.97,2486927,294,1
105,68.63,69.919,68.58,69.81,3841673,294,1
106,70.61,70.64,69.11,69.39,3658389,294,1
107,69.39,70.185,68.78,70.0,2901683,294,1
108,70.44,71.33,69.89,70.89,3003551,294,1
109,71.26,71.283,68.741,69.26,3074887,294,1
110,69.73,70.024,67.84,67.94,4318677,294,1
111,68.3,68.62,67.53,67.54,4580983,294,1
112,67.52,68.88,67.2,68.41,3750075,294,1
113,68.61,69.05,68.35,68.46,1821494,294,1
114,69.05,69.26,67.85,67.9,2513591,294,1
115,68.0,68.27,67.23,67.42,2021390,294,1
116,67.41,68.28,67.39,68.05,2230746,294,1
117,69.83,70.27,66.5,67.4,3383132,294,1
118,67.4,68.03,66.35,67.72,2935257,294,1
119,67.65,69.465,67.02,68.92,3626251,294,1
120,68.89,69.47,68.25,68.71,2322444,294,1
121,68.3,68.93,67.86,67.99,9263766,294,1
122,68.0,69.24,67.74,68.95,4124001,294,1
123,68.94,69.71,68.915,69.47,3866986,294,1
124,69.37,69.52,68.37,68.58,4236659,294,1
125,68.39,68.56,67.96,67.99,3351851,294,1
126,68.75,69.0,68.24,68.59,3046499,294,1
127,68.77,69.51,68.14,68.7,2596489,294,1
128,68.42,68.8,68.05,68.3,3386099,294,1
129,68.48,70.4,68.12,70.08,3925653,294,1
130,70.17,70.53,69.55,69.58,2854559,294,1
131,69.35,69.52,68.18,68.34,4126453,294,1
132,68.07,69.0,67.74,68.87,2948210,294,1
133,68.51,69.3,68.35,68.52,2233103,294,1
134,68.52,68.6,67.52,68.24,2537178,294,1
135,68.18,68.4,67.67,67.75,2283280,294,1
136,67.89,69.96,67.75,69.5,2325201,294,1
137,69.7,70.19,69.3,70.12,2065848,294,1
138,70.3,71.04,70.09,70.12,3133305,294,1
139,69.2,69.62,68.53,68.79,3212346,294,1
140,68.87,69.7,68.32,69.48,2049404,294,1
141,69.25,70.67,69.04,70.3,2363764,294,1
142,70.43,70.67,69.78,70.15,2800015,294,1
143,71.19,71.89,69.795,70.47,4317456,294,1
144,69.23,69.67,68.94,69.46,6404852,294,1
145,69.4,70.63,69.24,70.34,4696106,294,1
146,70.63,71.005,69.98,70.32,3254979,294,1
147,70.35,70.89,70.26,70.74,2886630,294,1
148,71.31,71.67,70.82,70.9,4361046,294,1
149,71.09,71.09,70.26,70.73,3891676,294,1
150,70.74,70.95,70.08,70.19,4248755,294,1
151,70.48,71.235,70.39,71.0,3647010,294,1
152,71.96,72.169,71.16,71.39,4313892,294,1
153,71.64,72.9,71.41,72.68,2937603,294,1
154,72.88,73.52,72.51,73.37,4927740,294,1
155,73.46,75.67,73.0,73.79,5150665,294,1
156,73.89,74.22,72.93,73.03,12059758,294,1
157,72.6,72.95,71.78,72.63,3255068,294,1
158,72.66,72.97,72.31,72.42,2512169,294,1
159,72.47,73.4,72.0855,72.92,2448495,294,1
160,73.39,74.23,73.11,74.01,3188833,294,1
161,73.7,74.22,73.3,73.39,2364093,294,1
162,72.37,73.59,72.101,73.23,2032850,294,1
163,73.29,74.11,73.25,74.11,1805087,294,1
164,73.76,74.15,72.92,74.04,2122659,294,1
165,73.94,74.205,72.57,73.98,3364249,294,1
166,73.86,75.47,73.65,75.39,2933384,294,1
167,74.75,75.57,74.35,74.58,1764425,294,1
168,74.4,74.45,72.8,73.17,3148141,294,1
169,73.29,73.34,72.27,72.73,2939820,294,1
