id_date,open,high,low,close,volume,id_stock,id_index
1,17.88,17.94,17.66,17.79,2784479,300,1
2,17.79,17.95,17.66,17.79,4462824,300,1
3,19.3,20.435,19.04,20.01,23556699,300,1
4,20.1,20.7,20.08,20.36,8811253,300,1
5,20.45,20.45,20.08,20.11,5630945,300,1
6,20.22,20.25,19.94,20.0,4604123,300,1
7,20.04,20.13,19.75,19.98,6407770,300,1
8,19.88,19.89,18.64,18.73,8109855,300,1
9,18.63,18.76,18.41,18.64,7450878,300,1
10,18.76,19.03,18.75,18.92,3642479,300,1
11,19.03,19.18,17.98,18.01,5852790,300,1
12,18.19,18.81,17.98,18.72,6840548,300,1
13,18.74,19.32,18.73,19.2,4056253,300,1
14,19.2,19.49,19.1,19.26,2950198,300,1
15,19.12,19.37,18.815,19.22,4112099,300,1
16,19.1,19.51,19.04,19.51,3258272,300,1
17,19.66,20.18,19.6105,20.02,4859659,300,1
18,20.14,20.24,19.705,19.89,3776204,300,1
19,19.97,20.24,19.74,19.96,4745079,300,1
20,20.16,20.28,19.88,19.94,4084416,300,1
21,20.21,20.26,19.82,19.85,5071144,300,1
22,19.85,19.89,19.39,19.56,3898472,300,1
23,19.6,20.23,19.51,20.19,4992824,300,1
24,20.24,20.55,20.22,20.27,4599021,300,1
25,20.24,20.39,19.93,19.96,5621030,300,1
26,19.71,20.44,19.62,20.22,4652950,300,1
27,20.36,20.62,20.11,20.41,4061054,300,1
28,20.54,21.065,20.54,20.94,4622364,300,1
29,20.78,20.85,20.09,20.54,6762669,300,1
30,20.59,20.69,20.39,20.6,2778662,300,1
31,20.68,20.94,20.36,20.55,3292672,300,1
32,20.63,20.82,20.34,20.64,3701530,300,1
33,20.46,20.535,20.155,20.5,2483043,300,1
34,20.52,20.55,20.13,20.25,3620457,300,1
35,20.27,20.29,19.76,19.89,2667064,300,1
36,19.95,20.09,19.51,19.64,2714002,300,1
37,19.57,19.745,18.96,19.2,4538437,300,1
38,19.23,19.59,19.01,19.23,5569648,300,1
39,18.91,19.35,18.46,19.28,4466813,300,1
40,19.27,19.64,19.11,19.6,4412186,300,1
41,19.66,19.77,19.43,19.59,3810925,300,1
42,19.61,19.85,19.49,19.83,3370076,300,1
43,19.85,20.245,19.81,20.16,4157545,300,1
44,20.1,20.29,19.84,20.11,3230895,300,1
45,19.94,19.96,18.57,18.65,7203860,300,1
46,18.96,19.39,18.8,19.33,5055629,300,1
47,19.1,19.1,18.51,19.0,4946585,300,1
48,19.09,19.115,18.6,18.79,4147785,300,1
49,18.87,19.4,18.79,19.27,3258659,300,1
50,19.32,19.34,18.86,19.21,3001176,300,1
51,19.41,20.04,19.41,20.03,5114164,300,1
52,20.12,20.47,19.96,20.31,4098827,300,1
53,20.41,20.591,20.29,20.35,4194346,300,1
54,20.31,20.69,20.1701,20.62,5185375,300,1
55,20.71,20.92,20.405,20.42,7679034,300,1
56,20.15,20.44,19.2,19.44,12641976,300,1
57,19.43,20.29,19.43,20.11,8326681,300,1
58,20.12,21.1,20.12,20.96,6169948,300,1
59,21.27,22.1,21.265,21.6,7423328,300,1
60,21.61,21.75,21.42,21.59,5294515,300,1
61,21.68,21.74,21.23,21.58,5405746,300,1
62,21.59,21.59,21.27,21.4,3768270,300,1
63,21.36,21.77,21.085,21.13,6683345,300,1
64,21.21,21.57,21.01,21.56,3859560,300,1
65,21.59,21.8,21.33,21.43,2544156,300,1
66,21.38,22.23,21.31,22.17,4364319,300,1
67,22.01,22.66,21.95,22.6,5079992,300,1
68,22.47,22.65,21.895,22.21,3924387,300,1
69,22.4,22.81,22.34,22.74,3220291,300,1
70,22.7,22.829,22.135,22.23,4111838,300,1
71,22.38,22.68,21.95,22.05,7254249,300,1
72,22.18,22.64,21.59,21.85,7834782,300,1
73,21.52,22.32,21.26,22.17,5056547,300,1
