id_date,open,high,low,close,volume,id_stock,id_index
1,39.59,40.4,39.59,40.32,3665554,301,1
2,40.26,40.47,40.08,40.27,2598843,301,1
3,40.31,40.69,40.295,40.67,2914847,301,1
4,40.81,41.1,40.62,40.99,2489158,301,1
5,41.08,41.19,40.78,41.15,2903038,301,1
6,41.11,41.31,40.78,40.849,3206833,301,1
7,41.0,41.285,40.67,41.2,3580947,301,1
8,40.87,41.135,40.69,40.77,2389744,301,1
9,40.85,40.87,40.325,40.42,2315218,301,1
10,40.66,41.0,40.29,40.52,2035951,301,1
11,40.9,41.01,39.945,39.96,1843991,301,1
12,40.08,40.35,39.87,40.2,1664779,301,1
13,40.13,40.94,40.08,40.82,2411371,301,1
14,40.74,41.11,40.67,40.75,2420197,301,1
15,40.59,40.73,40.18,40.5,2663660,301,1
16,40.38,40.71,40.34,40.6,2461568,301,1
17,40.93,41.29,40.77,41.17,1825674,301,1
18,41.22,41.43,40.89,40.94,2079518,301,1
19,41.16,41.48,40.999,41.26,2554147,301,1
20,41.46,41.64,41.02,41.43,1748941,301,1
21,41.26,41.67,41.26,41.67,1850153,301,1
22,41.71,41.78,41.45,41.61,2430804,301,1
23,41.71,42.015,41.42,41.92,2354867,301,1
24,42.06,42.33,42.01,42.3,2194787,301,1
25,42.01,42.34,42.01,42.14,2611366,301,1
26,41.73,42.1,41.615,41.79,1476492,301,1
27,41.83,42.07,41.52,41.81,1617131,301,1
28,42.25,42.495,42.08,42.299,2487955,301,1
29,42.2,42.64,42.2,42.58,2255128,301,1
30,42.78,43.24,42.38,43.24,2418373,301,1
31,43.92,43.99,43.075,43.51,3379232,301,1
32,43.75,43.77,43.44,43.56,1682569,301,1
33,43.16,43.54,43.12,43.35,1821506,301,1
34,43.51,43.925,43.35,43.77,3412676,301,1
35,43.73,43.94,43.5,43.55,2065766,301,1
36,43.81,44.25,43.65,44.02,1964375,301,1
37,44.05,44.08,42.96,42.99,2733344,301,1
38,42.93,43.45,42.8,43.28,2346893,301,1
39,42.21,42.69,41.91,42.64,2991535,301,1
40,42.61,42.91,42.46,42.91,1950767,301,1
41,42.88,43.42,42.68,43.26,2099559,301,1
42,43.52,44.07,43.4,44.055,1896399,301,1
43,44.19,44.42,44.03,44.22,1850208,301,1
44,44.21,44.29,43.951,44.02,1891090,301,1
45,43.92,44.23,43.0005,43.02,2210850,301,1
46,43.12,43.25,42.8,42.98,4536307,301,1
47,44.91,45.37,43.69,43.78,6434254,301,1
48,43.75,44.2499,43.13,43.98,4138619,301,1
49,43.92,44.06,43.59,44.009,3021625,301,1
50,44.12,44.4,43.83,44.07,2236761,301,1
51,44.37,44.44,43.57,44.21,2906636,301,1
52,44.44,44.5043,44.15,44.24,1844480,301,1
53,44.35,44.98,44.22,44.82,2938320,301,1
54,44.91,44.97,44.56,44.65,1955532,301,1
55,44.66,44.94,44.44,44.81,1636332,301,1
56,44.74,45.72,44.55,45.66,3189851,301,1
57,45.7,45.71,44.87,44.93,1817773,301,1
58,45.68,45.68,44.66,44.79,1612707,301,1
59,45.11,45.54,44.9,45.35,1759974,301,1
60,45.28,45.54,44.95,45.52,1312807,301,1
61,45.57,46.1,45.5,45.89,1698102,301,1
62,46.0,46.415,45.89,46.26,1456512,301,1
63,46.44,46.54,45.935,46.08,1586151,301,1
64,45.9,46.3157,45.87,45.98,1347827,301,1
65,46.02,46.3,45.93,46.17,1027080,301,1
66,46.11,48.48,46.03,46.58,1465013,301,1
67,46.5,46.86,46.33,46.65,1816193,301,1
68,46.56,46.88,46.09,46.19,1101113,301,1
69,46.59,46.8,46.2,46.79,1614466,301,1
70,46.68,46.82,46.09,46.17,1791399,301,1
71,46.09,46.79,45.78,46.65,1605126,301,1
72,46.48,47.0801,45.73,45.87,1734285,301,1
73,45.55,45.66,45.205,45.35,2039892,301,1
74,45.1,45.78,44.97,45.63,1315570,301,1
75,45.93,46.55,45.65,45.73,1127987,301,1
76,45.65,45.65,44.835,44.85,2248402,301,1
77,44.95,45.71,44.8,45.01,1663293,301,1
78,44.84,45.35,44.74,44.75,2282065,301,1
79,44.7,45.12,44.46,44.94,2541971,301,1
80,44.92,45.145,44.49,44.81,1662262,301,1
81,44.8,44.87,43.925,43.99,1762006,301,1
82,44.13,44.32,43.85,44.32,1958377,301,1
83,44.78,45.21,44.5,45.18,1922691,301,1
84,44.81,45.44,44.74,44.93,1591573,301,1
85,44.46,45.0045,44.215,44.73,1871752,301,1
86,44.91,44.93,43.94,43.97,1702909,301,1
87,43.9,44.97,43.9,44.89,1370591,301,1
88,44.95,45.23,44.675,44.71,1289506,301,1
89,44.83,45.08,44.2,44.46,2307819,301,1
90,44.47,45.09,44.415,45.05,1307144,301,1
91,45.15,45.79,45.054,45.21,2111783,301,1
92,44.84,45.0,43.98,44.02,2000154,301,1
93,44.32,44.52,43.83,44.12,3819276,301,1
94,43.97,44.17,43.782,43.92,2452814,301,1
95,44.35,44.45,43.83,44.36,1114700,301,1
96,44.75,44.91,44.21,44.44,1414286,301,1
97,44.65,45.17,44.65,44.97,1145461,301,1
98,44.78,45.59,44.74,45.31,3129971,301,1
99,45.46,45.8,45.325,45.65,1500098,301,1
100,45.58,45.71,44.99,45.04,2250339,301,1
101,44.94,45.23,44.89,44.93,1065548,301,1
102,45.1,45.81,44.99,45.69,1390218,301,1
103,45.97,46.25,45.81,46.02,1785953,301,1
104,46.47,46.97,46.34,46.38,1904148,301,1
105,46.41,46.56,46.08,46.52,1906846,301,1
106,47.1,47.11,46.35,46.69,2184078,301,1
107,46.83,47.19,46.72,47.08,2456062,301,1
108,46.99,47.41,46.37,46.63,2155990,301,1
109,46.79,46.97,46.11,46.33,2797196,301,1
110,42.8,44.45,42.8,43.16,11722404,301,1
111,43.18,43.79,43.18,43.61,4226485,301,1
112,43.37,43.44,42.06,42.38,5817432,301,1
113,42.39,42.55,41.9,42.08,3967651,301,1
114,42.25,42.8,42.095,42.41,4031925,301,1
