id_date,open,high,low,close,volume,id_stock,id_index
1,63.66,63.84,63.33,63.63,514283,311,1
2,63.69,64.0,63.52,63.94,453844,311,1
3,64.09,64.2,63.6701,64.09,517231,311,1
4,64.5,64.5,63.84,64.09,362148,311,1
5,64.25,64.92,64.23,64.39,1003324,311,1
6,64.44,65.08,64.43,64.69,527063,311,1
7,64.88,65.31,64.66,65.01,778010,311,1
8,64.88,65.56,64.76,65.29,651981,311,1
9,65.08,65.78,64.97,65.35,997858,311,1
10,65.57,66.2,65.41,66.2,481904,311,1
11,66.32,66.38,65.42,65.42,660404,311,1
12,65.64,66.81,65.64,66.61,990919,311,1
13,66.53,67.44,66.35,67.32,640758,311,1
14,67.31,67.66,66.92,67.27,1342332,311,1
15,67.15,68.48,66.59,68.39,937310,311,1
16,68.25,69.26,68.11,69.22,650717,311,1
17,69.37,69.9886,68.87,69.9,715509,311,1
18,70.0,70.07,69.38,69.77,1128030,311,1
19,69.96,70.44,69.84,70.15,751478,311,1
20,70.44,70.44,69.72,70.2,537941,311,1
21,70.0,70.4,69.84,70.15,669835,311,1
22,69.96,70.429,69.7,70.35,421111,311,1
23,70.35,70.69,70.16,70.34,866909,311,1
24,70.51,71.11,70.395,71.01,557153,311,1
25,70.71,70.97,70.5199,70.75,848111,311,1
26,70.4,70.87,70.15,70.6,372044,311,1
27,70.75,71.08,70.451,71.01,321271,311,1
28,71.4,71.73,71.195,71.71,644532,311,1
29,71.66,71.79,71.18,71.26,394914,311,1
30,71.15,72.245,71.15,72.19,374176,311,1
31,72.39,72.45,71.57,71.79,342196,311,1
32,71.95,72.57,71.82,72.41,366750,311,1
33,72.03,72.73,71.88,72.65,630091,311,1
34,72.98,73.69,72.84,73.55,754112,311,1
35,73.21,73.21,71.955,72.71,816049,311,1
36,72.42,73.7,71.66,72.62,761071,311,1
37,72.47,72.73,71.47,71.6,840289,311,1
38,71.98,72.39,71.41,71.68,692770,311,1
39,71.13,71.2,70.47,70.9,784141,311,1
40,71.02,71.2,70.42,71.11,504619,311,1
41,70.85,71.27,70.38,70.89,703638,311,1
42,71.24,71.59,71.2,71.49,1006281,311,1
43,71.32,71.85,71.1,71.25,511068,311,1
44,71.12,71.8,70.94,71.72,571535,311,1
45,71.46,71.63,70.54,70.54,651344,311,1
46,70.96,72.07,70.8,71.9,978519,311,1
47,71.48,71.83,71.04,71.41,754989,311,1
48,71.45,71.92,71.34,71.46,546581,311,1
49,71.75,72.6,71.69,72.3,901105,311,1
50,71.86,71.94,71.27,71.77,680805,311,1
51,71.79,72.33,71.25,72.11,545021,311,1
52,72.17,72.33,71.53,71.6,692071,311,1
53,71.79,72.16,71.6,71.74,477032,311,1
54,71.77,72.01,71.12,71.2,433643,311,1
55,71.3,71.78,71.1,71.64,363490,311,1
56,71.5,72.08,71.26,71.94,456308,311,1
57,71.9,72.65,71.72,71.79,422580,311,1
58,71.81,72.85,71.81,72.67,408613,311,1
59,72.0,72.94,72.0,72.68,575502,311,1
60,72.57,72.7,72.1,72.24,340091,311,1
61,72.34,73.14,72.26,73.13,349703,311,1
62,73.03,73.42,72.5564,72.99,385577,311,1
63,73.05,73.3564,72.63,72.83,621104,311,1
64,72.74,73.28,72.67,73.08,349392,311,1
65,73.26,73.9,72.94,73.67,499373,311,1
66,73.68,74.77,73.68,74.74,473716,311,1
67,74.65,74.86,74.46,74.76,702088,311,1
68,74.58,74.99,74.44,74.51,463649,311,1
69,74.35,74.87,74.19,74.68,777549,311,1
70,74.68,74.89,74.28,74.36,512584,311,1
71,74.33,74.63,74.08,74.34,359061,311,1
72,74.29,75.26,73.86,74.0,381977,311,1
73,73.65,73.96,73.3,73.71,496538,311,1
74,73.53,74.03,73.17,73.83,404943,311,1
75,74.22,74.65,73.54,73.69,452221,311,1
76,73.42,73.48,71.78,71.88,899593,311,1
77,71.95,72.02,71.15,71.17,767356,311,1
78,70.51,70.87,69.08,69.08,1113842,311,1
79,69.04,69.99,68.75,69.5,826265,311,1
80,69.25,70.0099,69.09,69.47,596259,311,1
81,68.93,69.38,68.75,68.84,484753,311,1
82,69.0,69.7,68.68,69.7,912906,311,1
83,69.84,70.96,69.73,70.92,558264,311,1
84,71.0,71.0,70.16,70.78,691237,311,1
85,70.62,71.37,70.12,71.0,472388,311,1
86,71.47,71.75,71.14,71.37,963154,311,1
87,71.51,72.31,71.0,72.13,523760,311,1
88,72.17,72.54,71.87,72.25,359490,311,1
89,72.6,73.1426,72.48,72.8,607933,311,1
90,72.71,73.43,72.61,73.36,317223,311,1
91,73.48,73.49,72.02,72.02,980604,311,1
92,71.59,71.71,69.9,70.0,824973,311,1
93,70.5,71.53,70.435,71.44,1445413,311,1
94,70.85,71.83,70.54,71.2,516939,311,1
95,71.775,71.775,70.6,71.17,551492,311,1
96,71.62,72.35,71.59,72.03,583446,311,1
97,71.0,71.94,69.6,70.59,1204228,311,1
98,70.4399,70.92,69.66,70.36,791967,311,1
99,70.61,70.91,70.25,70.54,742168,311,1
100,70.45,70.53,69.69,70.1,787772,311,1
101,68.11,69.68,68.11,69.17,612422,311,1
102,69.59,69.81,68.81,69.68,389645,311,1
103,69.99,70.5,69.71,70.16,510649,311,1
104,70.75,70.85,70.12,70.3,438558,311,1
105,70.04,70.59,70.0,70.49,585197,311,1
106,71.34,72.21,71.13,72.04,829176,311,1
107,71.86,71.99,71.45,71.63,514885,311,1
108,71.59,72.22,71.59,72.12,322387,311,1
109,71.97,72.2,71.452,72.05,513612,311,1
110,72.35,72.45,71.57,72.08,637648,311,1
111,71.94,72.42,71.69,72.25,406299,311,1
112,72.24,73.08,71.85,73.07,715824,311,1
113,72.68,72.86,72.14,72.46,589748,311,1
114,72.6,72.67,72.02,72.45,303765,311,1
