id_date,open,high,low,close,volume,id_stock,id_index
1,39.775,41.04,39.775,40.715,8353746,319,1
2,40.855,41.25,40.54,40.845,7026328,319,1
3,40.89,41.0,40.115,40.445,6500444,319,1
4,40.385,40.95,40.23,40.835,4563476,319,1
5,40.59,41.875,40.455,41.58,5921190,319,1
6,41.405,41.59,40.755,41.28,5677512,319,1
7,41.515,42.135,41.28,42.105,8598254,319,1
8,42.03,42.315,40.025,40.115,9562734,319,1
9,39.94,40.6,38.83,40.295,10587882,319,1
10,40.65,40.795,39.98,40.765,5221710,319,1
11,40.87,41.47,39.62,39.64,5921946,319,1
12,39.695,40.33,39.165,40.275,5783066,319,1
13,40.19,41.63,40.09,41.37,5972972,319,1
14,41.32,41.9325,41.28,41.44,4812834,319,1
15,41.17,42.505,41.17,42.505,6742068,319,1
16,42.405,44.975,42.355,44.895,11789066,319,1
17,45.045,45.235,43.85,44.375,12032760,319,1
18,44.625,44.84,44.1305,44.27,5949288,319,1
19,44.3,44.51,43.6403,44.14,7400214,319,1
20,44.52,44.7,43.815,44.51,7495980,319,1
21,44.24,44.29,43.5,43.945,7916312,319,1
22,43.87,44.93,43.6375,44.495,5924334,319,1
23,44.265,44.365,43.09,43.415,9499732,319,1
24,43.63,43.93,43.045,43.85,7341552,319,1
25,43.905,44.305,43.65,43.965,9877226,319,1
26,43.45,44.872,43.15,44.37,5540926,319,1
27,44.335,44.735,43.6725,44.155,6267410,319,1
28,44.73,45.99,44.54,45.565,6153264,319,1
29,45.265,45.615,44.52,44.53,7629582,319,1
30,44.73,45.945,44.6,45.455,5035194,319,1
31,45.885,46.365,44.856,45.095,5702926,319,1
32,45.345,45.7845,45.095,45.465,5243746,319,1
33,45.26,45.44,44.7,44.835,5737926,319,1
34,44.835,45.225,44.655,44.8,5269298,319,1
35,44.775,45.015,44.145,44.915,4971310,319,1
36,45.185,45.27,42.38,42.74,8669452,319,1
37,42.735,42.735,39.25,40.695,18626990,319,1
38,40.58,41.95,40.375,41.31,8338220,319,1
39,40.525,41.425,39.75,41.185,6353302,319,1
40,41.44,41.74,40.97,41.68,4992212,319,1
41,41.83,42.6826,41.33,42.4,5196162,319,1
42,42.58,42.775,42.0,42.17,5100942,319,1
43,42.15,42.2825,40.375,41.035,10707310,319,1
44,40.495,40.71,39.198,40.145,9943652,319,1
45,39.595,40.105,38.57,38.76,10913200,319,1
46,39.2,39.695,38.8375,39.435,7204262,319,1
47,38.8721,39.175,37.6,38.305,7759072,319,1
48,38.285,38.995,37.655,38.495,7903404,319,1
49,38.705,39.385,38.39,39.375,6209248,319,1
50,39.43,40.421,38.98,39.995,5783808,319,1
51,40.055,40.99,40.025,40.775,5269924,319,1
52,41.035,41.765,40.97,41.31,5325760,319,1
53,41.595,42.15,40.695,40.81,5393716,319,1
54,40.8,40.855,40.205,40.675,4257232,319,1
55,40.855,41.665,40.805,41.205,5419062,319,1
56,39.965,40.815,38.425,39.18,13874454,319,1
57,38.8,38.805,36.73,36.735,15908396,319,1
58,36.8,38.3075,36.785,37.9,9519500,319,1
59,38.24,39.34,38.24,39.05,8818794,319,1
60,38.985,40.391,38.86,40.17,5726572,319,1
61,40.435,40.9548,40.09,40.72,6623744,319,1
62,40.625,40.68,39.135,39.305,7923666,319,1
63,39.22,39.49,38.58,39.235,5669112,319,1
64,38.885,38.885,38.11,38.69,7921288,319,1
65,38.61,38.84,37.905,38.225,6110332,319,1
66,38.205,38.98,38.08,38.925,5706002,319,1
67,38.935,40.155,38.935,39.69,5736542,319,1
68,39.52,40.375,39.15,39.26,6027708,319,1
69,39.555,41.525,39.555,41.34,8992960,319,1
70,41.325,43.0,41.27,42.3,7579628,319,1
71,42.27,42.27,40.935,41.44,6178150,319,1
72,41.475,41.98,40.476,41.225,7017014,319,1
73,40.26,41.53,40.055,41.18,4386096,319,1
74,40.95,41.055,40.35,41.03,3205706,319,1
75,41.745,42.22,41.4,41.875,4441864,319,1
76,41.55,42.0625,41.125,41.855,2994430,319,1
77,41.805,42.025,41.26,41.77,4177660,319,1
78,41.65,42.2137,41.25,41.25,5172314,319,1
79,41.305,41.515,40.075,41.01,4824020,319,1
80,40.785,41.255,39.92,40.315,4801976,319,1
81,40.21,41.04,39.78,39.965,5643764,319,1
82,39.95,41.375,39.8267,41.375,5384072,319,1
83,41.415,41.885,40.985,41.815,4276894,319,1
84,41.81,42.075,41.125,41.205,4506562,319,1
85,40.46,40.89,39.925,39.93,4609072,319,1
86,40.395,40.475,39.51,39.64,5115780,319,1
87,39.565,40.51,39.515,40.395,4457020,319,1
88,40.05,40.51,39.75,39.805,3119152,319,1
89,40.05,40.25,39.35,39.5,4654636,319,1
90,39.365,39.905,39.23,39.46,7257186,319,1
91,39.635,40.215,39.15,39.155,4919496,319,1
92,38.59,38.6,36.43,36.895,10555288,319,1
93,37.24,37.25,35.36,36.405,11564756,319,1
94,35.96,35.98,34.655,35.19,7746204,319,1
95,35.77,36.2175,35.7182,36.04,7365438,319,1
96,36.42,36.93,36.07,36.215,6059910,319,1
97,36.56,36.855,35.355,35.525,7349492,319,1
98,35.42,35.555,35.15,35.53,15079410,319,1
99,35.415,36.325,35.025,35.19,5555834,319,1
100,35.295,35.445,34.17,34.645,8501494,319,1
101,34.56,35.425,33.79,35.365,5515112,319,1
102,34.46,35.33,33.8,34.495,6162146,319,1
103,34.595,35.24,34.595,34.72,6803188,319,1
104,34.965,35.19,34.685,35.06,4819228,319,1
105,35.205,35.225,33.975,34.15,7129202,319,1
106,34.75,35.84,34.3905,35.755,7577482,319,1
107,35.21,37.1,35.1,36.62,8986672,319,1
108,36.605,36.955,36.165,36.55,5185632,319,1
109,35.745,36.225,34.53,34.965,10226896,319,1
110,34.955,35.425,34.865,34.875,4450408,319,1
111,34.985,35.05,34.0,34.145,8348490,319,1
112,34.43,34.825,33.945,34.8,6667186,319,1
113,34.825,35.115,34.5,34.92,4830784,319,1
114,35.025,36.18,34.965,35.885,5401108,319,1
115,35.92,35.945,34.94,35.195,5162080,319,1
116,35.04,36.085,34.905,36.025,5064862,319,1
117,35.99,36.375,35.695,35.955,3327106,319,1
118,35.995,36.245,35.675,36.115,3747292,319,1
119,36.25,36.79,36.12,36.505,5062780,319,1
120,36.525,37.375,36.19,36.665,5855398,319,1
121,36.93,38.01,36.93,37.545,6840236,319,1
122,36.94,37.085,35.775,35.965,7223210,319,1
123,35.88,35.975,35.415,35.845,3974942,319,1
124,35.845,36.595,35.25,35.56,7383618,319,1
125,35.55,36.15,35.4,35.86,5624830,319,1
126,35.945,36.95,35.885,36.245,5427268,319,1
127,36.365,36.71,36.25,36.62,4739356,319,1
128,36.465,36.865,36.225,36.525,4768864,319,1
129,36.6951,37.535,36.505,37.47,4176524,319,1
130,37.385,37.745,36.83,36.845,6723868,319,1
131,36.635,36.64,35.29,35.335,8014980,319,1
132,35.325,35.325,34.415,35.0,7379482,319,1
133,34.77,35.455,34.515,34.525,6253356,319,1
134,34.525,35.835,34.27,35.495,6651056,319,1
135,35.38,36.49,35.12,35.925,5060814,319,1
136,36.14,37.87,35.98,37.43,7022850,319,1
137,37.535,38.29,37.34,37.53,7869808,319,1
138,37.625,38.055,37.35,37.405,5877374,319,1
139,36.94,37.2395,36.35,36.55,6439548,319,1
140,36.66,37.2725,36.545,37.02,4333368,319,1
141,36.91,37.38,36.6,36.815,3831480,319,1
142,36.965,37.33,36.105,36.255,4815562,319,1
143,36.81,37.275,36.575,36.72,4477394,319,1
144,36.565,36.985,36.345,36.83,3637150,319,1
145,36.885,37.175,36.025,36.05,4892066,319,1
146,36.135,36.36,35.235,35.425,6013582,319,1
147,35.43,35.5,34.67,34.805,7780138,319,1
148,34.735,34.775,33.955,34.05,8854066,319,1
149,34.09,34.19,33.325,33.855,7547068,319,1
150,33.8125,33.905,33.315,33.465,5362218,319,1
151,33.66,34.29,33.56,33.945,5797472,319,1
152,34.165,34.2751,33.45,33.475,4384350,319,1
153,33.44,33.74,32.78,33.105,6659444,319,1
154,33.115,33.315,32.68,33.13,8218064,319,1
155,33.405,33.775,32.57,32.705,9785426,319,1
156,32.705,32.9,32.19,32.255,10427068,319,1
157,32.225,32.295,31.465,31.495,7327834,319,1
158,31.505,32.345,31.255,32.155,9000330,319,1
159,32.27,32.68,31.81,32.235,8645512,319,1
160,32.225,32.47,31.8275,32.07,6170722,319,1
161,32.25,32.81,32.155,32.47,7105566,319,1
162,31.875,32.285,31.52,32.16,9147714,319,1
163,32.075,32.375,31.6875,32.145,6648726,319,1
164,31.98,32.97,31.98,32.67,8029354,319,1
165,32.5,32.805,32.3,32.615,5098144,319,1
166,32.42,32.87,32.09,32.615,5138224,319,1
167,32.43,32.5588,31.58,31.96,5025476,319,1
168,31.94,31.99,31.25,31.25,6712528,319,1
169,31.265,31.265,30.66,31.05,7421992,319,1
170,31.69,32.955,31.505,32.655,8428440,319,1
171,32.65,33.945,32.5151,33.625,8976910,319,1
172,33.26,33.69,32.945,33.595,4481888,319,1
173,33.855,34.565,33.7575,34.22,9239226,319,1
174,34.68,34.68,34.105,34.475,6032796,319,1
175,34.375,35.195,34.26,35.09,6378586,319,1
176,35.34,35.37,34.945,35.37,5053226,319,1
177,35.495,35.775,35.215,35.465,4219218,319,1
178,35.6925,36.6,35.6925,36.25,7307100,319,1
179,36.15,37.575,35.99,36.045,10102428,319,1
180,36.0,36.0,34.515,34.605,10598204,319,1
181,34.71,35.135,34.21,34.945,6272858,319,1
182,35.19,36.295,35.15,35.6,5950754,319,1
183,35.635,36.23,35.2951,35.41,3767966,319,1
184,35.49,36.29,35.005,36.255,7796204,319,1
185,36.18,37.5,35.79,35.83,9671360,319,1
186,35.92,36.025,35.075,35.43,7031678,319,1
187,35.485,35.88,35.09,35.845,4843860,319,1
188,35.6,35.745,35.215,35.36,5071602,319,1
189,35.595,35.98,35.06,35.2,5272584,319,1
190,35.03,35.54,34.69,35.215,8184850,319,1
191,35.2,35.94,34.895,35.825,5051304,319,1
192,35.83,36.125,35.4001,36.1,3816186,319,1
193,36.15,37.21,36.025,37.005,6765118,319,1
194,36.875,37.585,36.62,37.55,5727108,319,1
195,37.69,39.7,37.69,39.43,13853060,319,1
196,39.455,39.75,38.87,39.42,9418500,319,1
197,39.37,39.63,38.595,38.715,6700796,319,1
198,38.74,39.875,38.365,39.415,10812860,319,1
199,39.505,39.58,38.425,38.7,5747980,319,1
200,38.61,39.485,38.41,39.39,5360642,319,1
201,39.65,40.215,39.64,40.125,6741284,319,1
202,40.275,41.05,39.87,40.89,9178436,319,1
203,41.095,41.66,40.765,40.775,9426522,319,1
204,40.775,42.825,40.775,42.17,11929234,319,1
205,42.32,42.32,41.31,41.37,3893736,319,1
206,41.92,44.12,41.71,43.705,12023246,319,1
207,43.46,44.145,43.195,43.495,9650498,319,1
208,42.045,42.92,41.12,41.63,14658188,319,1
209,42.235,42.7,41.41,41.925,10253670,319,1
210,42.35,44.43,42.33,43.6,12493130,319,1
211,43.885,44.405,42.71,42.775,12114364,319,1
212,42.665,44.03,41.62,43.755,10818942,319,1
213,43.6,43.745,42.58,42.99,6910404,319,1
214,43.055,43.42,42.2235,42.85,6871122,319,1
215,42.9,43.005,41.76,42.605,7494304,319,1
216,42.72,43.675,42.72,43.175,9189118,319,1
217,43.165,43.49,42.69,43.045,5618602,319,1
218,43.235,44.125,42.715,43.71,7971948,319,1
219,43.57,43.9,42.755,42.855,6993166,319,1
220,42.75,44.035,42.725,43.63,11516678,319,1
221,44.095,44.975,43.92,44.385,4918230,319,1
222,44.36,44.69,44.0295,44.675,1793480,319,1
223,44.57,44.905,44.465,44.77,2618436,319,1
224,44.94,44.94,43.885,44.565,3128834,319,1
225,44.54,44.735,43.745,44.25,3245118,319,1
226,44.59,45.975,44.565,45.865,6417606,319,1
227,45.745,45.91,44.4151,44.74,6070238,319,1
228,44.895,45.1249,43.89,44.13,4357374,319,1
229,44.28,45.005,44.065,44.355,4191576,319,1
230,44.37,44.725,43.2555,44.5,7566960,319,1
231,44.62,44.62,43.56,44.34,8400382,319,1
232,44.515,45.93,44.355,45.52,10665486,319,1
233,45.5,45.93,44.62,45.485,5297766,319,1
234,45.485,45.78,43.825,44.08,6918654,319,1
235,44.695,45.22,44.2,44.55,6102010,319,1
236,44.795,44.805,42.485,43.325,11716320,319,1
237,43.135,43.3975,42.34,42.85,7891538,319,1
238,42.75,43.325,42.515,42.64,7060226,319,1
239,43.14,43.76,42.91,43.165,5157356,319,1
240,43.385,43.455,42.24,42.79,5248192,319,1
241,43.13,43.43,41.885,42.72,8390744,319,1
242,42.17,42.25,41.025,41.49,5502118,319,1
243,41.49,41.995,40.685,41.75,8472682,319,1
244,41.67,41.76,41.0,41.585,5317212,319,1
245,42.19,44.1,41.005,43.26,15533510,319,1
246,43.93,44.47,42.89,43.75,6661758,319,1
247,43.37,44.3775,43.1,43.525,8399550,319,1
248,43.54,43.55,41.79,42.17,9182634,319,1
249,42.305,42.335,40.6,41.625,10087164,319,1
250,41.3,41.47,40.34,41.155,10038106,319,1
251,41.165,41.74,40.825,41.665,5265126,319,1
252,41.875,42.76,41.78,42.235,5137772,319,1
253,42.23,42.25,41.0145,41.26,6340288,319,1
254,41.25,42.45,41.175,42.23,7046856,319,1
255,42.29,42.81,41.93,42.1,5172834,319,1
256,41.975,42.925,41.95,42.79,6113472,319,1
257,42.785,44.33,42.44,43.855,6001196,319,1
258,43.995,44.57,43.515,43.85,5360026,319,1
259,43.745,44.545,43.41,43.51,6390514,319,1
260,43.69,44.37,43.195,43.975,5420830,319,1
261,43.96,44.245,43.585,43.655,4939604,319,1
262,44.005,44.77,44.005,44.06,5838960,319,1
263,44.065,45.54,43.86,44.945,9419040,319,1
264,44.865,45.46,43.7751,44.02,6570432,319,1
265,44.0,44.0,41.68,42.075,14379770,319,1
266,41.995,42.585,41.765,42.0,6486014,319,1
267,41.88,42.745,41.435,41.685,6215102,319,1
268,42.05,42.455,41.45,42.345,7198802,319,1
269,42.105,43.38,42.05,43.09,6024188,319,1
270,43.255,45.0,43.255,44.74,9340952,319,1
271,45.0,45.3,44.595,45.0,8229780,319,1
272,45.0,45.955,44.93,45.54,8218930,319,1
273,45.62,45.865,44.89,45.645,7221642,319,1
274,45.59,47.34,45.56,47.25,10853470,319,1
275,47.185,47.265,46.065,46.275,8558816,319,1
276,46.26,47.34,46.205,46.99,6533428,319,1
277,47.14,47.44,46.655,46.785,7592474,319,1
278,46.795,47.33,46.38,47.07,6144092,319,1
279,46.945,47.0,45.635,45.825,5648454,319,1
280,45.75,46.2802,45.37,45.955,5188316,319,1
281,46.335,46.79,45.16,45.345,9785308,319,1
282,45.495,45.9175,44.535,44.805,7331076,319,1
283,45.01,45.87,44.995,45.32,5048490,319,1
284,45.425,45.79,44.505,44.55,5223482,319,1
285,44.38,44.4695,43.37,43.645,6879016,319,1
286,43.88,44.19,43.565,43.835,4366222,319,1
287,44.0,44.22,43.4,43.52,5579932,319,1
288,43.575,44.8,43.535,44.77,8850008,319,1
289,44.325,44.325,43.375,43.58,7907800,319,1
290,43.78,43.885,43.54,43.585,5124432,319,1
291,43.94,44.195,43.245,43.55,5920570,319,1
292,43.395,43.56,42.08,42.54,5041948,319,1
293,42.595,42.7425,41.405,41.95,7488362,319,1
294,41.95,43.1863,41.65,42.56,6291332,319,1
295,42.48,43.37,41.971,42.265,6598358,319,1
296,42.17,42.61,41.33,41.645,7891340,319,1
297,41.97,42.42,41.655,42.285,5615182,319,1
298,42.4,43.325,42.305,43.29,7724956,319,1
299,43.585,44.465,43.215,44.39,6155386,319,1
300,44.27,45.21,44.23,44.955,5594012,319,1
301,44.44,45.27,44.3,45.07,3252216,319,1
302,44.76,45.635,43.9,45.195,6409868,319,1
303,45.19,45.735,45.15,45.42,4273778,319,1
304,45.515,45.775,44.93,45.37,4380346,319,1
305,45.245,45.825,45.225,45.365,4442750,319,1
306,45.545,47.075,45.07,46.46,7105674,319,1
307,46.86,47.295,46.535,46.69,4785464,319,1
308,46.655,47.14,46.4,46.475,9770864,319,1
309,44.5,48.64,44.3634,47.72,11084432,319,1
310,47.815,48.5,47.2101,47.875,5491502,319,1
311,47.67,48.37,47.215,47.905,6481726,319,1
312,47.795,48.85,47.665,48.345,7757492,319,1
313,48.235,48.405,47.325,47.6,5786036,319,1
314,47.6,48.065,46.16,46.395,6225014,319,1
315,46.59,46.59,45.35,45.645,4853588,319,1
316,45.985,46.58,45.79,46.01,4840892,319,1
317,46.245,46.78,43.02,45.88,5439674,319,1
318,45.835,46.5,44.965,45.91,5395466,319,1
319,45.595,45.61,44.565,44.95,5937402,319,1
320,44.925,45.02,44.28,44.525,4317684,319,1
321,44.145,44.79,44.0505,44.44,4890932,319,1
322,44.31,45.16,44.17,44.315,4671566,319,1
323,44.4,44.65,43.355,43.845,5646436,319,1
324,43.775,44.925,43.385,43.455,7462216,319,1
325,43.435,43.795,43.1,43.57,4625922,319,1
326,43.6,43.865,43.275,43.475,5096008,319,1
327,43.685,44.585,43.485,43.685,7556068,319,1
328,44.225,44.99,43.515,44.905,5173462,319,1
329,44.755,45.0,44.375,44.695,4271620,319,1
330,44.935,45.015,44.3252,44.86,3391890,319,1
331,44.88,44.905,44.0,44.045,4737352,319,1
