id_date,open,high,low,close,volume,id_stock,id_index
1,41.06,41.18,40.95,41.18,14661718,320,1
2,41.19,41.5,41.09,41.38,11411910,320,1
3,41.37,41.57,41.13,41.45,9996613,320,1
4,41.42,41.49,41.01,41.15,15808788,320,1
5,41.04,41.22,40.825,41.19,16332453,320,1
6,41.46,41.5,41.235,41.42,15580073,320,1
7,41.6,42.22,41.58,42.22,13306056,320,1
8,42.36,42.75,42.22,42.66,16801707,320,1
9,42.5,42.57,42.27,42.5,11824527,320,1
10,42.58,43.27,42.53,42.97,15395688,320,1
11,43.31,43.45,42.5099,42.52,19421768,320,1
12,42.75,42.8,42.1,42.42,13905591,320,1
13,42.27,43.15,42.27,42.97,12926836,320,1
14,43.01,43.21,42.73,42.73,14214980,320,1
15,42.33,42.67,42.33,42.63,14820185,320,1
16,42.92,43.35,42.76,43.34,14162147,320,1
17,43.6,43.65,43.1,43.25,15118515,320,1
18,43.3,43.74,43.06,43.68,18418124,320,1
19,43.82,43.93,43.09,43.27,13741214,320,1
20,43.4,43.5,42.92,42.97,29273518,320,1
21,42.95,43.67,42.87,43.66,38640997,320,1
22,45.42,45.42,44.875,45.04,56009361,320,1
23,44.54,44.73,44.48,44.59,17926541,320,1
24,44.71,44.75,43.6,44.27,25895477,320,1
25,43.83,44.09,43.79,44.09,24310813,320,1
26,43.78,43.94,43.57,43.63,12117418,320,1
27,43.7,43.84,43.6,43.7,15504006,320,1
28,44.0,44.29,43.88,44.12,14974237,320,1
29,44.05,44.18,43.755,43.79,11904524,320,1
30,43.86,44.11,43.8,43.9,9960559,320,1
31,43.95,44.0,43.51,43.69,13117093,320,1
32,43.95,44.4,43.9,44.39,12114054,320,1
33,44.13,44.25,43.91,44.1,10970269,320,1
34,44.05,44.305,43.96,44.2,16648112,320,1
35,44.0,44.37,43.77,44.35,9903585,320,1
36,44.51,45.0,44.4231,44.91,12787446,320,1
37,45.0,46.16,45.0,45.36,25872282,320,1
38,45.39,45.88,45.01,45.32,13967308,320,1
39,45.04,45.23,44.89,45.13,12602042,320,1
40,45.09,45.48,44.96,45.48,10153531,320,1
41,45.73,45.94,45.34,45.51,10582562,320,1
42,45.91,46.97,45.78,46.84,18735016,320,1
43,46.68,47.51,46.68,47.21,17538011,320,1
44,46.67,47.13,46.65,47.11,10065148,320,1
45,46.89,47.5,46.46,46.46,15349674,320,1
46,46.64,47.05,46.5,46.96,10188703,320,1
47,46.72,46.91,46.41,46.76,11777200,320,1
48,46.86,46.98,46.493,46.56,11272437,320,1
49,46.86,47.49,46.66,47.49,12706152,320,1
50,47.45,47.97,47.18,47.92,14264916,320,1
51,47.95,48.695,47.93,48.63,17654201,320,1
52,48.67,48.79,47.865,47.95,15546163,320,1
53,47.95,48.0,47.28,47.35,15955290,320,1
54,47.27,48.07,47.11,47.87,10614177,320,1
55,47.88,48.12,47.72,47.82,11375812,320,1
56,47.7499,47.84,47.0,47.0,19745601,320,1
57,44.8,46.305,44.6,45.69,39741703,320,1
58,45.9,46.01,45.49,45.73,14245516,320,1
59,46.25,46.38,45.4633,45.67,12878071,320,1
60,45.51,46.0,44.97,44.98,14097048,320,1
61,45.1,45.3,44.88,45.27,14528643,320,1
62,45.12,45.6,44.97,44.99,18309476,320,1
63,45.25,45.62,44.95,45.49,14177027,320,1
64,45.54,45.95,45.49,45.95,13923958,320,1
65,45.84,46.23,45.68,46.17,10246330,320,1
66,46.12,46.77,46.0,46.65,13418578,320,1
67,46.73,47.26,46.46,46.73,13204500,320,1
68,46.58,46.7,45.01,46.37,11962795,320,1
69,46.29,46.71,45.08,45.99,21736601,320,1
70,45.96,46.02,45.1,45.21,16728562,320,1
71,45.24,47.53,45.19,47.33,47027336,320,1
72,47.6,48.3,46.49,46.71,42629192,320,1
73,46.46,47.44,46.42,47.33,22579672,320,1
74,47.05,47.16,46.6,47.16,15795941,320,1
75,47.94,48.64,47.52,47.62,17664246,320,1
76,47.29,47.465,46.51,46.87,16051889,320,1
77,47.02,47.39,46.74,47.07,15203356,320,1
78,46.93,47.675,46.6925,46.7,21732432,320,1
79,48.93,49.36,48.31,48.45,37978012,320,1
80,48.2,50.16,48.17,49.44,37009910,320,1
81,49.02,49.73,48.475,48.73,24923052,320,1
82,48.64,48.73,47.75,48.6,19899103,320,1
83,48.77,49.14,48.1,48.19,50431238,320,1
84,48.65,48.89,48.36,48.46,48557576,320,1
85,48.07,48.2,47.55,47.56,54149805,320,1
86,47.89,48.1,47.23,47.25,16853164,320,1
87,46.74,47.94,46.49,47.9,14774462,320,1
88,47.77,48.53,47.5,47.95,13632287,320,1
89,48.33,48.55,47.56,47.8,12484985,320,1
90,47.88,48.05,47.66,47.75,11817205,320,1
