id_date,open,high,low,close,volume,id_stock,id_index
1,60.2,60.48,59.19,60.3,1226944,324,1
2,60.36,61.035,60.21,60.9,1080309,324,1
3,60.79,61.06,60.47,60.83,941229,324,1
4,61.0,61.3999,60.79,60.81,1489324,324,1
5,60.52,61.28,60.2,61.12,1765526,324,1
6,61.32,61.83,61.15,61.43,1854302,324,1
7,61.35,62.05,61.2675,62.03,1521057,324,1
8,61.98,61.99,61.25,61.26,1423516,324,1
9,61.22,61.22,60.52,60.88,1384099,324,1
10,61.17,61.945,61.03,61.9,1297205,324,1
11,62.0,62.08,60.27,60.28,1852670,324,1
12,60.4,60.835,60.12,60.63,2619409,324,1
13,60.83,62.3,60.63,62.09,1902609,324,1
14,61.95,62.51,61.86,62.21,1891932,324,1
15,61.94,62.28,61.51,62.03,1247804,324,1
16,61.76,62.5,61.63,62.5,1325149,324,1
17,62.69,63.14,62.5001,62.97,1773373,324,1
18,63.25,63.58,63.025,63.11,1864059,324,1
19,63.3,63.44,62.61,62.64,1397291,324,1
20,62.87,63.32,62.525,62.75,2083715,324,1
21,62.61,62.84,62.52,62.56,1715801,324,1
22,62.51,62.62,61.47,62.13,2106328,324,1
23,62.0,62.3,61.67,62.22,1264416,324,1
24,62.49,62.57,62.02,62.34,1499800,324,1
25,62.21,62.5,62.03,62.07,2215406,324,1
26,61.44,62.1,61.26,61.64,768687,324,1
27,61.76,61.976,61.24,61.67,879570,324,1
28,61.95,62.52,61.91,62.4,1399571,324,1
29,62.13,62.635,61.98,62.43,1173055,324,1
30,62.49,63.78,62.47,63.61,1753659,324,1
31,63.71,63.725,62.87,63.29,1186628,324,1
32,63.58,63.75,63.34,63.46,916174,324,1
33,63.18,63.77,63.01,63.56,900895,324,1
34,63.46,64.1,63.31,64.03,1352220,324,1
35,63.97,64.23,63.5601,63.7,748191,324,1
36,64.0,64.2,63.475,63.7,650641,324,1
37,63.58,63.63,62.62,62.8,1611212,324,1
38,62.68,63.19,62.5601,62.99,1246141,324,1
39,62.36,62.83,62.07,62.67,1056780,324,1
40,62.59,63.2,62.34,63.17,1155123,324,1
41,63.3,63.93,63.08,63.64,990711,324,1
42,63.73,64.72,63.441,64.69,1012346,324,1
43,64.56,64.72,64.1501,64.63,1109400,324,1
44,64.22,64.58,63.31,63.87,1182006,324,1
45,63.38,63.44,61.82,61.83,1611576,324,1
46,62.31,63.11,62.02,62.96,1218170,324,1
47,62.67,62.7625,61.97,62.13,1361435,324,1
48,62.39,62.396,61.0601,61.15,1727865,324,1
49,61.55,62.25,61.02,61.72,1486593,324,1
50,61.84,62.065,61.31,61.78,839636,324,1
51,61.88,62.0,60.7436,61.75,2326414,324,1
52,54.74,57.1,53.28,56.02,8367382,324,1
53,56.06,56.76,55.33,56.39,3657363,324,1
54,56.31,57.19,56.31,56.8,3535949,324,1
55,57.01,57.79,56.851,57.44,2361015,324,1
56,57.4,57.41,56.55,57.2,2716718,324,1
57,57.0,57.48,56.36,56.37,2176084,324,1
58,56.42,57.02,56.25,56.89,1843832,324,1
59,57.23,57.7,57.16,57.29,1766374,324,1
60,57.03,57.6,56.91,56.95,1940232,324,1
61,56.9,57.06,56.6,56.79,2605392,324,1
62,56.81,57.36,56.43,57.0,2639500,324,1
63,56.8,57.08,56.135,56.78,2676615,324,1
64,56.44,56.78,56.09,56.48,2334164,324,1
65,56.23,56.53,56.07,56.17,2249038,324,1
66,56.01,56.94,56.01,56.89,2238999,324,1
67,56.68,57.23,56.63,57.1,2239827,324,1
68,57.1,57.88,56.89,57.53,3030511,324,1
69,57.51,57.92,57.34,57.84,2295592,324,1
70,57.62,58.83,57.62,58.25,3507432,324,1
71,58.68,59.07,57.66,57.77,2685926,324,1
72,57.71,58.21,57.19,57.3,2517134,324,1
73,57.05,57.85,57.0,57.48,3831940,324,1
74,57.3,58.03,56.86,57.81,3077321,324,1
75,58.06,59.0267,58.0401,58.53,2360085,324,1
76,58.29,58.525,58.0,58.32,1738976,324,1
77,58.46,58.93,58.26,58.54,1413966,324,1
78,58.31,59.04,57.95,57.96,2198672,324,1
79,58.12,58.58,57.43,57.83,2205450,324,1
80,57.7,58.05,57.38,57.41,2051174,324,1
81,57.18,57.31,56.25,56.27,2017397,324,1
82,56.29,56.92,56.15,56.92,2383556,324,1
83,57.12,57.42,56.745,56.94,1581834,324,1
84,57.0,57.1,56.335,56.61,2161350,324,1
85,56.28,57.08,55.97,56.38,1547767,324,1
86,56.59,56.678,56.03,56.26,1499827,324,1
87,56.25,57.29,56.04,57.19,1641721,324,1
88,57.11,57.5324,56.92,56.93,1518422,324,1
89,57.17,57.5,57.08,57.33,1618164,324,1
90,57.44,57.625,57.17,57.35,1119150,324,1
91,57.33,57.42,56.75,56.78,2196701,324,1
92,56.53,56.84,55.36,55.5,2665155,324,1
93,55.97,56.03,55.17,55.82,4310734,324,1
94,55.33,55.8,54.64,55.59,2335407,324,1
95,55.98,56.42,55.55,56.35,2741658,324,1
96,56.66,57.68,56.54,57.49,2793930,324,1
97,57.68,58.2,57.42,57.84,1514010,324,1
98,57.72,58.33,57.46,57.73,4740788,324,1
99,57.81,58.425,57.81,57.98,1227980,324,1
100,57.75,57.875,57.215,57.49,1889920,324,1
101,57.12,57.635,57.02,57.26,894832,324,1
102,57.58,57.965,57.33,57.93,1097397,324,1
103,58.04,58.59,57.85,57.86,1180016,324,1
104,58.08,58.46,57.71,58.03,1134745,324,1
105,58.03,58.53,57.935,58.43,2034058,324,1
106,58.91,59.43,58.85,59.05,1836025,324,1
107,59.05,59.75,58.86,59.54,1353264,324,1
108,59.49,59.615,59.13,59.17,1353521,324,1
109,59.1,59.58,59.03,59.32,1448689,324,1
110,59.33,59.59,59.1,59.42,895468,324,1
111,59.37,59.5,59.0,59.36,1222637,324,1
112,59.46,60.075,59.24,59.85,2248726,324,1
113,59.73,59.95,59.415,59.87,2566804,324,1
114,59.75,60.69,59.75,59.98,2138014,324,1
115,56.41,56.88,53.88,56.04,7396743,324,1
116,55.95,55.98,54.19,54.25,5029642,324,1
117,53.92,54.34,53.62,54.26,3245874,324,1
118,54.02,54.46,53.74,54.01,2143501,324,1
119,54.23,54.63,53.9,54.35,2568375,324,1
120,54.56,55.26,54.13,54.83,2434039,324,1
121,55.07,55.4,54.92,55.32,1416772,324,1
122,55.32,56.13,55.15,56.02,1742529,324,1
123,55.8,56.12,55.64,56.1,1190641,324,1
124,55.92,56.52,55.84,56.4,1656472,324,1
125,56.19,56.52,56.051,56.48,1679148,324,1
126,56.6,57.16,56.26,57.13,1721094,324,1
127,56.84,57.54,56.84,57.36,1534496,324,1
128,57.05,57.56,56.8,57.44,1898080,324,1
129,57.39,57.94,57.32,57.84,1406467,324,1
130,57.68,57.96,57.62,57.71,1392857,324,1
