id_date,open,high,low,close,volume,id_stock,id_index
1,72.26,72.29,71.92,72.1,1056902,333,1
2,72.01,72.22,71.98,72.18,1097030,333,1
3,72.13,72.56,72.03,72.49,1779632,333,1
4,72.58,72.92,72.4199,72.55,1501352,333,1
5,72.34,72.64,71.8443,72.2,1779659,333,1
6,72.38,72.6,72.226,72.5,2470268,333,1
7,72.69,73.035,72.55,72.9,2608108,333,1
8,72.9,73.41,72.84,72.94,5857276,333,1
9,73.04,73.08,72.52,72.53,1324890,333,1
10,72.6,73.04,72.6,72.75,5997410,333,1
11,72.85,73.4999,72.19,72.19,6872406,333,1
12,72.41,72.8,71.93,72.27,6048293,333,1
13,71.44,71.97,71.42,71.94,2216917,333,1
14,71.88,72.35,71.771,71.87,2104843,333,1
15,71.85,72.37,71.51,72.36,2051146,333,1
16,72.23,73.76,72.19,73.59,2140978,333,1
17,73.87,74.21,73.66,73.88,1965444,333,1
18,73.95,74.23,73.84,74.17,1409477,333,1
19,74.16,74.43,73.825,73.94,1622622,333,1
20,74.15,74.29,73.6101,74.16,1789609,333,1
21,74.0,74.4,73.98,74.18,1538571,333,1
22,74.26,74.4,72.12,73.1,3759418,333,1
23,73.16,73.85,72.67,73.75,2609997,333,1
24,73.32,74.05,73.25,74.01,2327534,333,1
25,73.67,74.545,73.63,74.47,2855981,333,1
26,74.17,74.45,73.96,74.12,1596901,333,1
27,74.79,75.37,74.74,75.12,2224087,333,1
28,75.35,75.81,74.87,75.7,1786673,333,1
29,75.5,75.945,75.31,75.59,1849080,333,1
30,75.64,76.25,75.44,76.17,1698102,333,1
31,76.42,76.95,75.94,76.18,2114727,333,1
32,76.35,77.2,76.28,77.17,2983045,333,1
33,76.79,77.35,76.75,76.88,2255066,333,1
34,77.01,77.79,76.98,77.68,1691848,333,1
35,77.61,77.68,77.24,77.48,995191,333,1
36,77.7,78.22,77.68,78.16,1373725,333,1
37,79.07,79.25,78.18,78.32,2079553,333,1
38,78.51,79.41,78.41,79.23,1884455,333,1
39,78.52,79.63,78.52,79.54,1642870,333,1
40,79.45,79.97,78.77,79.94,1465596,333,1
41,79.79,79.95,79.13,79.19,1381229,333,1
42,79.22,80.065,79.22,79.86,1324451,333,1
43,80.0,80.25,79.56,79.84,1729230,333,1
44,79.7,80.078,79.17,79.49,2309396,333,1
45,79.39,80.22,78.94,78.95,2043775,333,1
46,79.13,79.83,78.7,79.71,1455765,333,1
47,79.5,79.53,78.55,79.02,1510581,333,1
48,79.24,79.49,78.61,78.85,1797938,333,1
49,79.09,80.12,78.97,80.08,1641196,333,1
50,80.0,80.28,79.43,79.91,1079017,333,1
51,80.1,80.44,79.67,80.11,1484033,333,1
52,80.27,80.98,79.81,80.56,1415281,333,1
53,80.56,80.81,80.11,80.44,1151427,333,1
54,80.4,80.88,80.24,80.54,922911,333,1
55,80.72,81.3539,80.23,81.26,1230410,333,1
56,82.03,82.65,81.58,82.03,2122870,333,1
57,81.65,82.0,81.135,81.33,1623853,333,1
58,81.21,81.86,81.07,81.73,1139898,333,1
59,82.05,82.2,81.531,81.75,1281800,333,1
60,81.6,81.8372,80.595,80.6,1108251,333,1
61,80.78,81.72,80.69,81.72,1343000,333,1
62,81.54,81.88,80.59,80.94,1750820,333,1
63,80.91,81.0967,79.6,79.84,1968931,333,1
64,79.86,80.07,79.22,80.0,1831600,333,1
65,79.75,79.94,79.24,79.62,1279237,333,1
66,79.72,80.52,79.42,80.19,1202496,333,1
67,80.25,81.71,80.13,81.16,1466591,333,1
68,80.9,81.2,80.32,80.43,1161906,333,1
69,80.57,81.12,80.28,81.1,1335454,333,1
70,81.01,81.14,79.97,80.24,1331052,333,1
71,80.26,80.82,79.71,80.49,1373341,333,1
72,80.39,81.15,78.75,79.16,1805030,333,1
73,78.62,78.62,77.91,78.22,2062167,333,1
74,77.9,78.0,76.88,77.3,1837660,333,1
75,77.58,77.61,76.595,77.02,2045390,333,1
76,76.62,76.71,74.86,75.72,2521195,333,1
77,75.56,76.95,75.12,75.71,1962592,333,1
78,75.41,77.13,75.33,75.62,2572075,333,1
79,75.66,76.875,74.78,76.28,2191104,333,1
80,76.14,76.71,75.99,76.49,2280794,333,1
81,76.25,76.356,75.64,75.99,1534396,333,1
82,75.97,77.39,75.79,77.39,2888867,333,1
83,78.01,78.83,77.53,78.8,3262083,333,1
84,78.73,79.4,78.403,78.68,3210554,333,1
85,78.1,79.12,77.87,78.87,2856622,333,1
86,79.25,79.44,77.62,77.75,1696864,333,1
87,77.86,79.31,77.59,79.13,1692818,333,1
88,79.18,80.33,79.15,79.73,2262736,333,1
89,80.39,80.96,80.21,80.66,2300840,333,1
90,80.86,81.7,80.72,81.59,1937123,333,1
91,81.4,81.78,80.19,80.19,1963470,333,1
92,79.57,79.59,77.2,77.33,2516620,333,1
93,77.95,78.76,76.91,78.33,3173508,333,1
94,77.84,79.07,77.21,78.38,1690769,333,1
95,78.95,79.37,78.12,79.0,1619906,333,1
96,79.6,80.47,79.5084,79.84,1670132,333,1
97,80.22,80.95,79.92,80.42,1250093,333,1
98,81.46,81.77,80.18,81.48,2747775,333,1
99,81.88,81.95,79.95,80.23,2607833,333,1
100,80.23,81.0,80.02,80.34,1984271,333,1
101,79.93,80.42,79.72,80.12,699222,333,1
102,80.17,80.31,79.04,79.93,1195387,333,1
103,80.01,81.1,79.8,80.66,1994875,333,1
104,81.02,81.685,80.65,81.35,1562196,333,1
105,81.18,81.93,80.86,81.63,1046254,333,1
106,82.28,83.4,82.26,83.23,1736501,333,1
107,83.2,84.14,82.8,84.01,1446528,333,1
108,83.72,85.88,83.66,85.44,2052938,333,1
109,85.51,85.65,84.47,84.96,2633055,333,1
110,85.45,85.65,84.61,84.81,1769819,333,1
111,85.06,85.69,84.83,85.43,1455442,333,1
112,85.53,85.82,84.88,84.96,1818678,333,1
113,85.03,85.37,84.8,84.88,1241551,333,1
114,85.03,85.41,84.62,84.8,2578952,333,1
115,84.76,84.85,83.64,83.76,2184487,333,1
116,83.61,84.22,83.58,84.08,1821681,333,1
117,83.25,84.01,82.9601,83.95,1498474,333,1
118,84.1,85.685,84.05,84.79,2925889,333,1
119,87.65,87.65,85.01,86.48,2428412,333,1
120,86.62,87.12,85.521,86.61,2852145,333,1
121,87.02,88.39,87.02,88.29,2911360,333,1
122,88.1,88.19,87.48,87.94,1779562,333,1
123,87.81,87.81,87.0,87.08,1237059,333,1
124,87.21,87.51,86.68,86.82,2129401,333,1
125,87.15,87.29,86.41,86.76,1758596,333,1
126,86.84,87.1,86.37,86.63,1463806,333,1
127,86.56,86.88,85.941,86.26,1133701,333,1
128,86.0,86.14,85.27,85.59,945176,333,1
129,85.74,85.815,84.97,85.1,1024101,333,1
130,84.93,85.23,84.02,84.42,1483436,333,1
131,83.92,83.92,82.84,83.0,1465720,333,1
132,83.12,83.28,81.44,82.15,2545803,333,1
133,82.0,82.5,81.32,81.54,1085796,333,1
134,81.62,83.01,81.41,82.19,1369031,333,1
135,81.87,81.97,80.32,80.78,2123730,333,1
136,80.96,81.23,80.375,80.97,1436597,333,1
137,81.0,81.68,80.64,81.41,741245,333,1
138,81.38,81.44,80.53,80.56,1143611,333,1
139,80.05,81.485,79.74,81.09,2315076,333,1
140,80.64,81.49,79.75,81.08,2716982,333,1
141,81.04,81.11,80.28,80.56,1379305,333,1
142,80.6,80.99,79.95,80.36,1146078,333,1
143,81.07,81.12,79.43,79.77,1415408,333,1
144,79.64,80.33,79.12,80.1,1168100,333,1
145,80.33,80.78,79.82,79.96,2352290,333,1
146,80.2,80.82,79.91,80.01,2658679,333,1
147,80.1,80.3,79.85,80.23,1647280,333,1
148,80.56,80.67,80.1468,80.61,1238400,333,1
149,80.55,80.55,78.83,79.61,3125139,333,1
150,79.78,80.01,78.92,79.27,2190466,333,1
151,79.57,79.79,79.08,79.22,1466003,333,1
152,80.26,80.73,78.9,79.17,3291535,333,1
153,79.17,79.5199,78.83,79.0,2092469,333,1
154,78.85,82.88,78.81,82.55,4192695,333,1
155,82.6,83.89,82.48,82.7,2034893,333,1
156,81.85,82.0,80.54,80.69,4789431,333,1
157,80.51,81.45,80.104,81.22,2381278,333,1
158,81.28,81.63,80.75,81.22,2108991,333,1
159,81.12,81.53,80.33,80.33,1972500,333,1
160,80.52,80.97,80.12,80.44,1805758,333,1
161,80.38,80.59,79.81,80.07,1645153,333,1
162,79.77,80.17,79.5,80.16,2381893,333,1
163,80.27,80.72,79.92,80.07,1745835,333,1
164,79.75,80.53,79.64,80.41,1867851,333,1
165,80.21,80.21,78.97,79.45,1478157,333,1
166,79.47,79.85,79.16,79.65,1105394,333,1
167,79.24,79.89,79.15,79.35,818577,333,1
168,79.31,80.67,79.31,79.69,1650514,333,1
169,79.97,81.27,79.634,80.0,1407866,333,1
170,80.46,81.51,79.53,81.4,1956791,333,1
171,81.3,81.94,81.09,81.75,1427092,333,1
172,81.26,81.31,80.05,81.06,1639771,333,1
173,80.88,81.15,80.14,80.21,1281978,333,1
174,80.43,81.51,80.16,81.51,1628709,333,1
175,81.22,83.09,80.66,83.0,1509451,333,1
