id_date,open,high,low,close,volume,id_stock,id_index
1,45.18,45.27,44.77,44.93,4763142,334,1
2,44.57,44.67,44.15,44.49,4171955,334,1
3,44.4,45.3,44.375,45.28,6451123,334,1
4,45.26,45.48,44.82,44.85,5481407,334,1
5,44.94,45.085,44.38,44.55,7641147,334,1
6,43.68,43.8,42.79,43.27,13871631,334,1
7,43.08,43.39,42.79,42.9,8080323,334,1
8,42.54,42.54,40.44,40.56,14308572,334,1
9,40.69,41.48,40.51,40.55,10179962,334,1
10,41.56,41.76,40.73,40.82,10384694,334,1
11,41.19,41.6,40.8,40.96,8502079,334,1
12,41.15,41.72,40.83,41.44,9945394,334,1
13,41.22,41.25,40.58,40.62,8866508,334,1
14,40.64,40.84,40.13,40.29,10848381,334,1
15,40.37,40.59,39.56,39.62,9494149,334,1
16,39.64,39.74,38.6,39.0,9787131,334,1
17,39.29,39.35,38.55,38.6,8589398,334,1
18,38.58,40.04,38.5,40.01,9567318,334,1
19,40.15,40.88,39.88,39.93,7757688,334,1
20,39.76,40.08,39.2,39.25,10082288,334,1
21,39.23,39.43,38.77,38.89,5498542,334,1
22,39.34,40.1982,39.34,39.66,6664038,334,1
23,39.77,39.8,38.88,38.99,7470774,334,1
24,38.92,39.65,38.85,39.59,6239732,334,1
25,39.54,39.84,39.41,39.68,9673740,334,1
26,40.13,40.7,39.99,40.03,5614534,334,1
27,39.85,40.72,39.8,40.37,6912299,334,1
28,40.34,40.64,40.1101,40.38,4253259,334,1
29,40.63,41.835,40.6,41.45,8801525,334,1
30,41.22,41.649,41.14,41.61,4522616,334,1
31,41.56,41.62,41.06,41.09,5565020,334,1
32,40.97,41.1299,40.53,41.08,5628163,334,1
33,41.13,41.86,40.93,41.74,5638858,334,1
34,41.51,41.94,41.34,41.89,6401768,334,1
35,42.0,42.0,41.22,41.39,4400595,334,1
36,41.0,41.1,39.75,39.83,7969325,334,1
37,39.69,40.01,38.32,38.47,11822114,334,1
38,38.41,39.28,38.07,39.12,7520524,334,1
39,39.76,40.32,39.15,39.37,8503715,334,1
40,39.36,39.52,38.74,39.01,6577322,334,1
41,39.13,40.64,39.02,40.03,8586616,334,1
42,39.67,39.85,38.855,38.99,7061311,334,1
43,39.07,39.32,38.59,38.65,6476471,334,1
44,38.11,38.21,36.35,36.37,14374337,334,1
45,34.36,34.74,33.51,33.92,22564889,334,1
46,34.69,34.84,33.53,33.78,13902075,334,1
47,33.66,33.82,32.13,32.36,15992742,334,1
48,32.61,33.11,32.2,32.77,11661443,334,1
49,33.4,33.57,32.3,32.98,9134649,334,1
50,33.43,33.92,32.8,33.4,9698231,334,1
51,33.12,33.16,31.77,32.43,10156619,334,1
52,33.27,34.5,33.05,34.33,10892683,334,1
53,34.88,35.13,34.23,34.33,11158257,334,1
54,34.5,34.54,33.23,33.47,9656853,334,1
55,33.84,34.27,33.64,33.97,5831933,334,1
56,33.14,33.32,31.33,32.4,17524532,334,1
57,32.15,32.965,31.76,32.59,10648878,334,1
58,32.79,32.99,32.19,32.66,6347650,334,1
59,32.78,33.43,32.7,33.0,6972961,334,1
60,33.29,33.48,33.04,33.07,4865173,334,1
61,32.69,32.739,32.08,32.45,8649118,334,1
62,32.87,34.07,32.78,33.91,6976369,334,1
63,33.43,34.25,32.94,33.16,7044580,334,1
64,32.5,33.12,32.1,33.12,7016830,334,1
65,32.94,32.94,32.31,32.62,4808337,334,1
66,32.54,33.08,32.35,32.51,5165177,334,1
67,32.21,32.278,31.445,31.57,9293038,334,1
68,31.17,31.91,30.63,31.43,9623309,334,1
69,31.27,31.32,30.3,30.63,12116760,334,1
70,30.66,32.386,30.42,32.28,11310682,334,1
71,31.59,32.22,31.39,31.94,8499649,334,1
72,32.43,33.12,31.51,31.96,9599777,334,1
73,32.42,32.74,31.8,32.22,6921031,334,1
74,32.15,32.59,31.645,31.97,6072666,334,1
75,32.01,32.65,31.52,32.05,6157445,334,1
76,32.22,33.13,32.12,33.1,7391122,334,1
77,33.69,34.48,33.63,34.34,9521991,334,1
78,34.13,34.29,33.67,34.28,9012011,334,1
79,34.4,35.44,34.3,34.88,8029236,334,1
80,34.47,34.63,33.58,34.45,6600428,334,1
81,34.56,35.14,34.16,34.6,6812296,334,1
82,34.46,35.34,34.38,34.95,7141688,334,1
83,34.41,34.42,33.7,34.11,6447122,334,1
84,33.67,34.15,33.43,33.9,5114846,334,1
85,33.33,33.73,32.76,32.81,6222954,334,1
86,32.94,33.54,32.65,33.33,6374592,334,1
87,33.05,33.7,32.71,33.66,5897404,334,1
88,33.81,33.89,33.01,33.19,4417312,334,1
89,33.24,33.63,33.15,33.44,4214853,334,1
90,33.23,33.27,31.97,32.59,6808463,334,1
91,32.62,33.23,31.82,31.9,6877567,334,1
92,30.74,30.83,29.395,29.75,16750064,334,1
93,30.0,30.37,28.85,30.05,14882686,334,1
94,29.45,29.63,28.29,29.02,10225899,334,1
95,29.18,29.45,28.41,28.93,9037623,334,1
96,27.95,28.08,27.07,27.22,14951159,334,1
97,27.61,28.23,27.32,27.71,12902425,334,1
98,27.58,30.252,27.44,29.95,21348668,334,1
99,30.31,30.6899,29.1599,30.18,12433334,334,1
100,29.9,30.12,28.855,29.17,10361206,334,1
101,29.4,29.8099,28.825,29.02,6104380,334,1
102,28.11,28.12,26.97,27.78,10035881,334,1
103,28.17,28.26,27.0,27.02,10256192,334,1
104,27.22,27.5,26.58,27.07,12729491,334,1
105,27.09,27.19,26.47,26.61,11412670,334,1
106,27.67,28.3,27.4,28.12,12728919,334,1
107,27.94,27.94,27.131,27.43,7776386,334,1
108,27.55,27.69,27.16,27.57,5790147,334,1
109,27.78,28.74,27.73,28.45,9437453,334,1
110,28.64,29.0,28.0,28.03,8000978,334,1
111,28.31,28.445,27.76,28.06,5414850,334,1
112,28.44,28.95,28.2,28.69,8715070,334,1
113,29.85,30.68,29.75,30.35,9264525,334,1
114,30.34,31.41,29.95,31.14,8957886,334,1
115,31.04,31.05,29.09,29.61,9220187,334,1
116,29.37,30.72,29.26,29.93,8694409,334,1
117,29.43,30.44,28.5,30.38,10739853,334,1
118,30.38,30.5,29.6,30.11,9565891,334,1
119,29.89,30.34,29.61,30.15,7056355,334,1
120,30.03,30.58,29.44,30.0,9465051,334,1
121,30.24,30.35,29.5,29.59,8152545,334,1
122,29.6,30.17,28.71,28.79,9368773,334,1
123,28.79,29.16,28.37,28.48,6594912,334,1
124,28.1,28.15,26.61,26.63,13002452,334,1
125,26.61,27.04,26.43,26.48,8278929,334,1
126,26.8,29.03,26.715,28.78,13608551,334,1
127,28.73,29.78,28.21,29.51,10213934,334,1
128,30.39,31.24,30.3,30.9,11548914,334,1
129,30.76,30.76,29.86,30.08,7900364,334,1
130,30.32,32.1,30.22,31.94,12369332,334,1
131,31.59,33.375,31.45,33.22,13749926,334,1
132,33.35,33.9,32.14,32.38,13106792,334,1
133,32.37,32.77,31.91,32.08,6790626,334,1
134,32.05,33.12,31.94,32.81,7173482,334,1
135,32.58,32.77,31.82,31.84,6598012,334,1
136,32.31,32.95,32.01,32.17,6518443,334,1
137,32.14,33.63,32.07,33.0,7104426,334,1
138,33.19,33.84,32.77,33.29,7477468,334,1
139,34.08,34.27,32.02,32.11,10082438,334,1
140,32.37,32.96,31.23,31.34,9748278,334,1
141,31.13,32.12,30.72,31.83,9469742,334,1
142,31.38,32.14,31.27,31.77,7643427,334,1
