id_date,open,high,low,close,volume,id_stock,id_index
1,26.93,26.93,26.7,26.92,1271398,337,1
2,26.93,27.02,26.88,26.94,1044979,337,1
3,26.91,27.05,26.81,27.03,1284261,337,1
4,27.01,27.19,27.01,27.18,921047,337,1
5,27.07,27.2,26.87,26.91,1852920,337,1
6,26.86,26.945,26.71,26.78,3143120,337,1
7,26.93,27.4,26.81,27.26,3814566,337,1
8,27.27,27.37,26.98,27.04,2414521,337,1
9,26.94,27.07,26.865,26.97,1423799,337,1
10,27.0,27.25,26.95,27.2,1326908,337,1
11,27.28,27.44,26.88,26.9,1873186,337,1
12,27.01,27.18,26.83,27.15,2390684,337,1
13,27.18,27.465,27.08,27.42,3738244,337,1
14,27.44,27.78,27.435,27.7,3422457,337,1
15,27.66,27.96,27.51,27.93,2026708,337,1
16,27.83,28.27,27.83,28.17,1788206,337,1
17,28.28,28.35,28.195,28.32,1479914,337,1
18,28.38,28.45,28.12,28.24,1493533,337,1
19,28.25,28.32,28.01,28.03,1378380,337,1
20,28.1,28.34,28.04,28.29,2922211,337,1
21,28.25,28.58,28.25,28.54,1258584,337,1
22,28.54,28.54,28.255,28.35,1152013,337,1
23,28.35,28.44,28.28,28.42,991740,337,1
24,28.42,28.5,28.3,28.35,1399131,337,1
25,28.39,28.82,28.28,28.28,3419107,337,1
26,28.09,28.31,27.96,28.1,2921381,337,1
27,28.21,28.38,28.14,28.33,1735226,337,1
28,28.46,28.64,28.41,28.58,1291547,337,1
29,28.52,28.71,28.42,28.51,1445626,337,1
30,28.53,28.58,28.05,28.39,2456441,337,1
31,28.46,28.61,28.26,28.38,1419585,337,1
32,28.46,28.71,28.401,28.63,1825731,337,1
33,28.58,28.85,28.5,28.77,2048282,337,1
34,28.64,29.38,28.61,29.34,3726815,337,1
35,29.21,29.33,29.05,29.17,1973287,337,1
36,29.24,29.37,29.12,29.28,2006525,337,1
37,29.31,29.41,29.19,29.28,2456845,337,1
38,29.3,29.62,29.28,29.62,1644517,337,1
39,29.41,29.91,29.4,29.87,2073175,337,1
40,29.85,30.19,29.85,30.18,1476135,337,1
41,30.23,30.37,29.99,30.17,1925232,337,1
42,30.25,30.66,30.2,30.66,2639017,337,1
43,30.72,30.78,30.4,30.54,1989695,337,1
44,30.5,30.65,30.47,30.63,1098012,337,1
45,30.47,30.6,30.02,30.02,2326359,337,1
46,30.15,30.52,29.82,30.51,1401163,337,1
47,30.4,30.49,30.07,30.45,2087452,337,1
48,30.53,30.69,30.37,30.67,1866197,337,1
49,30.8,31.1,30.67,31.09,1206172,337,1
50,31.09,31.2,30.81,31.04,740400,337,1
51,31.13,31.17,30.77,31.06,2055791,337,1
