id_date,open,high,low,close,volume,id_stock,id_index
1,32.86,32.91,32.49,32.81,1568841,339,1
2,32.75,32.87,32.11,32.67,2666568,339,1
3,32.86,33.98,32.8,33.26,3831172,339,1
4,33.2,33.86,33.01,33.72,1500184,339,1
5,31.4,33.12,31.38,32.55,3211583,339,1
6,32.56,32.75,32.16,32.4,19895470,339,1
7,32.5,33.23,32.49,32.69,4306876,339,1
8,32.72,32.94,32.19,32.25,2111068,339,1
9,32.28,32.28,31.55,31.87,2729460,339,1
10,32.0,32.28,31.69,32.26,1637083,339,1
11,32.43,32.95,32.32,32.43,1980868,339,1
12,32.37,33.075,32.21,32.97,1877574,339,1
13,32.91,33.77,32.86,33.77,3240036,339,1
14,33.7,33.85,33.27,33.69,2192945,339,1
15,33.49,34.105,33.29,34.05,1790831,339,1
16,33.68,33.925,33.41,33.91,1213149,339,1
17,34.1,34.3225,33.9,34.18,1091227,339,1
18,34.44,34.61,34.35,34.61,1183078,339,1
19,34.55,34.615,34.19,34.3,1281210,339,1
20,34.48,35.18,34.0638,34.89,2684031,339,1
21,34.84,34.84,34.5,34.83,752079,339,1
22,34.96,34.995,34.26,34.69,1207502,339,1
23,34.79,34.79,34.465,34.73,713762,339,1
24,34.81,34.83,34.48,34.63,845046,339,1
25,34.83,34.83,34.18,34.66,1885016,339,1
26,34.42,34.61,34.15,34.6,763800,339,1
27,34.85,35.0,34.21,34.49,788446,339,1
28,34.61,34.695,34.42,34.66,717036,339,1
29,34.56,34.64,34.21,34.45,771115,339,1
30,34.61,34.64,34.21,34.63,671569,339,1
31,34.75,34.87,34.32,34.57,613057,339,1
32,34.77,34.99,34.7,34.97,589350,339,1
33,34.76,35.18,34.64,35.16,704173,339,1
34,35.13,35.84,35.07,35.82,1402588,339,1
35,35.52,35.7,35.05,35.38,1207197,339,1
36,35.55,35.55,35.17,35.35,1119318,339,1
37,35.23,35.45,34.705,35.03,1186451,339,1
38,35.09,35.145,34.84,34.95,433571,339,1
39,34.59,34.85,34.5,34.61,905966,339,1
40,34.54,34.93,34.54,34.85,742715,339,1
41,34.91,35.05,34.79,34.91,782365,339,1
42,35.02,35.56,34.94,35.5,759523,339,1
43,35.58,35.94,35.41,35.84,1264002,339,1
44,35.81,35.84,35.34,35.49,643152,339,1
45,35.25,35.445,34.62,34.68,844540,339,1
46,34.95,35.12,34.86,35.07,559799,339,1
47,35.02,35.06,34.6601,34.95,1228969,339,1
48,35.0,35.0,34.6,34.72,1336165,339,1
49,35.0,35.0,34.465,34.95,1072002,339,1
50,34.9,34.92,34.27,34.43,1711541,339,1
51,34.52,34.5799,33.95,34.42,1132976,339,1
52,34.37,34.59,33.37,34.37,1744198,339,1
53,35.5,36.74,34.47,34.63,3047796,339,1
54,34.75,34.99,34.41,34.74,1389881,339,1
55,34.47,34.64,33.92,34.23,2384117,339,1
56,34.2,34.71,34.0316,34.62,2495711,339,1
57,34.63,35.74,34.06,35.32,2145285,339,1
58,35.47,35.52,35.11,35.33,2011649,339,1
59,35.44,35.76,35.44,35.64,875260,339,1
60,36.05,36.31,35.81,36.02,2092582,339,1
61,36.07,36.41,35.97,36.27,1056598,339,1
62,36.31,36.54,36.22,36.54,1697785,339,1
63,36.49,36.88,36.44,36.8,1093929,339,1
64,36.86,37.09,36.83,36.91,1287439,339,1
65,35.56,36.25,35.0,35.01,4516195,339,1
66,34.66,35.13,34.6,34.65,23289777,339,1
67,34.92,35.1,34.75,34.99,6436435,339,1
68,35.1,35.12,34.788,35.0,3417007,339,1
69,35.0,35.49,34.835,35.28,2779317,339,1
70,35.28,35.47,35.02,35.43,2557961,339,1
71,35.26,35.34,34.78,34.86,2523495,339,1
72,34.71,35.05,34.46,34.55,1842133,339,1
73,34.44,34.54,34.01,34.48,1294702,339,1
74,34.46,35.01,34.165,35.01,2600361,339,1
75,35.01,35.28,34.69,34.93,1873037,339,1
76,34.87,34.87,33.88,33.9,3620130,339,1
77,33.92,34.11,33.71,33.89,1318441,339,1
78,33.78,34.04,33.4,33.91,2631826,339,1
79,33.83,34.04,33.62,34.01,1941104,339,1
80,33.94,34.05,33.6,33.65,1371981,339,1
81,33.7,33.77,33.294,33.41,1499200,339,1
82,33.33,33.62,33.16,33.62,1825866,339,1
83,33.6,34.33,33.42,34.25,1266955,339,1
84,34.3,34.31,33.97,33.98,1035584,339,1
85,33.72,34.02,33.6,33.93,1249548,339,1
86,34.02,34.13,33.87,33.92,1457391,339,1
87,33.98,34.41,33.79,34.34,1288953,339,1
88,34.29,34.48,34.2,34.33,1765252,339,1
89,34.5,34.8,34.29,34.6,1679400,339,1
90,34.67,35.24,34.6025,35.08,1319526,339,1
91,34.99,35.77,34.89,35.05,3461844,339,1
92,34.72,34.88,34.3,34.44,2095878,339,1
93,34.44,34.62,33.9,34.01,2491907,339,1
94,33.75,34.01,33.24,33.92,1635302,339,1
95,34.03,34.16,33.575,33.81,1413010,339,1
96,34.01,34.03,33.13,33.79,2842791,339,1
97,33.98,34.26,33.85,34.1,1246306,339,1
98,34.17,34.26,33.55,33.59,7861778,339,1
99,33.64,33.68,33.07,33.28,3543638,339,1
100,34.62,34.75,33.88,33.97,9949965,339,1
101,34.04,34.05,33.76,33.94,2292545,339,1
102,34.04,34.8,33.905,34.7,4606186,339,1
103,34.98,35.7,34.91,35.1,49550717,339,1
104,35.14,35.26,34.19,34.23,3987202,339,1
105,34.13,34.22,33.25,33.53,5048907,339,1
106,33.77,34.27,33.69,34.26,3542320,339,1
107,34.17,34.53,34.1,34.47,3444838,339,1
108,34.47,34.76,34.44,34.44,2637135,339,1
109,34.41,34.52,33.5,33.84,3804046,339,1
110,33.88,34.14,32.63,32.97,5133046,339,1
111,33.05,33.66,32.76,33.42,2729183,339,1
112,33.31,33.42,32.89,33.2,2319801,339,1
113,33.37,33.49,33.09,33.4,1187586,339,1
114,33.4,33.51,33.18,33.3,2045315,339,1
115,33.45,33.75,33.26,33.31,1684565,339,1
116,33.11,33.39,33.11,33.25,1572229,339,1
117,33.25,33.28,32.98,33.23,1205289,339,1
118,33.06,33.48,33.05,33.35,1881764,339,1
119,33.41,34.53,33.14,33.56,3904583,339,1
120,33.66,33.88,33.4,33.42,1778673,339,1
121,33.74,33.92,33.43,33.58,3086480,339,1
122,33.41,33.84,33.34,33.74,3006536,339,1
123,33.77,33.95,33.63,33.81,2121915,339,1
124,33.7,33.82,33.52,33.69,1385585,339,1
125,33.56,33.75,33.13,33.16,1881666,339,1
126,33.26,33.55,32.815,32.85,1698499,339,1
127,33.21,33.435,32.86,33.09,1428089,339,1
128,33.01,33.52,32.89,33.42,1404289,339,1
129,33.53,33.6325,33.28,33.4,1708935,339,1
130,33.15,33.33,32.55,32.87,2546997,339,1
131,32.68,32.95,32.57,32.66,1414638,339,1
132,32.57,33.02,32.47,32.73,1583081,339,1
133,32.6,32.985,32.4,32.55,2024573,339,1
134,33.01,34.27,33.01,33.66,2655641,339,1
135,33.55,33.82,33.28,33.57,1869342,339,1
136,33.68,33.97,33.42,33.89,1233655,339,1
137,33.92,34.23,33.6,34.06,2367103,339,1
138,33.85,34.78,33.79,34.31,2888313,339,1
139,33.99,34.19,33.67,33.76,1955454,339,1
140,33.68,34.325,33.68,34.18,2026277,339,1
141,34.1,34.63,33.97,34.53,1857344,339,1
142,34.52,34.65,34.36,34.5,1650451,339,1
143,34.81,34.97,34.51,34.67,1527184,339,1
144,34.64,34.76,34.38,34.54,1891697,339,1
145,34.54,34.94,34.54,34.83,1387742,339,1
146,35.0,35.4,34.7,35.0,2583291,339,1
147,35.03,35.24,34.99,35.08,1765434,339,1
148,35.13,35.49,35.076,35.4,1744832,339,1
149,35.31,35.505,35.3,35.45,1508744,339,1
150,35.46,35.93,35.43,35.65,1755743,339,1
151,35.6,35.75,35.44,35.56,1438337,339,1
152,35.98,36.04,35.45,35.6,2155469,339,1
153,35.67,36.5,35.63,36.39,1372395,339,1
154,36.37,37.04,36.26,36.94,1438852,339,1
155,36.78,37.3,36.66,37.18,3388981,339,1
156,36.89,37.04,35.87,35.87,3867711,339,1
157,36.34,36.61,36.17,36.38,2956848,339,1
158,36.42,36.89,36.42,36.57,1907627,339,1
159,36.65,36.88,36.515,36.56,1303220,339,1
160,36.62,36.65,36.33,36.52,1495072,339,1
161,36.47,36.47,36.14,36.32,1410880,339,1
162,36.36,36.65,35.96,36.45,1942998,339,1
163,37.12,37.22,36.46,37.13,1772560,339,1
164,37.0,37.0,36.57,36.62,1721761,339,1
165,36.5,36.5,36.25,36.32,1067655,339,1
166,36.25,36.45,36.15,36.4,1458896,339,1
167,36.24,36.43,35.86,36.21,1322951,339,1
168,36.23,36.345,35.88,35.9,1511924,339,1
169,36.05,36.24,35.95,36.11,1363558,339,1
170,36.29,37.37,36.21,37.31,2133043,339,1
171,37.28,37.33,37.015,37.24,1627703,339,1
172,37.05,37.17,36.92,37.16,2888045,339,1
173,37.4,37.4,36.85,36.85,1752558,339,1
174,37.05,37.25,36.94,37.16,1424524,339,1
175,37.12,38.005,37.01,37.91,1870613,339,1
176,38.07,38.475,37.96,38.44,1537199,339,1
177,38.44,38.73,38.44,38.68,1630444,339,1
178,38.58,39.1,38.55,38.83,2554133,339,1
179,38.24,38.5,36.95,38.29,3653919,339,1
180,38.25,39.14,38.11,38.98,2775693,339,1
181,38.93,39.26,38.83,39.04,1705663,339,1
182,39.24,39.48,38.59,38.94,1484397,339,1
183,39.24,39.51,39.07,39.5,1380480,339,1
184,39.3,39.75,38.98,39.09,935488,339,1
185,38.99,39.66,38.99,39.44,1433569,339,1
186,39.79,40.06,39.59,39.94,1502860,339,1
187,39.96,40.05,39.7,39.82,1134515,339,1
188,39.55,39.78,39.46,39.48,1312292,339,1
189,40.32,40.32,39.395,39.7,1709885,339,1
190,39.64,39.86,38.99,39.11,1321497,339,1
191,39.07,39.78,39.04,39.77,1044720,339,1
192,39.8,40.1,39.52,39.66,1047743,339,1
193,39.67,40.08,39.49,40.0,1472835,339,1
194,39.68,40.23,39.6,40.19,2147587,339,1
195,40.09,40.35,39.91,39.96,1846495,339,1
196,39.98,40.34,39.77,40.34,1113253,339,1
197,40.26,40.72,40.25,40.37,1106408,339,1
198,40.42,40.92,40.41,40.7,1439730,339,1
199,40.7,40.81,40.32,40.49,1362946,339,1
200,40.34,40.44,39.76,40.21,1245881,339,1
201,39.94,41.65,39.65,41.12,17867178,339,1
202,41.49,42.3,41.49,41.97,5074186,339,1
203,42.13,42.56,42.0,42.51,3536166,339,1
204,42.36,42.97,42.13,42.93,1892791,339,1
205,43.23,43.33,42.96,43.16,1394042,339,1
206,42.98,43.45,42.6,42.76,5410089,339,1
207,42.71,42.82,42.38,42.68,2360168,339,1
208,42.46,42.92,42.4175,42.85,2331807,339,1
209,42.83,42.91,42.52,42.7,1467615,339,1
210,43.22,43.685,43.07,43.55,2396808,339,1
211,43.69,43.83,43.49,43.65,1893862,339,1
212,43.46,43.77,43.295,43.43,1969627,339,1
213,43.7,44.01,43.27,43.3,2367113,339,1
214,43.14,43.35,42.69,42.96,1818111,339,1
215,43.35,45.84,43.29,45.62,5582030,339,1
216,44.98,45.81,44.98,45.62,3435024,339,1
217,45.58,45.65,45.06,45.15,2354802,339,1
218,45.45,45.65,44.68,45.14,3877534,339,1
219,45.09,45.48,44.98,45.13,4703764,339,1
220,45.15,45.38,45.1,45.35,4202490,339,1
221,45.95,46.02,45.45,45.55,2543018,339,1
222,45.5,45.74,45.5,45.64,541715,339,1
223,45.82,46.06,45.7601,45.93,999766,339,1
224,46.04,46.04,45.59,45.7,925924,339,1
225,45.79,45.9,45.6,45.68,3024098,339,1
226,45.7,46.2,45.65,45.89,1297908,339,1
227,45.8,45.9,44.88,45.08,1904066,339,1
228,45.22,45.52,45.22,45.35,1150409,339,1
229,45.59,45.6,45.07,45.25,1477465,339,1
230,45.3,45.35,45.0,45.03,1622701,339,1
231,45.03,45.06,44.66,44.87,2827422,339,1
232,45.03,45.03,44.08,44.31,2565038,339,1
233,44.57,44.59,43.95,44.11,3554155,339,1
234,44.09,44.27,43.66,43.68,2237359,339,1
235,43.89,44.41,43.76,44.37,1692769,339,1
236,44.38,44.45,43.93,44.27,1719177,339,1
237,44.85,45.19,44.05,44.11,3023506,339,1
238,44.1,44.47,43.57,44.42,3823852,339,1
239,44.67,45.04,44.56,45.02,2166519,339,1
240,45.19,45.38,45.02,45.33,1572097,339,1
241,44.96,45.19,44.83,45.01,2035023,339,1
242,44.56,44.59,43.24,43.24,1907046,339,1
243,43.24,43.31,42.09,42.76,3425111,339,1
244,42.9,43.43,42.36,42.49,2528071,339,1
245,42.19,42.34,41.92,42.19,2427004,339,1
246,42.42,43.12,42.38,42.95,1726699,339,1
247,42.2,42.61,42.09,42.29,2811020,339,1
248,42.17,42.26,40.88,41.04,2935320,339,1
249,41.57,42.18,40.96,42.11,2987595,339,1
250,41.82,42.69,41.72,42.48,2651318,339,1
251,42.74,43.54,42.72,43.49,2083489,339,1
252,43.66,44.3,43.48,44.18,1618992,339,1
253,44.59,45.14,43.71,45.13,3298550,339,1
254,45.02,45.35,44.37,45.0,2843959,339,1
255,45.11,45.7,45.09,45.64,2373472,339,1
256,44.82,45.35,43.92,45.27,2790998,339,1
