id_date,open,high,low,close,volume,id_stock,id_index
1,24.14,24.185,23.92,24.13,1401019,342,1
2,24.04,24.19,23.94,24.12,1692738,342,1
3,24.15,24.56,24.1067,24.24,2572241,342,1
4,24.21,24.35,24.045,24.12,2624706,342,1
5,24.01,24.21,23.87,23.89,3499290,342,1
6,24.0,24.09,23.83,23.94,2998161,342,1
7,24.0,24.56,23.94,24.53,4430679,342,1
8,24.5,24.5,24.0196,24.02,5456082,342,1
9,24.0,24.14,23.82,23.95,3000506,342,1
10,23.99,24.1,23.88,24.03,2536652,342,1
11,24.1,24.37,23.64,23.65,2502266,342,1
12,23.71,24.01,23.43,23.83,3734311,342,1
13,23.82,24.245,23.8,24.0,4475422,342,1
14,24.07,24.3,23.85,24.0,6980370,342,1
15,24.03,24.28,23.82,24.0,3604926,342,1
16,24.0,24.13,23.93,24.13,3733782,342,1
17,24.27,24.55,24.2,24.48,4710298,342,1
18,24.56,24.73,24.46,24.59,5594128,342,1
19,24.63,24.77,24.5,24.7,3426571,342,1
20,24.74,24.94,24.39,24.88,3725067,342,1
21,24.88,25.32,24.83,25.21,3373713,342,1
22,25.23,25.38,25.03,25.33,3786531,342,1
23,25.35,25.5401,25.24,25.37,3101000,342,1
24,25.44,25.87,25.33,25.87,4908844,342,1
25,25.78,26.34,25.66,26.09,5850030,342,1
26,25.9,26.4017,25.78,26.11,4067434,342,1
27,26.15,26.24,25.7899,25.97,3375820,342,1
28,26.1,26.13,25.92,25.98,5770145,342,1
29,25.86,26.13,25.715,25.73,2822917,342,1
30,25.75,25.945,25.59,25.78,2072575,342,1
31,25.92,26.04,25.5,25.69,2994639,342,1
32,25.87,25.97,25.62,25.8,3035043,342,1
33,25.62,26.25,25.59,26.24,3672117,342,1
34,26.3,26.51,26.22,26.49,3762177,342,1
35,26.41,26.54,26.3,26.5,1999318,342,1
36,26.6,26.875,26.53,26.62,3315562,342,1
37,26.69,26.7,26.23,26.35,3452850,342,1
38,26.33,26.64,26.26,26.39,2353998,342,1
39,26.09,26.55,26.07,26.35,2030504,342,1
40,26.42,26.77,26.26,26.76,1906429,342,1
41,26.82,27.0925,26.68,26.93,2955443,342,1
42,27.07,27.205,26.97,27.2,3987572,342,1
43,27.15,27.32,26.98,27.27,3073065,342,1
44,27.11,27.24,26.96,27.14,1665667,342,1
45,27.04,27.1,26.38,26.38,2518138,342,1
46,26.58,26.82,26.45,26.77,2085283,342,1
47,26.64,26.64,26.211,26.4,3149820,342,1
48,26.44,26.81,26.23,26.64,3175904,342,1
49,26.86,27.27,26.78,27.26,3622732,342,1
50,27.3,27.46,27.04,27.41,2150657,342,1
51,27.47,27.59,27.34,27.48,2190826,342,1
52,27.57,27.92,27.36,27.88,2769129,342,1
53,27.99,28.17,27.79,27.98,3197518,342,1
54,27.93,28.02,27.77,27.92,2052873,342,1
55,27.89,28.18,27.84,27.94,2528527,342,1
56,28.0,28.095,27.69,27.87,2968321,342,1
57,27.86,27.97,27.55,27.6,3181876,342,1
58,27.69,27.75,27.04,27.15,4137904,342,1
59,27.34,27.71,27.301,27.61,2920747,342,1
60,27.64,27.76,27.37,27.64,3451249,342,1
61,27.66,27.725,27.16,27.39,5375482,342,1
62,27.32,27.4,26.94,27.22,3773991,342,1
63,27.21,27.3,26.81,26.87,3484088,342,1
64,26.93,27.2,26.7,27.18,3380189,342,1
65,27.07,27.34,27.03,27.2,2300553,342,1
66,27.2,27.7,27.2,27.67,2837572,342,1
67,27.56,28.17,27.49,28.01,4436587,342,1
68,27.88,28.04,27.685,27.72,3247531,342,1
69,27.74,28.13,27.72,28.01,3103485,342,1
70,27.97,28.3399,27.96,28.09,3647579,342,1
71,28.07,28.31,27.935,28.18,2029206,342,1
72,28.11,28.67,27.65,27.77,2940740,342,1
73,27.57,27.93,27.2301,27.81,4004009,342,1
74,27.65,27.65,27.01,27.17,3061069,342,1
75,26.8,26.84,25.73,26.17,10691155,342,1
76,26.07,26.09,25.65,25.92,4609146,342,1
77,25.99,26.3,25.63,25.68,3934093,342,1
78,25.56,26.07,25.52,25.52,2740103,342,1
79,25.49,25.69,25.21,25.53,3182177,342,1
80,25.43,25.47,24.93,25.19,5156876,342,1
81,25.14,25.3,24.93,25.24,3014025,342,1
82,25.26,25.78,25.24,25.65,3835012,342,1
83,26.74,27.34,26.255,27.1,6391290,342,1
84,27.17,27.44,27.095,27.43,4009424,342,1
85,27.21,27.55,27.09,27.12,4087689,342,1
86,27.2,27.31,26.345,26.44,3322614,342,1
87,26.41,26.79,26.0278,26.69,3960002,342,1
88,26.62,27.02,26.62,27.0,2087229,342,1
89,26.97,27.16,26.66,26.74,3094762,342,1
90,26.8,26.96,26.645,26.79,1785855,342,1
91,26.79,27.03,26.35,26.35,2867742,342,1
92,26.15,26.15,25.305,25.44,4322755,342,1
93,25.63,25.84,24.88,25.42,4434897,342,1
94,25.79,26.11,24.86,25.94,6662925,342,1
95,26.21,26.71,26.09,26.55,5223382,342,1
96,26.72,27.04,26.5,26.54,3627345,342,1
97,26.73,26.93,26.57,26.7,3189354,342,1
98,26.62,27.2,26.51,26.7,4298111,342,1
99,26.76,26.77,26.2,26.26,3365294,342,1
100,26.21,26.54,25.985,26.09,3286803,342,1
101,26.05,26.38,25.93,26.26,1342601,342,1
102,26.36,26.45,25.81,26.14,1841657,342,1
103,26.34,27.31,26.31,27.23,3895780,342,1
104,27.44,27.76,27.23,27.65,3455777,342,1
105,27.64,27.93,27.58,27.85,2602331,342,1
106,28.0,28.69,28.0,28.67,3979737,342,1
107,28.48,28.79,28.4,28.64,3985767,342,1
108,28.64,29.08,28.62,29.08,4084523,342,1
109,29.1,29.19,28.41,28.79,3978799,342,1
110,28.89,29.15,28.27,28.41,4099984,342,1
111,28.51,28.8,28.0,28.42,3760319,342,1
112,28.57,28.615,28.23,28.46,2745390,342,1
113,28.41,28.53,27.94,27.98,2455175,342,1
114,28.11,28.37,27.83,27.94,3034669,342,1
115,27.96,27.99,27.34,27.43,2354208,342,1
116,27.39,27.65,27.215,27.53,3232684,342,1
117,27.35,27.67,27.33,27.67,2047006,342,1
118,27.59,27.65,27.21,27.25,2594480,342,1
119,27.29,27.38,26.985,27.0,2359051,342,1
120,27.0,27.05,26.66,26.82,3289116,342,1
121,26.94,27.14,26.69,27.08,3047862,342,1
122,27.23,27.28,26.9,27.04,1950791,342,1
123,26.92,27.11,26.735,26.91,3290150,342,1
124,26.8,26.82,26.2,26.3,2979171,342,1
125,26.18,26.43,25.98,26.39,3574208,342,1
126,26.41,27.07,26.41,26.9,4300274,342,1
127,26.7,26.95,25.9516,26.35,7299275,342,1
128,26.01,26.17,25.71,25.97,4965060,342,1
129,25.93,25.93,25.24,25.52,6074689,342,1
130,25.52,26.61,25.4,26.52,7318476,342,1
131,26.28,26.42,26.08,26.4,5200903,342,1
132,26.24,26.34,26.07,26.15,4190663,342,1
133,26.11,26.185,25.94,26.05,4000055,342,1
134,26.07,26.51,26.0,26.49,4370707,342,1
135,26.38,26.98,26.15,26.43,2999262,342,1
136,26.49,26.61,26.25,26.37,2839385,342,1
137,26.46,26.49,26.1,26.32,2971936,342,1
138,26.31,26.34,25.8925,25.93,2776740,342,1
139,25.75,26.0465,25.74,25.9,2424429,342,1
140,25.93,26.02,25.76,25.98,1627858,342,1
141,25.89,26.19,25.74,26.0,2017785,342,1
142,25.97,26.37,25.95,26.25,2295724,342,1
143,26.47,26.79,25.98,26.1,3654989,342,1
144,26.07,26.21,25.895,25.99,2159052,342,1
145,25.9,26.06,25.7119,25.73,2909933,342,1
146,25.69,26.3,25.69,26.06,2728880,342,1
147,26.08,26.37,26.045,26.35,1867051,342,1
148,26.53,26.79,26.39,26.79,2809549,342,1
149,26.78,26.78,26.1,26.25,3148731,342,1
150,26.04,26.54,26.04,26.36,2372683,342,1
151,26.51,27.35,26.48,27.14,4437076,342,1
152,27.52,27.88,27.0199,27.56,3871708,342,1
153,27.59,28.0,27.575,27.92,2867889,342,1
154,27.53,28.12,27.15,27.91,6905169,342,1
155,27.96,28.25,27.715,27.8,5190590,342,1
156,27.81,27.93,27.49,27.53,5175554,342,1
157,27.47,28.04,27.36,27.95,3488097,342,1
158,27.97,28.18,27.82,28.02,3205019,342,1
159,28.04,28.24,27.88,28.04,2015287,342,1
160,28.05,28.16,27.74,27.94,2106586,342,1
161,27.9,28.03,27.68,27.72,3659155,342,1
162,27.54,27.68,27.24,27.33,2897480,342,1
163,27.37,27.68,27.32,27.45,3694870,342,1
164,27.37,27.62,27.11,27.55,4841264,342,1
165,27.39,27.51,27.26,27.34,3185408,342,1
166,27.35,27.62,27.26,27.43,3785161,342,1
167,27.33,27.42,27.17,27.26,1616645,342,1
168,27.36,27.79,27.25,27.47,3978435,342,1
169,27.46,27.6,27.305,27.37,4330931,342,1
170,27.54,27.87,27.44,27.86,2964353,342,1
171,27.91,28.23,27.75,28.13,1959208,342,1
172,28.02,28.05,27.53,27.94,1784111,342,1
173,27.82,28.08,27.56,27.56,2879463,342,1
174,27.59,27.66,27.28,27.48,3040375,342,1
175,27.31,28.02,27.232,27.96,2743732,342,1
176,28.07,30.17,27.93,29.3,9749290,342,1
177,29.45,29.66,28.515,28.86,4783994,342,1
178,29.0,29.23,28.81,28.89,2671135,342,1
179,28.8,28.9,28.295,28.42,3355788,342,1
180,28.43,28.57,27.855,28.19,2523800,342,1
181,28.28,30.13,28.04,30.11,8717364,342,1
182,30.1,30.28,29.38,29.48,4848550,342,1
183,29.54,29.637,28.98,29.18,3275136,342,1
184,29.13,29.34,28.66,28.84,3337846,342,1
185,28.75,28.92,28.23,28.53,3023779,342,1
186,28.62,28.68,28.26,28.39,2957056,342,1
187,28.44,28.56,27.92,28.25,3008502,342,1
188,28.22,28.62,28.22,28.3,3392991,342,1
189,28.42,28.59,27.89,28.16,2361888,342,1
190,28.47,28.49,27.89,27.98,3362579,342,1
191,27.88,28.34,27.5,28.32,3138466,342,1
192,28.27,28.46,27.96,28.04,2378157,342,1
193,27.06,27.93,26.76,27.06,6657581,342,1
194,26.81,27.27,26.69,27.26,4351357,342,1
195,27.28,27.29,26.93,27.12,3573969,342,1
196,27.02,27.28,26.88,27.27,2670894,342,1
197,27.28,27.4,26.88,27.12,2662004,342,1
198,27.06,27.24,26.86,27.17,2176180,342,1
199,27.17,27.52,27.07,27.23,3156434,342,1
200,27.23,27.675,27.13,27.57,2376422,342,1
201,27.56,27.59,27.105,27.22,2033270,342,1
202,27.21,27.28,26.91,26.94,1971111,342,1
203,26.94,27.0,26.47,26.6,3470096,342,1
204,26.59,26.73,26.3,26.65,2726774,342,1
205,26.67,26.74,26.41,26.46,910157,342,1
206,26.46,26.97,26.34,26.83,2896192,342,1
207,26.76,27.41,26.62,27.4,3075927,342,1
208,27.24,28.0,27.16,27.95,3740648,342,1
209,27.89,28.25,27.5501,28.1,3809695,342,1
210,28.26,28.65,28.1099,28.59,2824582,342,1
211,28.56,28.89,28.42,28.73,2898175,342,1
212,28.73,28.77,28.32,28.37,3087102,342,1
213,28.32,28.36,27.82,27.95,3438157,342,1
214,27.96,28.28,27.91,27.98,2618495,342,1
215,28.05,28.09,27.88,27.95,2194276,342,1
216,28.05,28.25,27.74,27.86,3658323,342,1
217,27.84,28.11,27.79,27.87,2543402,342,1
218,27.93,28.14,27.28,28.1,3591050,342,1
219,28.07,28.46,27.81,28.42,2219622,342,1
220,28.44,28.75,28.355,28.4,5398760,342,1
221,28.57,28.6,28.32,28.37,2064016,342,1
222,28.47,28.55,28.25,28.38,953001,342,1
223,28.46,28.54,28.36,28.48,1917630,342,1
224,28.53,28.7,28.41,28.59,1946015,342,1
225,28.56,28.75,28.5,28.63,1997934,342,1
226,28.7,28.8193,28.57,28.72,2519814,342,1
227,28.74,28.78,28.5,28.58,3896367,342,1
228,28.58,28.85,28.58,28.66,2473410,342,1
229,28.79,29.3,28.66,28.71,3808033,342,1
230,28.75,29.05,28.5175,28.65,5670467,342,1
231,28.64,28.84,28.41,28.45,6504334,342,1
232,28.49,28.58,27.82,28.07,4994721,342,1
233,28.26,28.41,27.93,28.06,4682318,342,1
234,27.94,28.08,27.37,27.46,4146190,342,1
235,27.42,27.8,27.4,27.79,3154923,342,1
236,27.78,28.1425,27.71,28.03,3042944,342,1
237,28.04,28.12,27.86,28.08,4884654,342,1
238,28.14,28.14,27.71,28.07,5667971,342,1
239,28.06,28.25,27.86,28.07,2432656,342,1
240,28.12,28.39,27.86,27.89,4933932,342,1
241,27.7,27.74,27.14,27.34,6312213,342,1
242,27.04,27.48,26.77,26.82,7102955,342,1
243,26.86,26.97,26.57,26.75,4162668,342,1
244,26.79,27.21,26.73,27.2,3093068,342,1
245,27.04,27.47,26.9,27.19,3479830,342,1
246,27.16,27.68,27.16,27.63,2818275,342,1
247,27.36,28.045,27.32,27.85,3628989,342,1
248,27.9,27.98,27.33,27.43,5047514,342,1
249,27.47,27.58,27.17,27.39,3882443,342,1
250,27.18,27.5,27.08,27.36,4670608,342,1
251,27.44,27.68,27.36,27.65,2673329,342,1
252,27.82,28.03,27.565,27.61,3922419,342,1
253,27.69,27.73,27.43,27.58,2916337,342,1
254,27.54,27.815,27.5,27.75,5500062,342,1
255,27.78,27.835,27.43,27.48,3193961,342,1
256,27.41,28.28,27.4,28.28,4396378,342,1
257,28.3,28.66,28.25,28.43,3259541,342,1
258,28.43,28.79,28.43,28.72,2510054,342,1
259,28.71,28.92,28.47,28.53,3548845,342,1
