id_date,open,high,low,close,volume,id_stock,id_index
1,68.85,69.16,68.6,69.0,1178078,343,1
2,69.19,70.69,69.15,70.57,2314952,343,1
3,70.48,71.65,70.1,71.64,2820360,343,1
4,71.76,72.75,71.51,71.88,2022523,343,1
5,71.52,72.0,71.19,71.97,1497613,343,1
6,71.84,71.85,71.15,71.5,1934730,343,1
7,71.89,73.26,71.68,73.2,2467168,343,1
8,73.11,73.42,72.145,72.25,2386162,343,1
9,72.25,72.54,71.4,71.55,2548883,343,1
10,71.69,73.31,71.39,73.11,2338200,343,1
11,73.35,73.5,71.43,71.44,2690751,343,1
12,71.58,71.67,70.83,71.34,1879107,343,1
13,71.33,73.04,71.16,72.7,2927140,343,1
14,72.86,73.79,72.62,73.05,2421477,343,1
15,72.61,74.1,72.21,73.75,3253219,343,1
16,73.51,74.4,73.21,74.27,2431601,343,1
17,74.5,75.44,74.33,75.29,2617272,343,1
18,75.49,75.71,74.04,74.4,1872228,343,1
19,74.53,74.54,73.105,73.39,2507322,343,1
20,73.84,74.93,73.84,74.77,2204239,343,1
21,74.6,75.215,74.54,75.02,1749395,343,1
22,75.0,75.32,74.15,74.48,1484912,343,1
23,74.67,74.81,73.89,74.3,1774322,343,1
24,74.55,75.06,74.06,75.06,1414822,343,1
25,74.84,75.62,74.54,75.62,2777077,343,1
26,74.84,75.81,74.73,75.11,1773966,343,1
27,75.7,76.05,74.5957,75.45,1436410,343,1
28,75.76,76.26,75.61,76.02,1710548,343,1
29,75.64,76.06,74.75,74.86,1997885,343,1
30,75.005,75.48,74.45,74.65,2107172,343,1
31,75.18,75.36,74.05,74.38,2461643,343,1
32,74.85,75.75,74.69,75.75,1474254,343,1
33,75.18,76.43,74.82,76.28,1590132,343,1
34,76.5,77.415,76.04,77.08,1795808,343,1
35,76.94,77.0,76.0,76.12,1655594,343,1
36,76.57,77.33,76.0048,76.25,1578050,343,1
37,76.31,76.55,74.82,75.16,2421137,343,1
38,74.41,74.64,73.291,73.86,4070254,343,1
39,72.73,74.8,72.26,74.52,3132976,343,1
40,74.45,75.49,74.34,75.36,1638145,343,1
41,75.4,75.75,74.35,74.38,2613391,343,1
42,74.73,75.84,74.63,75.83,1816802,343,1
43,75.64,76.53,75.11,76.19,2032585,343,1
44,76.77,78.08,76.38,76.81,2193423,343,1
45,76.28,76.309,74.0825,74.11,3155288,343,1
46,74.69,76.03,74.38,75.87,1919036,343,1
47,75.33,75.33,73.44,73.71,2225213,343,1
48,73.94,74.28,73.08,73.86,1824146,343,1
49,73.88,74.91,73.36,74.75,1737191,343,1
50,74.75,75.5,74.12,75.06,1343912,343,1
51,75.62,76.34,75.55,75.84,1398587,343,1
52,76.25,76.25,73.66,74.92,2799285,343,1
53,75.0,76.07,74.95,75.84,1935241,343,1
54,75.85,76.22,75.28,75.56,1767722,343,1
55,75.65,77.21,75.56,76.6,1665586,343,1
56,76.42,77.6,76.02,77.42,2710383,343,1
57,76.85,76.9395,74.91,75.2,2318971,343,1
58,75.39,76.61,74.89,76.47,1807253,343,1
59,77.16,78.785,77.16,77.81,2223161,343,1
60,77.75,78.39,77.62,77.82,1315743,343,1
61,77.83,78.49,77.56,78.41,1864948,343,1
62,78.24,79.12,77.77,79.1,1573037,343,1
63,79.21,79.34,78.3799,78.59,1478881,343,1
64,78.66,79.01,78.36,79.01,1409157,343,1
65,78.75,78.97,77.98,78.4,1116486,343,1
66,78.41,80.06,78.01,80.05,1599536,343,1
67,79.77,80.46,79.4805,80.36,1571817,343,1
68,79.95,80.19,79.0,79.33,2071541,343,1
69,79.4,80.3199,79.05,80.23,1324403,343,1
70,80.23,80.785,79.81,80.25,1899386,343,1
71,80.34,81.0,79.94,79.98,1179208,343,1
