id_date,open,high,low,close,volume,id_stock,id_index
1,88.16,88.599,88.1,88.36,3173098,356,1
2,88.24,88.25,87.09,87.21,3413712,356,1
3,87.31,87.5,86.49,86.93,3520557,356,1
4,87.1,87.38,86.57,86.94,2388110,356,1
5,86.74,87.31,86.45,86.91,4145890,356,1
6,87.2,87.25,84.62,84.71,9407944,356,1
7,85.1,86.3,85.1,85.8,5789752,356,1
8,85.76,86.16,84.42,84.51,5809938,356,1
9,84.0,84.28,83.09,83.43,4189457,356,1
10,84.0,84.0,83.3623,83.61,3755283,356,1
11,85.03,85.55,82.11,82.13,6381968,356,1
12,82.51,82.818,81.11,81.78,5508717,356,1
13,81.65,82.63,81.47,82.23,5079091,356,1
14,82.24,82.55,81.9175,82.33,4914333,356,1
15,81.86,82.8599,81.21,82.65,3568621,356,1
16,82.39,82.48,80.93,81.64,3796131,356,1
17,82.17,82.83,81.93,82.45,3681456,356,1
18,82.61,82.61,81.37,81.89,3737123,356,1
19,82.03,82.21,81.61,81.69,4042730,356,1
20,82.06,82.539,81.84,82.4,4000227,356,1
21,82.24,83.328,81.94,82.88,2985723,356,1
22,83.11,84.2399,83.02,83.59,3808938,356,1
23,83.63,83.96,83.2,83.28,4668365,356,1
24,83.59,84.6955,83.43,84.4,5325173,356,1
25,84.02,84.51,83.31,83.67,7637887,356,1
26,82.7,83.28,82.255,82.5,4761137,356,1
27,81.82,81.94,79.3,80.18,8114232,356,1
28,80.77,80.9,78.5,78.63,7706806,356,1
29,78.25,79.05,77.94,78.36,6152972,356,1
30,78.6,79.15,78.41,78.66,3888220,356,1
31,78.93,79.248,77.79,78.05,6052378,356,1
32,78.15,78.44,77.21,78.01,5808300,356,1
33,77.59,78.35,77.522,78.13,3933880,356,1
34,78.1,78.74,77.82,78.37,5362670,356,1
35,78.45,79.21,77.91,78.95,4193296,356,1
36,79.6,81.73,79.25,80.68,8575312,356,1
37,80.59,81.68,80.09,81.06,8304110,356,1
38,80.99,82.09,80.51,81.82,7351679,356,1
39,80.81,82.0,80.81,81.85,5307573,356,1
40,82.84,83.23,79.98,81.12,10522025,356,1
41,81.58,82.08,80.47,81.57,6422769,356,1
42,81.62,81.8,81.0,81.36,4952954,356,1
43,84.0,84.74,83.5,84.2,14673678,356,1
44,83.56,83.75,82.46,83.39,7832131,356,1
45,82.54,82.8,80.68,80.7,6115076,356,1
46,81.84,81.86,80.53,81.6,4480014,356,1
47,80.95,81.32,79.47,80.45,5925235,356,1
48,80.59,81.14,79.4,79.91,4785328,356,1
49,80.35,80.6,79.16,79.61,4512829,356,1
50,79.68,80.736,79.005,80.56,3994415,356,1
51,80.88,82.55,80.47,81.69,5486025,356,1
52,81.86,84.56,81.86,84.33,7388845,356,1
53,83.59,87.92,82.55,85.55,9544752,356,1
54,85.4,86.93,84.51,86.66,5650281,356,1
55,87.37,88.04,86.0,87.86,9363417,356,1
56,88.4,89.89,88.18,89.26,7832841,356,1
57,88.48,88.85,87.05,87.55,7252384,356,1
58,88.09,88.465,86.9101,88.09,5356785,356,1
59,88.92,91.99,88.9,90.76,11853222,356,1
60,90.69,91.005,89.1,89.36,6251152,356,1
61,89.54,89.95,88.64,89.25,5558735,356,1
62,89.24,89.93,88.85,89.28,4263215,356,1
63,89.28,89.34,87.89,88.2,5901815,356,1
64,87.9,89.18,87.9,89.17,5225397,356,1
65,89.07,90.53,88.85,90.53,5583926,356,1
66,90.5,91.43,90.27,91.03,5989134,356,1
67,90.52,91.09,89.92,90.93,4027770,356,1
68,90.54,91.93,90.23,91.03,4366460,356,1
69,91.14,92.84,90.67,92.84,6480289,356,1
70,92.84,93.74,92.68,93.69,3358001,356,1
71,93.59,94.42,93.02,93.06,4248540,356,1
72,92.58,93.35,90.29,91.1,7651432,356,1
73,90.0,90.57,88.9,90.53,4647564,356,1
74,90.2,91.22,89.43,90.78,3863744,356,1
75,92.5,93.49,92.24,92.65,5011603,356,1
76,92.44,94.9,92.15,94.55,6963283,356,1
77,94.46,95.56,93.9,94.75,6121223,356,1
78,94.75,95.57,92.07,92.07,9595568,356,1
79,93.0,94.3001,92.46,94.27,6766455,356,1
80,93.95,95.31,93.78,94.26,6425037,356,1
81,93.43,94.41,92.77,93.38,5204328,356,1
82,92.94,93.4,91.86,92.55,5803125,356,1
83,93.01,93.62,92.04,93.12,6448940,356,1
84,93.07,93.39,92.085,92.29,4297734,356,1
85,91.39,92.54,90.61,91.25,4845766,356,1
86,91.9,92.29,90.63,90.95,3028635,356,1
87,91.01,93.53,90.81,93.04,3989363,356,1
88,93.16,93.35,91.32,91.89,2403614,356,1
89,92.66,93.24,91.81,92.61,2665783,356,1
90,92.4,93.2499,92.2,92.43,2840081,356,1
91,92.63,93.2,91.76,91.76,3066073,356,1
92,90.82,90.94,88.49,88.94,5406302,356,1
93,89.76,90.61,88.56,89.92,7413407,356,1
94,88.84,89.6,87.56,88.63,5642952,356,1
95,89.25,89.25,87.89,88.67,3465567,356,1
96,89.93,90.05,88.29,89.25,3457408,356,1
97,89.91,91.26,89.52,90.31,3372852,356,1
98,89.99,90.2736,89.21,89.23,3445607,356,1
99,89.92,90.604,89.7,90.02,2835245,356,1
100,90.07,91.36,89.91,90.57,3290603,356,1
