id_date,open,high,low,close,volume,id_stock,id_index
1,47.41,47.765,47.11,47.5,1166418,359,1
2,47.63,47.81,47.27,47.79,1041758,359,1
3,47.98,48.07,47.72,47.93,1118146,359,1
4,48.01,48.1457,47.53,48.04,1194479,359,1
5,47.81,48.19,47.44,48.17,1141865,359,1
6,48.06,48.32,47.875,48.09,1920372,359,1
7,48.26,48.7,48.1,48.46,1413291,359,1
8,48.42,48.425,47.2,47.32,2272199,359,1
9,47.14,47.2,46.27,46.69,1962912,359,1
10,46.89,47.16,46.67,46.86,1232979,359,1
11,47.18,47.34,46.18,46.2,1772644,359,1
12,46.39,46.74,45.81,46.58,1767058,359,1
13,46.54,47.69,46.51,47.44,1332328,359,1
14,47.46,48.02,47.39,47.45,1543304,359,1
15,47.23,47.34,46.65,46.97,2035974,359,1
16,46.9,46.91,45.87,46.84,2720512,359,1
17,47.28,48.64,47.28,48.36,2768564,359,1
18,48.5,49.14,48.3099,48.48,1871811,359,1
19,48.74,49.74,48.68,49.4,2839743,359,1
20,49.71,50.46,49.5,50.46,2787422,359,1
21,50.28,50.935,50.28,50.87,1646012,359,1
22,50.71,50.94,49.84,50.2,1781532,359,1
23,50.48,50.8,49.92,50.71,1594003,359,1
24,50.75,51.14,50.6,51.08,1400683,359,1
25,50.82,51.38,50.73,50.96,2340591,359,1
26,50.29,50.72,49.284,50.32,1633085,359,1
27,50.32,50.67,49.75,49.95,2231328,359,1
28,50.49,50.53,49.79,50.0,1378544,359,1
29,49.61,49.8,48.955,49.61,3012852,359,1
30,49.86,50.06,49.76,50.04,1760404,359,1
31,50.2,50.2,49.18,49.45,2019172,359,1
32,49.72,50.22,49.54,50.15,1505521,359,1
33,49.76,50.205,49.54,50.13,1048515,359,1
34,50.05,50.65,50.02,50.56,1535954,359,1
35,50.56,50.79,49.645,49.91,1048235,359,1
36,50.13,50.53,49.91,50.23,3990378,359,1
37,50.15,50.23,48.325,48.62,2874711,359,1
38,48.63,48.95,48.08,48.39,2539129,359,1
39,47.56,48.28,47.28,48.19,2802757,359,1
40,48.15,48.32,47.7,48.21,3474855,359,1
41,48.37,49.19,48.25,49.0,1754026,359,1
42,49.14,50.213,49.07,50.15,1863993,359,1
43,50.33,50.86,50.115,50.55,1431851,359,1
44,50.56,50.56,49.6,50.23,1891548,359,1
45,49.89,50.03,47.935,48.01,2468158,359,1
46,48.38,48.9175,48.11,48.65,1326148,359,1
47,48.08,48.24,47.12,47.57,2378705,359,1
48,47.62,47.92,47.16,47.38,1431603,359,1
49,47.29,48.425,47.24,48.2,2329005,359,1
50,48.56,49.19,47.96,49.04,2747406,359,1
51,48.8,49.05,47.79,48.76,3666416,359,1
52,48.67,49.47,48.67,48.99,1594848,359,1
53,49.34,50.155,49.107,49.82,2047813,359,1
54,49.83,50.06,49.3,49.52,1299879,359,1
55,49.59,50.03,49.53,49.83,1130882,359,1
56,49.28,49.78,48.971,49.78,1957586,359,1
57,49.53,49.72,49.36,49.53,2452400,359,1
58,49.67,51.205,49.58,50.89,2363175,359,1
59,51.63,53.12,51.57,52.54,2942058,359,1
60,51.2,52.34,50.0101,51.97,2109877,359,1
61,52.0,52.47,51.93,52.47,1308297,359,1
