id_date,open,high,low,close,volume,id_stock,id_index
1,31.47,31.54,31.19,31.43,1884964,363,1
2,31.43,31.55,31.34,31.54,1293859,363,1
3,31.49,31.6,31.26,31.51,1675790,363,1
4,31.56,31.69,31.41,31.5,1719853,363,1
5,31.39,31.57,31.07,31.12,2778609,363,1
6,31.25,31.37,31.09,31.09,3218462,363,1
7,31.16,31.635,31.16,31.41,3325277,363,1
8,31.4,31.65,31.26,31.29,4363138,363,1
9,31.3,31.98,31.3,31.74,4253169,363,1
10,31.82,32.17,31.79,32.16,7800236,363,1
11,32.27,32.65,31.97,31.97,11652389,363,1
12,32.15,32.355,32.03,32.16,11912953,363,1
13,32.21,32.7,32.11,32.67,2786488,363,1
14,32.64,32.76,32.4599,32.59,3388536,363,1
15,32.57,32.85,32.32,32.85,3758794,363,1
16,32.88,33.44,32.73,33.21,3481110,363,1
17,33.34,33.6099,33.32,33.45,2990557,363,1
18,33.08,33.133,32.85,32.95,2267254,363,1
19,32.97,33.17,32.65,32.67,2788602,363,1
20,32.7,32.78,32.52,32.69,2299779,363,1
21,32.68,32.92,32.62,32.86,1689894,363,1
22,32.8,32.95,32.61,32.76,1790704,363,1
23,32.77,32.98,32.63,32.81,1928131,363,1
24,32.86,33.0,32.69,32.95,3508252,363,1
25,32.83,33.28,32.72,33.28,3285050,363,1
26,33.13,33.3,32.95,33.12,1808556,363,1
27,33.23,33.32,32.96,33.15,2478181,363,1
28,33.31,33.64,33.25,33.56,2451069,363,1
29,33.46,33.62,33.35,33.42,2143084,363,1
30,33.42,33.62,33.31,33.41,1642383,363,1
31,33.52,33.73,33.13,33.28,2160194,363,1
32,33.43,33.65,33.37,33.59,2140026,363,1
33,33.44,33.73,33.33,33.69,1257382,363,1
34,33.82,34.37,33.69,34.34,3456017,363,1
35,34.29,34.33,34.01,34.18,1994530,363,1
36,34.3,34.39,34.11,34.23,1438846,363,1
37,34.25,34.41,34.17,34.26,2061957,363,1
38,34.34,34.6,34.33,34.55,2122598,363,1
39,34.35,34.575,34.31,34.51,2041595,363,1
40,34.17,34.55,34.12,34.54,2774256,363,1
41,34.6,34.74,34.47,34.56,1746431,363,1
42,34.68,35.0,34.55,34.95,1801056,363,1
43,34.98,35.08,34.84,34.96,2573312,363,1
44,34.9,35.14,34.89,35.06,2685347,363,1
45,34.99,35.22,34.71,34.71,2680943,363,1
46,34.84,35.11,34.5,35.04,2584530,363,1
47,35.02,35.21,34.76,35.11,2734606,363,1
48,35.17,35.42,34.92,35.38,2362018,363,1
49,35.5,35.93,35.4,35.9,2491776,363,1
50,35.9,35.93,35.63,35.8,1611779,363,1
51,35.89,35.89,35.4,35.81,3336671,363,1
52,35.87,36.17,35.7,35.89,2139104,363,1
53,36.05,36.34,35.88,36.1,2022201,363,1
54,36.08,36.36,36.01,36.12,1953394,363,1
55,36.28,36.6,36.18,36.43,1591233,363,1
56,36.46,36.89,36.04,36.61,3151386,363,1
57,36.67,37.0,36.57,36.59,2045108,363,1
58,36.67,36.7,36.3,36.47,2644543,363,1
59,36.59,36.79,36.19,36.29,3369150,363,1
60,36.23,36.285,35.43,35.43,2643197,363,1
61,35.53,35.875,35.38,35.81,3280511,363,1
62,35.73,35.94,35.09,35.31,3215680,363,1
63,35.32,35.41,34.72,34.82,2726989,363,1
64,34.82,34.85,34.52,34.81,1563807,363,1
65,34.64,34.9,34.34,34.57,2059867,363,1
66,34.53,34.85,34.5,34.75,2011247,363,1
67,34.75,35.17,34.49,34.89,2453124,363,1
68,34.84,34.93,34.57,34.65,1884423,363,1
69,34.75,35.09,34.64,35.07,2692224,363,1
