id_date,open,high,low,close,volume,id_stock,id_index
1,72.76,72.87,72.47,72.6,3721381,364,1
2,72.5,72.64,72.2,72.36,3743992,364,1
3,72.42,72.45,72.06,72.17,6397975,364,1
4,72.24,72.37,70.98,71.5,12030221,364,1
5,72.12,73.2,71.5,72.28,8160764,364,1
6,72.49,73.72,72.47,73.68,9350090,364,1
7,73.75,75.59,73.48,75.5,10825680,364,1
8,75.29,75.86,75.29,75.42,7638098,364,1
9,75.27,75.44,74.72,75.36,5645280,364,1
10,75.42,75.58,75.14,75.57,4971264,364,1
11,75.68,76.33,75.09,75.19,7603226,364,1
12,75.4,75.77,74.9999,75.62,6176829,364,1
13,75.1,75.59,74.53,75.48,4655943,364,1
14,75.44,75.95,75.44,75.77,6009225,364,1
15,75.55,75.95,75.37,75.93,4286138,364,1
16,75.78,76.62,75.54,76.6,5562460,364,1
17,76.84,77.07,76.49,76.9,7424747,364,1
18,77.0,77.09,76.62,76.8,3940573,364,1
19,76.76,77.17,76.67,77.14,4461854,364,1
20,77.16,77.41,76.647,77.2,4297163,364,1
21,77.12,77.39,76.79,76.85,4023087,364,1
22,76.83,77.18,76.69,76.89,4608407,364,1
23,76.89,77.1,76.65,76.95,3544141,364,1
24,77.06,77.22,76.86,77.19,4153774,364,1
25,76.85,77.15,76.7,77.04,6621394,364,1
26,76.66,76.99,76.6,76.68,4176810,364,1
27,76.78,76.95,76.5,76.67,5040139,364,1
28,76.95,77.07,76.07,76.32,7579799,364,1
29,76.29,76.75,76.0,76.15,3998146,364,1
30,76.74,79.27,76.66,78.64,14213684,364,1
31,78.61,78.64,77.6,77.83,6873712,364,1
32,77.9,78.94,77.79,78.92,5185165,364,1
33,78.5,78.65,77.91,78.29,3601788,364,1
34,78.5,79.13,78.07,79.11,5338019,364,1
35,78.76,79.23,78.76,79.1,3639312,364,1
36,79.35,79.88,79.27,79.74,4033949,364,1
37,79.87,79.88,78.8,78.96,3895551,364,1
38,78.3,79.57,78.3,79.53,5299201,364,1
39,78.95,79.08,78.4,78.59,4244556,364,1
40,78.565,79.51,78.25,79.5,3726374,364,1
41,79.6,79.72,79.155,79.21,3921868,364,1
42,79.43,80.095,79.26,80.06,3540142,364,1
43,80.03,80.48,79.8,79.96,5389990,364,1
44,78.93,80.035,78.74,79.99,5539967,364,1
45,79.53,80.02,78.91,78.92,5357042,364,1
46,79.23,80.03,79.09,80.0,5149230,364,1
47,79.74,80.15,78.77,78.85,7532205,364,1
48,80.21,83.45,80.11,81.25,18895013,364,1
49,82.01,83.27,81.87,82.77,8368326,364,1
50,82.29,83.63,82.05,83.38,6664706,364,1
51,83.67,84.32,83.5,84.1,6670802,364,1
52,84.06,84.29,82.22,82.34,6398269,364,1
53,82.41,83.09,82.18,82.82,5603040,364,1
54,82.71,82.99,82.3,82.51,3075921,364,1
55,82.51,82.915,82.42,82.65,2850226,364,1
56,82.41,82.645,82.02,82.47,4117996,364,1
57,82.36,82.835,82.08,82.21,3532069,364,1
58,82.14,82.93,82.08,82.56,2726949,364,1
59,82.96,83.25,82.46,82.83,4777198,364,1
60,82.7,82.7,82.22,82.5,3032060,364,1
61,82.59,83.34,82.37,83.34,3706774,364,1
62,83.3,83.65,82.81,83.25,4110645,364,1
63,83.35,83.58,82.6,82.85,3711864,364,1
64,82.98,83.255,82.58,83.0,3161863,364,1
65,82.72,83.35,82.52,83.03,3010608,364,1
66,83.06,83.52,82.92,83.5,4544892,364,1
67,83.38,84.45,83.24,84.25,4090123,364,1
68,84.04,84.78,83.67,83.74,4496227,364,1
69,83.91,84.04,83.11,83.8,4507052,364,1
70,83.79,83.84,82.47,82.59,3958151,364,1
71,82.63,82.925,82.12,82.63,3984661,364,1
72,82.59,84.27,82.58,82.97,5241802,364,1
73,82.3,82.73,81.51,82.12,4653996,364,1
74,81.81,82.78,81.55,82.58,3579593,364,1
75,83.09,83.482,82.17,82.43,4052797,364,1
76,82.23,82.23,80.92,81.12,4346002,364,1
77,81.14,81.49,80.7,81.22,4959796,364,1
78,81.02,81.61,80.72,80.77,7815798,364,1
79,80.67,81.49,79.73,81.4,5758958,364,1
80,81.65,82.06,81.02,81.63,4542984,364,1
81,80.89,81.525,80.72,81.2,6998124,364,1
82,81.19,81.66,80.71,81.66,6031676,364,1
83,81.98,82.51,81.49,82.51,6447739,364,1
84,82.6,83.06,82.1045,82.85,5036518,364,1
85,82.38,82.81,81.82,82.53,6504908,364,1
86,82.81,83.19,82.04,82.11,4277783,364,1
87,82.06,82.24,81.25,81.98,5413775,364,1
88,82.0,83.0,81.99,82.13,4034293,364,1
89,82.59,82.93,82.085,82.55,4656277,364,1
90,82.37,82.69,82.0,82.57,3355859,364,1
91,82.26,82.67,80.89,80.89,5486986,364,1
92,80.48,80.88,78.765,78.91,6940127,364,1
93,79.56,80.42,79.22,80.13,9416910,364,1
94,78.68,80.75,78.2,80.13,6787341,364,1
95,80.42,80.55,79.67,80.04,5930320,364,1
96,80.62,81.57,80.62,81.3,4519191,364,1
97,81.77,82.5425,81.52,81.74,4464628,364,1
98,81.97,82.27,81.6,81.79,6001777,364,1
99,81.96,82.5,81.76,82.04,3804856,364,1
100,81.94,82.23,81.32,81.68,5056144,364,1
101,81.44,81.44,80.32,80.73,3866203,364,1
102,81.1,81.28,80.29,80.8,3343334,364,1
103,81.32,81.84,81.07,81.78,3751546,364,1
104,82.21,82.87,81.96,82.77,3838592,364,1
105,82.77,83.42,82.67,82.99,5654259,364,1
106,83.65,84.63,83.65,84.55,4751096,364,1
107,84.05,84.52,83.84,84.32,4349946,364,1
108,84.43,84.92,84.33,84.72,4222156,364,1
109,83.93,84.3,83.31,84.02,4480747,364,1
110,84.05,85.51,83.93,85.24,7277801,364,1
111,85.33,87.06,85.3,86.8,9202364,364,1
112,86.34,86.84,85.87,86.41,6147266,364,1
113,86.19,86.94,86.03,86.4,4781189,364,1
114,86.37,86.43,85.97,86.2,6321160,364,1
115,86.7,86.7,85.64,85.64,5939787,364,1
