id_date,open,high,low,close,volume,id_stock,id_index
1,26.96,27.03,26.79,26.88,37444410,365,1
2,26.89,27.23,26.89,27.14,26301872,365,1
3,27.14,27.18,26.99,26.99,21160293,365,1
4,27.01,27.19,26.83,27.0,23903919,365,1
5,26.91,27.14,26.81,27.06,24209871,365,1
6,27.15,27.43,27.12,27.29,29582324,365,1
7,27.4,27.71,27.38,27.71,28422094,365,1
8,27.65,27.75,27.55,27.57,26058159,365,1
9,27.41,27.54,27.23,27.41,24520676,365,1
10,27.48,27.5,27.13,27.38,29726833,365,1
11,27.21,27.35,26.84,26.84,35540546,365,1
12,26.89,27.1,26.82,27.03,29985991,365,1
13,26.93,27.54,26.92,27.41,24385149,365,1
14,27.37,27.639,27.36,27.37,30099312,365,1
15,27.18,27.45,27.15,27.39,29066820,365,1
16,27.31,27.7,27.26,27.69,24930067,365,1
17,27.77,28.2,27.77,28.07,31103766,365,1
18,28.1,28.21,27.93,28.12,27121255,365,1
19,28.18,28.38,28.12,28.27,27694715,365,1
20,28.33,28.36,28.04,28.19,27033979,365,1
21,28.16,28.31,28.1,28.25,25495432,365,1
22,28.23,28.23,27.88,27.94,29713877,365,1
23,27.93,28.08,27.8,28.02,24738350,365,1
24,28.04,28.11,27.88,28.11,27788247,365,1
25,27.84,28.06,27.755,28.02,63159497,365,1
26,27.74,28.24,27.74,28.04,29322421,365,1
27,28.1,28.23,27.9,27.99,27108658,365,1
28,28.17,28.4,28.11,28.29,30696743,365,1
29,28.17,28.32,28.025,28.11,23583170,365,1
30,28.12,28.39,28.11,28.38,23087238,365,1
31,28.45,28.51,27.98,28.16,30717557,365,1
32,28.26,28.66,28.23,28.6,31844831,365,1
33,28.52,28.66,28.45,28.64,23575798,365,1
34,28.66,28.9,28.62,28.86,27941527,365,1
35,28.75,28.84,28.68,28.84,19286147,365,1
36,28.97,29.32,28.94,29.23,24422226,365,1
37,29.23,29.34,28.88,29.03,34534604,365,1
38,29.18,29.44,29.04,29.16,30533785,365,1
39,28.96,29.2,28.92,29.1,30439811,365,1
40,28.98,29.17,28.64,29.16,25957429,365,1
41,29.03,29.35,28.95,29.11,27543690,365,1
42,29.49,30.0,29.45,29.92,40978102,365,1
43,29.93,30.82,29.92,30.64,54657376,365,1
44,30.45,30.88,30.45,30.67,39053576,365,1
45,30.61,30.99,30.45,30.45,46915105,365,1
46,30.54,30.99,30.48,30.94,31458844,365,1
47,30.8,30.94,30.525,30.87,32243571,365,1
48,30.85,30.94,30.48,30.59,31787672,365,1
49,30.73,31.06,30.6049,31.06,29233931,365,1
50,31.08,31.1,30.76,30.93,26092840,365,1
51,30.98,31.15,30.625,31.08,33111928,365,1
52,31.08,31.13,30.56,30.6,31516314,365,1
53,30.65,30.66,29.92,30.26,35558886,365,1
54,29.23,30.17,28.79,30.09,54022530,365,1
55,30.12,30.58,29.93,30.43,27728883,365,1
56,29.42,29.89,29.03,29.07,70033859,365,1
57,28.83,29.728,28.8,28.9,45090672,365,1
58,29.03,29.33,28.99,29.27,31860861,365,1
59,29.53,29.63,28.7,28.96,43823118,365,1
60,28.93,28.93,28.7,28.72,33108388,365,1
61,28.89,29.18,28.83,29.03,30954131,365,1
62,28.89,29.02,28.58,28.73,30748326,365,1
63,28.75,28.77,28.42,28.6,27826080,365,1
64,28.59,28.8,28.57,28.72,33069718,365,1
65,28.75,29.37,28.67,29.37,33548645,365,1
66,29.39,29.5,29.28,29.4,32727256,365,1
67,29.4,29.69,29.175,29.56,29536204,365,1
68,29.47,29.58,29.22,29.25,27609852,365,1
69,29.21,29.37,28.83,28.96,37639072,365,1
70,28.97,29.02,28.65,28.7,32142341,365,1
71,28.71,28.83,28.31,28.78,44106364,365,1
72,29.55,30.04,29.21,29.3,83672231,365,1
73,29.08,29.33,28.85,29.11,51706133,365,1
74,28.86,29.11,28.68,29.04,35080613,365,1
75,29.3,29.5,28.94,29.01,37850486,365,1
76,28.86,28.9,28.1,28.28,48860657,365,1
77,28.37,28.45,28.11,28.25,43117321,365,1
78,28.27,28.27,27.23,27.23,89694447,365,1
79,27.3,27.77,27.12,27.75,57596967,365,1
80,27.83,28.05,27.33,27.66,69971169,365,1
81,27.73,27.97,27.375,27.48,71199325,365,1
82,27.48,28.15,27.39,28.11,82473323,365,1
83,28.24,28.62,28.03,28.26,83975306,365,1
84,28.38,28.59,28.27,28.37,66492012,365,1
85,28.04,28.64,27.95,28.42,83130060,365,1
86,28.65,28.96,28.4,28.43,87974329,365,1
87,28.37,29.15,28.35,29.08,72315254,365,1
88,29.02,29.36,28.94,29.09,81829202,365,1
89,29.4,29.4,28.9,29.16,152087575,365,1
90,29.13,29.45,29.03,29.4,160345353,365,1
91,29.37,29.81,28.9,29.1,121043136,365,1
92,29.02,29.23,28.45,28.635,95696887,365,1
