id_date,open,high,low,close,volume,id_stock,id_index
1,93.83,94.48,93.69,94.32,566484,369,1
2,94.1,94.57,93.43,94.39,639923,369,1
3,94.28,95.59,93.95,95.18,1152695,369,1
4,95.6,96.565,95.37,96.33,1549844,369,1
5,95.77,97.03,95.53,96.31,1044842,369,1
6,96.27,97.29,95.71,96.04,1215204,369,1
7,96.31,97.5,96.28,97.46,1113562,369,1
8,97.43,97.43,94.75,95.02,1364306,369,1
9,94.58,94.58,92.6199,93.26,1335463,369,1
10,93.89,94.64,93.62,94.54,898877,369,1
11,95.09,95.25,90.83,90.9,1650938,369,1
12,91.63,92.27,91.04,91.65,1576556,369,1
13,91.5,93.77,91.45,93.56,1144828,369,1
14,93.65,95.26,93.06,94.48,1037048,369,1
15,93.82,94.9,92.75,94.45,924194,369,1
16,94.15,94.17,92.52,93.65,960767,369,1
17,94.54,96.72,94.54,96.45,1281358,369,1
18,96.98,97.21,95.93,96.42,741922,369,1
19,96.63,97.75,96.42,97.24,1067415,369,1
20,97.67,98.15,97.04,97.95,972089,369,1
21,97.6,98.0554,97.32,97.93,602550,369,1
22,97.7,97.755,96.03,97.05,1078542,369,1
23,97.07,97.225,96.24,96.99,644809,369,1
24,97.31,97.95,97.07,97.25,1006951,369,1
25,96.71,97.32,96.3,96.72,1175446,369,1
26,95.56,96.74,94.96,96.08,1107150,369,1
27,96.27,96.46,93.87,95.18,1120801,369,1
28,95.64,95.92,94.38,94.97,1108662,369,1
29,93.8,94.21,91.9,92.02,1700622,369,1
30,91.88,92.37,91.71,92.08,1331256,369,1
31,92.68,92.805,90.33,90.98,1177237,369,1
32,91.84,91.84,90.19,90.28,1549749,369,1
33,89.44,90.32,88.69,90.15,1458421,369,1
34,90.27,91.58,89.6701,91.58,1242902,369,1
35,91.39,91.6,89.51,89.65,896493,369,1
36,90.14,90.36,88.31,88.79,1164144,369,1
37,88.66,88.94,87.21,87.53,1825683,369,1
38,87.76,89.67,87.73,89.42,1686306,369,1
39,87.77,89.67,87.71,89.38,1767280,369,1
40,89.29,90.22,89.09,89.9,969507,369,1
41,90.33,91.09,89.71,90.55,777381,369,1
42,90.69,91.09,89.99,90.41,1387712,369,1
