id_date,open,high,low,close,volume,id_stock,id_index
1,63.41,65.24,63.22,64.02,4745571,383,1
2,64.0,64.66,63.72,64.18,3097765,383,1
3,64.62,64.78,63.78,64.43,3701971,383,1
4,64.5,64.5,63.85,64.11,2777089,383,1
5,63.77,64.92,63.75,64.83,3559969,383,1
6,64.55,65.38,63.53,64.17,3788421,383,1
7,64.02,64.89,63.54,64.76,3092383,383,1
8,64.75,64.945,62.54,62.64,4847063,383,1
9,62.32,62.92,61.22,62.29,5030526,383,1
10,62.78,64.12,62.51,64.11,3049275,383,1
11,64.44,64.74,61.31,61.34,4294033,383,1
12,61.48,61.69,59.935,61.23,4346822,383,1
13,61.3,63.1225,61.0,62.99,2581316,383,1
14,62.86,64.265,62.0,62.96,4226584,383,1
15,62.71,63.93,62.19,63.9,3150179,383,1
16,63.84,65.74,63.54,65.68,3758812,383,1
17,66.04,66.05,64.52,65.77,3920271,383,1
18,66.0,66.975,65.4,66.05,2929805,383,1
19,65.89,66.1199,64.791,65.87,3429602,383,1
20,66.08,66.28,65.6,66.03,4045212,383,1
21,65.9,66.08,63.94,65.69,4966759,383,1
22,65.66,66.4,65.211,66.22,4126287,383,1
23,65.88,66.04,64.2,64.55,4784809,383,1
24,64.96,65.45,64.2929,64.95,3836775,383,1
25,64.49,65.24,64.11,64.15,5983383,383,1
26,63.32,65.29,63.011,65.03,3643847,383,1
27,64.88,66.35,64.66,65.41,4124338,383,1
28,66.0,68.44,65.95,67.54,5088263,383,1
29,67.0,67.84,66.11,66.82,3394838,383,1
30,66.97,67.79,66.84,67.55,2635543,383,1
31,67.94,68.7,66.65,66.86,3904933,383,1
32,66.98,67.41,66.37,67.24,3243532,383,1
33,67.13,68.29,66.462,68.27,3920271,383,1
34,68.38,70.52,67.96,69.97,6224846,383,1
35,70.0,70.19,68.73,69.36,3015491,383,1
36,70.17,70.2,66.705,66.84,5679056,383,1
37,66.84,66.875,61.47,62.46,14028225,383,1
38,62.57,63.95,61.9356,62.39,6138678,383,1
39,61.26,62.97,60.2,62.31,5289787,383,1
40,62.29,63.8,61.9,63.62,3969301,383,1
41,63.95,65.23,62.86,64.66,4291901,383,1
42,64.78,65.21,63.0475,63.86,6005988,383,1
43,63.81,63.86,61.81,62.01,6204997,383,1
44,61.37,61.74,59.07,60.67,8307664,383,1
45,59.18,59.9899,57.08,57.52,7897362,383,1
46,58.15,59.32,57.77,59.28,5644287,383,1
47,58.55,58.79,57.158,57.99,4602098,383,1
48,57.92,58.54,56.13,57.23,4268983,383,1
49,58.14,58.14,56.46,57.84,5045419,383,1
50,58.12,60.34,58.07,59.43,3659439,383,1
51,59.59,61.4201,59.36,61.15,5319610,383,1
52,61.41,63.05,61.31,61.82,4771530,383,1
53,62.04,63.09,61.78,61.9,4384071,383,1
54,61.85,62.08,61.14,61.6,3034655,383,1
55,61.97,62.3,61.48,61.8,3444889,383,1
56,61.93,62.195,60.02,60.95,5457370,383,1
57,61.11,61.939,59.55,59.67,5678545,383,1
58,60.07,60.68,59.161,60.3,4212270,383,1
59,60.8,62.66,60.49,62.18,4548957,383,1
60,62.49,64.24,62.3235,63.87,3682860,383,1
61,64.25,65.34,64.02,64.48,4675876,383,1
62,64.23,64.47,62.85,63.41,3664069,383,1
63,63.23,63.2701,61.88,62.13,3435010,383,1
64,61.73,62.2,61.0,61.38,5060830,383,1
65,61.13,62.28,60.39,61.97,3829450,383,1
66,62.06,64.18,62.0,64.08,6213983,383,1
67,63.73,65.48,63.73,64.95,5621625,383,1
68,64.71,65.41,63.7,63.84,3994341,383,1
69,64.2,65.92,64.18,65.46,5521968,383,1
70,65.32,66.85,65.32,65.96,4531463,383,1
71,66.1,66.71,64.89,65.42,4505275,383,1
