id_date,open,high,low,close,volume,id_stock,id_index
1,28.62,28.68,28.31,28.42,1473134,385,1
2,28.29,28.51,28.17,28.19,1366117,385,1
3,28.25,28.67,28.25,28.61,1658052,385,1
4,28.77,29.59,28.77,28.99,2309846,385,1
5,28.9,29.39,28.84,29.11,1515245,385,1
6,29.03,29.04,28.63,28.74,1544266,385,1
7,28.82,29.2,28.76,28.89,2407308,385,1
8,28.85,28.89,28.055,28.14,2957956,385,1
9,27.64,28.88,27.64,28.44,4230023,385,1
10,28.69,28.88,28.45,28.7,2820357,385,1
11,28.91,29.06,28.16,28.16,2190892,385,1
12,28.2,28.28,27.7699,27.89,2221430,385,1
13,28.01,28.17,27.885,28.04,1803772,385,1
14,28.1,28.54,27.87,28.4,2520538,385,1
15,28.14,28.37,27.61,28.19,3249922,385,1
16,28.17,28.75,27.94,28.39,2167199,385,1
17,28.61,29.07,28.55,29.04,1609072,385,1
18,29.14,29.5,29.09,29.26,1424746,385,1
19,29.25,29.39,29.0605,29.26,1116339,385,1
20,29.42,29.6,29.2,29.49,1581189,385,1
21,29.52,29.91,29.42,29.85,1593096,385,1
22,29.85,29.85,29.36,29.51,1394838,385,1
23,29.49,29.6,29.26,29.58,1241708,385,1
24,29.64,29.77,29.52,29.73,933157,385,1
25,29.62,29.73,29.22,29.43,1995155,385,1
26,29.07,29.495,28.92,29.32,786935,385,1
27,29.4,29.44,28.885,29.27,1306025,385,1
28,29.4,29.78,29.35,29.45,1199156,385,1
29,29.21,29.27,28.5506,28.61,1995204,385,1
30,28.73,29.02,28.61,28.75,1440899,385,1
31,28.79,28.93,28.3,28.44,1200450,385,1
32,28.56,28.69,28.23,28.45,1389174,385,1
33,28.26,28.355,27.71,28.33,1777153,385,1
34,28.42,28.64,28.3325,28.58,1718693,385,1
35,28.62,28.62,27.56,27.91,1922976,385,1
36,27.93,28.09,26.68,27.02,4013232,385,1
37,26.98,27.0,26.03,26.39,4421054,385,1
38,26.5,26.71,26.41,26.63,3376190,385,1
39,26.25,26.97,26.24,26.93,3032932,385,1
40,27.25,27.99,27.25,27.98,2471621,385,1
41,28.09,28.18,27.75,27.91,1668629,385,1
42,27.98,28.1401,27.82,28.11,1376034,385,1
43,28.11,28.21,27.855,27.94,1380797,385,1
44,27.8,28.08,27.8,28.06,1160980,385,1
45,27.76,27.76,26.69,26.71,1851736,385,1
46,26.95,27.33,26.79,27.31,1101943,385,1
47,27.07,27.21,26.4,26.98,2082551,385,1
48,27.04,27.04,26.52,26.7,1887520,385,1
49,26.76,27.365,26.69,27.31,2210278,385,1
50,27.29,27.59,26.73,27.42,1922688,385,1
51,27.56,27.79,27.0,27.57,1743013,385,1
52,27.63,27.8,27.21,27.37,1616570,385,1
53,27.52,28.01,27.5,27.78,1470582,385,1
54,27.77,27.93,27.55,27.56,1010793,385,1
55,27.66,27.79,27.54,27.58,731512,385,1
56,27.5,27.5899,27.07,27.48,1431938,385,1
57,27.37,27.62,26.92,27.02,2513431,385,1
58,28.54,29.33,27.89,28.63,3063488,385,1
59,28.95,29.24,28.795,28.92,1550849,385,1
60,28.91,29.475,28.86,29.29,1473312,385,1
61,29.27,29.43,28.85,29.09,1580248,385,1
62,28.97,29.13,28.85,29.02,1402013,385,1
63,28.99,29.11,28.73,28.79,965972,385,1
64,28.75,29.16,28.72,29.14,1083685,385,1
65,29.03,29.03,28.62,28.72,1323020,385,1
66,28.7,29.41,28.7,29.41,2442077,385,1
67,29.39,29.85,29.12,29.8,1884947,385,1
68,29.7,29.89,29.61,29.74,1351502,385,1
69,29.8,30.22,29.74,30.2,2076622,385,1
70,30.1,30.555,30.1,30.29,1806555,385,1
71,30.27,30.495,30.01,30.06,1590010,385,1
72,30.17,30.44,29.26,29.4,1950908,385,1
73,29.09,29.54,29.06,29.3,1297198,385,1
74,29.11,29.13,28.57,28.86,1268502,385,1
75,29.21,29.25,28.65,28.88,1407457,385,1
76,28.77,28.77,28.4,28.51,878011,385,1
77,28.61,28.78,28.43,28.57,1175640,385,1
78,28.41,28.76,28.31,28.37,1863008,385,1
79,28.32,28.37,27.57,28.15,2417149,385,1
80,28.11,28.19,26.67,27.14,4973607,385,1
81,26.9799,27.33,26.63,26.91,3425327,385,1
82,26.89,27.48,26.76,27.29,3256704,385,1
83,27.48,27.72,27.33,27.66,1955389,385,1
84,27.6,27.69,26.94,27.25,2385136,385,1
85,26.94,27.15,26.75,26.76,1405768,385,1
86,27.0,27.0,26.16,26.24,2265640,385,1
87,26.18,26.375,25.77,26.26,3364770,385,1
88,26.14,26.57,26.14,26.27,2527640,385,1
89,26.55,26.83,26.35,26.58,2044270,385,1
90,26.66,27.14,26.52,27.11,2023656,385,1
91,27.14,27.28,26.93,26.94,2210864,385,1
92,26.59,26.64,26.08,26.17,2313019,385,1
93,26.28,26.35,25.5,25.81,3749584,385,1
94,25.52,25.91,25.26,25.74,2104674,385,1
95,26.04,26.34,25.84,26.2,2236774,385,1
96,26.44,26.5,25.82,26.18,1182311,385,1
97,26.45,26.82,26.28,26.7,2265703,385,1
98,26.57,26.855,26.44,26.46,2245099,385,1
99,26.54,26.61,26.3,26.46,1411302,385,1
100,26.46,26.66,26.0,26.12,1506533,385,1
101,25.95,26.23,25.89,26.19,661429,385,1
102,26.49,26.49,25.9195,26.4,1037929,385,1
103,26.64,27.1,26.54,26.77,2723201,385,1
104,26.94,27.53,26.93,27.16,1560834,385,1
105,27.12,27.32,26.96,27.18,1127184,385,1
106,27.48,27.65,27.15,27.34,1138595,385,1
107,27.29,27.75,27.21,27.74,1210081,385,1
108,27.73,27.92,27.62,27.79,1121773,385,1
109,27.85,28.18,27.72,27.93,1614565,385,1
110,28.01,28.105,27.7,27.79,1142242,385,1
111,27.83,28.15,27.77,27.82,1662722,385,1
112,27.87,28.3,27.78,28.27,1131074,385,1
113,28.3,28.6,28.29,28.49,1372898,385,1
114,28.51,28.7,28.26,28.31,657777,385,1
115,28.37,28.38,27.82,27.85,885714,385,1
116,27.73,27.77,27.395,27.77,1281440,385,1
117,27.59,27.7,27.315,27.53,687421,385,1
118,27.39,27.6,26.56,26.59,1954790,385,1
119,26.72,26.91,26.52,26.55,1509508,385,1
120,26.55,27.23,26.5,26.81,1890608,385,1
121,28.75,29.13,27.47,28.14,4530783,385,1
122,28.07,28.26,27.64,28.16,1678107,385,1
123,28.15,28.235,27.87,28.0,1418910,385,1
124,27.89,28.03,27.33,27.55,1452619,385,1
125,27.46,27.52,26.77,27.13,2821222,385,1
126,27.26,27.46,27.13,27.35,2034960,385,1
127,27.37,27.83,27.315,27.6,1619753,385,1
128,27.47,27.76,27.41,27.62,1327735,385,1
129,27.62,27.66,27.14,27.37,1256936,385,1
130,27.32,27.42,27.03,27.14,1057242,385,1
131,26.87,26.97,26.63,26.73,1198336,385,1
132,26.63,26.891,26.43,26.54,1265719,385,1
133,26.5,26.535,25.97,26.01,2040939,385,1
134,26.02,26.49,25.93,26.22,1330455,385,1
135,26.14,26.65,26.04,26.29,1710970,385,1
136,26.41,27.0,26.41,26.87,1292177,385,1
