id_date,open,high,low,close,volume,id_stock,id_index
1,90.71,91.37,90.59,90.98,752535,401,1
2,90.81,91.16,90.23,90.93,432941,401,1
3,91.14,91.55,90.9,91.34,757759,401,1
4,91.34,91.99,91.32,91.45,720500,401,1
5,89.92,90.8786,89.33,90.85,839796,401,1
6,91.01,91.78,90.54,90.76,719495,401,1
7,91.17,91.84,90.55,90.85,1044646,401,1
8,90.98,91.423,89.44,89.55,1136325,401,1
9,89.14,89.3395,88.18,88.71,1016629,401,1
10,89.285,90.48,89.285,90.06,938002,401,1
11,90.41,90.72,88.13,88.16,1003068,401,1
12,88.72,89.09,87.57,88.78,775993,401,1
13,88.69,90.74,88.515,90.38,683923,401,1
14,90.42,91.41,89.95,90.34,802410,401,1
15,89.72,90.45,88.38,89.28,985297,401,1
16,88.92,88.96,87.12,88.09,1170109,401,1
17,88.94,90.29,88.93,89.51,1084769,401,1
18,89.95,90.33,89.46,89.66,740766,401,1
19,89.8,90.93,89.77,90.79,675315,401,1
20,90.32,90.77,89.29,90.6,980022,401,1
21,90.28,90.52,89.916,90.06,917100,401,1
22,90.0,90.0,88.21,88.54,1188408,401,1
23,88.41,88.965,87.71,88.91,815453,401,1
24,89.2,89.38,88.16,89.37,1058609,401,1
25,89.07,89.37,87.9,88.54,1393211,401,1
26,87.58,88.27,86.97,87.45,846002,401,1
27,87.63,88.0,86.08,86.71,749486,401,1
28,87.3,87.7599,86.43,86.85,1053079,401,1
29,86.89,87.45,85.21,86.16,1517103,401,1
30,86.46,86.63,85.61,85.94,1005344,401,1
31,86.19,86.39,84.565,85.18,902601,401,1
32,85.34,85.57,84.18,84.85,1344598,401,1
33,84.09,85.215,83.58,85.04,1005418,401,1
34,85.32,86.44,84.76,86.35,957891,401,1
35,86.29,86.39,84.581,84.66,616742,401,1
36,85.08,85.26,83.94,84.33,1052197,401,1
37,84.14,84.85,83.132,84.59,1536506,401,1
38,84.75,87.24,84.586,86.95,1839728,401,1
39,85.77,88.26,85.23,87.99,1579332,401,1
40,87.95,88.02,86.07,87.09,1240081,401,1
41,87.13,88.14,86.7742,87.57,847715,401,1
42,87.66,88.82,87.29,88.8,841195,401,1
43,88.75,89.79,88.58,88.99,1144358,401,1
44,88.61,88.64,87.43,87.63,735052,401,1
45,86.99,87.02,83.3,83.33,1592185,401,1
46,84.06,84.92,83.51,84.76,975953,401,1
47,83.93,84.01,83.21,83.82,813561,401,1
48,84.03,84.57,82.48,82.87,883305,401,1
49,83.06,83.23,82.25,83.18,917856,401,1
50,83.18,84.38,82.03,84.02,988762,401,1
51,84.23,85.08,83.72,85.04,977008,401,1
52,85.12,88.0,84.91,86.3,1722773,401,1
53,86.23,87.06,85.105,86.85,1643791,401,1
54,86.9,87.05,84.68,84.87,965175,401,1
55,85.21,85.48,84.47,84.85,714013,401,1
56,84.89,85.35,83.82,84.78,1004372,401,1
57,84.48,84.495,82.21,82.32,1156349,401,1
58,83.06,83.94,82.74,83.0,1106912,401,1
59,84.32,85.81,84.16,85.09,913592,401,1
60,84.98,86.62,84.61,86.21,842775,401,1
61,86.53,88.1,86.21,87.91,1149200,401,1
62,87.74,88.78,87.4,88.75,702597,401,1
63,87.92,88.79,87.71,87.95,717438,401,1
64,87.96,88.42,87.57,87.92,524737,401,1
65,87.68,88.72,87.53,88.67,883035,401,1
66,88.69,90.14,88.5373,89.99,844508,401,1
67,89.57,89.94,88.95,89.65,652236,401,1
68,89.18,90.2,89.17,89.42,714521,401,1
69,89.65,90.96,89.56,90.95,741357,401,1
70,90.61,91.67,90.3,90.91,539382,401,1
71,91.05,91.5,90.12,90.69,549627,401,1
72,90.69,90.995,87.941,88.59,930641,401,1
73,87.97,88.58,87.49,87.85,777677,401,1
74,87.41,87.72,86.65,87.41,624496,401,1
75,89.34,89.4,87.89,88.54,543705,401,1
76,88.15,89.07,87.9,87.94,467459,401,1
77,88.05,89.4,87.93,88.6,422687,401,1
78,88.21,90.27,87.66,88.02,1070259,401,1
79,88.41,88.76,86.709,88.19,856678,401,1
80,88.3,89.07,87.07,87.49,686355,401,1
81,87.16,87.57,85.45,85.65,597750,401,1
82,85.66,86.18,84.981,85.4,846079,401,1
83,85.97,86.9651,85.69,86.37,1239322,401,1
84,86.84,86.98,86.16,86.4,690364,401,1
85,85.52,85.96,85.11,85.31,639848,401,1
86,86.1,86.19,84.07,84.26,680188,401,1
87,84.31,86.77,83.26,86.64,760621,401,1
88,86.97,87.1,86.04,86.69,748120,401,1
89,87.24,87.33,85.71,86.87,743928,401,1
90,86.9,88.2,86.42,88.11,601649,401,1
91,88.01,88.4499,86.86,86.88,510550,401,1
92,85.84,85.94,83.32,83.59,1171200,401,1
93,84.22,84.8,83.19,83.85,822272,401,1
94,82.79,82.9,80.595,81.81,1161826,401,1
95,82.67,83.64,82.3,83.27,850563,401,1
96,84.12,84.45,83.44,83.48,824594,401,1
97,84.31,84.64,83.96,84.21,879981,401,1
98,83.84,84.375,83.13,83.14,1835272,401,1
99,84.11,85.19,83.59,84.99,1106745,401,1
100,84.81,85.31,84.19,84.81,1008705,401,1
101,84.54,85.23,84.0,84.79,527563,401,1
102,85.68,86.79,85.33,86.74,486149,401,1
103,87.47,87.92,86.94,87.48,967424,401,1
104,88.01,88.62,87.93,88.16,483964,401,1
105,87.93,88.21,86.8001,87.5,847285,401,1
106,88.34,90.09,88.34,89.96,776537,401,1
107,90.0,91.03,89.57,90.91,964607,401,1
108,90.83,91.44,90.67,91.35,686083,401,1
109,91.5,91.98,90.71,91.01,751890,401,1
110,91.5,92.37,91.19,92.22,896589,401,1
111,92.24,93.38,92.0,93.29,757791,401,1
112,93.21,93.38,91.95,92.82,870106,401,1
113,92.2,92.79,89.26,92.7,626667,401,1
114,92.99,93.07,92.1,93.04,639019,401,1
115,93.3,93.3,91.602,92.02,646396,401,1
116,91.54,91.705,90.63,91.39,686400,401,1
117,91.0,91.445,90.24,90.81,959405,401,1
118,90.4,91.715,90.15,90.55,840434,401,1
119,93.24,96.3396,92.5,95.63,2269436,401,1
120,94.85,97.43,94.85,96.85,1369441,401,1
121,97.68,99.68,97.6,99.18,1415939,401,1
122,99.0,100.13,96.69,100.1,976984,401,1
123,100.0,100.19,98.88,100.1,751226,401,1
124,99.98,100.18,99.2,99.39,847363,401,1
125,99.32,99.61,98.13,98.7,638748,401,1
126,99.05,100.22,98.91,99.52,625908,401,1
127,99.4,99.93,98.42,98.72,629128,401,1
128,98.36,99.46,98.0,98.88,866026,401,1
129,99.07,99.53,98.53,99.14,804025,401,1
130,99.23,99.23,98.36,98.8,447300,401,1
131,100.13,100.13,93.47,96.7,721778,401,1
132,96.33,97.83,96.2,97.04,566955,401,1
133,96.74,97.35,96.46,96.86,588199,401,1
134,96.91,97.655,96.31,97.31,405254,401,1
135,97.01,98.09,96.63,97.22,574283,401,1
136,97.61,99.95,97.6,99.8,642446,401,1
137,99.83,99.885,98.23,98.8,749705,401,1
138,99.18,100.15,98.7,99.03,706289,401,1
139,97.81,97.84,96.97,97.06,695337,401,1
140,97.1,97.61,96.77,97.04,671706,401,1
141,96.92,98.39,96.92,97.77,356022,401,1
142,97.94,97.94,96.86,97.23,561432,401,1
143,98.55,99.53,97.07,98.0,640572,401,1
144,97.85,99.49,96.98,99.08,620664,401,1
145,98.79,100.0,98.47,99.77,423972,401,1
146,100.18,101.22,98.5117,100.04,822134,401,1
147,100.42,102.59,99.98,102.25,773960,401,1
148,103.0,105.22,102.69,104.02,1002161,401,1
149,103.39,103.81,102.18,103.74,1092336,401,1
150,103.9,109.22,103.14,104.5,718655,401,1
151,104.56,105.24,104.08,105.04,412441,401,1
152,106.93,107.63,106.09,106.97,775904,401,1
153,106.4,107.37,105.38,106.35,901837,401,1
154,106.09,108.62,105.87,108.47,701207,401,1
155,109.1,109.72,108.4,109.13,669254,401,1
156,108.72,109.42,107.21,107.4,915869,401,1
157,107.2,107.77,106.46,106.93,571649,401,1
158,107.1,108.29,106.61,107.2,612516,401,1
159,106.81,108.42,106.73,107.35,597286,401,1
160,107.91,108.385,107.28,108.15,388811,401,1
161,107.65,107.93,106.77,107.18,454760,401,1
162,105.62,107.69,105.62,106.94,657742,401,1
163,107.24,108.77,106.73,107.96,661592,401,1
164,107.11,107.7,102.98,106.96,732899,401,1
165,106.91,107.35,104.88,106.24,557559,401,1
166,106.57,107.6,106.06,107.13,471770,401,1
167,106.01,107.575,105.909,106.68,574848,401,1
168,107.1,107.88,105.68,105.76,763618,401,1
169,105.76,106.45,103.95,104.39,1156145,401,1
