id_date,open,high,low,close,volume,id_stock,id_index
1,19.24,19.3,19.09,19.25,1331904,411,1
2,19.21,19.24,19.06,19.11,1132012,411,1
3,19.08,19.125,18.83,18.95,2683368,411,1
4,18.95,19.11,18.87,18.98,1587066,411,1
5,18.93,19.05,18.85,18.97,1753404,411,1
6,19.04,19.5,18.93,19.4,2462389,411,1
7,19.51,23.27,19.47,21.15,18274623,411,1
8,21.05,21.45,20.49,20.54,7209104,411,1
9,20.44,20.72,20.18,20.66,3622692,411,1
10,20.74,21.44,20.74,21.02,3586214,411,1
11,21.08,21.63,20.93,21.08,5201184,411,1
12,21.15,21.615,21.08,21.58,3625383,411,1
13,21.38,21.98,21.19,21.84,3183154,411,1
14,21.88,22.28,21.8,22.21,2892054,411,1
15,22.13,22.44,21.99,22.38,2536106,411,1
16,22.33,22.52,22.19,22.43,1852855,411,1
17,22.55,22.82,22.5,22.73,1844210,411,1
18,22.79,22.87,22.33,22.34,2889230,411,1
19,22.32,22.54,22.0,22.36,3909196,411,1
20,22.52,22.72,22.49,22.5,2496960,411,1
21,22.52,23.07,22.5,22.83,2149578,411,1
22,22.87,23.07,22.68,22.77,1772943,411,1
23,22.82,23.64,22.81,23.32,2995375,411,1
24,23.35,24.2,23.35,24.15,3371191,411,1
25,24.28,25.08,24.105,24.27,4851089,411,1
26,24.05,24.35,23.94,24.02,2052207,411,1
27,24.04,24.36,23.73,24.0,1961519,411,1
28,24.1,24.38,23.99,24.28,1947565,411,1
29,24.1,24.2,23.57,23.58,1898425,411,1
30,23.64,23.83,23.45,23.71,1480941,411,1
31,23.82,24.02,23.495,23.74,2346743,411,1
32,23.9,24.25,23.82,24.2,1331568,411,1
33,23.96,24.26,23.85,24.23,1096619,411,1
34,24.33,24.55,23.94,24.11,2221186,411,1
35,24.11,24.31,23.75,23.82,1281168,411,1
36,23.81,23.92,22.94,23.05,4058772,411,1
37,23.05,23.11,21.73,22.23,7770877,411,1
38,22.35,22.56,22.04,22.04,3959095,411,1
39,21.69,21.94,21.455,21.9,5647586,411,1
40,22.03,22.39,21.84,22.24,2407189,411,1
41,22.23,22.32,21.91,22.09,1763988,411,1
42,22.12,23.03,22.12,22.69,2903652,411,1
43,22.7,23.01,22.56,22.9,2900142,411,1
44,22.81,22.84,22.285,22.65,1710382,411,1
45,22.44,22.44,21.42,21.46,2369641,411,1
46,21.61,21.95,21.53,21.87,2247275,411,1
47,21.68,21.74,21.14,21.39,2407744,411,1
48,21.43,21.47,20.98,21.15,2094563,411,1
49,21.2,21.71,21.16,21.48,1327080,411,1
50,21.5,21.745,21.28,21.59,1275685,411,1
51,21.69,21.92,21.56,21.9,1669259,411,1
52,21.96,22.29,21.9,22.07,1704596,411,1
53,22.19,22.45,21.88,22.31,1809740,411,1
54,22.25,22.31,21.79,21.79,1793253,411,1
55,21.91,22.2,21.76,22.09,1924025,411,1
56,22.13,22.32,21.87,22.12,1984363,411,1
57,22.06,23.0399,21.66,22.2,3039589,411,1
58,22.21,22.51,21.68,21.77,2786720,411,1
59,22.03,22.54,22.01,22.51,2340045,411,1
60,22.5,22.98,22.5,22.77,1461299,411,1
61,22.72,22.94,22.6,22.84,1413715,411,1
62,22.81,22.98,22.64,22.82,2620434,411,1
63,22.77,23.03,22.68,22.74,1387981,411,1
64,22.75,23.17,22.75,23.1,2977233,411,1
65,22.99,23.12,22.7,22.85,1327480,411,1
66,22.82,23.225,22.82,23.19,2080148,411,1
67,23.12,23.425,22.9,23.33,1934219,411,1
68,23.22,23.8,23.22,23.62,3256177,411,1
69,23.67,24.035,23.62,23.86,2082664,411,1
70,23.82,24.04,23.74,23.79,1172062,411,1
71,23.76,23.95,23.65,23.84,1786161,411,1
72,23.84,24.21,23.5,23.65,1638206,411,1
73,23.3225,23.96,23.21,23.81,1266508,411,1
74,23.6,23.83,23.48,23.76,1043593,411,1
75,24.09,24.4,24.09,24.34,1896811,411,1
76,24.15,24.42,24.02,24.37,2204585,411,1
77,24.36,24.58,23.67,24.24,1815379,411,1
78,24.08,24.52,24.01,24.02,1833896,411,1
79,24.2,24.54,24.03,24.52,2162167,411,1
80,24.46,24.83,24.27,24.56,2070347,411,1
81,24.33,24.419,23.56,23.6,2125400,411,1
82,23.57,23.87,23.235,23.6,1952925,411,1
83,23.8,24.43,23.62,24.41,1621111,411,1
84,24.5,24.53,24.14,24.14,1216193,411,1
85,23.85,24.03,23.72,23.85,1188646,411,1
86,24.08,24.08,23.39,23.45,992163,411,1
87,23.44,23.91,23.3,23.86,1142014,411,1
88,23.87,23.97,23.68,23.88,700776,411,1
89,24.12,24.33,23.97,24.3,1336828,411,1
90,24.36,24.74,24.36,24.64,1232116,411,1
91,24.61,24.75,24.25,24.29,1448052,411,1
92,24.01,24.05,23.31,23.53,1980911,411,1
93,23.66,23.84,23.105,23.47,1965726,411,1
94,23.18,23.18,22.69,22.8,2254060,411,1
95,23.05,23.332,23.0,23.26,1769811,411,1
96,23.47,23.67,23.205,23.58,1917922,411,1
97,23.75,24.1,23.69,24.04,1998275,411,1
98,23.96,24.11,23.76,23.95,3704010,411,1
99,24.63,24.86,24.305,24.45,2033788,411,1
100,24.48,24.84,24.41,24.65,2442671,411,1
101,24.48,24.96,24.43,24.96,2661698,411,1
102,25.08,25.58,24.89,25.56,1505278,411,1
103,25.75,25.945,25.645,25.84,1542399,411,1
104,26.01,26.17,25.78,26.09,1563582,411,1
105,26.8,26.87,26.23,26.77,2952161,411,1
106,27.14,27.27,26.85,27.26,1637052,411,1
107,27.25,27.65,27.08,27.51,3485416,411,1
108,27.52,27.67,27.43,27.61,2117615,411,1
109,27.58,27.67,27.39,27.51,3072979,411,1
110,27.51,27.655,27.31,27.54,1573158,411,1
111,27.54,27.64,27.29,27.34,1824047,411,1
112,27.36,27.56,27.155,27.55,2513742,411,1
113,27.53,27.76,27.25,27.33,1477393,411,1
114,27.46,27.46,26.86,27.03,2347977,411,1
115,27.15,27.24,26.7,26.73,3145107,411,1
116,26.64,27.16,26.6,27.07,1766327,411,1
117,26.91,27.16,26.74,27.12,1016752,411,1
118,27.03,27.17,26.825,26.9,1225155,411,1
119,26.99,27.28,26.84,27.17,1392066,411,1
120,27.31,27.59,27.16,27.24,1802230,411,1
121,27.52,28.06,27.41,27.88,1923558,411,1
122,28.36,30.66,28.35,30.36,6106363,411,1
123,30.47,31.2,29.95,30.16,2452029,411,1
124,30.15,30.44,29.545,30.04,3050426,411,1
125,29.94,30.28,29.37,30.05,1795201,411,1
126,30.26,30.53,30.0,30.07,1596052,411,1
127,29.99,30.49,29.92,30.09,1479208,411,1
128,29.91,30.29,29.81,30.19,1475741,411,1
129,30.35,30.39,29.93,30.27,1436919,411,1
130,30.19,30.65,30.13,30.31,1412760,411,1
