id_date,open,high,low,close,volume,id_stock,id_index
1,63.17,63.51,62.55,62.91,723691,413,1
2,62.99,63.12,62.41,62.74,772847,413,1
3,62.93,63.04,62.29,62.49,560840,413,1
4,62.6,62.63,62.19,62.5,483260,413,1
5,62.38,62.78,62.22,62.66,332227,413,1
6,62.75,63.24,61.63,62.09,380809,413,1
7,62.27,63.35,62.04,63.15,368351,413,1
8,63.13,63.3,61.8,62.12,447224,413,1
9,62.13,62.13,59.74,59.79,848824,413,1
10,60.15,60.44,59.48,59.94,452784,413,1
11,60.32,60.43,59.61,59.64,839766,413,1
12,59.98,62.69,59.28,60.93,592739,413,1
13,60.94,61.48,60.512,60.88,450679,413,1
14,60.99,62.23,60.91,61.22,471850,413,1
15,60.12,60.45,58.85,59.69,2021040,413,1
16,59.44,60.06,58.89,59.78,588950,413,1
17,60.09,60.62,59.86,59.98,714017,413,1
18,60.39,60.77,60.23,60.41,381302,413,1
19,60.52,60.915,60.12,60.77,472549,413,1
20,61.22,61.22,60.4,60.76,248478,413,1
21,60.75,61.82,60.34,61.72,639211,413,1
22,61.71,62.35,61.2875,62.18,533994,413,1
23,62.22,62.6875,61.81,61.98,231742,413,1
24,62.19,63.16,61.82,63.07,403908,413,1
25,59.97,63.17,59.97,62.87,631286,413,1
26,62.46,63.23,62.22,63.06,234601,413,1
27,63.08,63.3,62.23,63.15,530890,413,1
28,63.33,63.49,62.53,63.1,400213,413,1
29,62.81,63.18,61.51,61.83,439453,413,1
30,62.79,62.98,62.1,62.47,385646,413,1
31,62.5,62.64,61.87,62.43,418932,413,1
32,63.09,63.09,62.02,62.77,637990,413,1
33,62.4,63.585,61.83,63.27,686771,413,1
34,66.55,69.41,65.25,67.0,2172115,413,1
35,67.0,67.79,66.9,67.55,712510,413,1
36,67.79,68.74,67.34,68.21,646488,413,1
37,68.44,68.61,66.71,66.93,673162,413,1
38,66.89,67.02,65.03,66.02,1635658,413,1
39,64.72,67.15,64.72,67.04,644531,413,1
40,66.95,68.81,66.94,68.54,737154,413,1
41,68.71,68.71,67.4625,67.98,886890,413,1
42,68.29,69.0,68.02,68.61,632315,413,1
43,68.65,70.02,68.49,69.0,832060,413,1
44,68.94,68.97,67.65,68.0,942018,413,1
45,67.65,68.0,65.51,65.61,809642,413,1
46,66.24,67.255,66.02,66.98,1033399,413,1
47,66.53,66.58,65.75,65.88,865660,413,1
48,66.0,66.2,65.27,65.63,694281,413,1
49,65.75,66.44,65.41,66.14,1011856,413,1
50,66.22,66.44,65.78,66.3,785739,413,1
51,66.73,67.24,66.49,67.16,743665,413,1
52,67.18,67.55,67.13,67.28,627722,413,1
53,67.74,68.175,67.4,67.95,633286,413,1
54,67.89,67.89,66.97,67.16,579770,413,1
55,67.29,68.27,67.15,67.85,559553,413,1
56,67.67,68.73,67.43,68.73,617344,413,1
57,68.33,68.72,67.56,68.03,389765,413,1
58,68.11,69.59,68.03,69.39,578055,413,1
59,69.71,70.64,69.7,69.99,482916,413,1
60,70.0,70.67,69.7,69.87,588587,413,1
61,70.02,70.13,69.7,69.89,535869,413,1
62,69.84,70.66,69.01,69.89,520931,413,1
63,69.88,70.26,69.37,69.76,367864,413,1
64,69.72,70.19,69.46,69.91,343210,413,1
65,69.89,70.05,69.4,69.84,508115,413,1
66,70.45,70.59,69.72,70.03,1088120,413,1
67,69.84,70.63,69.81,70.05,2087240,413,1
68,70.09,70.91,69.31,69.57,636116,413,1
69,69.96,71.04,69.79,70.77,1382438,413,1
70,70.52,71.05,70.25,71.0,658915,413,1
71,71.3,71.85,70.52,71.62,687750,413,1
72,72.01,72.52,71.28,71.63,1017190,413,1
73,70.47,71.25,69.18,70.68,1334954,413,1
74,69.91,70.11,69.26,69.88,711954,413,1
75,70.6,70.6,69.18,69.51,535165,413,1
76,68.86,69.1,67.94,68.48,680345,413,1
77,68.76,69.0,68.38,68.75,722197,413,1
78,68.42,68.94,67.97,68.51,492884,413,1
79,68.62,68.83,67.72,68.7,956893,413,1
80,68.75,69.01,67.64,67.85,359989,413,1
81,67.72,68.12,66.68,66.71,396915,413,1
82,66.82,67.64,66.66,67.64,468622,413,1
83,68.13,69.01,67.64,68.65,423849,413,1
84,68.99,69.1,68.32,68.56,293142,413,1
85,67.43,67.84,67.16,67.39,374723,413,1
