id_date,open,high,low,close,volume,id_stock,id_index
1,81.22,81.93,80.94,81.89,296853,416,1
2,81.87,82.28,81.36,81.79,644276,416,1
3,81.79,82.94,81.73,82.79,706241,416,1
4,82.8,82.96,82.45,82.76,521369,416,1
5,82.52,82.69,81.94,82.15,369719,416,1
6,82.09,82.7,81.7,82.7,475706,416,1
7,83.21,83.5,82.99,83.49,624148,416,1
8,83.27,83.76,82.1,82.16,636968,416,1
9,82.24,82.81,80.98,81.09,518454,416,1
10,81.62,82.02,81.32,81.64,382277,416,1
11,81.81,82.035,80.12,80.13,535236,416,1
12,80.55,81.11,79.9,80.67,597409,416,1
13,80.67,81.55,80.32,81.31,687493,416,1
14,81.47,82.07,81.07,81.62,1146270,416,1
15,81.34,82.67,81.0801,82.67,938999,416,1
16,82.5,83.0,82.23,82.77,690445,416,1
17,83.04,83.31,82.508,82.93,696349,416,1
18,83.0,83.99,82.48,83.87,591451,416,1
19,83.74,84.28,83.42,84.0,678719,416,1
20,84.13,84.81,83.58,84.45,586835,416,1
21,84.4,85.5,84.31,85.25,623270,416,1
22,85.36,85.58,84.67,85.43,446872,416,1
23,85.38,86.06,84.96,85.76,433575,416,1
24,85.67,87.5,85.67,86.18,644120,416,1
25,86.22,86.33,85.55,85.74,1500468,416,1
26,85.31,85.89,84.985,85.6,886307,416,1
27,85.7,85.9,84.87,84.95,847090,416,1
28,85.32,86.04,84.71,85.99,474587,416,1
29,85.6,86.27,85.212,85.46,665667,416,1
30,85.86,86.07,85.464,86.07,396625,416,1
31,86.15,86.9,86.03,86.16,466528,416,1
32,86.16,86.87,86.1,86.29,460297,416,1
33,85.17,86.27,85.17,86.17,274531,416,1
34,86.14,86.37,85.5,86.11,886932,416,1
35,86.05,86.66,85.73,86.35,442059,416,1
36,86.38,87.22,86.38,87.06,446209,416,1
37,87.54,87.76,86.21,86.54,584513,416,1
38,86.6,88.37,86.4,88.15,795799,416,1
39,87.16,88.5,86.59,88.44,794144,416,1
40,88.45,88.96,87.62,88.73,754751,416,1
41,88.94,88.94,87.83,88.19,599322,416,1
42,88.4,88.81,88.06,88.35,731428,416,1
43,88.54,89.16,88.2,88.49,669477,416,1
44,88.24,88.98,87.96,88.31,473634,416,1
45,88.1,88.48,85.89,85.94,728014,416,1
46,86.56,87.95,86.11,87.7,652688,416,1
47,87.15,87.15,85.78,86.58,700931,416,1
48,86.53,86.59,85.8,85.99,734176,416,1
49,86.05,89.18,86.02,87.7,1208914,416,1
50,87.88,87.88,86.28,86.84,781548,416,1
51,87.37,88.32,87.06,88.1,670066,416,1
52,88.25,88.74,87.24,88.72,880658,416,1
53,89.62,89.62,87.62,88.65,617004,416,1
54,88.5,89.18,88.08,88.38,481770,416,1
55,88.49,88.98,88.315,88.7,465173,416,1
56,88.77,90.7,88.47,90.7,878617,416,1
57,90.02,90.5,88.52,88.61,597018,416,1
58,88.93,89.65,88.71,88.92,439345,416,1
59,89.1,89.94,89.1,89.77,377193,416,1
60,89.79,91.12,89.79,90.96,417870,416,1
61,90.84,91.25,90.27,90.83,419502,416,1
62,90.58,91.31,90.33,90.92,841902,416,1
63,91.16,91.4,89.71,90.03,474529,416,1
64,90.2,90.42,89.43,90.33,456560,416,1
65,90.19,91.08,89.873,90.81,357933,416,1
66,91.08,91.45,90.6,90.88,421530,416,1
67,90.73,91.4675,90.2,91.34,402307,416,1
68,91.11,91.72,90.71,91.12,522396,416,1
69,91.55,92.14,91.25,92.13,351265,416,1
70,92.1,93.38,92.095,93.24,664243,416,1
71,93.22,95.39,93.18,94.21,845468,416,1
72,94.23,94.99,91.4725,92.07,537270,416,1
73,90.88,91.58,89.14,91.18,808475,416,1
74,90.75,91.29,89.87,90.97,379446,416,1
75,91.92,92.25,89.57,90.43,447424,416,1
76,89.33,89.73,87.74,89.62,968556,416,1
77,89.53,90.195,88.1,88.22,610576,416,1
78,87.92,88.54,86.98,86.98,810957,416,1
79,87.19,87.75,86.01,86.72,752165,416,1
80,86.74,87.252,85.92,86.13,665373,416,1
81,86.31,86.55,84.962,85.55,636610,416,1
82,85.46,87.15,85.18,87.1,485384,416,1
83,87.79,88.01,85.57,86.91,444105,416,1
84,87.28,87.88,86.18,87.88,647025,416,1
85,87.08,87.62,85.54,86.67,1003442,416,1
86,87.01,87.165,86.26,87.01,1568426,416,1
87,87.59,89.96,87.08,89.67,1012999,416,1
88,89.62,91.99,89.4,91.36,1109577,416,1
89,91.71,92.77,90.91,91.57,1265110,416,1
90,91.52,92.19,91.21,91.72,828519,416,1
91,91.61,91.81,88.6925,89.06,1316601,416,1
92,88.0,88.07,83.68,84.36,1155034,416,1
93,85.16,86.44,84.06,85.19,1361377,416,1
94,84.42,86.79,83.0,84.84,1078323,416,1
95,85.78,86.3,84.79,85.64,1036364,416,1
96,86.64,87.67,86.6,86.64,925023,416,1
97,87.02,88.93,86.96,88.76,845884,416,1
98,88.45,88.91,87.38,88.19,670344,416,1
99,88.53,88.85,87.6,87.87,611793,416,1
100,87.92,89.58,87.23,89.51,1242906,416,1
101,88.87,90.78,88.34,90.27,582959,416,1
102,90.44,90.98,88.47,90.49,1005838,416,1
103,90.46,91.47,90.4,90.81,1067097,416,1
104,90.91,92.02,90.78,91.5,763094,416,1
105,91.5,91.58,90.705,91.09,852954,416,1
106,92.14,93.69,92.06,93.59,1062045,416,1
107,93.59,93.77,92.75,93.66,510594,416,1
108,93.21,94.0,92.18,93.75,880216,416,1
109,93.68,93.75,92.98,93.12,690016,416,1
110,93.71,93.71,92.82,93.13,906559,416,1
111,93.19,94.34,92.99,94.24,365135,416,1
112,94.24,94.95,93.9,94.93,553474,416,1
113,94.79,95.36,94.14,95.22,526944,416,1
114,95.29,95.83,94.83,95.61,695656,416,1
115,95.57,95.65,92.66,93.61,1278294,416,1
116,93.12,94.08,92.37,92.88,1167018,416,1
117,92.69,93.16,92.03,92.9,491554,416,1
118,93.32,93.32,91.55,91.71,713899,416,1
119,92.41,92.65,90.56,91.21,560147,416,1
120,91.59,91.87,89.54,90.65,932926,416,1
121,91.31,91.74,90.11,90.75,787701,416,1
122,90.38,91.39,89.2275,89.85,605257,416,1
123,89.87,90.78,89.35,89.93,278159,416,1
124,89.54,90.58,88.18,89.55,395680,416,1
125,89.88,90.24,89.05,89.41,488519,416,1
126,89.7,90.04,89.22,89.78,336998,416,1
127,89.67,90.93,89.25,90.14,957314,416,1
128,89.73,90.04,89.01,89.71,907545,416,1
129,89.58,89.58,88.25,88.82,791693,416,1
130,88.52,89.78,88.27,89.45,641564,416,1
131,88.35,89.06,87.77,88.51,866754,416,1
132,88.15,88.39,85.97,86.13,628901,416,1
133,86.11,86.19,85.2,85.4,876121,416,1
134,85.56,87.98,85.4225,87.39,924354,416,1
135,87.32,88.24,86.1,86.52,729848,416,1
136,86.63,87.44,86.01,87.15,538199,416,1
137,87.47,88.03,86.786,87.95,858076,416,1
138,87.95,88.21,87.3,87.77,502227,416,1
139,86.84,87.99,86.65,87.6,696186,416,1
140,87.77,87.81,86.9,87.38,457946,416,1
141,87.19,87.62,86.665,87.58,467068,416,1
142,87.78,88.16,86.81,87.19,692888,416,1
143,88.09,88.09,84.89,86.01,1077183,416,1
144,86.07,86.7,85.4,86.34,531718,416,1
145,86.2,86.8,85.36,85.58,357259,416,1
146,86.26,87.11,85.51,86.81,608255,416,1
147,87.32,89.35,86.28,89.29,531656,416,1
148,89.41,90.35,88.78,89.92,739235,416,1
149,89.67,90.82,89.53,90.82,515847,416,1
150,90.81,91.2,88.98,89.22,611609,416,1
151,89.43,90.26,88.95,90.21,521741,416,1
152,91.48,92.42,90.27,90.82,601195,416,1
153,90.95,91.85,89.91,90.45,468980,416,1
154,90.73,93.44,89.89,93.22,683245,416,1
155,93.59,94.74,92.69,92.83,751885,416,1
156,93.1,93.48,91.32,91.32,885645,416,1
157,91.22,91.92,90.4,90.43,695664,416,1
158,90.63,90.79,88.78,88.95,704702,416,1
159,88.95,89.405,87.91,88.69,932545,416,1
160,88.59,89.09,88.01,88.84,528842,416,1
161,88.22,88.87,87.93,88.59,334891,416,1
162,87.92,89.02,87.92,88.84,607237,416,1
163,88.95,91.508,88.63,90.2,1346178,416,1
164,89.6,90.19,88.78,90.13,820581,416,1
165,89.65,89.98,87.97,88.39,828490,416,1
166,88.4,89.45,88.08,88.84,439571,416,1
167,88.15,88.81,87.71,88.5,518511,416,1
168,88.6,88.74,87.49,87.63,607895,416,1
169,87.95,88.83,87.73,88.08,622430,416,1
170,89.02,90.04,88.69,89.99,641482,416,1
171,89.62,92.27,89.07,92.27,796367,416,1
172,91.77,92.4,91.31,92.01,653713,416,1
173,91.52,92.96,91.42,92.33,655192,416,1
174,92.79,93.698,90.65,93.42,625889,416,1
175,93.0,94.79,92.76,94.67,501998,416,1
176,94.53,94.99,93.78,94.71,596493,416,1
177,94.5,94.68,93.71,94.12,494485,416,1
178,94.25,95.45,92.86,95.02,493841,416,1
179,94.81,95.44,94.06,95.33,614090,416,1
180,95.48,97.11,94.6,96.6,664020,416,1
181,97.16,98.18,96.535,98.09,459545,416,1
182,98.14,98.25,96.58,98.15,641208,416,1
183,96.07,96.32,95.06,95.35,2701982,416,1
184,95.79,95.79,94.52,95.24,943260,416,1
185,95.35,95.52,94.14,94.57,862523,416,1
186,95.04,95.7975,94.38,95.67,669854,416,1
187,95.76,96.14,94.71,95.34,524726,416,1
188,94.86,95.22,93.68,93.74,580848,416,1
189,93.92,94.32,92.85,92.92,632493,416,1
190,93.04,93.34,91.34,91.43,807440,416,1
191,91.09,91.59,89.54,91.3,621615,416,1
192,91.55,92.01,90.86,91.86,525099,416,1
193,91.46,91.74,89.87,90.89,763764,416,1
194,90.5,91.4,89.94,91.39,553815,416,1
195,91.68,92.64,91.56,92.12,432370,416,1
196,91.84,92.74,91.4,92.7,619894,416,1
197,92.7,93.0,91.8,91.97,452707,416,1
198,91.6,91.98,90.73,91.2,456502,416,1
199,91.31,92.42,89.76,90.41,505066,416,1
200,91.0,91.4,90.06,91.04,324935,416,1
201,91.08,91.77,90.45,91.71,510888,416,1
202,91.91,92.11,91.25,91.58,440313,416,1
203,91.52,91.72,90.66,90.96,653679,416,1
204,90.97,91.9,90.58,91.68,318248,416,1
205,92.0,92.0,90.45,90.47,260512,416,1
206,90.47,92.06,89.84,90.53,536315,416,1
207,90.27,91.44,90.22,91.07,515962,416,1
208,90.21,92.135,89.93,91.5,554843,416,1
209,90.65,92.5,89.78,92.42,856666,416,1
210,91.27,94.42,91.27,94.24,878531,416,1
211,94.24,94.6,93.23,93.49,901525,416,1
212,93.83,94.44,92.26,92.48,936475,416,1
213,92.84,93.14,89.99,90.15,842276,416,1
214,90.22,91.26,89.23,90.1,782497,416,1
215,90.43,91.58,89.5,89.76,545102,416,1
216,89.62,90.73,89.5,89.53,1005817,416,1
217,89.6,90.61,89.05,90.17,861728,416,1
218,90.64,92.4,89.56,92.35,1080583,416,1
219,92.2,93.14,91.5,92.55,922828,416,1
220,91.85,92.57,91.25,91.9,1421571,416,1
221,92.3,93.42,92.01,92.81,542442,416,1
222,92.78,93.565,92.49,92.66,178186,416,1
223,92.66,93.19,92.03,92.4,252860,416,1
224,91.89,92.18,91.01,92.05,269367,416,1
225,92.14,92.62,91.72,92.08,379707,416,1
226,92.31,93.16,92.01,92.38,611080,416,1
227,92.17,92.77,91.18,91.98,614582,416,1
228,92.07,93.65,91.97,92.81,689966,416,1
229,92.92,93.32,92.14,92.31,717112,416,1
230,92.27,93.4325,91.62,93.14,508637,416,1
231,93.32,93.66,92.53,93.05,520907,416,1
232,93.12,93.18,91.26,92.49,637501,416,1
233,92.86,93.31,92.27,92.81,542027,416,1
234,92.73,93.25,91.66,92.15,396545,416,1
235,92.46,93.05,91.82,92.83,498604,416,1
236,92.9,93.85,92.57,93.68,366143,416,1
237,93.19,93.74,92.83,93.5,304123,416,1
238,93.26,93.5,92.7,92.99,348018,416,1
239,93.56,93.96,93.07,93.85,398335,416,1
240,93.96,94.89,93.63,94.44,499810,416,1
241,94.31,94.8,93.59,93.93,502868,416,1
242,93.73,93.97,91.99,92.04,470322,416,1
243,92.04,92.94,91.11,91.34,595949,416,1
244,91.76,93.63,91.76,92.92,830455,416,1
245,92.55,93.24,91.46,92.02,540974,416,1
246,91.94,93.99,91.1,93.74,595800,416,1
247,92.65,94.67,92.635,93.77,706453,416,1
248,93.86,93.86,90.55,90.96,1343433,416,1
249,91.21,93.83,90.81,93.66,1189306,416,1
250,93.56,94.36,92.74,93.5,635167,416,1
251,93.53,94.2,93.3,94.03,509336,416,1
252,94.5,95.105,93.73,94.41,354773,416,1
253,94.28,95.73,93.59,95.64,492791,416,1
254,95.39,96.39,94.795,96.02,506401,416,1
255,95.93,96.29,95.362,96.26,411035,416,1
256,95.42,97.03,95.36,96.02,806578,416,1
257,95.92,97.0,95.834,96.67,412321,416,1
258,96.52,97.09,95.69,97.07,391493,416,1
259,96.63,98.04,96.44,97.23,648586,416,1
260,97.26,98.05,96.43,96.8,409562,416,1
261,96.8,97.4,96.4,96.9,383421,416,1
262,96.9,97.73,96.5801,96.8,467511,416,1
263,97.06,99.97,96.97,99.7,1247766,416,1
264,100.0,100.0,98.815,98.97,647814,416,1
265,98.84,101.78,98.01,98.58,445152,416,1
266,98.48,99.86,98.37,99.33,634771,416,1
267,98.65,99.36,97.98,99.13,775576,416,1
268,99.35,100.74,99.35,100.51,666353,416,1
269,100.25,100.81,99.24,99.94,480001,416,1
270,99.99,100.24,99.255,99.64,368710,416,1
271,99.74,99.88,98.21,98.89,475571,416,1
272,98.89,99.215,97.29,97.78,568543,416,1
273,98.1,99.46,98.08,98.7,642101,416,1
274,98.32,99.05,98.27,98.7,420359,416,1
275,98.96,99.13,97.53,97.83,346970,416,1
276,97.82,99.1,97.82,98.5,415218,416,1
277,99.1,99.58,98.03,98.8,382554,416,1
278,98.7,100.01,98.04,99.94,650318,416,1
279,99.86,100.5686,97.42,97.67,427283,416,1
280,97.55,98.23,96.31,98.11,621018,416,1
281,98.02,99.68,98.02,99.16,1069670,416,1
282,99.16,99.41,97.47,98.34,353285,416,1
283,98.79,99.65,98.41,99.43,354177,416,1
284,99.58,99.8,98.0,98.0,436712,416,1
285,97.54,98.75,97.35,98.71,429575,416,1
286,98.79,100.27,98.79,99.47,263738,416,1
287,99.85,100.81,99.11,100.62,596000,416,1
288,100.7,101.47,100.16,101.47,808632,416,1
