id_date,open,high,low,close,volume,id_stock,id_index
1,77.13,79.24,77.03,79.14,613825,417,1
2,79.02,79.37,78.23,78.39,483219,417,1
3,78.3,79.36,78.08,78.79,268378,417,1
4,78.96,79.19,77.94,79.04,594479,417,1
5,78.87,80.53,78.47,79.17,477036,417,1
6,79.32,79.64,78.75,79.43,272179,417,1
7,79.64,79.98,79.48,79.98,387635,417,1
8,79.83,80.0,78.91,78.94,286573,417,1
9,78.69,78.86,77.67,77.93,426095,417,1
10,78.09,78.86,77.94,78.81,282688,417,1
11,79.31,79.37,77.0,77.06,430385,417,1
12,77.06,77.92,76.67,77.78,216019,417,1
13,77.69,79.78,77.69,79.43,217422,417,1
14,79.43,80.78,79.43,80.27,437168,417,1
15,79.72,79.99,78.995,79.66,313605,417,1
16,79.27,79.71,77.58,79.65,409348,417,1
17,80.0,80.74,79.83,80.6,329723,417,1
18,81.07,82.04,80.8,81.83,500933,417,1
19,81.79,81.81,80.61,81.18,219486,417,1
20,81.65,82.07,81.25,81.97,213113,417,1
21,81.59,82.38,81.58,82.33,229812,417,1
22,82.37,82.37,81.33,81.75,233742,417,1
23,81.89,81.89,80.37,80.8,354114,417,1
24,81.26,81.71,81.0,81.36,178196,417,1
25,81.06,81.93,80.53,81.23,548489,417,1
26,80.75,81.82,80.37,81.18,288409,417,1
27,81.54,81.99,80.82,81.4,235600,417,1
28,82.0,82.5966,81.45,81.83,106327,417,1
29,81.44,81.99,81.063,81.24,220435,417,1
30,81.46,81.81,81.14,81.59,149866,417,1
31,81.72,82.17,81.39,81.79,542725,417,1
32,82.13,82.57,81.54,82.56,185568,417,1
33,81.83,82.33,81.15,81.69,307561,417,1
34,81.69,82.84,81.35,82.7,204730,417,1
35,82.71,83.09,81.25,81.87,237469,417,1
36,82.27,82.53,81.47,81.76,234292,417,1
37,81.8,82.26,80.82,81.06,280009,417,1
38,81.24,82.05,80.5,82.03,228513,417,1
39,81.05,81.71,80.45,81.6,245250,417,1
40,81.63,82.53,81.41,82.48,137732,417,1
41,82.75,83.25,82.14,83.1,164997,417,1
42,83.22,84.72,82.88,84.68,404600,417,1
43,84.65,85.5,84.16,85.25,300073,417,1
44,84.89,85.42,84.19,84.87,176136,417,1
45,84.42,84.95,81.66,81.66,326133,417,1
46,82.33,83.5,82.05,82.65,418362,417,1
47,82.0,82.7,81.29,82.51,406736,417,1
48,82.7,82.7,80.65,80.88,359018,417,1
49,81.21,81.26,79.88,81.17,466857,417,1
50,81.17,82.46,80.91,81.97,213034,417,1
51,82.37,82.68,81.5,82.33,362549,417,1
52,82.43,84.63,82.38,84.38,377366,417,1
53,84.6,85.88,84.09,85.09,306004,417,1
54,85.2,85.22,84.41,84.51,290709,417,1
55,84.96,85.67,84.35,85.14,264839,417,1
56,85.02,86.24,84.6805,86.2,231909,417,1
57,86.2,86.76,84.32,84.36,495539,417,1
58,84.42,85.88,84.42,85.63,251742,417,1
59,86.24,87.93,86.24,87.25,210699,417,1
60,87.37,87.815,87.065,87.29,229689,417,1
61,87.35,88.65,87.35,88.62,160817,417,1
62,88.58,89.4,88.58,89.28,162722,417,1
63,89.19,89.95,88.82,89.03,155243,417,1
64,89.14,89.76,88.79,89.34,161401,417,1
65,89.14,89.56,88.69,89.11,170249,417,1
66,88.99,91.63,88.99,91.49,259097,417,1
67,91.3,93.02,91.06,92.92,394646,417,1
