id_date,open,high,low,close,volume,id_stock,id_index
1,75.6,76.19,75.4,76.14,767226,424,1
2,76.02,76.138,75.57,75.76,599953,424,1
3,75.77,75.94,75.49,75.83,750838,424,1
4,75.8,76.39,75.58,76.33,608662,424,1
5,76.2,76.5,75.31,75.35,1248983,424,1
6,75.41,75.71,75.2575,75.62,1025570,424,1
7,75.89,76.97,75.78,76.46,1147918,424,1
8,76.41,76.98,75.94,75.97,910944,424,1
9,76.04,76.3,75.69,75.83,793566,424,1
10,75.9,76.87,75.9,76.79,1023417,424,1
11,77.13,78.18,75.72,75.73,1109186,424,1
12,77.25,77.55,75.24,77.05,1826483,424,1
13,77.07,78.01,76.78,77.7,983733,424,1
14,77.13,78.15,77.08,77.76,1248581,424,1
15,77.56,78.48,77.03,78.45,1266543,424,1
16,78.39,79.26,78.08,78.98,1122098,424,1
17,79.29,79.65,79.2,79.53,865013,424,1
18,79.57,79.75,78.98,79.23,633491,424,1
19,79.33,79.33,78.45,78.48,877963,424,1
20,78.78,78.86,78.105,78.65,1007420,424,1
21,78.54,79.425,78.45,79.22,644361,424,1
22,79.01,79.3275,78.52,78.8,740210,424,1
23,78.45,79.34,78.1,78.92,928712,424,1
24,78.94,79.27,78.74,79.24,691432,424,1
25,78.94,79.7,77.72,79.02,1587744,424,1
26,78.52,79.19,78.52,78.76,593630,424,1
27,78.95,79.325,78.77,79.15,784130,424,1
28,79.39,80.05,79.3109,79.9,771096,424,1
29,79.65,79.83,79.15,79.27,781285,424,1
30,79.27,80.21,79.08,79.85,821280,424,1
31,80.02,80.21,78.53,79.22,973652,424,1
32,78.75,80.2,78.5101,80.18,1284973,424,1
33,80.11,80.11,79.39,79.56,784376,424,1
34,79.52,80.01,79.38,79.94,1131440,424,1
35,79.91,80.0,79.44,79.93,736012,424,1
36,80.0,80.79,79.968,80.59,947098,424,1
37,80.71,80.86,80.11,80.38,920026,424,1
38,80.51,81.29,80.44,81.16,684122,424,1
39,80.63,81.56,80.45,81.56,832370,424,1
40,81.44,82.54,81.1,82.53,1207320,424,1
41,82.79,82.87,81.68,81.79,850125,424,1
42,81.97,82.25,81.7401,82.08,939929,424,1
43,82.31,82.64,82.18,82.43,1037869,424,1
44,82.12,82.47,81.9,82.43,867318,424,1
45,82.24,82.28,80.98,80.98,1143119,424,1
46,81.23,81.7699,80.62,81.3,1237295,424,1
47,81.04,81.51,80.58,81.23,1055382,424,1
48,81.42,81.6,80.73,81.25,1384874,424,1
49,81.32,82.79,81.23,82.55,1286322,424,1
50,82.63,82.78,82.05,82.08,1619582,424,1
51,82.19,82.19,80.5,81.56,1746069,424,1
52,81.73,82.0,81.08,81.56,883889,424,1
53,81.86,81.92,80.997,81.52,1041662,424,1
54,81.33,81.99,81.1,81.78,849585,424,1
55,81.87,82.64,81.51,82.48,809122,424,1
56,82.75,82.85,82.19,82.85,1058623,424,1
57,82.84,82.98,81.92,82.1,1162876,424,1
58,81.84,84.695,80.83,83.26,2387279,424,1
59,83.62,84.43,83.27,83.9,1414112,424,1
60,83.6,83.95,82.65,82.75,1092837,424,1
61,82.9,83.65,82.69,83.33,1025285,424,1
62,83.47,83.798,82.47,82.82,872180,424,1
63,82.81,83.34,81.5301,81.88,1020565,424,1
64,81.89,82.13,80.95,81.6,995241,424,1
65,81.23,81.85,80.82,81.55,673905,424,1
66,81.59,82.96,81.25,82.3,1194718,424,1
67,82.31,83.91,82.06,83.54,1051664,424,1
68,83.5,84.41,82.92,82.99,1776494,424,1
69,83.62,84.45,82.49,84.45,1648131,424,1
70,84.48,84.61,84.12,84.6,1540061,424,1
71,84.6,84.85,83.68,83.82,1125909,424,1
72,83.68,83.68,81.47,81.65,1732429,424,1
73,79.63,80.1,78.11,79.47,2908433,424,1
74,79.08,79.66,78.49,79.6,1714309,424,1
75,82.64,83.47,81.41,82.11,3851857,424,1
76,81.47,81.5,80.69,80.76,2497037,424,1
77,80.99,82.53,80.99,81.68,1775396,424,1
78,81.42,83.11,81.3,81.3,1928380,424,1
79,81.11,82.01,80.202,81.36,1243341,424,1
80,81.17,81.54,79.955,80.12,1827579,424,1
81,79.83,79.88,78.78,78.91,1187776,424,1
82,79.07,80.06,78.6,80.05,1709316,424,1
83,80.15,80.53,79.51,80.19,1040071,424,1
84,80.17,80.17,79.201,79.78,772339,424,1
85,79.24,80.1,78.76,79.54,1094344,424,1
86,79.88,79.9,78.36,78.36,782909,424,1
87,78.36,80.07,78.13,79.98,629187,424,1
88,80.03,80.604,79.52,80.35,582915,424,1
89,80.83,81.35,80.19,80.69,624631,424,1
90,80.72,82.27,80.375,82.06,1162332,424,1
91,82.08,82.5,81.03,81.03,1478361,424,1
92,80.29,80.31,78.48,78.71,1260483,424,1
93,79.34,79.93,77.49,79.59,1520352,424,1
94,79.1,80.95,78.36,80.23,1484416,424,1
95,80.9,81.39,80.03,80.99,1242696,424,1
96,80.88,82.62,80.88,82.37,1569253,424,1
97,82.54,83.46,82.18,82.44,869773,424,1
98,81.24,82.29,79.77,81.76,3371506,424,1
99,81.62,82.26,80.18,80.55,1597798,424,1
100,80.43,81.44,79.88,80.4,1141824,424,1
101,79.91,80.5,79.46,80.33,447762,424,1
102,80.52,80.54,78.6656,79.73,945886,424,1
103,80.22,81.035,79.84,80.38,998942,424,1
104,80.88,81.26,80.63,80.96,1008899,424,1
105,81.15,81.91,80.65,81.65,874450,424,1
