id_date,open,high,low,close,volume,id_stock,id_index
1,28.87,29.3,28.795,29.25,3136151,425,1
2,29.15,29.5,29.15,29.35,4077283,425,1
3,29.37,29.55,29.34,29.42,4051150,425,1
4,29.46,29.54,28.865,28.94,4857578,425,1
5,28.76,28.91,28.72,28.79,3558760,425,1
6,28.64,28.71,27.98,28.12,7363033,425,1
7,27.8,27.87,27.52,27.69,8983994,425,1
8,27.69,27.8884,27.525,27.58,7404324,425,1
9,27.55,27.89,27.3,27.46,5213360,425,1
10,27.67,27.93,27.65,27.9,3904531,425,1
11,28.05,28.17,27.11,27.12,5636940,425,1
12,27.4,27.49,26.93,27.41,5085659,425,1
13,27.31,27.83,27.31,27.72,5292211,425,1
14,27.75,27.93,27.44,27.59,4162134,425,1
15,27.38,27.85,26.96,27.55,6901056,425,1
16,27.56,28.04,27.51,28.02,4957899,425,1
17,28.17,28.31,27.88,28.0,4825513,425,1
18,28.17,28.435,28.08,28.17,3717737,425,1
19,28.25,28.84,28.21,28.56,5144867,425,1
20,29.55,29.67,29.03,29.35,9327209,425,1
21,29.43,29.91,29.35,29.73,5576848,425,1
22,29.75,29.85,29.4,29.46,3794899,425,1
23,29.48,29.69,29.32,29.63,3739045,425,1
24,29.7,29.8975,29.29,29.62,5175071,425,1
25,29.35,29.41,28.91,29.06,7893439,425,1
26,28.7,29.07,28.62,28.81,5371836,425,1
27,28.86,29.0,28.47,28.56,4894787,425,1
28,28.81,28.845,28.59,28.64,3309464,425,1
29,28.42,28.58,28.2,28.29,3010095,425,1
30,28.34,28.41,28.05,28.23,3805364,425,1
31,28.34,28.595,28.22,28.51,4778157,425,1
32,28.6,28.765,28.37,28.74,3507087,425,1
33,28.51,28.6,28.33,28.54,3203591,425,1
34,28.56,28.82,28.24,28.81,5036193,425,1
35,28.81,28.88,28.17,28.28,3577765,425,1
36,27.99,28.27,27.64,27.81,8853412,425,1
37,27.77,27.82,26.97,27.36,9255363,425,1
38,27.28,27.75,27.17,27.41,5495058,425,1
39,27.0,28.09,27.0,28.04,7110403,425,1
40,28.13,28.78,27.82,28.64,5996758,425,1
41,28.72,29.015,28.64,28.91,4160708,425,1
42,28.94,29.24,28.9,29.14,4198532,425,1
43,29.09,29.21,28.58,28.98,5503406,425,1
44,28.58,28.835,28.48,28.79,3836998,425,1
45,28.63,28.75,27.87,27.87,3684775,425,1
46,28.12,28.12,27.68,27.98,5679290,425,1
47,27.74,27.91,27.35,27.61,5109587,425,1
48,27.75,27.75,27.18,27.32,5608298,425,1
49,27.93,28.78,27.62,28.31,10357142,425,1
50,28.29,28.29,27.765,27.97,4336921,425,1
51,28.14,28.365,27.94,28.3,4394983,425,1
52,28.3,29.0,28.29,28.97,5469670,425,1
53,29.05,29.52,29.0,29.27,4599437,425,1
54,29.23,29.35,28.93,29.05,3950541,425,1
55,29.5,29.69,29.285,29.33,5601947,425,1
56,29.34,29.38,29.01,29.25,3656374,425,1
57,29.21,29.2399,28.86,28.94,2951799,425,1
58,28.96,29.235,28.85,29.15,1773156,425,1
59,29.46,29.67,29.24,29.37,2584345,425,1
60,29.39,29.89,29.33,29.82,2614230,425,1
61,29.9,30.38,29.86,30.29,3556196,425,1
62,30.27,31.04,30.07,30.85,6080530,425,1
63,30.88,31.02,30.52,30.55,5367772,425,1
64,30.58,30.655,30.15,30.46,4158593,425,1
65,30.41,30.78,30.325,30.54,4147336,425,1
66,30.53,30.92,30.46,30.86,3101103,425,1
67,30.82,31.3,30.645,31.21,2684293,425,1
68,31.09,31.53,31.065,31.27,3646474,425,1
69,31.45,31.91,31.37,31.88,4295413,425,1
70,31.78,32.48,31.77,32.3,4150814,425,1
71,32.25,32.38,32.03,32.15,3339437,425,1
72,32.01,32.7,31.59,31.88,7967885,425,1
73,31.6,31.9,31.41,31.75,7657590,425,1
74,31.61,32.01,31.25,31.94,3355152,425,1
75,32.4,32.72,32.15,32.34,6126417,425,1
76,32.04,32.35,31.91,32.0,5603737,425,1
77,32.1,32.84,31.94,32.6,4744932,425,1
78,32.52,32.61,32.09,32.09,4234075,425,1
79,32.14,32.345,31.5401,32.24,4808299,425,1
80,32.25,32.67,31.93,32.02,3896068,425,1
81,31.94,32.17,31.5,31.55,6889700,425,1
82,31.5,31.9,31.35,31.88,3635811,425,1
83,32.01,32.3,31.8,32.25,3264664,425,1
84,32.38,32.575,32.12,32.44,3790621,425,1
85,32.04,32.22,31.61,31.7,4326305,425,1
86,31.94,32.0,31.32,31.33,4081278,425,1
87,31.36,32.02,31.28,31.95,3730948,425,1
88,31.58,31.77,30.87,31.09,3981485,425,1
89,31.28,31.495,31.105,31.35,3310067,425,1
90,31.39,31.885,31.3,31.75,2635905,425,1
91,31.67,31.74,31.22,31.25,3957502,425,1
92,30.95,31.48,30.75,30.94,7123635,425,1
