id_date,open,high,low,close,volume,id_stock,id_index
1,34.85,36.83,34.76,35.48,10520558,427,1
2,35.56,35.66,34.8,35.05,4311993,427,1
3,35.12,35.14,34.66,34.68,3486369,427,1
4,34.93,35.08,34.64,35.01,3404630,427,1
5,34.81,35.2601,34.8,34.95,3537320,427,1
6,34.78,35.02,34.24,34.445,5091327,427,1
7,34.74,34.74,33.97,34.18,4976495,427,1
8,34.24,34.24,32.39,32.5,5580266,427,1
9,32.23,32.34,31.38,31.72,5673451,427,1
10,31.98,32.25,31.37,31.84,4413196,427,1
11,32.31,32.4,30.79,30.84,4889746,427,1
12,30.93,31.53,30.26,31.33,5136311,427,1
13,31.28,32.13,31.03,31.97,3485082,427,1
14,31.86,32.5,31.71,32.16,5459852,427,1
15,32.03,32.45,31.72,32.32,3921461,427,1
16,32.29,32.4,31.55,32.04,4806401,427,1
17,32.29,32.62,32.1,32.34,3911681,427,1
18,32.52,33.26,32.45,33.02,5379251,427,1
19,33.18,33.2,31.94,32.22,5739202,427,1
20,32.43,32.555,32.01,32.5,4433548,427,1
21,32.31,33.39,32.2,33.33,4424573,427,1
22,33.28,35.06,33.1201,34.94,8727705,427,1
23,35.04,35.82,34.7,35.315,6580515,427,1
24,35.5,35.95,35.3701,35.89,5130196,427,1
25,35.7,35.82,34.8,35.35,10202985,427,1
26,34.81,35.56,34.5,35.29,3329573,427,1
27,35.3,35.436,34.09,34.39,4444676,427,1
28,34.81,35.1067,34.69,34.95,2573432,427,1
29,34.7,34.78,34.08,34.52,3195104,427,1
30,34.63,34.85,34.15,34.72,2396092,427,1
31,34.93,34.99,34.255,34.72,3751975,427,1
32,35.09,36.48,35.01,35.88,9470642,427,1
33,35.68,36.86,35.59,36.68,5966116,427,1
34,36.65,36.95,36.26,36.555,4485077,427,1
35,36.86,37.14,36.41,36.72,3534968,427,1
36,36.72,36.72,35.8,36.28,3947274,427,1
37,36.42,37.0,35.95,36.06,5040649,427,1
38,36.13,36.37,35.7701,36.34,2524548,427,1
39,35.88,35.88,35.01,35.51,6002604,427,1
40,35.81,36.25,35.18,35.98,3671110,427,1
41,36.0,37.265,35.95,36.96,5694103,427,1
42,37.18,37.9,37.0,37.68,5652992,427,1
43,36.99,37.04,35.75,36.53,7282087,427,1
44,36.49,36.595,35.84,36.09,3970162,427,1
45,35.79,36.55,34.57,34.8,6120715,427,1
