id_date,open,high,low,close,volume,id_stock,id_index
1,76.36,76.74,76.13,76.24,861724,429,1
2,76.13,76.24,75.8,75.93,979015,429,1
3,76.13,77.87,75.96,77.49,1825631,429,1
4,77.56,77.64,77.05,77.48,1083623,429,1
5,77.17,78.23,76.94,77.81,1460324,429,1
6,77.91,79.06,77.65,78.46,1336027,429,1
7,78.64,79.5,78.64,79.17,1791268,429,1
8,79.05,79.12,77.55,77.63,1477391,429,1
9,76.92,77.458,75.73,76.08,1624287,429,1
10,76.46,77.67,76.34,77.44,1085434,429,1
11,77.93,77.93,75.14,75.14,1387491,429,1
12,75.81,76.49,75.08,76.26,2016422,429,1
13,76.18,78.34,76.18,77.92,1429418,429,1
14,78.03,79.035,77.8,78.7,1485566,429,1
15,78.19,78.23,77.2,77.59,1548382,429,1
16,77.51,77.51,76.12,77.39,1171527,429,1
17,77.85,78.75,77.6,78.34,1120082,429,1
18,78.5,79.33,78.15,78.52,2683824,429,1
19,78.19,78.83,77.96,78.12,804908,429,1
20,78.71,79.52,78.08,78.96,1302912,429,1
21,78.83,79.95,78.65,79.7,1044971,429,1
22,79.75,79.9,79.33,79.78,1032240,429,1
23,79.88,80.6338,79.47,80.17,1443770,429,1
24,80.38,81.22,80.36,81.09,1260328,429,1
25,80.62,81.2,80.051,81.17,1773255,429,1
26,80.23,81.23,79.66,80.55,3004653,429,1
27,80.9,81.42,80.5503,81.29,1465020,429,1
28,81.76,81.98,81.22,81.61,1286022,429,1
29,81.1,81.815,80.932,81.18,891144,429,1
30,81.36,81.75,80.85,81.57,740418,429,1
31,81.87,82.43,80.88,81.48,1376889,429,1
32,81.83,82.11,81.16,81.19,826926,429,1
33,80.7,80.7,79.71,79.74,1842341,429,1
34,79.76,81.05,79.3,80.97,5135666,429,1
35,80.77,81.16,79.74,79.83,1489446,429,1
36,80.32,80.82,79.33,79.58,1058689,429,1
37,79.44,79.855,78.66,79.1,1531031,429,1
38,79.21,79.51,78.07,78.39,1853850,429,1
39,77.38,77.78,76.23,77.56,1854775,429,1
40,77.61,77.94,76.74,77.9,1820034,429,1
41,78.08,78.64,77.37,77.8,1838228,429,1
42,78.0,79.27,77.96,79.18,1559187,429,1
43,79.17,80.14,78.96,79.75,1126985,429,1
44,79.44,79.8675,78.78,79.24,704341,429,1
45,78.71,78.78,76.26,76.26,1422738,429,1
46,77.2,77.27,76.32,77.09,1372806,429,1
47,76.5,76.63,75.61,76.42,972711,429,1
48,76.42,76.98,75.64,75.91,1224717,429,1
49,76.12,76.54,75.895,76.4,1761349,429,1
50,76.5,76.84,75.84,76.61,1182982,429,1
51,77.03,77.57,76.2,77.0,1758413,429,1
52,77.22,78.65,77.2,78.08,1996465,429,1
53,76.71,77.12,75.01,75.93,3955294,429,1
54,75.9,75.97,74.035,74.4,1822894,429,1
55,74.54,74.76,74.09,74.48,977111,429,1
56,74.23,74.83,73.88,74.81,1332850,429,1
57,74.61,75.47,74.232,74.36,1427425,429,1
58,74.72,75.26,74.54,75.19,888667,429,1
59,76.12,77.61,76.12,76.65,863525,429,1
60,76.65,77.16,76.17,77.01,1129822,429,1
61,77.2,79.09,77.17,78.68,1393259,429,1
62,78.68,79.9,78.5,79.79,1990351,429,1
63,79.87,80.185,79.07,79.25,1080371,429,1
64,79.49,79.81,79.02,79.73,824723,429,1
65,79.66,79.88,79.16,79.52,665487,429,1
66,79.62,81.0,79.62,80.99,795258,429,1
67,80.39,81.14,80.1,80.95,705941,429,1
68,80.59,81.3,80.34,80.47,1341606,429,1
69,80.62,81.82,80.62,80.94,1284285,429,1
70,80.87,82.0499,80.77,81.33,619749,429,1
71,81.4,82.3,81.1,81.84,1344279,429,1
72,82.07,83.26,81.0,81.23,1532556,429,1
73,80.42,80.57,78.88,79.66,1712479,429,1
74,79.19,79.29,78.415,78.74,776325,429,1
75,79.44,80.07,79.16,79.87,1609081,429,1
76,79.41,81.3,78.92,80.85,1614230,429,1
77,80.3,81.02,79.74,80.24,962633,429,1
78,80.02,80.5,79.15,79.22,1336656,429,1
79,79.15,79.41,78.06,79.35,1396105,429,1
80,79.35,79.8,78.209,78.64,990457,429,1
81,78.51,78.575,77.01,77.26,1124292,429,1
82,77.45,78.6,77.03,78.43,867978,429,1
83,78.87,79.87,78.85,79.69,627809,429,1
84,79.84,80.01,79.09,79.81,682555,429,1
85,78.89,80.38,78.43,79.54,973548,429,1
86,80.32,80.365,78.52,78.68,687750,429,1
87,78.59,79.68,78.03,79.45,1021856,429,1
88,79.35,80.04,79.09,79.42,501076,429,1
89,80.06,80.57,79.5548,80.04,766018,429,1
90,80.21,81.38,79.8,80.98,941365,429,1
91,80.99,81.04,79.38,79.38,1102842,429,1
92,78.76,78.76,76.94,77.16,1034714,429,1
93,77.52,77.74,75.55,76.0,1736853,429,1
94,75.27,75.9,73.77,75.05,1664865,429,1
95,76.0,76.67,75.9,76.46,832454,429,1
96,77.11,77.4,76.62,76.83,672497,429,1
97,77.53,78.4,77.44,78.12,972965,429,1
98,77.96,78.07,77.09,77.3,1107805,429,1
99,77.91,78.8,77.77,78.35,677771,429,1
100,78.23,78.89,77.51,77.78,916741,429,1
101,77.7075,78.18,77.012,77.91,335044,429,1
102,78.72,79.15,78.18,79.07,475622,429,1
103,79.66,79.81,79.145,79.31,666226,429,1
104,79.87,81.06,79.87,80.58,781318,429,1
105,80.49,80.95,79.53,79.96,984407,429,1
106,81.23,81.75,80.91,81.53,885424,429,1
107,81.34,82.35,81.12,82.3,888386,429,1
108,82.4,82.62,81.97,82.2,893617,429,1
109,82.12,82.4425,81.12,81.51,542290,429,1
110,81.85,81.97,80.83,80.98,713634,429,1
111,81.01,82.14,81.01,81.79,823545,429,1
112,81.87,83.13,81.5,83.12,959865,429,1
113,83.2,83.8,82.99,83.46,1013267,429,1
114,83.59,84.2299,83.26,83.89,1124190,429,1
115,84.07,84.2499,82.23,82.51,1263765,429,1
116,81.94,82.7455,81.26,82.51,1163021,429,1
117,83.75,84.74,83.1,84.02,1845161,429,1
118,83.78,84.37,82.98,84.06,880489,429,1
119,84.09,84.39,83.44,83.81,595639,429,1
120,83.86,85.12,83.65,84.62,930278,429,1
121,85.22,87.13,84.99,86.98,1017409,429,1
122,86.5,87.68,86.11,87.62,960143,429,1
123,87.25,87.85,86.72,86.88,913044,429,1
124,86.75,86.99,85.46,85.7,636625,429,1
125,85.34,85.86,84.79,85.77,865523,429,1
126,85.05,86.38,85.05,85.58,814132,429,1
127,85.59,85.84,84.95,85.6,587473,429,1
128,85.36,88.66,85.24,88.19,2163510,429,1
129,88.3,89.43,87.79,88.81,1575835,429,1
130,89.03,89.5,87.57,87.97,896042,429,1
131,87.0,87.15,86.07,86.92,885586,429,1
132,86.61,87.45,86.4,86.8,589672,429,1
133,86.81,86.91,85.7756,86.18,4573032,429,1
134,86.19,87.11,85.99,86.75,794180,429,1
135,86.69,87.5,86.2,86.45,672705,429,1
136,86.66,87.89,86.66,87.63,569188,429,1
137,87.7,87.97,87.05,87.6,608218,429,1
138,87.42,87.64,86.62,86.8,516853,429,1
139,85.8,85.87,84.35,84.59,782836,429,1
140,84.71,85.33,84.33,85.18,1029153,429,1
141,85.0,86.71,84.78,85.85,2709649,429,1
142,86.17,86.18,85.01,85.26,660084,429,1
143,86.46,87.18,85.61,86.22,736162,429,1
144,85.56,86.57,85.51,86.1,720434,429,1
145,86.02,86.93,85.88,86.66,547863,429,1
146,87.09,88.36,85.9,87.27,695041,429,1
147,87.64,88.54,87.61,88.13,451865,429,1
148,88.75,89.55,88.45,89.42,854360,429,1
149,89.44,89.86,88.981,89.46,934339,429,1
150,89.59,89.8,88.9,89.24,827883,429,1
151,89.49,89.74,88.69,89.26,473741,429,1
