id_date,open,high,low,close,volume,id_stock,id_index
1,23.87,24.31,23.87,23.93,2522548,430,1
2,23.87,24.34,23.73,24.25,2387664,430,1
3,24.14,24.5,24.03,24.2,2991270,430,1
4,24.21,24.5,24.06,24.3,2684874,430,1
5,24.12,25.04,24.1,24.97,4413204,430,1
6,24.95,25.0,24.39,24.5,2876718,430,1
7,24.75,25.1,24.48,24.54,2511078,430,1
8,24.54,24.57,23.57,23.62,3726710,430,1
9,23.4,23.48,20.4,21.16,20353767,430,1
10,21.65,22.34,21.6,21.85,9045861,430,1
11,21.96,22.08,20.9,20.93,7600683,430,1
12,21.1,21.15,20.28,20.44,5795976,430,1
13,20.35,21.46,20.35,21.19,5232052,430,1
14,21.5,21.64,21.2,21.3,3672172,430,1
15,21.08,21.18,20.6,20.7,5449368,430,1
16,20.68,20.825,20.25,20.42,5358110,430,1
17,20.67,20.96,20.36,20.87,6769540,430,1
18,20.9,21.24,20.48,21.16,6465013,430,1
19,21.33,21.51,21.04,21.09,2768163,430,1
20,21.23,21.51,21.05,21.4,2690506,430,1
21,21.3,21.635,21.15,21.44,2944899,430,1
22,21.36,21.66,21.33,21.51,2783107,430,1
23,21.55,22.5599,21.52,22.17,3842885,430,1
24,22.42,22.67,22.16,22.3,2863779,430,1
25,22.24,22.479,21.66,21.74,6061414,430,1
26,21.36,21.745,20.98,21.57,3395351,430,1
27,21.69,21.8493,21.4175,21.635,3211197,430,1
28,21.75,21.93,21.4,21.68,2570426,430,1
29,21.44,21.67,21.13,21.52,2945161,430,1
30,21.58,21.695,21.33,21.49,2560591,430,1
31,21.69,21.81,21.15,21.27,2927920,430,1
32,21.48,21.76,21.16,21.6,2986748,430,1
33,21.54,21.768,21.21,21.64,2706379,430,1
34,21.59,22.06,21.54,22.025,2027561,430,1
35,21.98,22.08,21.15,21.2,2798380,430,1
36,21.33,21.55,20.85,20.97,3668429,430,1
37,21.07,21.119,20.35,20.53,3755423,430,1
38,20.52,21.02,20.44,21.01,2589282,430,1
39,20.58,20.95,20.25,20.91,2291499,430,1
40,20.88,21.29,20.77,21.24,1829990,430,1
41,21.37,21.39,20.83,21.1,1859020,430,1
42,21.23,22.02,21.1,21.84,2975914,430,1
43,21.66,22.5,21.51,22.42,5056348,430,1
44,22.14,22.35,21.92,22.105,3538040,430,1
45,21.99,22.13,21.22,21.25,2470160,430,1
46,21.56,21.7,21.23,21.64,2383562,430,1
47,21.31,21.35,20.49,20.68,4466539,430,1
48,20.84,20.99,20.1,20.15,2475680,430,1
49,20.16,20.32,19.57,20.17,3029646,430,1
50,20.17,20.62,19.57,20.58,3859243,430,1
51,20.8,21.32,20.63,20.8,3587417,430,1
52,21.06,21.6,20.86,21.439,3247783,430,1
53,21.47,22.26,21.45,22.02,5242491,430,1
54,22.03,22.3,21.05,21.42,5431623,430,1
55,21.66,22.35,21.31,22.05,5946344,430,1
56,21.92,22.12,21.69,22.07,3775637,430,1
57,22.17,22.175,21.37,21.57,3914848,430,1
58,21.72,22.03,21.61,21.95,2329561,430,1
59,22.24,22.61,22.12,22.36,3215505,430,1
60,22.49,23.34,22.46,23.04,3587528,430,1
61,23.01,23.0899,22.495,22.68,2992875,430,1
62,22.68,23.08,22.62,23.01,2419057,430,1
63,22.91,23.4,22.8101,23.26,2186752,430,1
64,23.2,23.78,23.2,23.69,3351502,430,1
65,23.68,23.8,23.43,23.56,2688511,430,1
66,23.54,23.78,23.49,23.68,2912509,430,1
67,23.55,23.95,23.5,23.95,2404748,430,1
68,23.77,24.08,23.535,23.6,2614216,430,1
69,23.81,23.91,23.582,23.89,2800449,430,1
70,23.76,23.89,23.55,23.73,1905115,430,1
71,23.73,24.0,23.54,23.68,2089724,430,1
72,23.75,23.89,22.98,23.23,2736590,430,1
73,22.72,23.21,22.335,23.09,3055588,430,1
74,22.92,22.972,22.32,22.64,2757259,430,1
75,23.0,23.16,22.71,22.86,2131116,430,1
76,22.74,22.755,22.41,22.58,2732000,430,1
77,22.94,23.73,22.86,23.64,4906415,430,1
78,23.62,24.58,23.5079,23.86,5957220,430,1
79,24.04,24.15,23.375,23.57,3233320,430,1
80,23.54,24.01,23.275,23.6,3129067,430,1
81,23.44,23.55,22.93,23.13,3629107,430,1
82,23.24,23.29,21.9,22.66,6071285,430,1
83,22.63,22.75,21.84,22.4,3956623,430,1
84,22.46,22.58,22.14,22.17,2170751,430,1
85,21.87,21.97,21.285,21.34,3848331,430,1
86,21.5,21.59,20.615,20.72,3655611,430,1
87,20.94,22.0901,20.87,21.98,4660392,430,1
88,22.3399,22.34,21.73,21.77,1803229,430,1
89,22.0,22.15,21.69,21.83,1371978,430,1
90,21.92,22.46,21.92,22.31,2406557,430,1
91,22.37,22.6,22.2,22.21,3406771,430,1
92,21.88,22.09,21.55,21.62,3954567,430,1
93,21.77,22.0,21.351,21.8,4304660,430,1
94,21.54,21.57,20.95,21.16,5310884,430,1
95,21.44,21.629,21.11,21.4,3050027,430,1
96,21.71,22.06,21.55,21.764,3240883,430,1
97,21.95,22.16,21.45,21.6,2758640,430,1
98,21.42,22.08,21.33,21.89,3457374,430,1
99,22.1,22.27,21.86,21.92,1592608,430,1
100,21.86,22.146,21.46,21.58,2548129,430,1
101,21.61,21.99,21.44,21.81,1438032,430,1
102,22.0,22.01,21.63,21.85,1873414,430,1
103,21.96,22.01,20.95,20.985,3514422,430,1
104,21.15,21.37,20.97,21.35,3146960,430,1
105,21.3,21.75,21.3,21.47,2477958,430,1
106,21.75,21.99,21.6,21.94,2765193,430,1
107,21.94,22.49,21.94,22.19,2752097,430,1
108,22.21,22.4,21.89,21.94,3004922,430,1
109,21.95,22.77,21.95,22.74,3217330,430,1
110,22.85,23.04,22.68,22.82,2318251,430,1
111,22.95,23.065,22.235,22.45,6507433,430,1
112,24.27,24.94,23.85,23.89,15356637,430,1
113,23.89,24.0,23.4,23.93,3929820,430,1
114,24.11,24.37,23.915,24.25,2929799,430,1
115,24.5,24.84,24.32,24.51,6290506,430,1
116,24.4,24.58,24.185,24.41,3180137,430,1
117,24.24,24.27,23.75,23.95,2716756,430,1
118,23.72,24.08,23.55,23.6,2381702,430,1
119,23.63,24.05,23.6,23.77,1863020,430,1
120,23.75,24.25,23.51,24.035,3079041,430,1
121,24.2,24.85,24.13,24.74,3759476,430,1
122,24.52,24.71,24.3,24.61,2271738,430,1
123,24.53,24.78,24.53,24.65,1763225,430,1
124,24.57,24.655,24.11,24.26,1862177,430,1
125,24.02,24.205,23.61,23.63,3407662,430,1
126,23.77,23.91,23.5,23.64,2098330,430,1
127,23.57,24.03,23.57,23.75,2209230,430,1
128,23.75,24.45,23.75,24.25,2380718,430,1
129,24.25,24.82,24.06,24.74,2401119,430,1
130,24.75,24.8,24.46,24.68,3485813,430,1
131,24.36,24.58,24.04,24.41,2473240,430,1
132,24.36,24.73,24.33,24.5,1940756,430,1
133,24.44,24.85,24.43,24.49,2433482,430,1
134,24.55,25.19,24.53,24.85,3274126,430,1
135,24.73,25.015,24.62,24.77,1927711,430,1
136,24.82,25.29,24.78,25.09,1140185,430,1
137,25.36,25.36,24.8012,25.16,1539191,430,1
138,25.13,25.39,24.99,25.21,1499437,430,1
139,25.0,25.03,24.33,24.44,3176258,430,1
140,24.46,25.55,24.44,25.36,3857141,430,1
141,25.41,26.1,25.34,25.92,3247835,430,1
142,26.0,26.0,25.05,25.36,3239674,430,1
143,25.76,26.09,25.01,25.41,3325161,430,1
144,25.56,25.99,25.3755,25.821,2289637,430,1
145,25.87,26.0499,25.36,25.91,1918200,430,1
146,26.0,26.05,25.45,25.72,2942378,430,1
147,25.89,26.18,25.76,25.99,2282199,430,1
148,26.22,26.46,26.02,26.33,2768839,430,1
149,26.2,26.2,25.525,25.58,6116658,430,1
150,25.62,25.75,25.28,25.4,2556978,430,1
151,25.38,25.63,25.12,25.27,1957668,430,1
152,25.59,25.64,25.23,25.31,1879149,430,1
