id_date,open,high,low,close,volume,id_stock,id_index
1,31.52,31.62,31.39,31.61,2429576,434,1
2,31.65,31.82,31.56,31.56,1825140,434,1
3,31.6,31.7,31.37,31.56,2434476,434,1
4,31.65,31.86,31.61,31.78,3108985,434,1
5,31.72,32.1404,31.71,32.03,4527731,434,1
6,32.04,32.25,31.96,32.07,3101977,434,1
7,32.04,32.4,32.04,32.29,3757606,434,1
8,32.33,32.68,32.27,32.53,4392611,434,1
9,32.48,32.79,32.475,32.66,4243826,434,1
10,32.64,32.75,32.58,32.75,3582169,434,1
11,32.8,32.86,31.99,31.99,5202516,434,1
12,32.07,32.11,31.77,31.88,4217015,434,1
13,31.84,32.21,31.8,32.14,3214506,434,1
14,32.16,32.38,32.13,32.16,3161544,434,1
15,32.15,32.48,31.95,32.48,4574816,434,1
16,32.46,33.0,32.39,32.78,3622980,434,1
17,32.83,32.95,32.61,32.84,4037914,434,1
18,32.84,32.87,32.615,32.83,3720623,434,1
19,32.81,32.92,32.53,32.67,2844142,434,1
20,32.8,33.37,32.73,33.27,5493609,434,1
21,33.06,33.73,33.05,33.59,5108943,434,1
22,33.54,33.61,33.245,33.6,3617952,434,1
23,33.6,33.78,33.49,33.76,2645007,434,1
24,33.79,33.85,33.6,33.78,3495208,434,1
25,33.64,33.88,33.55,33.86,4003515,434,1
26,33.66,33.92,33.58,33.78,3470566,434,1
27,33.82,34.52,33.82,34.42,6721129,434,1
28,34.45,34.58,34.34,34.53,3858892,434,1
29,34.45,34.58,34.31,34.44,2615274,434,1
30,34.49,34.92,34.47,34.9,4170262,434,1
31,34.88,35.09,34.74,35.02,4152950,434,1
32,35.16,35.62,34.93,35.0,5777764,434,1
33,34.95,35.085,34.73,35.01,4279521,434,1
34,35.06,35.345,35.03,35.17,3902445,434,1
35,34.95,35.31,34.95,35.24,4260894,434,1
36,35.35,35.4,34.935,35.06,3800189,434,1
37,34.73,34.92,34.5,34.5,3482355,434,1
38,34.43,34.75,34.25,34.37,4131984,434,1
39,34.17,34.53,34.14,34.38,3394499,434,1
40,34.03,34.21,33.55,34.16,5331418,434,1
41,34.26,34.41,34.1,34.33,4294918,434,1
42,34.47,34.77,34.44,34.75,2507373,434,1
43,34.79,34.85,34.535,34.63,3658674,434,1
44,34.57,34.915,34.57,34.62,2774579,434,1
45,34.56,34.67,33.8,33.8,3883530,434,1
46,33.98,34.47,33.86,34.46,2826444,434,1
47,34.38,34.44,34.086,34.23,1842433,434,1
48,34.28,34.43,34.08,34.22,2659129,434,1
49,34.38,34.82,34.265,34.71,3967002,434,1
50,34.72,34.76,34.51,34.73,2566845,434,1
51,34.85,35.01,34.56,35.01,3769520,434,1
52,35.0,35.09,34.65,34.72,2951530,434,1
53,34.75,34.86,34.56,34.86,3390412,434,1
54,34.82,35.05,34.7,34.8,2477681,434,1
55,34.92,35.05,34.71,35.01,2022642,434,1
56,34.91,34.99,34.63,34.86,2714100,434,1
57,34.89,35.09,34.55,34.57,3134672,434,1
58,34.63,35.1,34.59,35.02,3162211,434,1
59,34.85,35.2,34.64,34.66,4926882,434,1
60,34.15,34.71,33.95,34.33,5798237,434,1
61,34.28,34.51,34.17,34.4,3296655,434,1
62,34.42,34.56,34.19,34.44,2463215,434,1
63,34.42,34.52,34.1,34.16,3603296,434,1
64,34.17,34.39,34.1,34.2,2099757,434,1
65,34.22,34.53,34.16,34.26,2291770,434,1
66,34.33,34.84,34.31,34.75,4503065,434,1
67,34.76,35.31,34.76,35.13,3245302,434,1
68,35.0,35.24,34.83,34.89,2228341,434,1
69,34.9,35.16,34.85,35.14,1941392,434,1
70,35.11,35.205,34.79,34.85,1526485,434,1
71,34.77,35.16,34.715,35.08,2747578,434,1
72,35.04,35.38,34.92,35.07,2813825,434,1
73,34.9,35.06,34.36,34.56,6261858,434,1
74,34.43,34.9,34.38,34.82,2588555,434,1
75,35.07,35.32,34.865,34.98,2401703,434,1
76,34.73,34.75,33.97,34.1,4178683,434,1
77,34.07,34.39,34.01,34.1,2787637,434,1
78,34.01,34.22,33.76,33.8,4617091,434,1
79,33.79,34.01,33.07,33.89,4383703,434,1
80,33.83,34.31,33.83,34.18,4069244,434,1
81,34.1,34.22,33.34,33.35,3667675,434,1
82,33.38,33.51,33.14,33.39,4479576,434,1
83,33.56,33.89,33.53,33.76,3953825,434,1
84,33.85,34.23,33.7,34.08,3933832,434,1
85,33.89,34.315,33.89,34.13,3756016,434,1
86,34.27,34.45,34.14,34.16,2667164,434,1
87,34.29,34.6,34.06,34.55,3116681,434,1
88,34.49,34.8,34.28,34.47,1892744,434,1
89,34.6,34.84,34.54,34.69,2507223,434,1
90,34.68,34.74,34.43,34.74,2170116,434,1
91,34.77,34.79,34.13,34.15,2393618,434,1
92,34.0,34.05,33.35,33.4,3820936,434,1
93,33.62,33.89,33.4,33.68,5855767,434,1
94,33.49,33.97,33.36,33.66,2488469,434,1
95,33.86,34.0,33.65,33.88,2026190,434,1
96,34.03,34.2851,34.01,34.1,2202112,434,1
97,34.26,34.59,34.21,34.29,1563387,434,1
98,34.28,34.48,34.15,34.16,2984070,434,1
99,34.23,34.49,34.18,34.32,2919032,434,1
100,33.93,34.31,33.8,34.03,2571923,434,1
101,33.96,34.03,33.75,33.75,1362542,434,1
102,33.95,34.06,33.59,33.94,1434079,434,1
103,34.21,34.71,34.17,34.68,2433550,434,1
104,34.79,35.2966,34.7,35.02,2664201,434,1
105,34.95,35.15,34.71,34.95,2310480,434,1
106,35.25,35.49,35.23,35.45,1964119,434,1
107,35.36,35.61,35.29,35.6,2006799,434,1
108,35.55,35.83,35.44,35.68,1809524,434,1
109,35.65,35.89,35.54,35.57,2186995,434,1
110,35.6,35.705,35.39,35.45,2102349,434,1
111,35.42,35.88,35.35,35.86,1613504,434,1
112,35.91,36.04,35.7,36.03,2170514,434,1
113,35.96,36.05,35.69,35.74,1678155,434,1
114,35.79,36.0,35.45,35.51,3571343,434,1
115,35.54,35.6,34.34,34.43,5624728,434,1
116,34.33,34.59,34.225,34.54,4071368,434,1
117,34.44,34.79,34.12,34.77,4395528,434,1
118,34.76,35.07,34.58,34.98,2492304,434,1
119,35.32,35.47,34.639,34.7,3320930,434,1
120,34.77,34.77,34.405,34.51,3341366,434,1
121,34.7,34.91,34.53,34.79,3106428,434,1
122,34.86,34.99,34.55,34.98,2334538,434,1
123,34.88,35.17,34.69,35.01,2526957,434,1
124,35.09,35.25,34.92,35.06,3559704,434,1
125,34.95,35.5,34.81,34.85,1850764,434,1
126,34.98,35.04,34.64,34.86,4888962,434,1
127,34.85,35.145,34.58,35.01,4379823,434,1
128,34.48,34.48,32.76,32.99,14260019,434,1
129,33.06,33.24,32.78,33.11,4748647,434,1
130,33.02,33.155,32.89,33.03,3095475,434,1
131,32.77,32.84,32.27,32.48,4869300,434,1
132,32.36,32.67,32.2,32.45,3443212,434,1
133,32.37,32.66,32.37,32.5,2671815,434,1
134,32.49,32.74,32.42,32.43,2980050,434,1
135,32.41,32.45,31.95,31.98,3189841,434,1
136,32.03,32.38,31.76,32.28,3369836,434,1
137,32.3,32.35,32.08,32.25,2897835,434,1
138,32.3,32.3,31.81,31.89,2438595,434,1
139,31.69,31.92,31.5,31.74,2717429,434,1
140,31.67,31.73,31.37,31.47,3788952,434,1
141,31.47,32.1,31.41,31.95,4019367,434,1
142,32.11,32.17,31.92,32.02,4155668,434,1
143,32.26,32.31,32.02,32.18,4150043,434,1
144,32.21,32.28,32.08,32.14,3772276,434,1
145,32.09,32.23,31.96,32.1,2912668,434,1
146,32.21,32.24,31.89,32.04,3303166,434,1
147,32.11,32.24,32.0337,32.22,2425181,434,1
148,32.34,32.55,32.1,32.23,2923162,434,1
149,32.26,32.55,32.23,32.51,2996875,434,1
150,32.51,32.715,32.48,32.64,3604589,434,1
151,32.7,32.95,32.55,32.88,2535404,434,1
152,33.07,33.29,32.94,33.01,3166068,434,1
153,33.0,33.23,32.95,33.17,2399915,434,1
154,33.16,33.44,32.93,33.39,2763527,434,1
155,33.26,33.28,32.595,32.83,5983150,434,1
156,32.77,32.82,32.36,32.57,17665248,434,1
157,32.5,32.6399,32.25,32.31,10983580,434,1
158,32.3,32.59,32.24,32.4,10655856,434,1
159,32.37,32.59,31.96,32.01,3983597,434,1
160,32.06,32.35,32.0,32.12,2583239,434,1
161,32.0,32.12,31.89,32.03,1947240,434,1
162,31.84,32.08,31.77,31.83,3570785,434,1
163,31.78,32.14,31.73,31.89,4363477,434,1
164,31.6,31.7,31.16,31.67,3706716,434,1
165,31.64,31.682,31.315,31.56,3750977,434,1
166,31.49,31.79,31.45,31.72,2191801,434,1
167,31.62,31.76,31.51,31.63,2559501,434,1
168,31.77,31.77,31.13,31.16,2751904,434,1
169,31.17,31.795,31.13,31.65,3854795,434,1
170,31.91,32.425,31.85,32.29,4437680,434,1
171,32.12,32.22,31.96,32.22,2480440,434,1
172,32.06,32.1999,31.955,32.11,2518412,434,1
173,32.1,32.15,31.8216,31.86,2495059,434,1
174,32.02,32.25,31.96,32.09,2808063,434,1
175,32.03,32.215,32.02,32.1,4623592,434,1
176,32.27,32.33,32.04,32.07,7347113,434,1
177,32.14,32.25,31.9,32.19,2633383,434,1
178,32.3,32.885,32.21,32.63,4542407,434,1
179,32.61,32.81,32.47,32.55,2382525,434,1
180,32.73,32.89,32.6,32.83,2187905,434,1
181,32.8,32.99,32.68,32.99,1816443,434,1
182,32.93,33.53,32.93,33.23,3571595,434,1
183,33.23,33.23,32.77,32.84,3829076,434,1
184,32.8,32.83,32.46,32.49,5489895,434,1
185,32.58,32.62,32.34,32.34,3756638,434,1
186,32.34,32.6,32.11,32.56,6858744,434,1
187,34.05,34.74,33.72,33.96,8506641,434,1
188,33.93,33.94,33.31,33.31,4506099,434,1
189,33.39,33.67,33.3,33.66,2511391,434,1
190,33.6,33.72,33.07,33.14,4012086,434,1
191,33.12,33.14,32.8,33.13,2955618,434,1
192,32.86,33.25,32.85,33.09,1679001,434,1
193,33.05,33.15,32.97,33.15,1914665,434,1
194,32.89,33.41,32.84,33.4,2265796,434,1
195,33.4,33.65,33.34,33.57,1758776,434,1
196,33.5,33.8,33.45,33.7,2412313,434,1
197,33.77,33.838,33.56,33.63,3163276,434,1
198,33.63,33.76,33.44,33.6,2194523,434,1
199,33.56,33.64,33.22,33.33,2017856,434,1
200,33.37,33.655,33.37,33.51,1529134,434,1
201,33.56,34.06,33.55,33.93,2238656,434,1
202,34.03,34.07,33.75,33.78,2102356,434,1
203,33.71,34.39,33.71,34.16,5634645,434,1
204,34.11,34.19,33.75,33.81,2469935,434,1
205,33.79,34.11,33.6,33.63,1625202,434,1
206,33.57,33.65,33.2974,33.64,3325782,434,1
207,33.51,33.78,33.48,33.69,3979649,434,1
208,33.58,33.76,33.34,33.63,2173154,434,1
209,33.53,33.75,33.4103,33.57,2818860,434,1
210,33.79,34.31,33.79,34.31,3388795,434,1
