id_date,open,high,low,close,volume,id_stock,id_index
1,40.09,40.61,40.07,40.52,1146224,438,1
2,40.49,40.56,40.27,40.44,1056745,438,1
3,40.44,40.69,40.37,40.49,876110,438,1
4,40.58,40.99,40.54,40.92,1426745,438,1
5,40.62,41.09,40.46,41.08,2091112,438,1
6,41.08,41.29,40.75,41.03,1533139,438,1
7,41.0,41.45,40.94,41.3,1284082,438,1
8,41.21,41.395,40.94,40.96,1529626,438,1
9,40.76,40.78,40.29,40.48,2257420,438,1
10,40.68,41.25,40.36,41.01,2214739,438,1
11,41.15,41.17,39.69,39.69,2207382,438,1
12,40.0,40.08,39.34,39.8,2438297,438,1
13,39.62,40.21,39.4501,40.0,1689118,438,1
14,39.98,40.32,39.8,40.13,1769936,438,1
15,39.96,40.44,39.56,40.23,1333410,438,1
16,40.14,40.51,39.98,40.45,1359369,438,1
17,40.67,41.09,40.67,40.83,1372337,438,1
18,40.99,41.54,40.86,41.44,1377934,438,1
19,41.57,41.71,41.41,41.49,1361761,438,1
20,41.67,42.25,41.51,42.22,1510963,438,1
21,42.08,42.195,41.88,42.05,1404806,438,1
22,42.05,42.225,41.67,42.09,1688812,438,1
23,42.14,42.21,41.85,41.92,1462976,438,1
24,42.01,42.6,42.01,42.54,1480823,438,1
25,42.28,42.42,41.56,41.83,2457215,438,1
26,41.35,41.99,41.25,41.63,1079742,438,1
27,41.77,41.84,41.26,41.65,1332816,438,1
28,42.0,42.16,41.72,42.11,1258441,438,1
29,41.7,41.96,41.37,41.56,1545592,438,1
30,41.76,41.87,41.54,41.82,1179104,438,1
31,41.96,42.27,41.275,41.54,1429747,438,1
32,41.69,41.87,41.6,41.68,1262801,438,1
33,41.47,41.78,41.31,41.61,1871125,438,1
34,41.69,41.99,41.57,41.93,1747620,438,1
35,41.94,41.99,41.4,41.6,1096914,438,1
36,41.81,41.95,41.26,41.46,1391849,438,1
37,41.6,41.99,41.22,41.33,1619090,438,1
38,41.54,41.89,41.17,41.41,1465917,438,1
39,40.86,41.24,40.58,41.14,1699371,438,1
40,41.09,41.29,41.07,41.27,1299819,438,1
41,41.35,41.53,41.19,41.41,974680,438,1
42,41.15,41.94,40.89,41.76,2126972,438,1
43,41.68,42.21,41.58,42.02,1752649,438,1
44,41.91,41.99,41.42,41.61,1751353,438,1
45,41.48,41.5,40.34,40.34,1684055,438,1
46,40.64,41.4,40.52,41.37,1423556,438,1
47,40.9,40.99,39.45,39.73,2452118,438,1
48,39.79,39.89,38.79,39.11,2430952,438,1
