id_date,open,high,low,close,volume,id_stock,id_index
1,73.92,74.625,73.87,74.59,1527375,443,1
2,74.57,74.8,73.83,74.75,1805797,443,1
3,74.74,74.955,74.18,74.58,1323475,443,1
4,74.79,75.35,74.6401,75.1,1537178,443,1
5,74.82,75.03,74.48,74.88,2027388,443,1
6,74.84,74.85,73.99,74.43,2073860,443,1
7,74.34,75.045,74.22,75.0,1477326,443,1
8,73.95,74.34,72.59,72.64,3544090,443,1
9,72.5,72.61,71.72,72.09,2770327,443,1
10,72.37,72.98,72.07,72.95,1369802,443,1
11,73.3,73.49,71.6,71.6,1444377,443,1
12,72.36,73.545,72.17,73.24,2766435,443,1
13,72.87,74.5,72.71,74.25,1425896,443,1
14,74.42,74.89,73.77,73.8,2172655,443,1
15,73.28,74.86,72.87,74.78,1818776,443,1
16,74.3,75.34,74.1701,75.33,1402986,443,1
17,75.62,76.5,75.4,76.43,1940997,443,1
18,76.69,76.81,76.39,76.67,1402093,443,1
19,76.93,76.945,76.16,76.49,1299591,443,1
20,76.86,77.11,76.3407,77.04,1296490,443,1
21,76.94,77.22,76.57,77.22,1099994,443,1
22,77.08,77.85,76.95,77.7,1632490,443,1
23,77.51,77.74,75.79,77.62,1109574,443,1
24,77.71,77.75,77.32,77.35,1739358,443,1
25,76.77,77.425,76.37,77.15,2183434,443,1
26,76.35,77.15,76.08,76.8,1615487,443,1
27,77.2,77.65,76.82,77.41,2107072,443,1
28,78.03,78.04,77.36,77.57,2058807,443,1
29,77.15,77.33,75.76,76.63,3464125,443,1
30,77.3,77.3,75.71,75.96,2450861,443,1
31,76.05,76.35,74.58,74.69,3293765,443,1
32,74.88,75.431,74.66,74.9,3314482,443,1
33,74.66,75.31,73.81,75.17,2388663,443,1
34,75.22,76.61,75.0004,76.49,1758118,443,1
35,76.3,76.35,75.27,75.53,1589330,443,1
36,75.43,78.65,75.35,78.56,5014019,443,1
37,78.47,79.25,77.78,78.1,4275552,443,1
38,77.67,78.71,77.67,77.92,1888783,443,1
39,76.01,77.3,75.45,77.16,2675164,443,1
40,77.26,78.345,76.97,78.34,1816386,443,1
41,78.72,78.83,78.09,78.38,1722557,443,1
42,79.17,81.54,79.17,81.34,4439779,443,1
43,81.72,81.96,79.86,79.91,4971370,443,1
44,79.7,80.29,79.5,79.59,2326877,443,1
45,84.28,84.55,77.81,78.58,14442477,443,1
46,79.52,81.99,79.36,81.82,8360267,443,1
47,81.6,81.97,80.6,81.5,3789821,443,1
48,81.41,81.63,79.67,80.08,2782269,443,1
49,80.55,80.55,79.61,80.03,3000760,443,1
50,80.06,80.27,79.37,79.95,1978647,443,1
51,80.24,81.41,80.04,80.64,2568508,443,1
52,81.39,82.1,80.9,81.2,4223284,443,1
53,81.3,81.39,79.99,80.12,2500563,443,1
54,79.7,81.31,79.56,81.13,2812664,443,1
55,81.24,81.25,80.58,80.76,1270491,443,1
56,80.51,81.0,80.21,80.68,2409501,443,1
57,80.44,80.77,80.27,80.72,1670135,443,1
58,81.12,81.73,80.74,81.6,1561600,443,1
59,82.1,82.59,81.91,82.17,1686922,443,1
60,82.16,83.0,81.92,82.44,2088248,443,1
61,82.44,83.95,82.02,83.91,2809167,443,1
62,83.93,84.13,83.2,84.11,1780378,443,1
63,84.16,84.2023,83.22,83.48,1135504,443,1
64,84.01,84.5,83.26,84.46,2477478,443,1
65,84.11,84.56,83.83,84.39,1574275,443,1
66,84.22,84.83,84.15,84.71,1387742,443,1
67,84.64,86.19,84.25,86.01,2579943,443,1
68,85.57,86.3,85.4,85.5,2646818,443,1
69,85.73,86.42,85.4201,86.27,1749250,443,1
70,86.7,87.15,86.4,86.78,1795557,443,1
71,86.94,87.75,86.9,87.35,1840586,443,1
72,87.41,88.08,85.79,86.28,2421921,443,1
73,85.72,86.03,84.98,85.69,2197549,443,1
74,85.12,87.25,84.52,87.22,2156355,443,1
75,87.89,88.92,87.72,88.28,2336703,443,1
76,87.61,87.97,86.852,87.36,1821713,443,1
77,87.53,89.1,87.41,88.76,1846663,443,1
78,88.65,89.5,88.145,88.3,2923531,443,1
79,88.82,89.0,87.67,88.51,1734512,443,1
80,88.37,88.99,88.11,88.27,2113822,443,1
81,88.09,88.38,86.16,86.2,2457217,443,1
82,85.66,87.17,85.04,86.95,3828742,443,1
83,84.91,85.55,84.5,84.58,15530900,443,1
84,84.95,86.01,84.75,85.8,3948088,443,1
85,85.07,85.93,84.5,85.42,2417588,443,1
86,85.97,86.0,84.24,84.35,2092391,443,1
87,84.99,85.55,83.37,85.35,2426452,443,1
88,85.16,86.09,84.77,85.12,1929263,443,1
89,85.59,86.15,85.2,85.55,2175446,443,1
90,85.79,86.38,85.49,86.18,2176425,443,1
91,86.07,86.27,84.69,84.69,2029344,443,1
92,83.73,83.74,81.18,81.66,3702732,443,1
93,82.28,83.52,82.01,83.09,3580996,443,1
94,82.26,83.0,81.04,82.24,2439610,443,1
95,82.91,83.38,82.48,83.13,1771227,443,1
96,83.77,84.21,83.01,83.4,1960296,443,1
97,84.09,85.76,84.0,85.37,3209583,443,1
98,84.99,85.46,84.62,84.63,2610211,443,1
99,85.03,87.49,84.94,86.35,2551241,443,1
100,86.08,86.33,84.9001,84.99,2184608,443,1
101,84.58,85.37,84.41,84.95,1017999,443,1
102,85.51,85.58,84.84,85.42,1167241,443,1
103,86.01,86.63,85.65,85.94,1089456,443,1
104,86.85,87.39,86.25,87.27,2015802,443,1
105,87.08,88.07,87.0,88.04,1754970,443,1
106,88.83,89.2,88.21,88.42,1739485,443,1
107,88.53,88.81,87.89,88.19,1549811,443,1
108,88.38,88.63,87.805,88.24,1394770,443,1
109,88.34,88.43,86.915,87.56,1511415,443,1
110,87.81,87.99,87.17,87.79,1572141,443,1
111,87.85,88.99,87.84,88.96,1763094,443,1
112,89.15,89.63,88.71,89.58,1773004,443,1
113,89.42,90.355,89.35,90.33,1153876,443,1
114,89.34,90.32,89.24,89.52,1617088,443,1
115,90.5,92.29,90.4,90.61,3072269,443,1
116,90.37,91.39,89.79,91.25,1634721,443,1
117,90.96,91.16,89.77,90.59,1787559,443,1
118,90.35,90.89,90.11,90.4,1809599,443,1
119,90.75,90.9699,90.33,90.48,1931853,443,1
120,90.61,91.87,90.47,91.11,1777620,443,1
121,92.32,92.72,91.79,92.02,1468474,443,1
122,91.65,92.0,91.53,91.81,1191798,443,1
123,91.58,92.3,91.54,92.05,1475499,443,1
124,92.0,92.27,91.62,92.08,1318850,443,1
125,92.01,92.08,91.43,91.68,1430187,443,1
126,92.23,92.4,91.71,91.96,1250019,443,1
127,91.76,92.55,91.76,92.47,1069546,443,1
128,92.06,92.38,91.6,92.18,884235,443,1
129,92.18,92.67,91.611,92.65,871545,443,1
130,92.56,92.67,91.9,92.06,1097755,443,1
131,91.3,91.75,90.96,91.3,1335590,443,1
132,91.02,91.1738,90.36,90.69,1246753,443,1
133,90.57,91.169,90.31,90.42,976968,443,1
134,90.44,90.68,90.05,90.32,1030995,443,1
135,90.25,90.73,89.54,90.07,1732710,443,1
136,90.09,90.65,90.0,90.35,1287412,443,1
137,90.56,91.05,89.95,90.85,1220563,443,1
138,91.0,91.59,90.36,90.36,1130654,443,1
139,89.39,89.39,88.53,88.83,1892032,443,1
140,88.82,89.18,88.13,88.9,1017190,443,1
141,88.63,89.81,88.44,89.17,856070,443,1
142,89.23,89.28,88.54,88.83,964505,443,1
143,89.97,90.5,89.405,90.12,1556855,443,1
144,90.04,90.93,89.76,90.85,1265698,443,1
145,90.86,90.955,90.27,90.68,858913,443,1
146,90.88,91.19,89.71,90.51,1079187,443,1
147,90.77,91.5,90.7201,91.11,1130845,443,1
148,91.47,91.8,90.59,90.77,2844002,443,1
149,90.78,91.0,90.09,90.8,2226754,443,1
150,90.48,91.33,90.37,91.07,2152225,443,1
151,91.05,91.34,90.52,91.11,1434963,443,1
152,92.01,92.33,91.37,91.77,1351246,443,1
153,91.74,93.31,91.7,93.29,2286499,443,1
154,93.28,94.32,92.25,94.25,1600352,443,1
155,94.5,94.65,93.9,94.24,2183895,443,1
156,94.43,94.74,93.46,93.49,2096423,443,1
157,93.2,93.76,92.9,93.32,1013535,443,1
158,93.37,93.46,92.46,92.82,1262287,443,1
159,92.92,92.92,91.94,92.37,1183517,443,1
160,92.46,93.25,92.34,93.01,1051218,443,1
161,92.63,93.31,92.29,93.01,1124156,443,1
162,92.22,92.67,92.0,92.15,1269952,443,1
163,92.21,93.29,92.03,92.85,1059816,443,1
164,92.09,92.51,91.5101,92.5,1425737,443,1
165,92.23,92.26,90.61,91.34,1353361,443,1
166,91.52,92.88,91.33,92.36,1278957,443,1
167,91.96,92.33,91.51,91.72,1138652,443,1
168,91.75,91.75,90.62,90.68,1491061,443,1
169,90.78,90.87,89.71,89.93,2025907,443,1
170,90.52,92.38,90.37,92.27,1593952,443,1
171,92.1,93.08,91.73,92.96,1394759,443,1
172,92.29,92.75,91.26,92.66,1784393,443,1
173,92.42,92.78,91.64,91.84,1506325,443,1
174,92.16,93.81,92.02,93.51,2242991,443,1
175,93.15,96.07,92.89,95.62,2110400,443,1
176,96.16,96.79,95.6,96.12,1582441,443,1
177,96.1,96.67,95.17,95.25,1789803,443,1
178,95.32,96.65,95.08,95.82,2756790,443,1
179,97.52,97.93,95.2301,97.48,2098700,443,1
180,97.78,98.36,96.9,97.03,1732709,443,1
181,97.03,97.82,96.8,97.81,1216786,443,1
182,97.77,98.03,97.48,97.87,907472,443,1
183,97.83,98.45,97.48,98.42,1138953,443,1
184,98.5,98.5182,96.91,97.49,1050709,443,1
185,97.62,98.315,96.31,97.78,2225043,443,1
186,98.18,98.494,97.64,97.93,1731183,443,1
187,98.29,98.29,97.5,98.05,1219548,443,1
188,97.55,97.75,96.83,97.09,1406424,443,1
189,97.25,98.41,97.17,97.57,1164338,443,1
190,97.76,98.01,96.09,96.16,1142043,443,1
191,95.98,98.23,95.52,98.17,1357206,443,1
192,98.27,98.45,97.79,98.41,1024682,443,1
193,98.09,98.45,97.28,97.69,1096503,443,1
194,97.29,98.85,96.88,98.81,2310823,443,1
195,98.81,100.21,98.42,100.21,1719843,443,1
196,100.01,101.52,100.01,101.37,1720511,443,1
197,101.39,101.5,100.45,100.77,861085,443,1
198,100.41,101.04,99.94,100.51,1059601,443,1
199,100.5,101.59,100.47,101.07,1060033,443,1
200,103.12,103.12,101.3321,101.82,1317125,443,1
201,101.88,102.2,101.45,101.51,1421253,443,1
202,101.81,102.58,101.5,101.99,1208983,443,1
203,102.22,102.53,101.43,101.45,1467016,443,1
204,101.52,101.67,100.62,101.0,1579646,443,1
