id_date,open,high,low,close,volume,id_stock,id_index
1,79.12,79.12,78.43,78.86,2421965,447,1
2,78.75,79.32,78.53,79.21,1648772,447,1
3,79.1,80.18,79.1,79.9,1747449,447,1
4,79.9,80.305,79.81,79.99,1457551,447,1
5,79.64,80.47,79.53,80.34,1810517,447,1
6,80.76,80.85,79.95,80.39,2257660,447,1
7,80.5,81.07,80.27,80.6,2199761,447,1
8,80.66,80.9565,80.07,80.11,2046878,447,1
9,80.08,80.4,79.92,80.38,2421156,447,1
10,80.68,81.15,80.58,81.01,1773791,447,1
11,80.99,81.0,79.25,79.25,2492120,447,1
12,79.42,80.105,79.28,80.04,2062214,447,1
13,80.11,80.84,79.87,80.78,1386530,447,1
14,80.61,81.25,80.33,80.42,2157826,447,1
15,80.16,80.72,79.35,80.69,1843944,447,1
16,80.65,80.65,79.99,80.52,1501554,447,1
17,80.79,82.0,80.5625,81.46,2067107,447,1
18,81.61,81.88,80.9,81.07,1278280,447,1
19,81.11,81.44,80.9001,81.2,1143057,447,1
20,81.68,82.05,81.24,81.65,1398161,447,1
21,81.58,81.7999,81.18,81.75,1311963,447,1
22,81.56,81.94,81.47,81.74,1237228,447,1
23,81.77,82.27,81.72,82.12,1424505,447,1
24,82.24,82.89,81.98,82.36,2086895,447,1
25,82.64,83.15,81.96,82.28,4756605,447,1
26,81.86,83.11,81.86,82.53,1996170,447,1
27,82.74,83.41,82.66,83.19,2002539,447,1
28,83.6,84.1,83.37,83.84,1928514,447,1
29,83.53,84.09,83.4,83.75,1834692,447,1
30,84.37,84.37,83.42,83.69,2362326,447,1
31,84.03,84.11,82.94,83.37,2229699,447,1
32,83.64,84.06,83.19,83.36,2034840,447,1
33,83.1,83.59,82.57,83.37,2005754,447,1
34,83.43,84.28,83.43,84.19,1311812,447,1
35,84.37,84.72,83.75,83.95,1306830,447,1
36,84.1,84.62,84.1,84.41,1199410,447,1
37,84.64,84.72,83.67,83.72,1674872,447,1
38,83.92,84.61,83.85,84.34,1366872,447,1
39,83.78,84.48,83.34,84.41,1911811,447,1
40,84.38,84.79,83.98,84.73,1121065,447,1
41,84.97,85.6,84.65,85.27,1391562,447,1
42,85.29,85.61,84.64,84.81,1626322,447,1
43,84.99,86.13,84.99,86.06,2246677,447,1
44,85.91,86.41,85.61,86.26,1181349,447,1
45,86.2,86.61,84.7056,84.71,2303606,447,1
46,85.08,86.6,84.75,86.55,2238075,447,1
47,86.06,86.15,84.8,85.07,2145754,447,1
48,85.43,85.7,83.73,84.1,1909240,447,1
49,84.33,84.94,84.24,84.81,2155175,447,1
50,84.8,85.03,83.95,84.58,2775315,447,1
51,87.41,89.0,85.76,86.35,3445663,447,1
52,86.36,86.64,85.57,85.86,2033592,447,1
53,85.95,86.0,85.065,85.27,2137633,447,1
54,85.22,85.85,85.13,85.15,1652112,447,1
55,85.2,85.6,84.75,85.48,2125043,447,1
56,85.26,85.64,85.04,85.41,1674380,447,1
57,85.46,85.49,83.98,84.1,1821603,447,1
58,84.11,84.51,84.0,84.42,1347808,447,1
59,85.05,85.71,85.03,85.41,1653925,447,1
60,85.37,85.56,84.91,85.31,1559310,447,1
61,86.22,86.23,85.51,86.02,1181484,447,1
62,86.12,87.29,86.02,87.28,2590246,447,1
63,87.28,87.4,86.23,86.46,1651766,447,1
64,86.56,86.6875,86.0,86.49,1134373,447,1
65,86.31,86.84,86.19,86.5,884598,447,1
66,86.6,87.9,86.5,87.9,1636190,447,1
67,87.65,87.91,87.028,87.78,1688234,447,1
68,87.59,87.69,86.623,86.87,1674741,447,1
69,87.1,87.35,86.05,86.5,2203694,447,1
