id_date,open,high,low,close,volume,id_stock,id_index
1,51.5,52.02,51.47,52.02,1010132,448,1
2,51.77,51.97,51.3794,51.6,656296,448,1
3,51.705,51.82,51.215,51.48,798632,448,1
4,51.325,51.6,51.163,51.55,741058,448,1
5,51.68,52.375,51.265,51.875,1194826,448,1
6,51.995,52.685,51.405,51.885,1650746,448,1
7,51.955,52.444,51.28,51.72,1270556,448,1
8,51.255,51.7199,50.77,50.78,1501392,448,1
9,50.54,51.04,50.35,50.445,1369264,448,1
10,50.5,50.83,50.3,50.625,904110,448,1
11,50.93,51.3785,50.5975,50.645,1632518,448,1
12,51.255,51.615,50.755,51.26,1095082,448,1
13,51.265,51.99,51.185,51.63,473486,448,1
14,51.54,52.45,51.54,51.995,1024822,448,1
15,51.92,52.345,51.29,51.545,1812658,448,1
16,51.605,51.875,51.29,51.84,1843596,448,1
17,52.115,52.348,51.83,52.145,1378584,448,1
18,52.38,52.645,51.933,52.115,1982530,448,1
19,51.925,52.095,50.875,51.91,1841106,448,1
20,52.0,52.47,51.575,52.35,1335262,448,1
21,52.3,52.5,51.902,52.025,769938,448,1
22,52.025,52.025,51.34,51.46,1017790,448,1
23,51.295,52.11,51.295,51.395,931354,448,1
24,51.535,51.55,51.115,51.245,840856,448,1
25,50.98,51.2075,50.45,50.505,7026770,448,1
26,50.11,50.855,49.82,50.62,1129592,448,1
27,50.74,50.805,50.016,50.295,980810,448,1
28,50.545,51.255,50.25,51.17,1130706,448,1
29,50.765,51.21,50.5859,50.94,678912,448,1
30,51.16,51.266,50.855,51.055,658280,448,1
31,51.305,51.375,50.46,50.735,624262,448,1
32,50.915,51.005,50.56,50.955,995016,448,1
33,50.67,51.58,50.58,51.575,696200,448,1
34,51.34,52.15,51.34,52.065,768554,448,1
35,52.0,52.0,51.1551,51.39,848028,448,1
36,51.505,51.54,51.025,51.305,615132,448,1
37,51.225,51.315,50.17,50.84,832388,448,1
38,50.89,51.84,50.73,51.79,899342,448,1
39,51.19,53.135,50.485,53.015,1472204,448,1
40,52.885,54.375,52.885,54.325,2713734,448,1
41,54.365,54.545,53.2,54.215,1450742,448,1
42,54.445,54.895,54.0001,54.33,1474452,448,1
43,54.445,54.7349,53.855,54.36,1491662,448,1
44,54.125,54.5,53.16,53.68,996500,448,1
45,53.36,53.89,52.055,52.405,1038732,448,1
46,52.89,52.985,52.14,52.865,794552,448,1
47,52.45,52.92,51.82,52.81,1014468,448,1
48,52.71,53.34,51.785,53.105,1477852,448,1
49,53.155,54.08,53.12,54.03,986194,448,1
50,54.125,55.28,54.035,54.795,1780268,448,1
51,54.135,56.5,54.135,55.64,2137334,448,1
52,55.77,56.2925,55.32,56.025,1685982,448,1
53,54.94,56.61,53.505,55.42,4964558,448,1
54,55.53,55.64,54.12,54.25,1407424,448,1
55,54.495,54.51,53.53,53.82,1269178,448,1
56,53.835,53.965,53.05,53.585,2077666,448,1
57,53.31,53.94,52.57,52.665,886624,448,1
58,53.67,54.5,53.22,54.205,1001812,448,1
59,55.2,55.565,54.855,55.37,1330032,448,1
60,55.565,56.095,55.5,55.94,829614,448,1
61,56.16,56.595,55.695,56.585,904690,448,1
62,56.475,56.6,55.53,55.645,754448,448,1
63,55.735,55.945,55.295,55.755,589088,448,1
64,55.71,56.915,55.4851,56.88,918852,448,1
65,56.55,57.075,56.22,57.01,783356,448,1
66,56.955,57.5335,56.895,57.325,785716,448,1
67,57.1,57.5725,57.05,57.47,1002406,448,1
68,57.205,57.98,56.135,56.465,1091242,448,1
69,56.75,56.945,55.928,56.3,544992,448,1
70,56.29,56.565,56.0,56.115,583130,448,1
71,56.315,57.275,56.225,57.18,878828,448,1
72,57.145,57.595,55.1,55.615,1156910,448,1
73,55.265,55.62,54.75,55.6,864038,448,1
74,55.37,55.8,55.085,55.6,467474,448,1
75,56.105,57.02,55.95,55.975,824990,448,1
76,55.59,56.395,55.395,55.815,634896,448,1
77,55.87,56.975,55.87,56.615,821546,448,1
78,56.455,57.23,55.97,55.99,906816,448,1
79,55.83,56.485,54.425,55.1,1212834,448,1
80,55.005,55.35,53.315,54.31,1032172,448,1
81,54.265,55.24,54.075,54.995,1117514,448,1
82,54.865,56.07,54.63,56.065,594196,448,1
83,56.57,57.3125,56.02,56.76,736876,448,1
84,56.93,57.295,56.34,56.88,535986,448,1
85,56.215,57.535,56.185,57.18,927700,448,1
86,57.535,57.625,56.285,56.345,1005614,448,1
87,56.25,57.32,56.005,57.25,447294,448,1
88,57.305,57.445,56.995,57.34,1135908,448,1
89,57.54,57.95,57.245,57.765,543226,448,1
90,57.91,58.875,57.77,58.805,756206,448,1
91,58.74,58.975,57.975,58.005,805336,448,1
92,57.27,57.82,56.15,56.27,1076672,448,1
93,56.335,56.8749,54.225,55.105,2570648,448,1
94,54.81,56.34,54.12,55.595,1551622,448,1
95,55.955,56.62,55.495,55.985,656938,448,1
96,57.095,57.095,55.62,56.44,552020,448,1
97,57.155,58.525,57.04,58.245,1472920,448,1
98,58.09,59.115,57.91,58.774,2004570,448,1
99,59.375,59.389,57.9,58.19,1391216,448,1
100,57.45,58.655,57.0,57.95,938578,448,1
101,57.79,58.39,57.56,58.145,404286,448,1
102,59.03,59.43,58.0,59.405,582100,448,1
103,59.71,60.25,59.17,59.57,747318,448,1
104,59.855,60.2199,59.575,60.081,585014,448,1
105,60.28,61.1,60.25,61.085,709342,448,1
106,61.5,61.88,61.166,61.45,920102,448,1
107,61.275,61.595,60.9175,61.505,501656,448,1
108,61.81,62.225,61.135,61.285,699366,448,1
109,61.46,61.655,60.015,60.34,871318,448,1
110,60.315,60.472,58.94,59.55,1595774,448,1
111,59.82,60.735,59.82,60.375,1234800,448,1
112,60.565,61.37,60.125,61.246,532196,448,1
113,61.045,61.92,61.0,61.035,742830,448,1
114,61.33,61.455,60.7,61.04,862626,448,1
115,60.965,61.34,59.895,60.635,1038322,448,1
116,59.255,59.725,58.025,59.165,2322174,448,1
117,59.295,59.645,58.565,59.59,1291260,448,1
118,59.755,60.19,59.505,59.685,794706,448,1
119,60.265,60.92,59.8975,60.07,832994,448,1
120,60.4,61.135,60.1275,60.575,798642,448,1
121,61.165,61.785,60.35,61.485,1320098,448,1
122,61.5,61.69,60.695,61.655,652064,448,1
123,61.42,61.56,61.025,61.32,478784,448,1
124,61.06,61.5505,60.26,61.06,835812,448,1
125,61.015,61.02,59.685,59.905,669766,448,1
126,60.2,60.83,59.875,60.755,802072,448,1
127,60.745,61.28,60.375,61.185,727424,448,1
128,60.93,61.201,60.01,60.115,867616,448,1
129,60.25,60.99,59.46,60.965,612342,448,1
130,60.77,60.8,59.84,60.165,393706,448,1
131,59.57,60.485,58.28,58.4,609146,448,1
132,58.325,59.2975,58.1701,58.38,553184,448,1
133,58.145,59.14,58.145,58.865,641312,448,1
134,58.86,60.21,58.7638,60.18,664458,448,1
135,59.99,60.205,58.89,59.095,850894,448,1
136,59.115,60.74,58.845,60.645,596380,448,1
137,60.555,61.115,60.223,60.5,624018,448,1
138,60.68,61.115,60.255,60.775,391914,448,1
139,60.02,60.66,59.765,60.175,646600,448,1
140,60.035,60.555,59.885,59.9,339558,448,1
141,60.25,62.315,60.15,61.89,1208748,448,1
142,62.06,62.06,60.75,61.185,889680,448,1
143,62.08,62.245,60.25,60.735,1278512,448,1
144,60.985,61.985,60.5812,61.86,675532,448,1
145,61.75,62.473,61.63,62.355,894684,448,1
146,62.5,62.545,60.925,61.83,867884,448,1
147,62.12,63.81,62.12,63.42,1038900,448,1
148,63.71,64.67,63.3225,64.65,864896,448,1
149,64.74,65.74,64.5155,65.44,824646,448,1
150,65.61,65.615,65.09,65.34,965050,448,1
151,65.39,65.71,64.99,65.25,623752,448,1
152,66.345,66.345,64.995,65.26,900038,448,1
153,65.195,65.838,65.195,65.375,748368,448,1
154,65.4,65.695,64.31,65.573,885632,448,1
155,65.935,66.375,65.4255,65.8,512102,448,1
156,65.985,66.18,65.065,65.24,1527948,448,1
157,65.38,65.4225,64.54,64.925,715184,448,1
158,65.13,65.79,64.767,65.0,614670,448,1
159,65.145,65.64,64.5544,65.03,486242,448,1
160,65.13,66.255,64.915,66.165,679718,448,1
161,66.08,67.13,65.36,66.4,811328,448,1
162,66.03,67.29,65.83,67.17,869385,448,1
163,68.04,68.89,67.41,68.27,1394223,448,1
164,67.96,69.0,67.745,68.73,881567,448,1
165,68.86,69.25,67.45,68.2,614472,448,1
166,68.33,68.79,67.94,68.53,468364,448,1
167,68.01,68.2975,66.76,66.79,826874,448,1
168,66.74,66.8896,65.47,65.49,909888,448,1
169,65.64,65.9099,64.17,64.68,743607,448,1
170,65.63,65.88,65.25,65.83,621061,448,1
171,66.03,66.085,65.0,65.85,694320,448,1
172,65.6,65.8,65.11,65.71,521994,448,1
173,65.66,65.84,64.8033,64.98,544533,448,1
174,65.25,67.0945,65.0,66.69,814709,448,1
175,66.56,66.85,66.01,66.44,800222,448,1
176,66.77,67.47,66.48,67.19,515893,448,1
177,67.46,68.88,67.23,68.85,1156599,448,1
178,69.5,70.0,68.32,68.54,1304941,448,1
