id_date,open,high,low,close,volume,id_stock,id_index
1,66.19,66.58,66.1,66.575,3439728,462,1
2,66.53,67.13,66.46,66.71,2562214,462,1
3,66.74,67.425,66.63,67.335,2777390,462,1
4,67.46,67.895,67.405,67.645,4591654,462,1
5,67.305,68.09,67.25,68.085,3769048,462,1
6,68.145,68.515,68.125,68.415,5727702,462,1
7,68.66,68.815,68.06,68.765,4358672,462,1
8,68.88,69.0,67.34,67.36,7028462,462,1
9,67.18,67.425,66.9405,67.125,4812022,462,1
10,67.265,68.14,67.005,68.01,2994836,462,1
11,68.3,68.8,66.575,66.59,4232614,462,1
12,66.85,67.24,66.395,66.97,3681460,462,1
13,66.975,68.63,66.725,68.355,4601750,462,1
14,68.575,69.255,68.22,68.555,5580150,462,1
15,68.205,68.775,67.7505,68.285,3060412,462,1
16,68.135,69.27,68.04,69.175,3182486,462,1
17,69.555,69.88,69.11,69.54,3330986,462,1
18,70.0,70.42,69.185,69.48,2967376,462,1
19,69.445,69.615,68.125,68.51,3782244,462,1
20,68.825,69.565,68.5,69.35,2666676,462,1
21,69.385,69.995,69.365,69.845,2554342,462,1
22,70.0,70.085,69.15,69.5,2330288,462,1
23,69.43,69.9,69.06,69.78,2479096,462,1
24,70.0,70.56,69.7601,70.5,3148882,462,1
25,70.18,70.89,70.075,70.845,4889532,462,1
26,69.95,70.7825,69.91,70.105,4153900,462,1
27,70.115,70.386,69.39,69.79,3781762,462,1
28,70.375,70.48,69.35,69.565,3969394,462,1
29,69.125,69.625,68.8625,69.185,4513076,462,1
30,69.365,69.665,69.035,69.57,3637362,462,1
31,69.98,70.13,68.45,68.595,4657764,462,1
32,69.14,69.86,69.01,69.74,3189574,462,1
33,69.305,70.46,69.11,70.415,3909292,462,1
34,70.55,71.5,70.41,71.205,4166750,462,1
35,71.205,71.485,69.96,70.05,2735522,462,1
36,70.51,71.33,70.22,70.41,4067844,462,1
37,70.41,70.69,69.175,69.42,4446062,462,1
38,69.295,69.4075,68.43,69.23,5252990,462,1
39,68.145,69.395,68.0,69.27,3861246,462,1
40,69.2,69.98,69.135,69.81,2522326,462,1
41,70.015,70.325,69.44,69.865,2687136,462,1
42,70.0,70.775,69.9075,70.65,3430352,462,1
43,70.865,71.21,70.245,70.7,3627988,462,1
44,70.7,71.185,70.255,70.635,3634210,462,1
45,70.23,70.26,67.875,67.88,5058722,462,1
46,68.505,69.92,68.435,69.805,4191400,462,1
47,69.385,69.455,68.085,68.47,5513648,462,1
48,70.23,71.815,69.91,71.23,7812184,462,1
49,71.615,73.02,71.23,72.925,5384060,462,1
50,73.025,74.1,72.635,73.72,4932174,462,1
51,73.975,74.195,73.17,73.715,3959910,462,1
52,73.915,74.05,73.055,73.65,3960772,462,1
53,74.065,74.635,73.72,74.11,2914986,462,1
54,74.21,74.355,73.665,73.76,1927154,462,1
55,73.535,73.965,73.24,73.71,3148592,462,1
56,73.745,74.0,73.16,73.98,3405900,462,1
57,73.835,74.3,72.695,72.835,2630608,462,1
58,72.945,73.925,72.93,73.585,3015698,462,1
59,74.375,75.57,74.305,74.715,4007708,462,1
60,74.8,75.87,74.78,75.7,3009908,462,1
