id_date,open,high,low,close,volume,id_stock,id_index
1,81.75,82.465,81.66,82.38,3805384,463,1
2,82.11,82.73,82.11,82.69,3063846,463,1
3,83.07,83.08,82.23,82.31,3941726,463,1
4,82.44,82.69,82.39,82.5,2928543,463,1
5,82.19,82.83,81.89,82.69,3761483,463,1
6,83.14,84.11,82.79,83.48,4983025,463,1
7,83.5,84.87,83.48,84.76,5443088,463,1
8,84.64,84.69,83.81,83.81,4456363,463,1
9,82.87,83.14,82.27,82.61,5027369,463,1
10,82.985,83.19,82.67,82.94,2394488,463,1
11,83.28,83.6688,81.94,81.94,3996977,463,1
12,82.33,82.51,81.51,81.94,3806853,463,1
13,81.84,83.09,81.78,82.83,4015486,463,1
14,82.99,83.2,82.65,82.65,3744489,463,1
15,82.55,82.99,82.28,82.87,2723936,463,1
16,82.85,82.95,82.4,82.93,2738570,463,1
17,83.23,84.46,83.12,84.07,3581372,463,1
18,84.52,84.74,84.21,84.43,3221816,463,1
19,84.44,84.65,83.98,84.3,2404784,463,1
20,84.7,84.75,84.24,84.44,2227112,463,1
21,84.33,84.95,84.33,84.68,2794866,463,1
22,84.8,84.95,84.12,84.53,2502204,463,1
23,84.53,85.32,84.48,85.18,2885658,463,1
24,85.22,85.7,85.18,85.63,3414856,463,1
25,85.15,85.66,84.98,85.47,5019851,463,1
26,84.81,85.62,84.59,85.43,3374241,463,1
27,85.56,85.8451,84.82,85.08,3640268,463,1
28,84.17,84.96,83.83,84.03,5285388,463,1
29,83.79,84.15,82.67,83.0,5825282,463,1
30,83.3,84.86,83.27,84.76,4637168,463,1
31,84.98,85.03,84.11,84.61,4080285,463,1
32,84.85,85.08,84.52,85.04,3184935,463,1
33,84.84,85.54,84.65,85.43,2612158,463,1
34,85.16,85.925,85.01,85.9,3499163,463,1
35,85.81,85.95,84.33,84.47,2959897,463,1
36,83.84,84.345,83.65,83.92,4132902,463,1
37,84.01,84.08,83.11,83.33,4011159,463,1
38,83.46,83.86,83.27,83.67,2730679,463,1
39,82.81,83.64,82.33,83.54,3031545,463,1
40,83.55,83.7,82.85,83.23,3057050,463,1
41,83.5,83.82,82.97,83.55,3164523,463,1
42,83.73,84.82,83.67,84.56,3447677,463,1
43,84.66,84.7801,84.17,84.32,3788198,463,1
44,84.15,84.38,83.88,84.14,2492522,463,1
45,83.97,84.09,82.37,82.41,3676847,463,1
46,82.87,83.23,82.5,83.22,2366334,463,1
47,82.89,83.0,82.09,82.52,3115060,463,1
48,83.05,83.19,81.95,82.37,4188837,463,1
49,82.68,83.43,82.41,82.99,3115106,463,1
50,83.01,83.43,82.24,83.26,3410344,463,1
51,83.38,83.99,83.01,83.74,3729316,463,1
52,83.8,83.94,83.12,83.5,4387357,463,1
53,84.55,85.88,84.18,85.42,4825288,463,1
54,85.36,85.98,85.13,85.71,3267156,463,1
55,85.77,86.46,85.6,86.27,3000746,463,1
56,86.39,86.39,85.61,85.84,4297482,463,1
57,85.82,85.9,84.65,84.82,3372954,463,1
58,84.83,85.45,84.8,85.33,3566645,463,1
59,85.93,86.48,85.8,86.09,3471637,463,1
60,86.13,87.55,86.07,87.04,3259018,463,1
61,87.43,88.95,87.31,88.66,4853788,463,1
62,88.39,89.96,87.84,89.03,6309078,463,1
63,88.5,89.0,88.03,88.23,4936958,463,1
64,88.16,88.83,88.11,88.34,2605223,463,1
65,88.14,88.38,87.8,88.04,1858653,463,1
66,88.26,88.72,88.1601,88.4,3234016,463,1
67,88.34,88.69,88.1,88.6,3534471,463,1
68,88.39,88.65,87.7,87.85,3115700,463,1
69,87.96,88.74,87.87,88.7,3440643,463,1
70,88.62,88.85,88.35,88.55,2640300,463,1
71,88.55,89.42,88.51,88.78,2907221,463,1
72,88.73,89.536,87.77,88.14,4191632,463,1
73,87.6,87.81,87.001,87.31,5157373,463,1
74,86.72,86.9,86.381,86.83,3587328,463,1
75,87.23,87.5,86.365,86.75,4191347,463,1
76,86.35,86.61,86.06,86.34,3306269,463,1
77,86.41,86.77,86.31,86.36,2882527,463,1
78,86.32,86.78,85.87,85.9,4083833,463,1
79,85.87,86.42,85.6199,86.25,4187709,463,1
80,86.25,86.84,85.775,85.96,3454914,463,1
81,85.77,85.91,84.68,84.96,4156163,463,1
82,84.71,85.05,84.1999,84.76,3918583,463,1
83,85.21,86.5,85.1,86.37,4231898,463,1
84,86.54,86.57,85.94,86.35,2102396,463,1
85,85.74,86.25,85.5,85.65,2478544,463,1
86,86.22,86.42,85.14,85.51,2771152,463,1
87,85.51,86.48,85.11,86.32,2281928,463,1
88,86.23,86.814,85.591,85.91,2505550,463,1
89,86.44,86.8,85.96,86.54,3198827,463,1
90,86.8,87.819,86.77,87.43,2916561,463,1
91,87.52,87.66,86.31,86.37,3026918,463,1
92,85.82,85.84,84.38,84.89,4214858,463,1
93,85.59,85.86,84.91,85.41,4677637,463,1
94,84.98,86.29,84.7,85.27,3472272,463,1
95,85.82,86.04,85.29,85.72,2664423,463,1
96,86.31,86.92,86.21,86.42,2292708,463,1
97,87.02,87.3,86.62,87.09,3002657,463,1
98,86.97,87.46,86.47,86.48,3271678,463,1
99,86.92,87.655,86.87,87.05,2556538,463,1
100,86.88,87.48,86.27,86.61,2128008,463,1
101,86.34,86.48,85.84,86.16,1223253,463,1
102,86.68,87.72,86.63,87.54,1997939,463,1
103,88.0,88.78,87.85,88.35,2852462,463,1
104,88.64,91.04,88.64,89.73,5655181,463,1
105,89.63,91.03,89.42,90.24,3645758,463,1
106,91.25,91.78,91.06,91.45,3446664,463,1
107,86.59,87.5,85.485,86.12,15334699,463,1
108,85.63,86.31,85.45,85.48,6194128,463,1
109,85.5,86.06,85.25,85.98,4152392,463,1
110,86.42,86.79,86.25,86.65,3185695,463,1
111,86.72,88.31,86.62,87.85,4752640,463,1
112,87.91,88.09,87.39,88.08,3175563,463,1
113,87.82,88.13,87.41,87.61,2946107,463,1
114,87.71,88.0,86.65,87.51,3141514,463,1
115,87.85,88.06,86.9,86.98,3720382,463,1
116,86.91,87.19,86.3,86.83,3190448,463,1
117,86.44,87.11,86.25,86.99,2821338,463,1
118,86.75,87.05,86.63,86.81,2785954,463,1
119,86.93,87.22,86.3,86.41,3191413,463,1
120,86.38,87.64,86.38,86.8,3386320,463,1
121,87.37,88.49,87.36,88.04,2951760,463,1
122,87.65,87.99,87.39,87.92,2253152,463,1
123,87.63,88.27,87.6,87.86,2086496,463,1
124,87.82,88.69,87.73,87.95,2700674,463,1
125,87.68,87.98,87.36,87.88,2039912,463,1
126,88.18,88.48,87.81,88.12,2029229,463,1
127,88.12,88.28,87.5575,87.81,1828086,463,1
128,87.48,87.93,87.4,87.77,2160900,463,1
129,87.86,88.0,87.37,87.71,2384857,463,1
130,87.48,87.79,87.34,87.45,2435448,463,1
131,86.29,86.32,85.39,85.96,4775814,463,1
132,85.84,86.485,85.83,86.05,2822869,463,1
133,85.81,86.25,85.7401,86.08,2682468,463,1
134,86.1,86.75,85.91,86.3,2205328,463,1
135,86.26,86.6,85.9,86.09,4179656,463,1
136,86.1,87.3,85.99,86.96,2872865,463,1
137,86.92,87.44,86.87,87.17,1809520,463,1
138,87.15,87.9361,87.15,87.2,2218097,463,1
139,86.47,86.57,85.6,85.84,3425153,463,1
140,85.81,86.085,85.59,85.64,1964438,463,1
141,85.48,86.57,85.34,85.71,1571612,463,1
142,85.76,85.93,85.18,85.58,2471338,463,1
143,86.23,86.5,85.7,85.96,2006823,463,1
144,86.07,87.0,85.88,86.55,2187553,463,1
145,86.54,87.26,86.45,86.81,1432626,463,1
146,87.06,87.38,86.06,86.76,1861467,463,1
147,86.92,87.27,86.8399,87.13,2099116,463,1
148,87.58,88.2,87.46,88.07,2827963,463,1
149,88.09,88.91,87.93,88.75,2763898,463,1
150,88.86,89.27,88.5,88.59,2187910,463,1
151,88.77,88.99,88.44,88.66,1553124,463,1
152,89.92,90.41,89.52,89.59,3491229,463,1
153,89.62,90.2,89.25,89.89,2355975,463,1
154,89.99,91.1,89.75,90.97,4019239,463,1
155,90.95,92.05,90.81,91.7,3140844,463,1
156,91.72,92.12,91.43,91.55,5317595,463,1
157,91.52,91.59,90.36,91.29,3229198,463,1
158,91.2,91.99,91.04,91.26,2890558,463,1
159,91.19,91.54,90.66,91.0,2544131,463,1
160,91.18,91.8,91.07,91.8,2734306,463,1
161,91.5,91.704,90.75,91.25,2390464,463,1
162,90.69,91.87,90.45,91.37,2436644,463,1
163,91.43,91.85,91.37,91.8,1800928,463,1
164,91.26,91.445,90.82,91.28,2558941,463,1
165,91.09,91.15,89.8,90.1,3167964,463,1
166,90.16,91.08,89.64,91.0,2253841,463,1
167,90.21,90.54,89.53,90.03,1707297,463,1
168,89.88,90.1624,88.9,88.93,2168919,463,1
169,89.18,89.25,88.45,88.7,2455319,463,1
170,89.38,90.32,88.91,90.28,2540876,463,1
171,90.21,90.8,90.21,90.77,1825805,463,1
172,90.34,90.68,90.15,90.36,2283160,463,1
173,90.38,91.56,90.18,90.28,3144177,463,1
174,90.56,91.471,90.5,91.33,2607471,463,1
175,91.21,92.01,91.03,91.92,1954944,463,1
176,92.31,93.01,91.94,93.0,3169043,463,1
177,93.1,93.94,92.93,93.78,3778782,463,1
178,93.96,94.84,93.65,93.77,3000943,463,1
179,93.52,94.0299,93.22,93.95,2654426,463,1
180,94.18,95.4,94.18,94.49,4803041,463,1
181,96.67,97.0,94.16,95.61,5203368,463,1
182,95.45,98.78,95.45,97.77,5914924,463,1
183,97.82,98.41,96.655,98.31,6452747,463,1
184,98.21,98.79,98.01,98.28,3975158,463,1
185,97.85,98.99,97.34,98.24,4213230,463,1
186,98.28,98.82,97.75,98.22,2944549,463,1
187,98.77,99.9,98.64,99.88,3009596,463,1
188,99.36,100.67,99.01,100.3,3912738,463,1
189,100.31,100.59,98.78,99.1,4088423,463,1
190,99.52,99.93,98.535,98.59,2961446,463,1
191,98.48,99.87,98.4701,99.62,3886024,463,1
192,99.51,99.8,99.09,99.28,4214604,463,1
193,98.94,100.08,98.76,99.82,3549928,463,1
194,99.24,101.06,99.15,101.04,3862700,463,1
