id_date,open,high,low,close,volume,id_stock,id_index
1,71.87,72.33,70.96,71.1,655524,468,1
2,71.04,71.1499,70.55,71.11,639128,468,1
3,71.06,71.94,70.92,71.36,871400,468,1
4,71.64,71.69,70.98,71.5,617887,468,1
5,71.22,71.5,70.88,70.96,614113,468,1
6,70.93,71.08,70.0,70.05,840565,468,1
7,70.13,71.0,69.6601,70.69,399119,468,1
8,70.51,70.56,69.8,69.9,780917,468,1
9,69.81,69.925,68.79,69.48,744669,468,1
10,69.87,70.215,69.58,70.12,562684,468,1
11,70.39,71.03,69.21,69.21,693774,468,1
12,69.49,69.52,67.88,68.66,907776,468,1
13,68.59,69.5,68.49,69.35,993982,468,1
14,69.34,71.08,69.22,70.63,1207429,468,1
15,70.51,71.2202,69.8,70.85,759106,468,1
16,70.66,71.57,70.65,71.55,696396,468,1
17,71.75,73.1025,71.75,72.7,741426,468,1
18,73.0,73.0,71.38,72.01,731186,468,1
19,72.29,73.12,71.98,72.13,643966,468,1
20,72.4,73.89,72.19,73.82,691712,468,1
21,73.59,73.64,73.27,73.46,360889,468,1
22,73.31,73.73,73.12,73.7,382710,468,1
23,73.62,74.5,73.2407,74.44,490609,468,1
24,74.46,74.46,73.58,74.06,682181,468,1
25,73.79,73.79,72.76,73.23,747161,468,1
26,72.47,72.78,71.92,72.48,452494,468,1
27,72.62,72.6697,71.56,72.31,287418,468,1
28,72.63,72.9,72.0,72.36,500263,468,1
29,72.1,72.8,71.81,72.17,547308,468,1
30,72.3,72.64,71.88,72.25,679510,468,1
31,72.51,72.51,71.56,71.68,580191,468,1
32,71.94,72.25,71.51,71.79,802341,468,1
33,71.51,71.8,71.07,71.7,801904,468,1
34,71.69,72.08,71.47,72.0,838828,468,1
35,72.0,72.07,71.21,71.89,513843,468,1
36,72.14,72.27,71.75,71.91,597144,468,1
37,72.16,72.16,71.09,71.36,595811,468,1
38,71.5,71.73,71.11,71.35,458757,468,1
39,70.66,70.88,70.19,70.66,771732,468,1
40,70.6,71.07,70.12,70.7,529449,468,1
41,70.95,71.35,70.64,71.0,569865,468,1
42,71.11,71.95,71.11,71.66,611651,468,1
43,71.64,72.71,71.64,72.3,435209,468,1
44,72.07,73.2,71.99,72.78,597214,468,1
45,70.08,70.65,68.77,68.97,1524013,468,1
46,69.29,69.5,68.53,69.3,979406,468,1
47,68.89,68.98,67.465,67.55,798141,468,1
48,67.55,68.07,66.35,66.57,968435,468,1
49,65.97,67.37,65.5,67.29,2154635,468,1
50,67.23,67.41,66.9,67.03,696088,468,1
51,67.27,68.56,67.13,68.51,866922,468,1
52,68.52,68.66,67.69,68.35,992126,468,1
53,65.0,65.9,63.1,64.02,3706609,468,1
54,64.0,64.51,63.79,64.12,1134898,468,1
55,64.48,65.04,64.31,64.79,794738,468,1
56,64.86,65.16,64.07,65.14,887928,468,1
57,64.96,65.08,64.05,64.2,640963,468,1
58,64.53,64.77,64.145,64.46,615742,468,1
59,65.17,66.47,65.09,65.69,1140517,468,1
60,65.64,65.93,65.14,65.53,655186,468,1
61,65.71,66.3,65.4875,66.03,911693,468,1
62,66.05,67.62,66.01,67.59,788671,468,1
63,67.34,68.34,66.62,68.21,901180,468,1
64,68.17,68.82,68.0,68.75,865328,468,1
65,68.51,69.53,68.21,69.37,914613,468,1
66,69.41,70.71,69.29,70.23,1622366,468,1
67,70.01,70.2,69.715,69.94,906524,468,1
68,69.61,69.61,68.43,68.98,834759,468,1
69,69.43,69.48,68.1,69.3,666962,468,1
70,69.33,69.56,69.1,69.45,513927,468,1
71,69.64,70.44,69.57,69.88,542185,468,1
72,69.95,70.669,68.14,68.43,730985,468,1
73,68.1,68.4,67.32,67.89,614223,468,1
74,67.52,67.89,67.1,67.36,688217,468,1
75,68.16,68.55,67.93,68.08,729249,468,1
76,67.77,68.54,67.25,68.01,745115,468,1
77,68.19,68.73,67.75,68.49,288393,468,1
78,68.24,68.55,67.01,67.01,459079,468,1
79,67.26,67.41,66.3601,67.37,505519,468,1
80,67.36,67.75,66.77,66.84,574941,468,1
81,66.73,68.48,66.64,67.85,994720,468,1
82,67.84,68.19,66.93,68.18,621527,468,1
83,68.52,69.66,68.38,69.55,522457,468,1
84,69.61,69.765,68.55,69.2,845175,468,1
85,68.07,69.04,68.07,68.61,693805,468,1
86,69.2,69.27,67.92,68.14,562628,468,1
87,68.22,69.66,67.73,69.58,429640,468,1
88,69.54,69.89,68.73,68.88,416183,468,1
89,69.32,70.3,69.24,69.71,705218,468,1
90,69.93,70.87,69.87,70.86,612678,468,1
91,70.77,70.85,68.75,68.78,454559,468,1
92,68.21,68.32,66.78,66.98,555455,468,1
93,67.54,68.16,67.32,67.61,798209,468,1
94,67.05,67.05,65.84,66.17,703857,468,1
95,66.95,67.32,66.195,66.6,620024,468,1
96,67.18,67.61,65.74,65.86,1311729,468,1
97,66.06,66.79,65.94,66.63,1818203,468,1
98,66.48,68.02,66.48,67.45,1095807,468,1
99,67.87,68.55,67.55,68.14,563374,468,1
100,67.97,67.97,66.37,66.65,868261,468,1
101,66.63,66.79,66.02,66.37,444659,468,1
102,66.98,67.39,66.51,67.23,274155,468,1
103,67.68,68.37,67.34,68.2,640080,468,1
104,68.1,68.71,65.7,66.3,1754735,468,1
105,66.31,67.06,66.3,66.93,894135,468,1
106,67.82,69.1,67.63,68.27,860695,468,1
107,68.36,69.51,68.11,69.37,1274568,468,1
108,69.37,69.66,69.02,69.37,538638,468,1
109,69.37,70.0,69.33,69.85,843341,468,1
110,70.0,70.87,69.83,70.74,810603,468,1
111,70.75,71.59,70.75,71.57,791377,468,1
112,71.26,72.36,70.835,72.26,633555,468,1
113,72.03,72.5,71.81,72.43,536963,468,1
114,72.3,72.57,71.68,72.51,830066,468,1
115,72.85,73.12,71.69,72.11,1255486,468,1
116,71.6,74.9299,70.8,74.1,2920114,468,1
117,73.71,73.86,72.4301,73.84,736468,468,1
118,73.54,73.54,72.29,72.4,941454,468,1
119,72.73,73.12,72.08,72.29,755477,468,1
120,72.49,72.99,71.99,72.5,737504,468,1
121,73.2,73.26,72.35,73.2,712981,468,1
122,73.28,73.28,72.65,73.01,578422,468,1
123,72.62,72.89,71.86,72.61,542080,468,1
124,72.57,72.82,71.75,72.02,696737,468,1
125,72.04,72.92,71.82,72.75,594543,468,1
126,72.82,74.05,72.82,73.76,595508,468,1
127,73.53,74.36,73.31,74.21,516339,468,1
128,73.46,74.1,73.44,73.85,421042,468,1
129,73.9,73.98,73.46,73.85,322194,468,1
130,73.62,73.92,73.5,73.6,343815,468,1
131,72.81,73.14,72.13,72.26,364514,468,1
132,72.03,72.13,71.4,71.72,351886,468,1
133,71.69,72.36,71.69,71.98,270878,468,1
134,72.07,72.55,71.7,72.42,336149,468,1
135,72.28,72.6,71.6,71.98,379391,468,1
136,71.92,73.0231,71.92,72.77,255656,468,1
137,73.03,73.0685,72.41,72.65,389370,468,1
138,72.64,73.378,72.62,72.68,420739,468,1
139,72.03,72.2,70.93,71.39,677288,468,1
140,71.39,72.01,71.07,71.1,412369,468,1
141,70.72,72.33,70.72,71.4,600230,468,1
142,71.52,71.56,70.1,70.45,934762,468,1
143,70.65,71.74,70.47,71.04,752073,468,1
144,71.16,71.91,70.76,71.79,556067,468,1
145,71.73,72.13,71.46,71.89,793296,468,1
146,72.1,72.37,71.09,71.87,572771,468,1
147,72.03,72.72,71.9329,72.45,987557,468,1
148,72.7,73.74,72.63,73.62,1396258,468,1
149,73.71,74.95,73.24,74.95,1660077,468,1
150,74.79,74.94,74.07,74.34,717141,468,1
151,74.27,74.63,73.51,74.55,388243,468,1
152,74.95,75.44,74.6,75.16,559467,468,1
153,75.23,75.37,74.9,74.98,334662,468,1
154,75.06,75.95,74.52,75.86,486627,468,1
155,75.92,75.94,75.1,75.59,316732,468,1
156,75.74,76.6,75.58,76.1,1126669,468,1
157,76.05,76.69,75.583,76.27,637270,468,1
158,76.1,76.28,75.2,75.27,1011462,468,1
159,75.39,75.4,74.06,74.31,1668331,468,1
160,74.48,74.68,73.6,74.08,624903,468,1
161,73.85,74.5025,73.71,74.18,554009,468,1
