id_date,open,high,low,close,volume,id_stock,id_index
1,44.51,44.61,44.17,44.35,8161529,478,1
2,44.3,44.44,44.12,44.32,5750092,478,1
3,44.37,44.58,44.21,44.44,6330252,478,1
4,44.5399,44.7,44.28,44.52,7731554,478,1
5,44.55,44.782,44.11,44.33,14665888,478,1
6,44.39,44.62,44.16,44.4,11986419,478,1
7,44.26,44.71,44.26,44.5,9638218,478,1
8,44.35,45.21,44.34,44.92,23275377,478,1
9,44.73,45.28,44.4,45.12,15118201,478,1
10,45.23,45.44,44.72,45.4,18830625,478,1
11,45.5,45.99,45.43,45.72,19945813,478,1
12,45.92,46.21,45.81,46.12,18641999,478,1
13,46.13,46.42,45.85,46.35,14804177,478,1
14,46.35,46.93,46.3,46.53,17161275,478,1
15,46.22,46.76,46.11,46.72,12749647,478,1
16,46.7,47.11,46.59,47.11,9939722,478,1
17,47.4,47.88,47.14,47.69,16394000,478,1
18,47.8,47.86,47.14,47.28,12203789,478,1
19,47.4,47.57,47.21,47.48,10584643,478,1
20,47.72,47.98,47.67,47.96,9994826,478,1
21,47.86,47.975,47.55,47.81,9540408,478,1
22,47.71,48.55,47.594,48.36,12637283,478,1
23,48.37,48.57,47.79,47.94,13040982,478,1
24,48.17,48.66,48.05,48.48,10598084,478,1
25,48.19,48.38,47.64,48.02,16856166,478,1
26,47.96,49.1524,47.96,48.75,14772499,478,1
27,48.9,49.09,48.56,48.95,13781290,478,1
28,49.06,49.17,48.53,48.6,15014353,478,1
29,48.33,48.88,48.28,48.8,12549206,478,1
30,48.93,49.145,48.72,49.02,9446252,478,1
31,49.19,49.44,48.97,49.16,12634319,478,1
32,49.38,49.59,49.16,49.48,11663246,478,1
33,49.31,49.4,48.75,48.94,12927430,478,1
34,48.99,49.19,48.9,49.15,13569032,478,1
35,49.06,49.38,49.008,49.22,6927888,478,1
36,49.53,49.86,49.26,49.5,12081213,478,1
37,49.43,49.58,48.66,48.99,14373453,478,1
38,49.0,49.31,48.73,49.3,37100708,478,1
39,49.05,49.58,48.95,49.56,39951108,478,1
40,48.99,49.43,48.77,49.43,11466919,478,1
41,49.52,49.63,49.16,49.36,8307596,478,1
42,49.47,49.86,49.3,49.86,7867673,478,1
43,49.81,50.64,49.81,50.51,13298219,478,1
44,50.49,50.86,50.44,50.86,9150476,478,1
45,50.66,51.056,50.26,50.64,14451035,478,1
46,50.8,51.15,50.33,50.46,14925244,478,1
47,50.21,50.35,49.49,49.54,15232968,478,1
48,51.05,51.67,50.77,50.91,18135562,478,1
49,51.31,52.35,51.255,52.25,14599987,478,1
50,52.2,52.289,51.89,52.19,11213091,478,1
51,52.35,52.49,51.54,52.32,10363365,478,1
52,52.0,52.12,51.17,51.8,14436505,478,1
53,52.48,53.33,52.36,53.22,19142671,478,1
54,53.25,53.71,53.2,53.63,14326852,478,1
55,53.65,53.72,53.26,53.46,10124341,478,1
56,53.51,54.31,53.45,53.91,16113630,478,1
57,53.77,53.97,52.09,52.4,23875332,478,1
58,52.49,52.82,52.135,52.53,12878219,478,1
59,52.92,53.05,52.52,52.68,9588964,478,1
60,52.57,52.65,51.94,52.05,7316683,478,1
61,52.22,52.92,52.1,52.92,9629777,478,1
62,52.83,53.15,52.67,53.11,7373210,478,1
63,53.02,53.03,52.54,52.71,7379361,478,1
64,52.79,52.95,52.5426,52.89,6242428,478,1
65,52.83,52.89,52.41,52.55,5347838,478,1
66,52.5,53.18,52.4068,53.17,7400298,478,1
67,53.15,53.665,52.8,53.6,9206010,478,1
68,53.54,53.54,53.135,53.2,7685525,478,1
69,53.47,53.56,53.06,53.35,9296759,478,1
70,53.29,53.4,52.6,52.74,8024928,478,1
71,52.68,52.78,51.95,52.07,11220583,478,1
72,51.9,52.43,51.17,51.47,14026957,478,1
73,51.07,52.06,51.04,51.89,10303753,478,1
74,51.59,51.71,51.19,51.39,6584008,478,1
75,51.77,51.98,50.45,50.82,10039660,478,1
76,50.27,50.37,49.14,49.57,18588112,478,1
77,49.48,50.06,49.08,49.08,12459924,478,1
78,48.9,49.94,48.4725,48.48,19669756,478,1
79,48.43,48.71,47.77,48.66,17574425,478,1
80,48.66,49.46,48.39,48.84,19898535,478,1
81,48.91,48.93,48.23,48.3,11308645,478,1
82,48.3,50.09,48.15,49.97,17669838,478,1
83,50.17,50.31,49.77,50.24,12002456,478,1
84,50.87,50.87,50.12,50.53,9617647,478,1
85,50.22,50.79,49.93,50.18,9913179,478,1
86,50.47,50.56,49.741,49.9,8215937,478,1
87,49.89,50.71,49.8,50.64,7146696,478,1
88,50.5912,51.27,50.55,51.07,12020410,478,1
89,51.45,51.63,50.35,50.71,9887822,478,1
90,50.83,51.685,50.76,51.55,11104174,478,1
91,51.31,51.45,50.04,50.05,11187913,478,1
92,49.69,49.86,48.855,48.96,14663801,478,1
93,49.43,49.78,49.1,49.52,35022353,478,1
94,49.05,49.41,48.81,49.12,29396284,478,1
95,49.43,50.68,49.43,50.44,31414566,478,1
96,50.8,50.84,50.24,50.66,9201320,478,1
97,50.96,51.5,50.93,51.0,8634087,478,1
98,50.93,51.23,50.33,50.34,11174784,478,1
99,50.29,50.65,50.18,50.36,9746948,478,1
100,50.36,51.04,50.19,50.63,9661158,478,1
101,50.56,51.295,50.45,51.01,5975684,478,1
102,51.3,51.3,50.34,51.3,8023710,478,1
103,51.1,51.41,50.8,51.17,7238482,478,1
104,51.5,51.58,50.87,50.96,6738606,478,1
105,50.94,51.09,50.42,50.54,8385170,478,1
106,51.0,51.29,50.77,51.21,10229598,478,1
107,51.25,51.3,50.21,50.41,12702418,478,1
108,50.2,50.22,49.4,49.96,10593211,478,1
109,49.75,50.45,49.71,50.28,8841351,478,1
110,50.62,51.265,50.57,50.74,8544227,478,1
111,50.0,50.33,49.19,49.97,12950865,478,1
112,50.05,50.27,49.71,49.95,12337832,478,1
113,49.84,50.31,49.63,50.27,8794044,478,1
114,50.33,50.455,50.03,50.36,6755968,478,1
115,50.16,50.53,49.94,50.38,8469017,478,1
116,50.29,50.8,50.1,50.71,6487533,478,1
117,50.74,51.08,50.51,51.02,7090671,478,1
118,51.03,51.74,50.92,51.49,8444853,478,1
119,51.94,51.94,50.3,50.42,11576493,478,1
120,50.27,50.46,49.45,49.48,14428196,478,1
121,50.05,50.19,49.63,50.01,9001249,478,1
122,49.83,50.44,49.81,50.25,6865365,478,1
123,50.11,50.35,49.95,50.21,4533010,478,1
124,50.19,50.22,49.815,50.09,5225485,478,1
125,49.93,50.25,49.845,49.93,5366311,478,1
126,50.06,50.07,49.46,49.62,8154963,478,1
127,49.7,49.8,49.02,49.32,8583331,478,1
128,49.28,49.755,49.17,49.65,5507749,478,1
129,49.64,49.68,49.03,49.15,7881438,478,1
130,49.1,49.27,48.72,48.89,7393467,478,1
131,48.66,48.98,48.42,48.54,6610625,478,1
132,48.29,48.53,47.33,47.71,15381816,478,1
133,47.55,48.09,47.45,47.5,7869407,478,1
134,47.54,48.18,47.5,47.91,7263104,478,1
135,47.79,47.79,47.235,47.27,8432500,478,1
136,47.45,47.45,46.74,47.02,9861163,478,1
137,47.02,47.7,46.95,47.61,6779168,478,1
138,47.53,47.53,46.94,46.94,6941339,478,1
139,46.58,47.0,46.25,46.95,9655186,478,1
140,46.88,46.92,46.54,46.56,6782178,478,1
141,48.62,48.66,47.57,47.82,36425326,478,1
142,47.83,47.97,47.105,47.38,13416934,478,1
143,45.52,46.45,45.08,46.01,47085155,478,1
144,45.71,47.07,45.7,46.78,26566991,478,1
145,47.11,47.58,46.325,46.64,17783039,478,1
146,47.01,47.04,46.04,46.34,13434315,478,1
147,46.35,46.4,45.82,45.91,12732598,478,1
148,45.96,46.595,45.47,46.47,19005474,478,1
149,46.49,46.9,46.32,46.52,16048492,478,1
150,46.6,47.52,46.44,47.35,18127833,478,1
151,47.8,48.36,47.56,47.76,16631810,478,1
152,48.31,48.5,48.06,48.3,15385646,478,1
153,48.47,48.7,48.2713,48.57,10267659,478,1
154,48.51,48.83,47.87,48.72,10957889,478,1
155,48.62,48.89,48.22,48.51,11481266,478,1
156,48.59,48.59,47.54,47.78,15175782,478,1
157,47.71,48.0,47.37,47.981,9088731,478,1
158,47.69,47.7,46.88,47.27,16765336,478,1
159,47.3,47.35,46.76,46.945,13291577,478,1
160,47.05,47.71,47.05,47.67,10238730,478,1
161,47.42,47.45,46.69,47.0,10291596,478,1
162,46.57,46.915,46.32,46.675,12300544,478,1
